,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,49,218,49,218,267
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,79,140,79,140,219
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,24,145,24,145,169
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,12,54,12,54,66
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,25,50,25,50,75
PUERTO QUIJARRO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,57,92,57,92,149
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,10,97,10,97,107
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,3,22,3,22,25
PUERTO SUAREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,61,149,61,149,210
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,141,368,141,368,509
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,78,300,78,300,378
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,432,150,432,150,582
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,5,13,5,13,18
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,650,144,650,144,794
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,18,90,18,90,108
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,1,12,1,12,13
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,55,293,55,293,348
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,30,125,30,125,155
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,577,1457,577,1457,2034
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,48,153,48,153,201
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,63,170,63,170,233
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,10,30,10,30,40
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,511,404,511,404,915
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,11,28,11,28,39
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,28,251,28,251,279
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,12,65,12,65,77
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,13,92,13,92,105
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,19,66,19,66,85
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,5,17,5,17,22
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,53,86,53,86,139
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,5,28,5,28,33
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,4,0,4,0,4
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,18,95,18,95,113
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,39,53,39,53,92
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,90,468,90,468,558
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,38,96,38,96,134
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,35,245,35,245,280
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,106,264,106,264,370
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,207,678,207,678,885
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,25,31,25,31,56
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,21,84,21,84,105
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,33,56,33,56,89
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,27,139,27,139,166
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,23,112,23,112,135
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,169,165,169,165,334
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,9,67,9,67,76
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,26,158,26,158,184
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,158,622,158,622,780
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,93,87,93,87,180
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,17,116,17,116,133
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,2,37,2,37,39
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,33,128,33,128,161
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,80,195,80,195,275
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,10,45,10,45,55
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,6,33,6,33,39
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,2,19,2,19,21
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,23,58,23,58,81
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,0,68,0,68,68
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,5,50,5,50,55
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,111,226,111,226,337
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,3030,3990,3030,3990,7020
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,30,101,30,101,131
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,30,175,30,175,205
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,9,23,9,23,32
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,10,65,10,65,75
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,5,35,5,35,40
SANTIVAÑES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,9,44,9,44,53
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,2,24,2,24,26
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,22,84,22,84,106
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,7,45,7,45,52
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,54,180,54,180,234
SICAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,13,0,13,0,13
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,163,353,163,353,516
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,17,143,17,143,160
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,39,79,39,79,118
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,58,112,58,112,170
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,1213,1526,1213,1526,2739
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,0,13,0,13,13
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,39,25,39,25,64
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,71,104,71,104,175
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,20,123,20,123,143
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,4,7,4,7,11
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,116,242,116,242,358
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,25,348,25,348,373
TARACO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,10,36,10,36,46
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,31,88,31,88,119
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,1002,1544,1002,1544,2546
TARVITA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,48,286,48,286,334
TEOPONTE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,18,91,18,91,109
TIAWANACU,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,26,110,26,110,136
TINGUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,53,162,53,162,215
TIPUANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,17,129,17,129,146
TIQUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,179,84,179,84,263
TIRAQUE (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,284,181,284,181,465
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,3,10,3,10,13
TOCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,17,42,17,42,59
TODOS SANTOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,0,2,0,2,2
TOLATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,14,35,14,35,49
TOLEDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,9,53,9,53,62
TOMAVE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,17,106,17,106,123
TOMINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,19,160,19,160,179
TORO TORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,23,171,23,171,194
TOTORA(CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,42,55,42,55,97
TOTORA(ORR),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,10,43,10,43,53
TRIGAL,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,6,22,6,22,28
TRINIDAD,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,646,622,646,622,1268
TUPIZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,85,397,85,397,482
TURCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,8,56,8,56,64
UMALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,17,72,17,72,89
UNCIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,93,125,93,125,218
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,34,130,34,130,164
URUBICHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,29,130,29,130,159
UYUNI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,41,253,41,253,294
VACAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,21,46,21,46,67
VALLEGRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,31,145,31,145,176
VIACHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,140,370,140,370,510
VILA VILA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,14,38,14,38,52
VILLA MONTES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,153,255,153,255,408
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,6,18,6,18,24
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,51,14,51,14,65
VILLA SERRANO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,24,169,24,169,193
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,434,683,434,683,1117
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,12,85,12,85,97
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,77,392,77,392,469
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,414,38,414,38,452
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,19,0,19,0,19
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,2,22,2,22,24
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,180,372,180,372,552
YACO,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,13,68,13,68,81
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,258,579,258,579,837
YAMPARAEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,14,142,14,142,156
YANACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,8,46,8,46,54
YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,72,483,72,483,555
YOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,8,71,8,71,79
YOTALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,11,101,11,101,112
YUNCHARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,12,83,12,83,95
ZUDAÑEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-04-01,36,87,36,87,123
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,33,63,33,63,96
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,102,392,102,392,494
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,33,93,33,93,126
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,110,269,110,269,379
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,9,27,9,27,36
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,3,41,3,41,44
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,30,89,30,89,119
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,5,44,5,44,49
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,10,37,10,37,47
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,37,17,37,17,54
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,83,175,83,175,258
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,11,79,11,79,90
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,17,52,17,52,69
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,49,78,49,78,127
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,25,119,25,119,144
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,55,0,55,0,55
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,34,114,34,114,148
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,19,8,19,8,27
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,31,93,31,93,124
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,13,40,13,40,53
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,79,191,79,191,270
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,16,237,16,237,253
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,35,149,35,149,184
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,9,46,9,46,55
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,4,10,4,10,14
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2,5,2,5,7
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,1,13,1,13,14
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,58,62,58,62,120
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,63,368,63,368,431
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,19,120,19,120,139
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,12,12,12,12,24
BOYUIBE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,12,18,12,18,30
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,22,130,22,130,152
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,72,197,72,197,269
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,17,159,17,159,176
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,22,98,22,98,120
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,19,130,19,130,149
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,10,64,10,64,74
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,20,143,20,143,163
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,29,140,29,140,169
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,3,57,3,57,60
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,117,374,117,374,491
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,566,217,566,217,783
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,16,73,16,73,89
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,153,64,153,64,217
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,265,649,265,649,914
CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,1,1,1,1,2
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,16,148,16,148,164
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,11,133,11,133,144
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,25,26,25,26,51
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2,0,2,0,2
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,66,210,66,210,276
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,14,65,14,65,79
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,71,315,71,315,386
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,9,30,9,30,39
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,37,114,37,114,151
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,51,42,51,42,93
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2,25,2,25,27
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,6,11,6,11,17
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,35,61,35,61,96
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,18,141,18,141,159
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,153,97,153,97,250
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,113,499,113,499,612
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2428,2847,2428,2847,5275
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2,2,2,2,4
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,448,244,448,244,692
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,22,124,22,124,146
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,1,9,1,9,10
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,177,71,177,71,248
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,12,57,12,57,69
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,77,322,77,322,399
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,11,64,11,64,75
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,67,190,67,190,257
COMANCHE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,4,17,4,17,21
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,32,182,32,182,214
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,5,27,5,27,32
CONCEPCION,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,36,157,36,157,193
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,25,113,25,113,138
CORIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,41,112,41,112,153
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,13,83,13,83,96
COROICO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,55,74,55,74,129
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,21,57,21,57,78
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,57,227,57,227,284
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,109,537,109,537,646
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,5,2,5,2,7
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,7,45,7,45,52
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,26,256,26,256,282
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,12,55,12,55,67
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,5,25,5,25,30
DESAGUADERO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,11,38,11,38,49
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,3627,5614,3627,5614,9241
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,12,56,12,56,68
EL PUENTE(STC),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,15,158,15,158,173
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,25,108,25,108,133
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,126,212,126,212,338
EL VILLAR,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,17,56,17,56,73
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,164,120,164,120,284
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,28,260,28,260,288
ESCARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,1,0,1,0,1
ESMERALDA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,4,0,4,0,4
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,74,5,74,5,79
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,5,13,5,13,18
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,18,12,18,12,30
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,45,117,45,117,162
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,10,25,10,25,35
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,48,101,48,101,149
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,43,101,43,101,144
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,24,145,24,145,169
GUAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,7,72,7,72,79
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,36,173,36,173,209
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,30,150,30,150,180
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,22,84,22,84,106
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2,33,2,33,35
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,0,9,0,9,9
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,34,244,34,244,278
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,6,47,6,47,53
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,8,39,8,39,47
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,21,48,21,48,69
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,9,158,9,158,167
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,59,342,59,342,401
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,1,8,1,8,9
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,18,68,18,68,86
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,34,171,34,171,205
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,20,80,20,80,100
JESUS DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,21,125,21,125,146
LA ASUNTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,51,256,51,256,307
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,141,502,141,502,643
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,2252,4493,2252,4493,6745
LA RIVERA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,0,2,0,2,2
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,20,74,20,74,94
LAJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,28,168,28,168,196
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,4,48,4,48,52
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,0,26,0,26,26
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,117,272,117,272,389
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,7,57,7,57,64
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,37,18,37,18,55
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-05-01,16,117,16,117,133
