,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,35,1,35,1,36
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,52,0,52,52
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,116,34,116,34,150
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,48,14,48,14,62
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,11,122,11,122,133
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,68,2,68,2,70
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,15,0,15,15
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,132,754,132,754,886
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,39,46,39,46,85
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,6,25,6,25,31
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,3,63,3,63,66
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,35,72,35,72,107
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,25,73,25,73,98
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,54,29,54,29,83
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,29,0,29,29
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,7,69,7,69,76
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,68,31,68,31,99
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,10,2,10,2,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,11,40,11,40,51
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,47,179,47,179,226
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,30,311,30,311,341
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,105,161,105,161,266
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,17,0,17,0,17
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,308,224,308,224,532
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,22,178,22,178,200
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,15,0,15,15
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,281,0,281,281
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,2,91,2,91,93
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,138,756,138,756,894
ROBORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,14,131,14,131,145
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,6,123,6,123,129
SABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,7,25,7,25,32
SACABA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,159,175,159,175,334
SACABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,3,27,3,27,30
SACACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,7,212,7,212,219
SAIPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,1,41,1,41,42
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,8,89,8,89,97
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,60,0,60,60
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,15,0,15,15
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,31,154,31,154,185
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,23,0,23,23
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,62,4,62,66
SAN BENITO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,12,42,12,42,54
SAN BORJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,308,0,308,308
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,49,4,49,53
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,162,0,162,162
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,170,125,170,125,295
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,85,282,85,282,367
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,17,10,17,10,27
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,56,37,56,37,93
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,12,66,12,66,78
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,30,317,30,317,347
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,200,0,200,200
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,141,195,141,195,336
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,43,3,43,3,46
SAN LORENZO(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,18,171,18,171,189
SAN LUCAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,201,436,201,436,637
SAN MATIAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,21,30,21,30,51
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,19,56,19,56,75
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,28,4,28,32
SAN PEDRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,20,152,20,152,172
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,12,182,12,182,194
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,3,33,3,33,36
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,11,0,11,11
SAN PEDRO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,7,1,7,1,8
SAN RAFAEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,3,45,3,45,48
SAN RAMON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,69,72,69,72,141
SAN RAMON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,24,83,24,83,107
SANTA ANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,14,158,14,158,172
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,1319,4905,1319,4905,6224
SANTA ROSA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,44,0,44,0,44
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,2,94,2,94,96
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,39,0,39,39
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,76,0,76,76
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,16,0,16,16
SANTIVAÑES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,30,4,30,34
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,52,0,52,52
SAPAHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,5,79,5,79,84
SENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,19,0,19,0,19
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,184,0,184,184
SICAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,11,1,11,1,12
SIPE SIPE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,56,149,56,149,205
SOPACHUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,47,94,47,94,141
SORACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,9,51,9,51,60
SORATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,23,94,23,94,117
SUCRE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,1214,356,1214,356,1570
TACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,2,0,2,2
TACACOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,17,24,17,24,41
TACOBAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,1,56,1,56,57
TACOPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,3,69,3,69,72
TAHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,7,0,7,7
TAPACARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,93,191,93,191,284
TARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,298,68,298,68,366
TARACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,7,26,7,26,33
TARATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,35,37,35,37,72
TARIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,510,458,510,458,968
TARVITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,81,247,81,247,328
TEOPONTE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,87,0,87,87
TIAWANACU,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,47,0,47,47
TINGUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,156,4,156,160
TIPUANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,64,0,64,64
TIQUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,86,71,86,71,157
TIRAQUE (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,112,148,112,148,260
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,13,0,13,13
TOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,31,4,31,35
TOLATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,31,0,31,31
TOLEDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,33,32,33,32,65
TOMAVE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,190,0,190,190
TOMINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,48,178,48,178,226
TORO TORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,5,145,5,145,150
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,49,60,49,60,109
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,5,36,5,36,41
TRIGAL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,11,0,11,11
TRINIDAD,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,476,380,476,380,856
TUPIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,1,312,1,312,313
TURCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,4,41,4,41,45
UMALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,47,0,47,47
UNCIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,28,96,28,96,124
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,17,144,17,144,161
URUBICHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,189,0,189,189
UYUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,146,0,146,146
VACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,8,21,8,21,29
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,9,105,9,105,114
VIACHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,43,183,43,183,226
VILA VILA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,5,18,5,18,23
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,28,210,28,210,238
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,8,6,8,6,14
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,11,8,11,8,19
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,25,134,25,134,159
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,191,379,191,379,570
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,41,47,41,47,88
VILLAZON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,274,0,274,274
VINTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,112,21,112,21,133
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,2,8,2,8,10
WARNES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,190,159,190,159,349
YACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,1,36,1,36,37
YACUIBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,40,355,40,355,395
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,40,107,40,107,147
YANACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,7,20,7,20,27
YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,0,318,0,318,318
YOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,14,60,14,60,74
YOTALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,53,51,53,51,104
YUNCHARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,16,47,16,47,63
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-02-01,72,12,72,12,84
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,119,1,119,120
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,26,288,26,288,314
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,6,35,6,35,41
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,8,195,8,195,203
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,7,36,7,36,43
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,69,1,69,70
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,102,0,102,102
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,37,1,37,38
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,16,4,16,4,20
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,46,15,46,15,61
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,40,141,40,141,181
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,7,87,7,87,94
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,2,16,2,16,18
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,17,58,17,58,75
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,3,91,3,91,94
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,132,1,132,133
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,33,12,33,12,45
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,9,65,9,65,74
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,7,23,7,23,30
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,22,181,22,181,203
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,12,331,12,331,343
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,23,81,23,81,104
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,54,0,54,54
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,5,8,5,8,13
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,15,0,15,15
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,51,0,51,0,51
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,44,70,44,70,114
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,3,371,3,371,374
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,35,95,35,95,130
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,15,0,15,15
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,8,26,8,26,34
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,29,134,29,134,163
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,22,170,22,170,192
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,94,0,94,94
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,4,66,4,66,70
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,98,0,98,98
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,53,1,53,54
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,8,129,8,129,137
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,16,164,16,164,180
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,4,55,4,55,59
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,56,244,56,244,300
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,140,86,140,86,226
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,2,64,2,64,66
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,37,101,37,101,138
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,113,353,113,353,466
CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,1,0,1,1
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,141,0,141,141
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,3,129,3,129,132
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,16,32,16,32,48
CATACORA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,11,0,11,11
CHACARILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,4,1,4,5
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,6,285,6,285,291
CHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,56,1,56,57
CHARAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,31,238,31,238,269
CHARAÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,16,0,16,16
CHAYANTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,14,117,14,117,131
CHIMORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,88,94,88,94,182
CHIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,16,0,16,16
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,6,15,6,15,21
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,2,50,2,50,52
CHUMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,2,85,2,85,87
CLIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,45,134,45,134,179
COBIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,175,174,175,174,349
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1177,1683,1177,1683,2860
COIPASA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,8,0,8,8
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,259,87,259,87,346
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,75,0,75,75
COLLANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,10,0,10,10
COLOMI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,77,75,77,75,152
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,2,44,2,44,46
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,205,1,205,206
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,6,57,6,57,63
COLQUIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,4,102,4,102,106
COMANCHE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,1,38,1,38,39
COMARAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,135,0,135,135
COMBAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,49,0,49,49
CONCEPCION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,29,252,29,252,281
COPACABANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,30,41,30,41,71
CORIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,24,99,24,99,123
CORO CORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,51,0,51,51
COROICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,70,61,70,61,131
CORQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,23,54,23,54,77
COTAGAITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,30,272,30,272,302
COTOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-03-01,0,313,0,313,313
