,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
TODOS SANTOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,3,6,3,6,9
TOLATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,2,82,2,82,84
TOLEDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,2,64,2,64,66
TOMAVE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,0,165,0,165,165
TOMINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,25,463,25,463,488
TORO TORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,5,354,5,354,359
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,42,109,42,109,151
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,0,48,0,48,48
TRIGAL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,5,31,5,31,36
TRINIDAD,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,451,678,451,678,1129
TUPIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,0,832,0,832,832
TURCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,12,46,12,46,58
UMALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,21,72,21,72,93
UNCIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,35,211,35,211,246
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,31,266,31,266,297
UYUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,1,239,1,239,240
VACAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,15,57,15,57,72
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,13,111,13,111,124
VIACHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,172,199,172,199,371
VILA VILA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,11,84,11,84,95
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,27,334,27,334,361
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,7,36,7,36,43
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,25,5,25,5,30
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,6,302,6,302,308
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,249,688,249,688,937
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,110,104,110,104,214
VILLAZON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,13,453,13,453,466
VINTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,136,12,136,12,148
VITICHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,0,338,0,338,338
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,0,28,0,28,28
WARNES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,370,475,370,475,845
YACO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,7,109,7,109,116
YACUIBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,54,452,54,452,506
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,12,458,12,458,470
YANACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,5,89,5,89,94
YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,11,348,11,348,359
YOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,5,112,5,112,117
YOTALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,96,112,96,112,208
YUNCHARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,45,168,45,168,213
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-03-01,33,295,33,295,328
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,4,209,4,209,213
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,60,527,60,527,587
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,6,75,6,75,81
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,48,265,48,265,313
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,78,0,78,78
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,3,159,3,159,162
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,5,242,5,242,247
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,5,100,5,100,105
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,55,2,55,57
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,47,52,47,52,99
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,41,221,41,221,262
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,6,174,6,174,180
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,4,58,4,58,62
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,4,146,4,146,150
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,5,262,5,262,267
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,13,614,13,614,627
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,13,85,13,85,98
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,23,15,23,15,38
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,16,102,16,102,118
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,32,0,32,32
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,53,296,53,296,349
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,30,692,30,692,722
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,24,159,24,159,183
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,77,0,77,77
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,11,2,11,13
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,32,0,32,32
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,48,0,48,48
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,64,148,64,148,212
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,43,586,43,586,629
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,14,97,14,97,111
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,49,1,49,50
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,13,82,13,82,95
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,28,242,28,242,270
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,13,370,13,370,383
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,240,1,240,241
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,123,1,123,124
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,20,131,20,131,151
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,10,108,10,108,118
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,9,295,9,295,304
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,97,335,97,335,432
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,33,43,33,43,76
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,101,605,101,605,706
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,175,141,175,141,316
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,140,0,140,140
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,24,80,24,80,104
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,47,646,47,646,693
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,11,0,11,11
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,196,0,196,196
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,262,2,262,264
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,17,30,17,30,47
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,11,0,11,11
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,54,0,54,54
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,26,280,26,280,306
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,143,0,143,143
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,93,359,93,359,452
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,38,1,38,39
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,7,218,7,218,225
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,69,91,69,91,160
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,40,0,40,40
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,30,0,30,30
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,4,94,4,94,98
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,10,165,10,165,175
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,108,110,108,110,218
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,97,459,97,459,556
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1512,2441,1512,2441,3953
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,3,8,3,8,11
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,506,136,506,136,642
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,6,139,6,139,145
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,26,0,26,26
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,65,125,65,125,190
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,90,2,90,92
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,17,246,17,246,263
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,10,114,10,114,124
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,13,196,13,196,209
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,29,0,29,29
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,231,0,231,231
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,3,52,3,52,55
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,72,67,72,67,139
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,16,84,16,84,100
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,22,168,22,168,190
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,69,2,69,71
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,69,110,69,110,179
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,22,76,22,76,98
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,38,407,38,407,445
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,514,0,514,514
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,23,182,23,182,205
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,12,3,12,3,15
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,124,0,124,124
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,148,485,148,485,633
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,44,2,44,46
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,45,1,45,46
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,49,0,49,49
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2354,4836,2354,4836,7190
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,7,40,7,40,47
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,55,246,55,246,301
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,18,222,18,222,240
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,68,149,68,149,217
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,219,1,219,220
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,162,204,162,204,366
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,15,364,15,364,379
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,6,1,6,7
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,2,0,2,2
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,11,146,11,146,157
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,22,2,22,24
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,79,0,79,79
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,155,0,155,155
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,96,0,96,96
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,43,73,43,73,116
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,5,136,5,136,141
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,222,0,222,222
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,62,0,62,62
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,456,2,456,458
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,32,750,32,750,782
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,35,239,35,239,274
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,80,46,80,46,126
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,5,34,5,34,39
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,5,163,5,163,168
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,75,1,75,76
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,15,65,15,65,80
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,15,34,15,34,49
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,6,605,6,605,611
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,67,686,67,686,753
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,21,0,21,21
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,140,2,140,142
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,11,303,11,303,314
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,11,165,11,165,176
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,9,195,9,195,204
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,20,58,20,58,78
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,13,570,13,570,583
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2042,4554,2042,4554,6596
LA RIVERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,5,1,5,6
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,315,2,315,317
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,138,0,138,138
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,4,123,4,123,127
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,6,45,6,45,51
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,57,340,57,340,397
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,56,0,56,56
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,29,18,29,18,47
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,164,1,164,165
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,16,20,16,20,36
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,177,96,177,96,273
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,80,2,80,82
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,73,0,73,73
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,1,67,1,67,68
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,65,0,65,65
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,59,73,59,73,132
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,24,244,24,244,268
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,45,332,45,332,377
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,25,183,25,183,208
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,34,260,34,260,294
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,226,343,226,343,569
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,94,963,94,963,1057
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,8,37,8,37,45
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,180,165,180,165,345
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,33,0,33,33
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,6,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,13,0,13,13
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,266,2,266,268
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,8,166,8,166,174
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,9,59,9,59,68
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,425,1491,425,1491,1916
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,258,2,258,260
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,27,508,27,508,535
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,228,0,228,228
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,30,64,30,64,94
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,21,392,21,392,413
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,52,0,52,52
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,73,0,73,73
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,28,2,28,30
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,12,85,12,85,97
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,51,145,51,145,196
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,62,0,62,62
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,71,2,71,73
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,19,404,19,404,423
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,109,76,109,76,185
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,33,91,33,91,124
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,10,47,10,47,57
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,58,0,58,0,58
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,182,153,182,153,335
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,79,52,79,52,131
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,268,0,268,268
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,108,0,108,108
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,6,31,6,31,37
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,206,1177,206,1177,1383
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,57,249,57,249,306
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,31,2,31,33
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,25,282,25,282,307
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,95,223,95,223,318
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,15,212,15,212,227
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,0,150,0,150,150
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-04-01,2,117,2,117,119
