municipality,group,variable,month,Otros,TOTAL
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,9,9
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,3,3
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1449,1449
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,3,3
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,3,3
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,171,171
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,104,104
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,16,16
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,276,276
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,54,54
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,180,180
URIONDO (A. CONCEPCION),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,5,5
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,3,3
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,13,13
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,19,19
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,19,19
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,66,66
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,14,14
YOTALA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,7,7
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,17,17
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-05-01,5,5
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,14,14
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,8,8
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,9,9
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,27,27
CAPINOTA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,18,18
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,10,10
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,14,14
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,334,334
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
COLQUIRI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,9,9
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,167,167
EL VILLAR,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
GUANAY,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,221,221
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,8,8
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,614,614
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,35,35
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,4,4
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,4,4
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,9,9
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,96,96
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,96,96
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,7,7
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,38,38
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,14,14
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,56,56
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,37,37
QUIRUSILLAS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
REYES,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,20,20
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,33,33
SACACA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,4,4
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,11,11
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,5,5
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,95,95
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,7,7
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,6,6
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
SAN PEDRO DE BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1571,1571
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,183,183
TACACOMA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,89,89
TEOPONTE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-05-01,16,16
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,292,292
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,39,39
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,41,41
VACAS,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,4,4
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,9,9
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,15,15
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,28,28
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,1,1
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,3,3
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,75,75
YAMPARAEZ,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,16,16
YOTALA,diagnostico de egreso en menores de 5 anos,otros,2006-05-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,20,20
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,10,10
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,8,8
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,48,48
CAPINOTA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,14,14
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,7,7
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,8,8
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-06-01,5,5
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,18,18
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,267,267
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
COLQUIRI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,17,17
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,5,5
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,41,41
CULPINA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,139,139
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
GUANAY,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,263,263
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
INQUISIVI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,692,692
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,34,34
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,6,6
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,12,12
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,138,138
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,31,31
PADCAYA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,12,12
PATACAMAYA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,72,72
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,15,15
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,58,58
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,36,36
REYES,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,41,41
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,5,5
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,41,41
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,11,11
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,7,7
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,132,132
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,4,4
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,34,34
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,6,6
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1087,1087
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,4,4
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,188,188
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,83,83
TARVITA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,1,1
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-06-01,18,18
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,302,302
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,38,38
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,141,141
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,2,2
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,8,8
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,21,21
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,7,7
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,6,6
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,94,94
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,8,8
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,otros,2006-06-01,3,3
ACACIO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,4,4
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,13,13
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,14,14
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,19,19
CAMATAQUI (C. VILLA ABECIA),diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,56,56
CAPINOTA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,36,36
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,14,14
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,8,8
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,311,311
"COLCHA ""K""",diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
COLQUIRI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,7,7
CULPINA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,142,142
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,285,285
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,587,587
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,8,8
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,6,6
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,4,4
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,13,13
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,102,102
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,64,64
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,9,9
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,64,64
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,14,14
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,46,46
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,32,32
REYES,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,34,34
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,21,21
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,9,9
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,8,8
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,132,132
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-07-01,4,4
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,7,7
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,5,5
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,7,7
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,2034,2034
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,151,151
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,6,6
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,96,96
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,4,4
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-07-01,15,15
TOLEDO,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
TOMINA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,1,1
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-07-01,4,4
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,279,279
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,29,29
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,94,94
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,5,5
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,19,19
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,25,25
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,12,12
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,9,9
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,44,44
YAMPARAEZ,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,3,3
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-07-01,6,6
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,8,8
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,13,13
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,8,8
BAURES,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,17,17
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,7,7
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,72,72
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,15,15
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,13,13
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-08-01,6,6
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,17,17
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,216,216
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
COLOMI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,14,14
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,6,6
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,162,162
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,243,243
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,617,617
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,39,39
LURIBAY,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,6,6
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,6,6
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,110,110
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,84,84
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,70,70
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,17,17
