municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,3,3
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,30,30
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,3,3
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,4,4
CORQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
PATACAMAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,5,5
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,3,3
TARATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,3,3
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,16,16
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,5,5
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,2,2
CORIPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
QUIRUSILLAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
SENA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,3,3
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
