municipality,group,variable,month,Viviendas rociadas,TOTAL
YAMPARAEZ,chagas,viviendas rociadas,2005-07-01,21,21
YOTALA,chagas,viviendas rociadas,2005-07-01,132,132
ACACIO,chagas,viviendas rociadas,2005-08-01,81,81
AIQUILE,chagas,viviendas rociadas,2005-08-01,1047,1047
ANZALDO,chagas,viviendas rociadas,2005-08-01,245,245
ARAMPAMPA,chagas,viviendas rociadas,2005-08-01,14,14
ARANI,chagas,viviendas rociadas,2005-08-01,130,130
ARBIETO,chagas,viviendas rociadas,2005-08-01,61,61
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2005-08-01,14,14
AZURDUY,chagas,viviendas rociadas,2005-08-01,33,33
BETANZOS,chagas,viviendas rociadas,2005-08-01,416,416
BUENA VISTA,chagas,viviendas rociadas,2005-08-01,120,120
CABEZAS,chagas,viviendas rociadas,2005-08-01,4,4
"CAIZA ""D""",chagas,viviendas rociadas,2005-08-01,155,155
CAJUATA,chagas,viviendas rociadas,2005-08-01,13,13
CAMARGO,chagas,viviendas rociadas,2005-08-01,95,95
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas rociadas,2005-08-01,108,108
CAPINOTA,chagas,viviendas rociadas,2005-08-01,22,22
CARANAVI,chagas,viviendas rociadas,2005-08-01,114,114
CARAPARI,chagas,viviendas rociadas,2005-08-01,243,243
CHAQUI,chagas,viviendas rociadas,2005-08-01,216,216
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas rociadas,2005-08-01,81,81
CLIZA,chagas,viviendas rociadas,2005-08-01,15,15
COCHABAMBA,chagas,viviendas rociadas,2005-08-01,143,143
COLCAPIRHUA,chagas,viviendas rociadas,2005-08-01,54,54
CORIPATA,chagas,viviendas rociadas,2005-08-01,105,105
COTAGAITA,chagas,viviendas rociadas,2005-08-01,155,155
CUATRO CAÑADAS,chagas,viviendas rociadas,2005-08-01,87,87
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2005-08-01,9,9
CUEVO,chagas,viviendas rociadas,2005-08-01,147,147
EL PUENTE(TJA),chagas,viviendas rociadas,2005-08-01,221,221
EL VILLAR,chagas,viviendas rociadas,2005-08-01,19,19
ENTRE RIOS,chagas,viviendas rociadas,2005-08-01,363,363
GENERAL SAAVEDRA,chagas,viviendas rociadas,2005-08-01,36,36
HUACARETA,chagas,viviendas rociadas,2005-08-01,150,150
HUACAYA (VILLA DE HUACAYA),chagas,viviendas rociadas,2005-08-01,112,112
ICLA,chagas,viviendas rociadas,2005-08-01,195,195
LA GUARDIA,chagas,viviendas rociadas,2005-08-01,622,622
LURIBAY,chagas,viviendas rociadas,2005-08-01,430,430
MAIRANA,chagas,viviendas rociadas,2005-08-01,3,3
MIZQUE,chagas,viviendas rociadas,2005-08-01,185,185
MOJOCOYA,chagas,viviendas rociadas,2005-08-01,37,37
MONTEAGUDO,chagas,viviendas rociadas,2005-08-01,529,529
MORO MORO,chagas,viviendas rociadas,2005-08-01,20,20
MOROCHATA,chagas,viviendas rociadas,2005-08-01,91,91
OMEREQUE,chagas,viviendas rociadas,2005-08-01,201,201
PADCAYA,chagas,viviendas rociadas,2005-08-01,275,275
PADILLA,chagas,viviendas rociadas,2005-08-01,28,28
PALCA,chagas,viviendas rociadas,2005-08-01,297,297
PAMPA GRANDE,chagas,viviendas rociadas,2005-08-01,108,108
PASORAPA,chagas,viviendas rociadas,2005-08-01,28,28
POCONA,chagas,viviendas rociadas,2005-08-01,29,29
POJO (CBBA),chagas,viviendas rociadas,2005-08-01,97,97
POROMA,chagas,viviendas rociadas,2005-08-01,30,30
PORONGO,chagas,viviendas rociadas,2005-08-01,2,2
POSTRER VALLE,chagas,viviendas rociadas,2005-08-01,67,67
PRESTO,chagas,viviendas rociadas,2005-08-01,31,31
PUCARA,chagas,viviendas rociadas,2005-08-01,46,46
PUNATA,chagas,viviendas rociadas,2005-08-01,105,105
QUILLACOLLO,chagas,viviendas rociadas,2005-08-01,56,56
QUIRUSILLAS,chagas,viviendas rociadas,2005-08-01,113,113
RAVELO,chagas,viviendas rociadas,2005-08-01,108,108
SACABA,chagas,viviendas rociadas,2005-08-01,51,51
SAMAIPATA,chagas,viviendas rociadas,2005-08-01,624,624
SAN BENITO,chagas,viviendas rociadas,2005-08-01,140,140
SAN JULIAN,chagas,viviendas rociadas,2005-08-01,65,65
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-08-01,335,335
SAN LUCAS,chagas,viviendas rociadas,2005-08-01,585,585
SAN MIGUEL DE VELASCO,chagas,viviendas rociadas,2005-08-01,5,5
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-08-01,217,217
SANTIVAÑES,chagas,viviendas rociadas,2005-08-01,198,198
SICAYA,chagas,viviendas rociadas,2005-08-01,254,254
SIPE SIPE,chagas,viviendas rociadas,2005-08-01,193,193
SOPACHUY,chagas,viviendas rociadas,2005-08-01,18,18
SUCRE,chagas,viviendas rociadas,2005-08-01,156,156
TACACHI,chagas,viviendas rociadas,2005-08-01,10,10
TACOBAMBA,chagas,viviendas rociadas,2005-08-01,114,114
TAPACARI,chagas,viviendas rociadas,2005-08-01,544,544
TARABUCO,chagas,viviendas rociadas,2005-08-01,124,124
TARATA,chagas,viviendas rociadas,2005-08-01,3,3
TARIJA,chagas,viviendas rociadas,2005-08-01,531,531
TARVITA,chagas,viviendas rociadas,2005-08-01,116,116
TIQUIPAYA,chagas,viviendas rociadas,2005-08-01,35,35
TOLATA,chagas,viviendas rociadas,2005-08-01,15,15
TOMAVE,chagas,viviendas rociadas,2005-08-01,134,134
TOMINA,chagas,viviendas rociadas,2005-08-01,1,1
TORO TORO,chagas,viviendas rociadas,2005-08-01,85,85
TOTORA(CBBA),chagas,viviendas rociadas,2005-08-01,19,19
TUPIZA,chagas,viviendas rociadas,2005-08-01,309,309
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-08-01,265,265
VALLEGRANDE,chagas,viviendas rociadas,2005-08-01,124,124
VILLA MONTES,chagas,viviendas rociadas,2005-08-01,120,120
VILLA RIVERO,chagas,viviendas rociadas,2005-08-01,4,4
VILLA SERRANO,chagas,viviendas rociadas,2005-08-01,148,148
VILLAZON,chagas,viviendas rociadas,2005-08-01,106,106
VINTO,chagas,viviendas rociadas,2005-08-01,62,62
VITICHI,chagas,viviendas rociadas,2005-08-01,389,389
YACUIBA,chagas,viviendas rociadas,2005-08-01,101,101
YAMPARAEZ,chagas,viviendas rociadas,2005-08-01,104,104
YOTALA,chagas,viviendas rociadas,2005-08-01,235,235
YUNCHARA,chagas,viviendas rociadas,2005-08-01,42,42
ZUDAÑEZ,chagas,viviendas rociadas,2005-08-01,5,5
ACACIO,chagas,viviendas rociadas,2005-09-01,78,78
AIQUILE,chagas,viviendas rociadas,2005-09-01,1226,1226
ANZALDO,chagas,viviendas rociadas,2005-09-01,32,32
ARAMPAMPA,chagas,viviendas rociadas,2005-09-01,101,101
ARANI,chagas,viviendas rociadas,2005-09-01,167,167
ARBIETO,chagas,viviendas rociadas,2005-09-01,15,15
ARQUE,chagas,viviendas rociadas,2005-09-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2005-09-01,2,2
AZURDUY,chagas,viviendas rociadas,2005-09-01,35,35
BETANZOS,chagas,viviendas rociadas,2005-09-01,306,306
CABEZAS,chagas,viviendas rociadas,2005-09-01,11,11
"CAIZA ""D""",chagas,viviendas rociadas,2005-09-01,160,160
CAJUATA,chagas,viviendas rociadas,2005-09-01,12,12
CAMARGO,chagas,viviendas rociadas,2005-09-01,160,160
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas rociadas,2005-09-01,80,80
CAMIRI,chagas,viviendas rociadas,2005-09-01,20,20
CAPINOTA,chagas,viviendas rociadas,2005-09-01,108,108
CARANAVI,chagas,viviendas rociadas,2005-09-01,73,73
CARAPARI,chagas,viviendas rociadas,2005-09-01,310,310
CHAQUI,chagas,viviendas rociadas,2005-09-01,218,218
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas rociadas,2005-09-01,69,69
CLIZA,chagas,viviendas rociadas,2005-09-01,8,8
COCHABAMBA,chagas,viviendas rociadas,2005-09-01,270,270
COLCAPIRHUA,chagas,viviendas rociadas,2005-09-01,2,2
COMARAPA,chagas,viviendas rociadas,2005-09-01,129,129
CONCEPCION,chagas,viviendas rociadas,2005-09-01,191,191
CORIPATA,chagas,viviendas rociadas,2005-09-01,135,135
COTAGAITA,chagas,viviendas rociadas,2005-09-01,103,103
COTOCA,chagas,viviendas rociadas,2005-09-01,233,233
CUEVO,chagas,viviendas rociadas,2005-09-01,140,140
EL PUENTE(TJA),chagas,viviendas rociadas,2005-09-01,187,187
EL TORNO,chagas,viviendas rociadas,2005-09-01,468,468
EL VILLAR,chagas,viviendas rociadas,2005-09-01,26,26
ENTRE RIOS,chagas,viviendas rociadas,2005-09-01,321,321
HUACARETA,chagas,viviendas rociadas,2005-09-01,291,291
ICLA,chagas,viviendas rociadas,2005-09-01,87,87
IRUPANA (VILLA DE LANZA),chagas,viviendas rociadas,2005-09-01,71,71
LA GUARDIA,chagas,viviendas rociadas,2005-09-01,244,244
LAGUNILLAS,chagas,viviendas rociadas,2005-09-01,29,29
LURIBAY,chagas,viviendas rociadas,2005-09-01,93,93
MAIRANA,chagas,viviendas rociadas,2005-09-01,5,5
MINEROS,chagas,viviendas rociadas,2005-09-01,6,6
MIZQUE,chagas,viviendas rociadas,2005-09-01,1962,1962
MOJOCOYA,chagas,viviendas rociadas,2005-09-01,61,61
MONTEAGUDO,chagas,viviendas rociadas,2005-09-01,542,542
MORO MORO,chagas,viviendas rociadas,2005-09-01,2,2
MOROCHATA,chagas,viviendas rociadas,2005-09-01,26,26
OMEREQUE,chagas,viviendas rociadas,2005-09-01,48,48
PADCAYA,chagas,viviendas rociadas,2005-09-01,194,194
PADILLA,chagas,viviendas rociadas,2005-09-01,72,72
PALCA,chagas,viviendas rociadas,2005-09-01,180,180
PAMPA GRANDE,chagas,viviendas rociadas,2005-09-01,39,39
PASORAPA,chagas,viviendas rociadas,2005-09-01,17,17
POCONA,chagas,viviendas rociadas,2005-09-01,90,90
POJO (CBBA),chagas,viviendas rociadas,2005-09-01,652,652
POROMA,chagas,viviendas rociadas,2005-09-01,14,14
PORONGO,chagas,viviendas rociadas,2005-09-01,2,2
POSTRER VALLE,chagas,viviendas rociadas,2005-09-01,10,10
PRESTO,chagas,viviendas rociadas,2005-09-01,54,54
PUNATA,chagas,viviendas rociadas,2005-09-01,53,53
QUILLACOLLO,chagas,viviendas rociadas,2005-09-01,31,31
RAVELO,chagas,viviendas rociadas,2005-09-01,168,168
SACABA,chagas,viviendas rociadas,2005-09-01,13,13
SAIPINA,chagas,viviendas rociadas,2005-09-01,166,166
SAMAIPATA,chagas,viviendas rociadas,2005-09-01,9,9
SAN BENITO,chagas,viviendas rociadas,2005-09-01,36,36
SAN JOSE DE CHIQUITOS,chagas,viviendas rociadas,2005-09-01,33,33
SAN JULIAN,chagas,viviendas rociadas,2005-09-01,28,28
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-09-01,421,421
SAN LUCAS,chagas,viviendas rociadas,2005-09-01,1,1
SAN MIGUEL DE VELASCO,chagas,viviendas rociadas,2005-09-01,17,17
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-09-01,218,218
SANTIVAÑES,chagas,viviendas rociadas,2005-09-01,296,296
SICAYA,chagas,viviendas rociadas,2005-09-01,263,263
SIPE SIPE,chagas,viviendas rociadas,2005-09-01,33,33
SUCRE,chagas,viviendas rociadas,2005-09-01,98,98
TAPACARI,chagas,viviendas rociadas,2005-09-01,841,841
TARABUCO,chagas,viviendas rociadas,2005-09-01,239,239
TARATA,chagas,viviendas rociadas,2005-09-01,6,6
TARIJA,chagas,viviendas rociadas,2005-09-01,731,731
TARVITA,chagas,viviendas rociadas,2005-09-01,57,57
TIQUIPAYA,chagas,viviendas rociadas,2005-09-01,103,103
TOLATA,chagas,viviendas rociadas,2005-09-01,7,7
TOMAVE,chagas,viviendas rociadas,2005-09-01,162,162
TOMINA,chagas,viviendas rociadas,2005-09-01,13,13
TORO TORO,chagas,viviendas rociadas,2005-09-01,134,134
TOTORA(CBBA),chagas,viviendas rociadas,2005-09-01,187,187
TUPIZA,chagas,viviendas rociadas,2005-09-01,136,136
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-09-01,264,264
VALLEGRANDE,chagas,viviendas rociadas,2005-09-01,122,122
VILLA MONTES,chagas,viviendas rociadas,2005-09-01,364,364
VILLA RIVERO,chagas,viviendas rociadas,2005-09-01,3,3
VILLA SERRANO,chagas,viviendas rociadas,2005-09-01,220,220
VILLAZON,chagas,viviendas rociadas,2005-09-01,41,41
VINTO,chagas,viviendas rociadas,2005-09-01,10,10
VITICHI,chagas,viviendas rociadas,2005-09-01,399,399
YACUIBA,chagas,viviendas rociadas,2005-09-01,202,202
YAMPARAEZ,chagas,viviendas rociadas,2005-09-01,26,26
YOTALA,chagas,viviendas rociadas,2005-09-01,172,172
ZUDAÑEZ,chagas,viviendas rociadas,2005-09-01,174,174
ACACIO,chagas,viviendas rociadas,2005-10-01,13,13
AIQUILE,chagas,viviendas rociadas,2005-10-01,878,878
ANZALDO,chagas,viviendas rociadas,2005-10-01,12,12
ARAMPAMPA,chagas,viviendas rociadas,2005-10-01,70,70
ARANI,chagas,viviendas rociadas,2005-10-01,336,336
ARBIETO,chagas,viviendas rociadas,2005-10-01,10,10
ARQUE,chagas,viviendas rociadas,2005-10-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2005-10-01,1,1
AZURDUY,chagas,viviendas rociadas,2005-10-01,4,4
BETANZOS,chagas,viviendas rociadas,2005-10-01,298,298
CABEZAS,chagas,viviendas rociadas,2005-10-01,18,18
"CAIZA ""D""",chagas,viviendas rociadas,2005-10-01,23,23
CAJUATA,chagas,viviendas rociadas,2005-10-01,6,6
CAMARGO,chagas,viviendas rociadas,2005-10-01,147,147
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas rociadas,2005-10-01,115,115
CAPINOTA,chagas,viviendas rociadas,2005-10-01,840,840
CARANAVI,chagas,viviendas rociadas,2005-10-01,177,177
CARAPARI,chagas,viviendas rociadas,2005-10-01,426,426
CHAQUI,chagas,viviendas rociadas,2005-10-01,185,185
CHARAGUA,chagas,viviendas rociadas,2005-10-01,77,77
COCHABAMBA,chagas,viviendas rociadas,2005-10-01,169,169
COLCAPIRHUA,chagas,viviendas rociadas,2005-10-01,1,1
COMARAPA,chagas,viviendas rociadas,2005-10-01,135,135
CORIPATA,chagas,viviendas rociadas,2005-10-01,62,62
COTAGAITA,chagas,viviendas rociadas,2005-10-01,279,279
COTOCA,chagas,viviendas rociadas,2005-10-01,194,194
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2005-10-01,1,1
CUEVO,chagas,viviendas rociadas,2005-10-01,79,79
EL PUENTE(TJA),chagas,viviendas rociadas,2005-10-01,183,183
EL VILLAR,chagas,viviendas rociadas,2005-10-01,17,17
ENTRE RIOS,chagas,viviendas rociadas,2005-10-01,114,114
HUACARETA,chagas,viviendas rociadas,2005-10-01,266,266
ICLA,chagas,viviendas rociadas,2005-10-01,146,146
IRUPANA (VILLA DE LANZA),chagas,viviendas rociadas,2005-10-01,77,77
LURIBAY,chagas,viviendas rociadas,2005-10-01,203,203
MAIRANA,chagas,viviendas rociadas,2005-10-01,6,6
MIZQUE,chagas,viviendas rociadas,2005-10-01,1953,1953
MOJOCOYA,chagas,viviendas rociadas,2005-10-01,331,331
MONTEAGUDO,chagas,viviendas rociadas,2005-10-01,524,524
MOROCHATA,chagas,viviendas rociadas,2005-10-01,16,16
OMEREQUE,chagas,viviendas rociadas,2005-10-01,478,478
PADCAYA,chagas,viviendas rociadas,2005-10-01,277,277
PADILLA,chagas,viviendas rociadas,2005-10-01,251,251
PALCA,chagas,viviendas rociadas,2005-10-01,381,381
PAMPA GRANDE,chagas,viviendas rociadas,2005-10-01,5,5
PASORAPA,chagas,viviendas rociadas,2005-10-01,132,132
POCONA,chagas,viviendas rociadas,2005-10-01,517,517
POJO (CBBA),chagas,viviendas rociadas,2005-10-01,745,745
POROMA,chagas,viviendas rociadas,2005-10-01,291,291
POSTRER VALLE,chagas,viviendas rociadas,2005-10-01,12,12
PRESTO,chagas,viviendas rociadas,2005-10-01,50,50
PUCARA,chagas,viviendas rociadas,2005-10-01,37,37
PUNA,chagas,viviendas rociadas,2005-10-01,264,264
PUNATA,chagas,viviendas rociadas,2005-10-01,17,17
QUILLACOLLO,chagas,viviendas rociadas,2005-10-01,29,29
QUIRUSILLAS,chagas,viviendas rociadas,2005-10-01,7,7
RAVELO,chagas,viviendas rociadas,2005-10-01,275,275
SACABA,chagas,viviendas rociadas,2005-10-01,4,4
SACABAMBA,chagas,viviendas rociadas,2005-10-01,1,1
SAIPINA,chagas,viviendas rociadas,2005-10-01,145,145
SAMAIPATA,chagas,viviendas rociadas,2005-10-01,112,112
SAN ANTONIO DE LOMERIO,chagas,viviendas rociadas,2005-10-01,258,258
SAN BENITO,chagas,viviendas rociadas,2005-10-01,19,19
SAN JULIAN,chagas,viviendas rociadas,2005-10-01,28,28
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-10-01,481,481
SAN LUCAS,chagas,viviendas rociadas,2005-10-01,485,485
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-10-01,262,262
SANTIVAÑES,chagas,viviendas rociadas,2005-10-01,270,270
SIPE SIPE,chagas,viviendas rociadas,2005-10-01,4,4
SOPACHUY,chagas,viviendas rociadas,2005-10-01,5,5
SUCRE,chagas,viviendas rociadas,2005-10-01,1088,1088
TACACHI,chagas,viviendas rociadas,2005-10-01,4,4
TACOBAMBA,chagas,viviendas rociadas,2005-10-01,61,61
TAPACARI,chagas,viviendas rociadas,2005-10-01,77,77
TARABUCO,chagas,viviendas rociadas,2005-10-01,209,209
TARATA,chagas,viviendas rociadas,2005-10-01,5,5
TARIJA,chagas,viviendas rociadas,2005-10-01,265,265
TARVITA,chagas,viviendas rociadas,2005-10-01,126,126
TIQUIPAYA,chagas,viviendas rociadas,2005-10-01,61,61
TOCO,chagas,viviendas rociadas,2005-10-01,2,2
TOLATA,chagas,viviendas rociadas,2005-10-01,5,5
TOMAVE,chagas,viviendas rociadas,2005-10-01,248,248
TORO TORO,chagas,viviendas rociadas,2005-10-01,144,144
TRIGAL,chagas,viviendas rociadas,2005-10-01,112,112
TUPIZA,chagas,viviendas rociadas,2005-10-01,309,309
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-10-01,259,259
VILLA MONTES,chagas,viviendas rociadas,2005-10-01,432,432
VILLA RIVERO,chagas,viviendas rociadas,2005-10-01,8,8
VILLA SERRANO,chagas,viviendas rociadas,2005-10-01,370,370
VILLAZON,chagas,viviendas rociadas,2005-10-01,99,99
VINTO,chagas,viviendas rociadas,2005-10-01,410,410
VITICHI,chagas,viviendas rociadas,2005-10-01,332,332
YACUIBA,chagas,viviendas rociadas,2005-10-01,296,296
YAMPARAEZ,chagas,viviendas rociadas,2005-10-01,163,163
YOTALA,chagas,viviendas rociadas,2005-10-01,164,164
YUNCHARA,chagas,viviendas rociadas,2005-10-01,5,5
ZUDAÑEZ,chagas,viviendas rociadas,2005-10-01,20,20
AIQUILE,chagas,viviendas rociadas,2005-11-01,1010,1010
ALCALA,chagas,viviendas rociadas,2005-11-01,321,321
ANZALDO,chagas,viviendas rociadas,2005-11-01,39,39
ARANI,chagas,viviendas rociadas,2005-11-01,151,151
ARBIETO,chagas,viviendas rociadas,2005-11-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2005-11-01,11,11
AZURDUY,chagas,viviendas rociadas,2005-11-01,31,31
BETANZOS,chagas,viviendas rociadas,2005-11-01,268,268
CABEZAS,chagas,viviendas rociadas,2005-11-01,5,5
"CAIZA ""D""",chagas,viviendas rociadas,2005-11-01,125,125
CAMARGO,chagas,viviendas rociadas,2005-11-01,130,130
CAPINOTA,chagas,viviendas rociadas,2005-11-01,1399,1399
CARANAVI,chagas,viviendas rociadas,2005-11-01,7,7
CARAPARI,chagas,viviendas rociadas,2005-11-01,361,361
CLIZA,chagas,viviendas rociadas,2005-11-01,4,4
COCHABAMBA,chagas,viviendas rociadas,2005-11-01,174,174
COLCAPIRHUA,chagas,viviendas rociadas,2005-11-01,5,5
COROICO,chagas,viviendas rociadas,2005-11-01,95,95
COTAGAITA,chagas,viviendas rociadas,2005-11-01,400,400
EL PUENTE(TJA),chagas,viviendas rociadas,2005-11-01,168,168
EL TORNO,chagas,viviendas rociadas,2005-11-01,111,111
ENTRE RIOS,chagas,viviendas rociadas,2005-11-01,220,220
GUTIERREZ,chagas,viviendas rociadas,2005-11-01,626,626
HUACARETA,chagas,viviendas rociadas,2005-11-01,325,325
ICLA,chagas,viviendas rociadas,2005-11-01,163,163
IRUPANA (VILLA DE LANZA),chagas,viviendas rociadas,2005-11-01,6,6
LURIBAY,chagas,viviendas rociadas,2005-11-01,230,230
MAIRANA,chagas,viviendas rociadas,2005-11-01,9,9
MIZQUE,chagas,viviendas rociadas,2005-11-01,1715,1715
MOJOCOYA,chagas,viviendas rociadas,2005-11-01,242,242
MONTEAGUDO,chagas,viviendas rociadas,2005-11-01,772,772
MOROCHATA,chagas,viviendas rociadas,2005-11-01,4,4
OMEREQUE,chagas,viviendas rociadas,2005-11-01,872,872
PADCAYA,chagas,viviendas rociadas,2005-11-01,39,39
PADILLA,chagas,viviendas rociadas,2005-11-01,360,360
PAMPA GRANDE,chagas,viviendas rociadas,2005-11-01,6,6
PASORAPA,chagas,viviendas rociadas,2005-11-01,20,20
POCONA,chagas,viviendas rociadas,2005-11-01,542,542
POJO (CBBA),chagas,viviendas rociadas,2005-11-01,905,905
POROMA,chagas,viviendas rociadas,2005-11-01,194,194
PRESTO,chagas,viviendas rociadas,2005-11-01,360,360
PUCARA,chagas,viviendas rociadas,2005-11-01,19,19
PUNA,chagas,viviendas rociadas,2005-11-01,489,489
PUNATA,chagas,viviendas rociadas,2005-11-01,157,157
QUILLACOLLO,chagas,viviendas rociadas,2005-11-01,5,5
QUIRUSILLAS,chagas,viviendas rociadas,2005-11-01,13,13
RAVELO,chagas,viviendas rociadas,2005-11-01,311,311
SACABA,chagas,viviendas rociadas,2005-11-01,5,5
SAIPINA,chagas,viviendas rociadas,2005-11-01,174,174
SAMAIPATA,chagas,viviendas rociadas,2005-11-01,161,161
SAN BENITO,chagas,viviendas rociadas,2005-11-01,15,15
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-11-01,525,525
SAN LUCAS,chagas,viviendas rociadas,2005-11-01,926,926
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-11-01,265,265
SANTIVAÑES,chagas,viviendas rociadas,2005-11-01,686,686
SICAYA,chagas,viviendas rociadas,2005-11-01,3,3
SIPE SIPE,chagas,viviendas rociadas,2005-11-01,12,12
SORATA,chagas,viviendas rociadas,2005-11-01,84,84
SUCRE,chagas,viviendas rociadas,2005-11-01,2126,2126
TACACHI,chagas,viviendas rociadas,2005-11-01,2,2
TACOBAMBA,chagas,viviendas rociadas,2005-11-01,10,10
TAPACARI,chagas,viviendas rociadas,2005-11-01,431,431
TARABUCO,chagas,viviendas rociadas,2005-11-01,264,264
TARIJA,chagas,viviendas rociadas,2005-11-01,903,903
TARVITA,chagas,viviendas rociadas,2005-11-01,225,225
TIQUIPAYA,chagas,viviendas rociadas,2005-11-01,16,16
TOCO,chagas,viviendas rociadas,2005-11-01,4,4
TOLATA,chagas,viviendas rociadas,2005-11-01,1,1
TOMAVE,chagas,viviendas rociadas,2005-11-01,241,241
TOMINA,chagas,viviendas rociadas,2005-11-01,429,429
TORO TORO,chagas,viviendas rociadas,2005-11-01,95,95
TUPIZA,chagas,viviendas rociadas,2005-11-01,762,762
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-11-01,262,262
VILA VILA,chagas,viviendas rociadas,2005-11-01,201,201
VILLA MONTES,chagas,viviendas rociadas,2005-11-01,837,837
VILLA RIVERO,chagas,viviendas rociadas,2005-11-01,5,5
VILLA SERRANO,chagas,viviendas rociadas,2005-11-01,227,227
VILLAZON,chagas,viviendas rociadas,2005-11-01,134,134
VINTO,chagas,viviendas rociadas,2005-11-01,11,11
VITICHI,chagas,viviendas rociadas,2005-11-01,396,396
YACUIBA,chagas,viviendas rociadas,2005-11-01,440,440
YAMPARAEZ,chagas,viviendas rociadas,2005-11-01,181,181
YOTALA,chagas,viviendas rociadas,2005-11-01,129,129
AIQUILE,chagas,viviendas rociadas,2005-12-01,204,204
ALCALA,chagas,viviendas rociadas,2005-12-01,63,63
ANZALDO,chagas,viviendas rociadas,2005-12-01,13,13
ARANI,chagas,viviendas rociadas,2005-12-01,103,103
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2005-12-01,4,4
BETANZOS,chagas,viviendas rociadas,2005-12-01,160,160
"CAIZA ""D""",chagas,viviendas rociadas,2005-12-01,118,118
CAPINOTA,chagas,viviendas rociadas,2005-12-01,891,891
CARAPARI,chagas,viviendas rociadas,2005-12-01,436,436
CHUMA,chagas,viviendas rociadas,2005-12-01,134,134
CLIZA,chagas,viviendas rociadas,2005-12-01,2,2
COCHABAMBA,chagas,viviendas rociadas,2005-12-01,96,96
COROICO,chagas,viviendas rociadas,2005-12-01,47,47
COTAGAITA,chagas,viviendas rociadas,2005-12-01,348,348
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2005-12-01,1,1
EL PUENTE(TJA),chagas,viviendas rociadas,2005-12-01,61,61
ENTRE RIOS,chagas,viviendas rociadas,2005-12-01,91,91
HUACARETA,chagas,viviendas rociadas,2005-12-01,224,224
ICLA,chagas,viviendas rociadas,2005-12-01,1,1
IRUPANA (VILLA DE LANZA),chagas,viviendas rociadas,2005-12-01,2,2
LURIBAY,chagas,viviendas rociadas,2005-12-01,168,168
MAIRANA,chagas,viviendas rociadas,2005-12-01,2,2
MECAPACA,chagas,viviendas rociadas,2005-12-01,288,288
MIZQUE,chagas,viviendas rociadas,2005-12-01,116,116
MONTEAGUDO,chagas,viviendas rociadas,2005-12-01,494,494
OMEREQUE,chagas,viviendas rociadas,2005-12-01,332,332
PADCAYA,chagas,viviendas rociadas,2005-12-01,8,8
PADILLA,chagas,viviendas rociadas,2005-12-01,201,201
PASORAPA,chagas,viviendas rociadas,2005-12-01,1,1
POCONA,chagas,viviendas rociadas,2005-12-01,290,290
POJO (CBBA),chagas,viviendas rociadas,2005-12-01,309,309
PRESTO,chagas,viviendas rociadas,2005-12-01,159,159
PUNA,chagas,viviendas rociadas,2005-12-01,236,236
PUNATA,chagas,viviendas rociadas,2005-12-01,50,50
QUILLACOLLO,chagas,viviendas rociadas,2005-12-01,6,6
RAVELO,chagas,viviendas rociadas,2005-12-01,138,138
SAIPINA,chagas,viviendas rociadas,2005-12-01,86,86
SAN BENITO,chagas,viviendas rociadas,2005-12-01,4,4
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-12-01,247,247
SAN LUCAS,chagas,viviendas rociadas,2005-12-01,233,233
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-12-01,144,144
SANTIVAÑES,chagas,viviendas rociadas,2005-12-01,825,825
SIPE SIPE,chagas,viviendas rociadas,2005-12-01,35,35
SOPACHUY,chagas,viviendas rociadas,2005-12-01,26,26
SORATA,chagas,viviendas rociadas,2005-12-01,133,133
SUCRE,chagas,viviendas rociadas,2005-12-01,1070,1070
TACACHI,chagas,viviendas rociadas,2005-12-01,2,2
