,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,113,101,7,11,10,7,214,18,232
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,128,103,20,22,0,0,231,42,273
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,132,116,32,19,38,41,248,51,299
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,9,16,0,0,0,0,25,0,25
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,156,181,14,21,5,6,337,35,372
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,19,9,2,5,0,0,28,7,35
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-03-01,153,103,22,19,7,0,256,41,297
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,54,47,2,2,0,0,101,4,105
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,207,112,20,12,3,1,319,32,351
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,43,66,12,12,0,0,109,24,133
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,179,162,25,24,2,3,341,49,390
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,47,51,1,2,0,0,98,3,101
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,213,194,10,18,52,45,407,28,435
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,744,575,111,90,141,116,1319,201,1520
CRUZ DE MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,195,181,35,35,1,1,376,70,446
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-03-01,27,27,3,2,0,0,54,5,59
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,49,51,15,21,0,0,100,36,136
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,128,133,0,1,0,0,261,1,262
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,23,10,2,0,16,7,33,2,35
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,47,25,0,0,18,6,72,0,72
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,24,32,6,8,3,8,56,14,70
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,6990,6430,2248,2045,407,413,13420,4293,17713
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,28,29,0,0,0,0,57,0,57
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-03-01,113,82,14,2,10,6,195,16,211
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,105,115,6,7,38,41,220,13,233
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,705,679,310,365,0,0,1384,675,2059
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-03-01,60,66,1,0,0,0,126,1,127
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,281,275,15,8,0,0,556,23,579
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,475,420,30,34,239,191,895,64,959
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,2,2,0,0,0,0,4,0,4
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,73,74,1,0,0,0,147,1,148
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,3,1,1,2,3,0,4,3,7
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,27,21,1,2,15,15,48,3,51
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-03-01,37,30,0,0,0,0,67,0,67
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,34,0,1,0,0,73,1,74
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,193,147,15,20,0,0,340,35,375
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,44,1,1,130,99,83,2,85
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,56,44,0,0,0,0,100,0,100
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,253,242,46,28,0,0,495,74,569
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-03-01,37,47,1,3,13,5,84,4,88
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-03-01,105,105,6,7,0,0,210,13,223
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-03-01,123,131,93,94,0,0,254,187,441
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,20,20,3,9,10,11,40,12,52
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-03-01,380,361,23,25,39,34,741,48,789
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,190,228,9,9,0,0,418,18,436
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,15,11,17,8,0,0,26,25,51
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,101,89,20,19,0,0,190,39,229
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,37,31,7,6,1,0,68,13,81
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,4,6,6,4,0,1,10,10,20
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,219,189,76,49,5,5,408,125,533
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,63,52,41,23,0,0,115,64,179
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,16,10,18,14,0,0,26,32,58
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,32,35,5,7,0,0,67,12,79
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,17,25,12,31,0,0,42,43,85
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,52,45,8,10,8,6,97,18,115
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,81,98,34,39,0,0,179,73,252
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,211,208,3,4,51,39,419,7,426
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,13,24,0,0,0,0,37,0,37
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,116,85,7,6,3,5,201,13,214
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,250,193,15,17,0,0,443,32,475
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,141,142,31,31,0,0,283,62,345
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,76,76,36,30,5,8,152,66,218
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,442,346,39,35,183,149,788,74,862
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1139,1040,500,495,44,20,2179,995,3174
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,6784,5754,2039,1513,319,269,12538,3552,16090
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,4,11,0,0,0,0,15,0,15
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,74,63,22,28,0,0,137,50,187
LAJA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,138,130,56,29,0,0,268,85,353
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,33,25,3,0,0,0,58,3,61
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,32,34,4,2,0,0,66,6,72
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,449,399,15,18,6,5,848,33,881
LLICA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,29,16,4,4,0,0,45,8,53
LORETO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,44,36,12,11,0,0,80,23,103
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2024-03-01,96,93,1,1,0,0,189,2,191
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,38,30,6,3,21,13,68,9,77
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,80,81,4,1,21,18,161,5,166
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,59,67,10,7,10,8,126,17,143
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,135,135,22,22,0,0,270,44,314
MALLA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,32,23,1,2,16,0,55,3,58
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,178,179,27,31,0,0,357,58,415
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,80,76,36,28,0,0,156,64,220
MINEROS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,140,161,48,41,0,0,301,89,390
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,217,233,49,58,69,69,450,107,557
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,90,56,23,23,0,0,146,46,192
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,13,9,0,1,0,0,22,1,23
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,33,39,10,9,0,0,72,19,91
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,269,253,59,63,6,12,522,122,644
MONTERO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1728,1386,335,269,56,36,3114,604,3718
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,17,27,3,8,0,0,44,11,55
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,62,52,1,1,0,0,114,2,116
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,55,36,2,0,0,0,91,2,93
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,5,3,4,5,0,0,8,9,17
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,24,28,0,1,0,0,52,1,53
OCURI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,137,104,5,6,0,0,241,11,252
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,150,102,26,27,0,0,252,53,305
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,89,98,16,8,0,0,187,24,211
ORURO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,3737,3259,728,605,409,441,6996,1333,8329
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,213,214,27,25,62,82,427,52,479
PADILLA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,159,153,38,43,0,0,312,81,393
PAILON,consulta externa,ninos  de 1 a 4 anos,2024-03-01,408,338,60,38,0,0,746,98,844
PALCA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,247,196,23,10,51,36,443,33,476
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,458,430,37,31,0,0,888,68,956
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,22,19,2,0,0,0,41,2,43
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,68,61,3,4,0,0,129,7,136
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,35,39,6,6,9,10,74,12,86
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,42,40,9,8,0,0,82,17,99
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,188,157,33,38,0,0,345,71,416
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,52,29,2,2,12,16,81,4,85
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,142,120,9,8,1,2,262,17,279
POCOATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,170,180,1,2,0,0,350,3,353
POCONA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,84,74,7,6,0,0,158,13,171
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,122,90,32,29,0,0,212,61,273
POOPO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,57,61,18,9,0,0,118,27,145
PORCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,147,122,10,4,54,37,269,14,283
POROMA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,259,207,15,5,7,4,466,20,486
PORONGO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,117,87,38,27,3,1,204,65,269
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,94,72,150,134,12,15,166,284,450
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2024-03-01,66,48,2,1,0,0,114,3,117
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,12,12,1,1,0,0,24,2,26
POTOSI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,2736,2538,365,251,314,240,5274,616,5890
PRESTO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,95,114,0,2,0,0,209,2,211
PUCARA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,20,26,7,5,0,0,46,12,58
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,257,255,19,10,0,0,512,29,541
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,26,13,12,0,4,65,25,90
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,76,61,8,4,0,0,137,12,149
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,111,140,32,40,24,32,251,72,323
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,32,36,15,15,0,0,68,30,98
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,114,117,3,10,20,18,231,13,244
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,79,71,0,0,0,0,150,0,150
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,21,24,0,2,0,0,45,2,47
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,91,83,28,3,56,48,174,31,205
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1355,1349,112,119,1,5,2704,231,2935
PUNA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,122,116,2,2,64,44,238,4,242
PUNATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,358,332,294,276,0,0,690,570,1260
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,40,1,7,0,0,79,8,87
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1707,1540,437,413,14,18,3247,850,4097
QUIME,consulta externa,ninos  de 1 a 4 anos,2024-03-01,80,53,11,8,0,0,133,19,152
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,12,25,2,2,0,0,37,4,41
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,51,51,12,16,21,21,102,28,130
RAVELO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,107,105,0,0,0,0,212,0,212
REYES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,87,75,0,0,7,0,162,0,162
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1231,1046,111,105,243,242,2277,216,2493
ROBORE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,127,151,24,24,3,5,278,48,326
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,310,269,14,25,19,11,579,39,618
SABAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,54,30,13,10,1,0,84,23,107
SACABA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1976,1758,362,366,673,639,3734,728,4462
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,40,31,11,6,0,0,71,17,88
SACACA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,132,113,1,0,11,5,245,1,246
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,57,46,14,15,0,0,103,29,132
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,46,54,5,5,14,23,100,10,110
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,128,111,67,42,0,0,239,109,348
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2024-03-01,17,18,0,0,0,0,35,0,35
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,161,159,36,27,1,0,320,63,383
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,14,21,7,5,0,0,35,12,47
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,14,9,0,0,1,3,23,0,23
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,60,71,6,7,0,0,131,13,144
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,134,120,33,25,0,0,254,58,312
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,457,538,103,110,204,205,995,213,1208
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,140,138,6,12,0,0,278,18,296
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,110,111,22,26,0,0,221,48,269
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,258,232,15,11,45,34,490,26,516
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,530,511,24,18,32,29,1041,42,1083
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2024-03-01,47,55,4,7,0,0,102,11,113
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2024-03-01,85,76,0,1,0,0,161,1,162
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2024-03-01,64,64,17,4,0,0,128,21,149
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,121,114,38,47,16,21,235,85,320
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,98,64,3,0,0,0,162,3,165
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2024-03-01,440,404,68,68,60,44,844,136,980
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2024-03-01,109,109,19,19,0,0,218,38,256
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,293,310,20,22,0,0,603,42,645
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,424,379,21,19,3,10,803,40,843
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,85,97,8,14,14,18,182,22,204
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,93,76,4,5,0,0,169,9,178
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,30,27,0,0,0,0,57,0,57
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,265,296,9,15,0,0,561,24,585
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,169,169,5,4,49,39,338,9,347
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,41,29,3,2,0,0,70,5,75
SAN PEDRO DE MACHA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,145,147,0,0,0,7,292,0,292
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,8,15,0,0,0,0,23,0,23
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,53,42,8,10,0,0,95,18,113
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2024-03-01,27,31,0,1,0,0,58,1,59
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2024-03-01,110,68,45,38,0,0,178,83,261
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,36,45,8,10,0,0,81,18,99
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,127,35,4,4,0,0,162,8,170
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,133,148,64,47,0,0,281,111,392
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,12797,11508,3646,3091,2717,2365,24305,6737,31042
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,98,101,4,4,16,11,199,8,207
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,202,114,13,5,35,20,316,18,334
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,20,24,8,9,0,0,44,17,61
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,46,62,9,11,2,4,108,20,128
SANTIAGO DE HUATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,28,28,8,2,0,0,56,10,66
SANTIAGO DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,31,22,0,2,0,0,53,2,55
SANTIVAÑES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,108,91,9,9,0,0,199,18,217
SANTUARIO DE QUILLACAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,25,27,3,0,30,21,52,3,55
SAPAHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,77,61,2,2,23,13,138,4,142
SENA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,108,115,0,1,0,0,223,1,224
SHINAOTA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,465,490,19,26,151,190,955,45,1000
SICA SICA (VILLA AROMA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,158,160,9,5,0,0,318,14,332
SICAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,52,40,19,14,0,0,92,33,125
SIPE SIPE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,639,609,234,229,0,0,1248,463,1711
SOPACHUY,consulta externa,ninos  de 1 a 4 anos,2024-03-01,99,99,22,16,0,0,198,38,236
SORACACHI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,79,62,1,1,1,2,141,2,143
SORATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,175,178,37,43,0,0,353,80,433
SUCRE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,3304,2844,529,372,14,4,6148,901,7049
TACACHI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,13,6,0,0,0,0,19,0,19
TACACOMA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,98,86,8,12,0,0,184,20,204
TACOBAMBA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,67,61,0,0,0,0,128,0,128
TACOPAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,56,36,4,2,10,6,92,6,98
TAHUA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,14,9,0,1,0,0,23,1,24
TAPACARI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,203,164,10,15,0,0,367,25,392
TARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,189,221,3,4,0,0,410,7,417
TARACO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,62,8,8,0,0,101,16,117
TARATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,77,66,13,21,0,0,143,34,177
TARIJA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,2433,2215,711,681,222,199,4648,1392,6040
TARVITA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,233,235,3,4,0,0,468,7,475
TEOPONTE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,102,90,23,28,0,0,192,51,243
TIAHUANACU,consulta externa,ninos  de 1 a 4 anos,2024-03-01,91,120,28,34,0,0,211,62,273
TINGUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,150,149,0,1,6,4,299,1,300
TIPUANI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,100,90,16,20,0,0,190,36,226
TIQUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,786,804,86,79,0,0,1590,165,1755
TIRAQUE (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,142,125,103,102,13,10,267,205,472
TITO YUPANQUI (PARQUIPUJIO),consulta externa,ninos  de 1 a 4 anos,2024-03-01,8,16,2,3,0,0,24,5,29
TOCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,67,42,17,8,0,0,109,25,134
TODOS SANTOS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,2,9,1,1,0,0,11,2,13
TOLATA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,75,75,22,26,0,0,150,48,198
TOLEDO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,38,39,8,4,0,2,77,12,89
TOMAVE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,83,74,3,3,0,0,157,6,163
TOMINA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,134,161,1,7,0,0,295,8,303
TORO TORO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,146,128,1,1,0,0,274,2,276
TOTORA(CBBA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,149,175,33,38,0,0,324,71,395
TOTORA(ORR),consulta externa,ninos  de 1 a 4 anos,2024-03-01,38,48,3,1,11,11,86,4,90
TRIGAL,consulta externa,ninos  de 1 a 4 anos,2024-03-01,12,23,2,2,0,0,35,4,39
TRINIDAD,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1085,867,210,146,287,216,1952,356,2308
TUPIZA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,483,435,81,41,12,10,918,122,1040
TURCO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,36,0,1,0,0,75,1,76
UMALA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,65,52,21,20,0,0,117,41,158
UNCIA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,176,198,6,10,0,0,374,16,390
URIONDO (A. CONCEPCION),consulta externa,ninos  de 1 a 4 anos,2024-03-01,236,237,43,36,97,105,473,79,552
URUBICHA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,39,35,8,5,12,8,74,13,87
UYUNI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,324,259,18,20,9,6,583,38,621
VACAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,68,104,10,6,0,0,172,16,188
VALLEGRANDE,consulta externa,ninos  de 1 a 4 anos,2024-03-01,150,158,104,92,10,8,308,196,504
VIACHA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,722,682,205,161,13,14,1404,366,1770
VILA VILA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,49,43,0,0,16,18,92,0,92
VILLA CHARCAS,consulta externa,ninos  de 1 a 4 anos,2024-03-01,156,155,4,5,31,34,311,9,320
VILLA MONTES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,619,657,45,40,4,5,1276,85,1361
