municipality,group,variable,month,Viviendas rociadas,TOTAL
VALLEGRANDE,chagas,viviendas rociadas,2006-11-01,120,120
ARANI,chagas,viviendas rociadas,2006-12-01,30,30
ARBIETO,chagas,viviendas rociadas,2006-12-01,2,2
ARQUE,chagas,viviendas rociadas,2006-12-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-12-01,9,9
CABEZAS,chagas,viviendas rociadas,2006-12-01,2,2
CLIZA,chagas,viviendas rociadas,2006-12-01,2,2
COCHABAMBA,chagas,viviendas rociadas,2006-12-01,103,103
COTOCA,chagas,viviendas rociadas,2006-12-01,3,3
EL PUENTE(TJA),chagas,viviendas rociadas,2006-12-01,43,43
EL TORNO,chagas,viviendas rociadas,2006-12-01,12,12
GUTIERREZ,chagas,viviendas rociadas,2006-12-01,12,12
HUACARETA,chagas,viviendas rociadas,2006-12-01,274,274
LA GUARDIA,chagas,viviendas rociadas,2006-12-01,12,12
MAIRANA,chagas,viviendas rociadas,2006-12-01,3,3
MOROCHATA,chagas,viviendas rociadas,2006-12-01,13,13
PASORAPA,chagas,viviendas rociadas,2006-12-01,10,10
POCONA,chagas,viviendas rociadas,2006-12-01,1,1
POJO (CBBA),chagas,viviendas rociadas,2006-12-01,20,20
PUCARA,chagas,viviendas rociadas,2006-12-01,5,5
PUNATA,chagas,viviendas rociadas,2006-12-01,3,3
QUILLACOLLO,chagas,viviendas rociadas,2006-12-01,21,21
QUIRUSILLAS,chagas,viviendas rociadas,2006-12-01,11,11
SACABA,chagas,viviendas rociadas,2006-12-01,12,12
SAIPINA,chagas,viviendas rociadas,2006-12-01,41,41
SAN BENITO,chagas,viviendas rociadas,2006-12-01,6,6
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-12-01,71,71
SIPE SIPE,chagas,viviendas rociadas,2006-12-01,37,37
TAPACARI,chagas,viviendas rociadas,2006-12-01,8,8
TARATA,chagas,viviendas rociadas,2006-12-01,1,1
TARIJA,chagas,viviendas rociadas,2006-12-01,26,26
TIQUIPAYA,chagas,viviendas rociadas,2006-12-01,17,17
TOCO,chagas,viviendas rociadas,2006-12-01,1,1
TOLATA,chagas,viviendas rociadas,2006-12-01,9,9
TUPIZA,chagas,viviendas rociadas,2006-12-01,4,4
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-12-01,73,73
VILLA MONTES,chagas,viviendas rociadas,2006-12-01,502,502
VINTO,chagas,viviendas rociadas,2006-12-01,6,6
YOTALA,chagas,viviendas rociadas,2006-12-01,749,749
