,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,4,8,5,13,9,22
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,17,20,79,80,96,100,196
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,5,30,24,33,29,62
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,1,17,14,18,15,33
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,1,23,11,23,12,35
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,1,12,14,13,15,28
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,11,12,12,12,24
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,2,14,17,16,19,35
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,3,16,21,18,24,42
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,3,44,35,47,38,85
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,2,17,17,18,19,37
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,5,40,56,47,61,108
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,12,18,51,52,63,70,133
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,9,67,37,71,46,117
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,4,67,36,70,40,110
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,39,38,256,230,295,268,563
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,293,349,650,550,943,899,1842
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2061,2163,3002,2924,5063,5087,10150
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,2,41,27,42,29,71
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,9,104,96,107,105,212
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,13,7,14,7,21
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,2,8,12,8,14,22
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,23,27,124,125,147,152,299
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,1,11,8,15,9,24
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,12,4,13,14,25,18,43
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,8,4,45,31,53,35,88
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,3,21,19,23,22,45
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,1,32,29,37,30,67
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,13,21,100,107,113,128,241
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,21,12,90,82,111,94,205
