municipality,group,variable,month,Total 25.7 Viviendas Positivas,TOTAL
CAMARGO,chagas viviendas,       viviendas positivas,2014-08-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas positivas,2014-08-01,17,17
CAPINOTA,chagas viviendas,       viviendas positivas,2014-08-01,26,26
COCHABAMBA,chagas viviendas,       viviendas positivas,2014-08-01,14,14
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-08-01,2,2
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-08-01,1,1
COMARAPA,chagas viviendas,       viviendas positivas,2014-08-01,4,4
COTAGAITA,chagas viviendas,       viviendas positivas,2014-08-01,17,17
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-08-01,3,3
EL VILLAR,chagas viviendas,       viviendas positivas,2014-08-01,1,1
GUTIERREZ,chagas viviendas,       viviendas positivas,2014-08-01,5,5
HUACARETA,chagas viviendas,       viviendas positivas,2014-08-01,34,34
LURIBAY,chagas viviendas,       viviendas positivas,2014-08-01,48,48
MAIRANA,chagas viviendas,       viviendas positivas,2014-08-01,6,6
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-08-01,2,2
MONTEAGUDO,chagas viviendas,       viviendas positivas,2014-08-01,21,21
MORO MORO,chagas viviendas,       viviendas positivas,2014-08-01,5,5
OMEREQUE,chagas viviendas,       viviendas positivas,2014-08-01,8,8
PADILLA,chagas viviendas,       viviendas positivas,2014-08-01,7,7
PASORAPA,chagas viviendas,       viviendas positivas,2014-08-01,3,3
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-08-01,10,10
POROMA,chagas viviendas,       viviendas positivas,2014-08-01,5,5
PRESTO,chagas viviendas,       viviendas positivas,2014-08-01,10,10
PUCARA,chagas viviendas,       viviendas positivas,2014-08-01,4,4
PUNA,chagas viviendas,       viviendas positivas,2014-08-01,1,1
PUNATA,chagas viviendas,       viviendas positivas,2014-08-01,4,4
QUILLACOLLO,chagas viviendas,       viviendas positivas,2014-08-01,2,2
RAVELO,chagas viviendas,       viviendas positivas,2014-08-01,4,4
SACABA,chagas viviendas,       viviendas positivas,2014-08-01,7,7
SAIPINA,chagas viviendas,       viviendas positivas,2014-08-01,2,2
SAN ANTONIO DE LOMERIO,chagas viviendas,       viviendas positivas,2014-08-01,11,11
SAN BENITO,chagas viviendas,       viviendas positivas,2014-08-01,3,3
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-08-01,4,4
SAN LUCAS,chagas viviendas,       viviendas positivas,2014-08-01,1,1
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-08-01,6,6
SICAYA,chagas viviendas,       viviendas positivas,2014-08-01,5,5
SIPE SIPE,chagas viviendas,       viviendas positivas,2014-08-01,8,8
SUCRE,chagas viviendas,       viviendas positivas,2014-08-01,7,7
TAPACARI,chagas viviendas,       viviendas positivas,2014-08-01,1,1
TARABUCO,chagas viviendas,       viviendas positivas,2014-08-01,15,15
TARIJA,chagas viviendas,       viviendas positivas,2014-08-01,39,39
TARVITA,chagas viviendas,       viviendas positivas,2014-08-01,3,3
TIQUIPAYA,chagas viviendas,       viviendas positivas,2014-08-01,2,2
TOMAVE,chagas viviendas,       viviendas positivas,2014-08-01,1,1
TOMINA,chagas viviendas,       viviendas positivas,2014-08-01,17,17
