municipality,group,variable,month,Total 25.6 Viviendas Evaluadas,TOTAL
SICAYA,chagas viviendas,       viviendas evaluadas,2014-06-01,178,178
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-06-01,435,435
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-06-01,219,219
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-06-01,159,159
TARABUCO,chagas viviendas,       viviendas evaluadas,2014-06-01,552,552
TARATA,chagas viviendas,       viviendas evaluadas,2014-06-01,258,258
TARIJA,chagas viviendas,       viviendas evaluadas,2014-06-01,315,315
TARVITA,chagas viviendas,       viviendas evaluadas,2014-06-01,1013,1013
TOCO,chagas viviendas,       viviendas evaluadas,2014-06-01,79,79
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-06-01,5,5
TOMINA,chagas viviendas,       viviendas evaluadas,2014-06-01,187,187
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-06-01,126,126
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-06-01,273,273
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-06-01,268,268
VALLEGRANDE,chagas viviendas,       viviendas evaluadas,2014-06-01,154,154
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-06-01,403,403
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-06-01,498,498
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-06-01,178,178
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-06-01,627,627
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-06-01,997,997
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-06-01,85,85
VITICHI,chagas viviendas,       viviendas evaluadas,2014-06-01,547,547
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-06-01,771,771
YOTALA,chagas viviendas,       viviendas evaluadas,2014-06-01,362,362
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-06-01,136,136
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-06-01,448,448
ACACIO,chagas viviendas,       viviendas evaluadas,2014-07-01,375,375
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-07-01,93,93
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-07-01,165,165
ARANI,chagas viviendas,       viviendas evaluadas,2014-07-01,255,255
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-07-01,148,148
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-07-01,153,153
BETANZOS,chagas viviendas,       viviendas evaluadas,2014-07-01,148,148
CABEZAS,chagas viviendas,       viviendas evaluadas,2014-07-01,149,149
"CAIZA ""D""",chagas viviendas,       viviendas evaluadas,2014-07-01,215,215
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-07-01,487,487
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-07-01,129,129
CLIZA,chagas viviendas,       viviendas evaluadas,2014-07-01,339,339
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-07-01,243,243
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-07-01,105,105
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-07-01,403,403
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-07-01,1094,1094
CULPINA,chagas viviendas,       viviendas evaluadas,2014-07-01,285,285
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-07-01,198,198
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-07-01,16,16
ICLA,chagas viviendas,       viviendas evaluadas,2014-07-01,112,112
INCAHUASI,chagas viviendas,       viviendas evaluadas,2014-07-01,168,168
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-07-01,116,116
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-07-01,110,110
MIZQUE,chagas viviendas,       viviendas evaluadas,2014-07-01,116,116
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-07-01,159,159
MONTEAGUDO,chagas viviendas,       viviendas evaluadas,2014-07-01,448,448
MONTERO,chagas viviendas,       viviendas evaluadas,2014-07-01,2,2
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-07-01,119,119
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-07-01,4,4
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-07-01,259,259
PAILON,chagas viviendas,       viviendas evaluadas,2014-07-01,43,43
PAMPA GRANDE,chagas viviendas,       viviendas evaluadas,2014-07-01,48,48
POCONA,chagas viviendas,       viviendas evaluadas,2014-07-01,168,168
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-07-01,281,281
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-07-01,18,18
PUCARA,chagas viviendas,       viviendas evaluadas,2014-07-01,103,103
PUNA,chagas viviendas,       viviendas evaluadas,2014-07-01,491,491
PUNATA,chagas viviendas,       viviendas evaluadas,2014-07-01,336,336
QUILLACOLLO,chagas viviendas,       viviendas evaluadas,2014-07-01,6,6
RAVELO,chagas viviendas,       viviendas evaluadas,2014-07-01,380,380
ROBORE,chagas viviendas,       viviendas evaluadas,2014-07-01,93,93
SACABA,chagas viviendas,       viviendas evaluadas,2014-07-01,303,303
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-07-01,255,255
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-07-01,105,105
SAN ANTONIO DE LOMERIO,chagas viviendas,       viviendas evaluadas,2014-07-01,45,45
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-07-01,187,187
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-07-01,40,40
SAN LUCAS,chagas viviendas,       viviendas evaluadas,2014-07-01,229,229
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-07-01,1111,1111
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-07-01,65,65
SICAYA,chagas viviendas,       viviendas evaluadas,2014-07-01,195,195
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-07-01,152,152
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-07-01,220,220
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-07-01,11,11
TARATA,chagas viviendas,       viviendas evaluadas,2014-07-01,97,97
TARIJA,chagas viviendas,       viviendas evaluadas,2014-07-01,422,422
TINGUIPAYA,chagas viviendas,       viviendas evaluadas,2014-07-01,216,216
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-07-01,324,324
TOCO,chagas viviendas,       viviendas evaluadas,2014-07-01,103,103
TOLATA,chagas viviendas,       viviendas evaluadas,2014-07-01,252,252
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-07-01,177,177
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-07-01,213,213
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-07-01,316,316
TRIGAL,chagas viviendas,       viviendas evaluadas,2014-07-01,118,118
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-07-01,399,399
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-07-01,311,311
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-07-01,408,408
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-07-01,279,279
VINTO,chagas viviendas,       viviendas evaluadas,2014-07-01,273,273
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-07-01,606,606
YOTALA,chagas viviendas,       viviendas evaluadas,2014-07-01,722,722
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-07-01,134,134
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-07-01,266,266
ACACIO,chagas viviendas,       viviendas evaluadas,2014-08-01,409,409
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-08-01,95,95
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-08-01,227,227
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-08-01,205,205
ARANI,chagas viviendas,       viviendas evaluadas,2014-08-01,240,240
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-08-01,246,246
ARQUE,chagas viviendas,       viviendas evaluadas,2014-08-01,129,129
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-08-01,209,209
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-08-01,629,629
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas evaluadas,2014-08-01,489,489
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-08-01,541,541
CHAQUI,chagas viviendas,       viviendas evaluadas,2014-08-01,190,190
CLIZA,chagas viviendas,       viviendas evaluadas,2014-08-01,293,293
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-08-01,201,201
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-08-01,91,91
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-08-01,386,386
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-08-01,1088,1088
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-08-01,175,175
EL VILLAR,chagas viviendas,       viviendas evaluadas,2014-08-01,168,168
GUTIERREZ,chagas viviendas,       viviendas evaluadas,2014-08-01,7,7
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-08-01,449,449
ICLA,chagas viviendas,       viviendas evaluadas,2014-08-01,216,216
LAS CARRERAS,chagas viviendas,       viviendas evaluadas,2014-08-01,204,204
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-08-01,841,841
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-08-01,34,34
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-08-01,170,170
MONTEAGUDO,chagas viviendas,       viviendas evaluadas,2014-08-01,682,682
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-08-01,125,125
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-08-01,88,88
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-08-01,301,301
PADILLA,chagas viviendas,       viviendas evaluadas,2014-08-01,277,277
PAMPA GRANDE,chagas viviendas,       viviendas evaluadas,2014-08-01,48,48
PASORAPA,chagas viviendas,       viviendas evaluadas,2014-08-01,3,3
POCONA,chagas viviendas,       viviendas evaluadas,2014-08-01,205,205
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-08-01,151,151
POROMA,chagas viviendas,       viviendas evaluadas,2014-08-01,487,487
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-08-01,17,17
PRESTO,chagas viviendas,       viviendas evaluadas,2014-08-01,124,124
PUCARA,chagas viviendas,       viviendas evaluadas,2014-08-01,55,55
PUNA,chagas viviendas,       viviendas evaluadas,2014-08-01,535,535
PUNATA,chagas viviendas,       viviendas evaluadas,2014-08-01,240,240
QUILLACOLLO,chagas viviendas,       viviendas evaluadas,2014-08-01,5,5
RAVELO,chagas viviendas,       viviendas evaluadas,2014-08-01,550,550
ROBORE,chagas viviendas,       viviendas evaluadas,2014-08-01,195,195
SACABA,chagas viviendas,       viviendas evaluadas,2014-08-01,391,391
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-08-01,163,163
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-08-01,110,110
SAN ANTONIO DE LOMERIO,chagas viviendas,       viviendas evaluadas,2014-08-01,110,110
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-08-01,208,208
SAN JULIAN,chagas viviendas,       viviendas evaluadas,2014-08-01,26,26
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-08-01,53,53
SAN LUCAS,chagas viviendas,       viviendas evaluadas,2014-08-01,119,119
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-08-01,132,132
SICAYA,chagas viviendas,       viviendas evaluadas,2014-08-01,134,134
SIPE SIPE,chagas viviendas,       viviendas evaluadas,2014-08-01,156,156
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-08-01,351,351
SUCRE,chagas viviendas,       viviendas evaluadas,2014-08-01,654,654
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-08-01,209,209
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-08-01,143,143
TARABUCO,chagas viviendas,       viviendas evaluadas,2014-08-01,409,409
TARIJA,chagas viviendas,       viviendas evaluadas,2014-08-01,2489,2489
TARVITA,chagas viviendas,       viviendas evaluadas,2014-08-01,556,556
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-08-01,294,294
TOCO,chagas viviendas,       viviendas evaluadas,2014-08-01,86,86
TOLATA,chagas viviendas,       viviendas evaluadas,2014-08-01,154,154
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-08-01,76,76
TOMINA,chagas viviendas,       viviendas evaluadas,2014-08-01,208,208
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-08-01,307,307
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-08-01,75,75
TRIGAL,chagas viviendas,       viviendas evaluadas,2014-08-01,86,86
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-08-01,1117,1117
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-08-01,441,441
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-08-01,522,522
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-08-01,99,99
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-08-01,228,228
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-08-01,1399,1399
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-08-01,801,801
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-08-01,371,371
VITICHI,chagas viviendas,       viviendas evaluadas,2014-08-01,349,349
YOTALA,chagas viviendas,       viviendas evaluadas,2014-08-01,289,289
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-08-01,161,161
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-08-01,185,185
ACACIO,chagas viviendas,       viviendas evaluadas,2014-09-01,378,378
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-09-01,174,174
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-09-01,167,167
ARANI,chagas viviendas,       viviendas evaluadas,2014-09-01,251,251
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-09-01,192,192
ARQUE,chagas viviendas,       viviendas evaluadas,2014-09-01,127,127
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-09-01,155,155
CABEZAS,chagas viviendas,       viviendas evaluadas,2014-09-01,67,67
"CAIZA ""D""",chagas viviendas,       viviendas evaluadas,2014-09-01,215,215
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-09-01,415,415
CLIZA,chagas viviendas,       viviendas evaluadas,2014-09-01,331,331
COCHABAMBA,chagas viviendas,       viviendas evaluadas,2014-09-01,905,905
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-09-01,183,183
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-09-01,65,65
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-09-01,420,420
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-09-01,516,516
CUATRO CAÑADAS,chagas viviendas,       viviendas evaluadas,2014-09-01,964,964
CULPINA,chagas viviendas,       viviendas evaluadas,2014-09-01,632,632
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-09-01,108,108
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-09-01,34,34
EL VILLAR,chagas viviendas,       viviendas evaluadas,2014-09-01,332,332
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-09-01,120,120
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas evaluadas,2014-09-01,7,7
ICLA,chagas viviendas,       viviendas evaluadas,2014-09-01,110,110
LAGUNILLAS,chagas viviendas,       viviendas evaluadas,2014-09-01,5,5
LAS CARRERAS,chagas viviendas,       viviendas evaluadas,2014-09-01,131,131
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-09-01,355,355
MACHARETI,chagas viviendas,       viviendas evaluadas,2014-09-01,72,72
MIZQUE,chagas viviendas,       viviendas evaluadas,2014-09-01,437,437
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-09-01,34,34
MONTEAGUDO,chagas viviendas,       viviendas evaluadas,2014-09-01,289,289
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-09-01,152,152
MOROCHATA,chagas viviendas,       viviendas evaluadas,2014-09-01,80,80
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-09-01,60,60
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-09-01,316,316
PADILLA,chagas viviendas,       viviendas evaluadas,2014-09-01,755,755
PAILON,chagas viviendas,       viviendas evaluadas,2014-09-01,83,83
PAMPA GRANDE,chagas viviendas,       viviendas evaluadas,2014-09-01,64,64
POCOATA,chagas viviendas,       viviendas evaluadas,2014-09-01,110,110
POCONA,chagas viviendas,       viviendas evaluadas,2014-09-01,140,140
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-09-01,148,148
POROMA,chagas viviendas,       viviendas evaluadas,2014-09-01,138,138
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-09-01,10,10
PRESTO,chagas viviendas,       viviendas evaluadas,2014-09-01,282,282
PUCARA,chagas viviendas,       viviendas evaluadas,2014-09-01,222,222
PUNATA,chagas viviendas,       viviendas evaluadas,2014-09-01,251,251
QUILLACOLLO,chagas viviendas,       viviendas evaluadas,2014-09-01,148,148
RAVELO,chagas viviendas,       viviendas evaluadas,2014-09-01,241,241
SACABA,chagas viviendas,       viviendas evaluadas,2014-09-01,403,403
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-09-01,70,70
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-09-01,95,95
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-09-01,375,375
SAN JULIAN,chagas viviendas,       viviendas evaluadas,2014-09-01,110,110
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-09-01,120,120
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-09-01,968,968
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-09-01,342,342
SICAYA,chagas viviendas,       viviendas evaluadas,2014-09-01,97,97
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-09-01,396,396
SUCRE,chagas viviendas,       viviendas evaluadas,2014-09-01,606,606
TACOBAMBA,chagas viviendas,       viviendas evaluadas,2014-09-01,305,305
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-09-01,221,221
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-09-01,163,163
TARABUCO,chagas viviendas,       viviendas evaluadas,2014-09-01,287,287
TARATA,chagas viviendas,       viviendas evaluadas,2014-09-01,101,101
TARIJA,chagas viviendas,       viviendas evaluadas,2014-09-01,1730,1730
TARVITA,chagas viviendas,       viviendas evaluadas,2014-09-01,820,820
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-09-01,279,279
TOCO,chagas viviendas,       viviendas evaluadas,2014-09-01,169,169
TOLATA,chagas viviendas,       viviendas evaluadas,2014-09-01,216,216
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-09-01,166,166
TOMINA,chagas viviendas,       viviendas evaluadas,2014-09-01,40,40
TRIGAL,chagas viviendas,       viviendas evaluadas,2014-09-01,113,113
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-09-01,874,874
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-09-01,320,320
VALLEGRANDE,chagas viviendas,       viviendas evaluadas,2014-09-01,194,194
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-09-01,396,396
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-09-01,415,415
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-09-01,282,282
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-09-01,633,633
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-09-01,248,248
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-09-01,252,252
VITICHI,chagas viviendas,       viviendas evaluadas,2014-09-01,528,528
YAMPARAEZ,chagas viviendas,       viviendas evaluadas,2014-09-01,105,105
YOTALA,chagas viviendas,       viviendas evaluadas,2014-09-01,178,178
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-09-01,157,157
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-09-01,366,366
ACACIO,chagas viviendas,       viviendas evaluadas,2014-10-01,312,312
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-10-01,302,302
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-10-01,198,198
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-10-01,144,144
ARANI,chagas viviendas,       viviendas evaluadas,2014-10-01,294,294
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-10-01,315,315
ARQUE,chagas viviendas,       viviendas evaluadas,2014-10-01,265,265
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-10-01,335,335
AZURDUY,chagas viviendas,       viviendas evaluadas,2014-10-01,552,552
BETANZOS,chagas viviendas,       viviendas evaluadas,2014-10-01,50,50
CABEZAS,chagas viviendas,       viviendas evaluadas,2014-10-01,23,23
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-10-01,391,391
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas evaluadas,2014-10-01,216,216
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-10-01,145,145
CLIZA,chagas viviendas,       viviendas evaluadas,2014-10-01,594,594
COCHABAMBA,chagas viviendas,       viviendas evaluadas,2014-10-01,1041,1041
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-10-01,280,280
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-10-01,61,61
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-10-01,398,398
CUATRO CAÑADAS,chagas viviendas,       viviendas evaluadas,2014-10-01,384,384
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,       viviendas evaluadas,2014-10-01,24,24
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-10-01,187,187
GUTIERREZ,chagas viviendas,       viviendas evaluadas,2014-10-01,119,119
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-10-01,567,567
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas evaluadas,2014-10-01,119,119
ICLA,chagas viviendas,       viviendas evaluadas,2014-10-01,193,193
IRUPANA (VILLA DE LANZA),chagas viviendas,       viviendas evaluadas,2014-10-01,61,61
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-10-01,1026,1026
MACHARETI,chagas viviendas,       viviendas evaluadas,2014-10-01,36,36
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-10-01,14,14
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-10-01,72,72
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-10-01,268,268
MOROCHATA,chagas viviendas,       viviendas evaluadas,2014-10-01,134,134
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-10-01,87,87
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-10-01,272,272
PADILLA,chagas viviendas,       viviendas evaluadas,2014-10-01,390,390
PAMPA GRANDE,chagas viviendas,       viviendas evaluadas,2014-10-01,46,46
PASORAPA,chagas viviendas,       viviendas evaluadas,2014-10-01,87,87
POCOATA,chagas viviendas,       viviendas evaluadas,2014-10-01,82,82
POCONA,chagas viviendas,       viviendas evaluadas,2014-10-01,137,137
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-10-01,231,231
POROMA,chagas viviendas,       viviendas evaluadas,2014-10-01,585,585
PORONGO,chagas viviendas,       viviendas evaluadas,2014-10-01,15,15
PUNATA,chagas viviendas,       viviendas evaluadas,2014-10-01,435,435
RAVELO,chagas viviendas,       viviendas evaluadas,2014-10-01,443,443
SACABA,chagas viviendas,       viviendas evaluadas,2014-10-01,368,368
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-10-01,484,484
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-10-01,21,21
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-10-01,300,300
SAN JUAN DE YAPACANI,chagas viviendas,       viviendas evaluadas,2014-10-01,1,1
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-10-01,284,284
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-10-01,83,83
SUCRE,chagas viviendas,       viviendas evaluadas,2014-10-01,286,286
TACACHI,chagas viviendas,       viviendas evaluadas,2014-10-01,48,48
TACOBAMBA,chagas viviendas,       viviendas evaluadas,2014-10-01,340,340
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-10-01,223,223
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-10-01,157,157
TARABUCO,chagas viviendas,       viviendas evaluadas,2014-10-01,358,358
TARATA,chagas viviendas,       viviendas evaluadas,2014-10-01,276,276
TARIJA,chagas viviendas,       viviendas evaluadas,2014-10-01,24,24
TARVITA,chagas viviendas,       viviendas evaluadas,2014-10-01,177,177
TOCO,chagas viviendas,       viviendas evaluadas,2014-10-01,167,167
TOLATA,chagas viviendas,       viviendas evaluadas,2014-10-01,185,185
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-10-01,300,300
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-10-01,265,265
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-10-01,306,306
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-10-01,263,263
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-10-01,333,333
VALLEGRANDE,chagas viviendas,       viviendas evaluadas,2014-10-01,204,204
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-10-01,54,54
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-10-01,312,312
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-10-01,612,612
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-10-01,503,503
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-10-01,274,274
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-10-01,480,480
YAMPARAEZ,chagas viviendas,       viviendas evaluadas,2014-10-01,98,98
YOTALA,chagas viviendas,       viviendas evaluadas,2014-10-01,184,184
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-10-01,112,112
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-10-01,509,509
ACACIO,chagas viviendas,       viviendas evaluadas,2014-11-01,397,397
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-11-01,619,619
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-11-01,105,105
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-11-01,181,181
ARANI,chagas viviendas,       viviendas evaluadas,2014-11-01,207,207
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-11-01,167,167
ARQUE,chagas viviendas,       viviendas evaluadas,2014-11-01,120,120
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-11-01,346,346
AZURDUY,chagas viviendas,       viviendas evaluadas,2014-11-01,122,122
CAIROMA,chagas viviendas,       viviendas evaluadas,2014-11-01,3,3
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-11-01,335,335
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-11-01,134,134
CARAPARI,chagas viviendas,       viviendas evaluadas,2014-11-01,272,272
CHIMORE,chagas viviendas,       viviendas evaluadas,2014-11-01,450,450
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,       viviendas evaluadas,2014-11-01,618,618
