,group,variable,month,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
AYO AYO,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,2      ingresos espontaneos,2014-07-01,15,37,15,37,52
AZURDUY,internaciones,2      ingresos espontaneos,2014-07-01,6,16,6,16,22
BAURES,internaciones,2      ingresos espontaneos,2014-07-01,6,10,6,10,16
BELEN DE ANDAMARCA,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
BELLA FLOR,internaciones,2      ingresos espontaneos,2014-07-01,1,2,1,2,3
BERMEJO,internaciones,2      ingresos espontaneos,2014-07-01,87,158,87,158,245
BETANZOS,internaciones,2      ingresos espontaneos,2014-07-01,2,27,2,27,29
BOYUIBE,internaciones,2      ingresos espontaneos,2014-07-01,8,22,8,22,30
BUENA VISTA,internaciones,2      ingresos espontaneos,2014-07-01,12,14,12,14,26
CABEZAS,internaciones,2      ingresos espontaneos,2014-07-01,6,14,6,14,20
CAIROMA,internaciones,2      ingresos espontaneos,2014-07-01,2,6,2,6,8
"CAIZA ""D""",internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
CAJUATA,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
CALAMARCA,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
CAMARGO,internaciones,2      ingresos espontaneos,2014-07-01,32,58,32,58,90
CAMATAQUI (C. VILLA ABECIA),internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
CAMIRI,internaciones,2      ingresos espontaneos,2014-07-01,89,296,89,296,385
CAPINOTA,internaciones,2      ingresos espontaneos,2014-07-01,9,32,9,32,41
CAQUIAVIRI,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
CARACOLLO,internaciones,2      ingresos espontaneos,2014-07-01,1,27,1,27,28
CARANAVI,internaciones,2      ingresos espontaneos,2014-07-01,29,127,29,127,156
CARAPARI,internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
CARMEN RIVERO TORREZ,internaciones,2      ingresos espontaneos,2014-07-01,4,19,4,19,23
CHALLAPATA,internaciones,2      ingresos espontaneos,2014-07-01,15,98,15,98,113
CHAQUI,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
CHARAGUA,internaciones,2      ingresos espontaneos,2014-07-01,42,111,42,111,153
CHAYANTA,internaciones,2      ingresos espontaneos,2014-07-01,0,11,0,11,11
CHIMORE,internaciones,2      ingresos espontaneos,2014-07-01,0,12,0,12,12
CHULUMANI (V. DE LA LIBERTAD),internaciones,2      ingresos espontaneos,2014-07-01,45,67,45,67,112
CKOCHAS,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
CLIZA,internaciones,2      ingresos espontaneos,2014-07-01,16,72,16,72,88
COBIJA,internaciones,2      ingresos espontaneos,2014-07-01,154,157,154,157,311
COCAPATA,internaciones,2      ingresos espontaneos,2014-07-01,1,2,1,2,3
COCHABAMBA,internaciones,2      ingresos espontaneos,2014-07-01,3197,5340,3197,5340,8537
COLCAPIRHUA,internaciones,2      ingresos espontaneos,2014-07-01,46,64,46,64,110
"COLCHA ""K""",internaciones,2      ingresos espontaneos,2014-07-01,2,1,2,1,3
COLLANA,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
COLOMI,internaciones,2      ingresos espontaneos,2014-07-01,0,21,0,21,21
COLPA BELGICA,internaciones,2      ingresos espontaneos,2014-07-01,0,11,0,11,11
COLQUECHACA,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
COLQUENCHA,internaciones,2      ingresos espontaneos,2014-07-01,0,6,0,6,6
COLQUIRI,internaciones,2      ingresos espontaneos,2014-07-01,1,1,1,1,2
COMARAPA,internaciones,2      ingresos espontaneos,2014-07-01,8,43,8,43,51
COMBAYA,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
CONCEPCION,internaciones,2      ingresos espontaneos,2014-07-01,23,58,23,58,81
COPACABANA,internaciones,2      ingresos espontaneos,2014-07-01,2,13,2,13,15
CORIPATA,internaciones,2      ingresos espontaneos,2014-07-01,0,10,0,10,10
CORO CORO,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
COROICO,internaciones,2      ingresos espontaneos,2014-07-01,35,78,35,78,113
CORQUE,internaciones,2      ingresos espontaneos,2014-07-01,4,4,4,4,8
COTAGAITA,internaciones,2      ingresos espontaneos,2014-07-01,2,11,2,11,13
COTOCA,internaciones,2      ingresos espontaneos,2014-07-01,20,72,20,72,92
CUATRO CAÑADAS,internaciones,2      ingresos espontaneos,2014-07-01,1,13,1,13,14
CUCHUMUELA (V. G. VILLARROEL),internaciones,2      ingresos espontaneos,2014-07-01,2,2,2,2,4
CUEVO,internaciones,2      ingresos espontaneos,2014-07-01,0,9,0,9,9
CULPINA,internaciones,2      ingresos espontaneos,2014-07-01,18,30,18,30,48
CURAHUARA DE CARANGAS,internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
DESAGUADERO,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
EL ALTO,internaciones,2      ingresos espontaneos,2014-07-01,1127,2510,1127,2510,3637
EL PUENTE(STC),internaciones,2      ingresos espontaneos,2014-07-01,24,27,24,27,51
EL PUENTE(TJA),internaciones,2      ingresos espontaneos,2014-07-01,0,6,0,6,6
EL TORNO,internaciones,2      ingresos espontaneos,2014-07-01,212,367,212,367,579
EL VILLAR,internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
ENTRE RIOS TRJ,internaciones,2      ingresos espontaneos,2014-07-01,5,38,5,38,43
ENTRE RIOS CBBA,internaciones,2      ingresos espontaneos,2014-07-01,24,14,24,14,38
ESCOMA,internaciones,2      ingresos espontaneos,2014-07-01,3,8,3,8,11
EUCALIPTUS,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
EXALTACION,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
FERNANDEZ ALONSO,internaciones,2      ingresos espontaneos,2014-07-01,9,15,9,15,24
GENERAL SAAVEDRA,internaciones,2      ingresos espontaneos,2014-07-01,0,46,0,46,46
GRAL. J.J. PEREZ (CHARAZANI),internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
GUANAY,internaciones,2      ingresos espontaneos,2014-07-01,0,11,0,11,11
GUAQUI,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
GUAYARAMERIN,internaciones,2      ingresos espontaneos,2014-07-01,172,329,172,329,501
GUTIERREZ,internaciones,2      ingresos espontaneos,2014-07-01,7,39,7,39,46
HUACARETA,internaciones,2      ingresos espontaneos,2014-07-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
HUACHACALLA,internaciones,2      ingresos espontaneos,2014-07-01,4,0,4,0,4
HUANUNI,internaciones,2      ingresos espontaneos,2014-07-01,91,127,91,127,218
HUARACAJE,internaciones,2      ingresos espontaneos,2014-07-01,2,10,2,10,12
HUAYLLAMARCA,internaciones,2      ingresos espontaneos,2014-07-01,3,4,3,4,7
HUMANATA,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
ICLA,internaciones,2      ingresos espontaneos,2014-07-01,5,11,5,11,16
INCAHUASI,internaciones,2      ingresos espontaneos,2014-07-01,0,12,0,12,12
INQUISIVI,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
IRUPANA (VILLA DE LANZA),internaciones,2      ingresos espontaneos,2014-07-01,8,22,8,22,30
IXIAMAS,internaciones,2      ingresos espontaneos,2014-07-01,3,20,3,20,23
JESUS DE MACHACA,internaciones,2      ingresos espontaneos,2014-07-01,2,24,2,24,26
LA ASUNTA,internaciones,2      ingresos espontaneos,2014-07-01,5,82,5,82,87
LA GUARDIA,internaciones,2      ingresos espontaneos,2014-07-01,33,76,33,76,109
LA PAZ,internaciones,2      ingresos espontaneos,2014-07-01,3720,6912,3720,6912,10632
LAGUNILLAS,internaciones,2      ingresos espontaneos,2014-07-01,3,5,3,5,8
LAJA,internaciones,2      ingresos espontaneos,2014-07-01,1,1,1,1,2
LAS CARRERAS,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
LLALLAGUA,internaciones,2      ingresos espontaneos,2014-07-01,6,189,6,189,195
LLICA,internaciones,2      ingresos espontaneos,2014-07-01,0,6,0,6,6
LURIBAY,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
MACHACAMARCA,internaciones,2      ingresos espontaneos,2014-07-01,0,4,0,4,4
MACHARETI,internaciones,2      ingresos espontaneos,2014-07-01,1,12,1,12,13
MAGDALENA,internaciones,2      ingresos espontaneos,2014-07-01,36,67,36,67,103
MAIRANA,internaciones,2      ingresos espontaneos,2014-07-01,5,39,5,39,44
MAPIRI,internaciones,2      ingresos espontaneos,2014-07-01,5,31,5,31,36
MECAPACA,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
MINEROS,internaciones,2      ingresos espontaneos,2014-07-01,5,13,5,13,18
MIZQUE,internaciones,2      ingresos espontaneos,2014-07-01,10,40,10,40,50
MOCOMOCO,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
MOJOCOYA,internaciones,2      ingresos espontaneos,2014-07-01,3,11,3,11,14
MONTEAGUDO,internaciones,2      ingresos espontaneos,2014-07-01,55,127,55,127,182
MONTERO,internaciones,2      ingresos espontaneos,2014-07-01,38,65,38,65,103
MORO MORO,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
MOROCHATA,internaciones,2      ingresos espontaneos,2014-07-01,1,10,1,10,11
OCURI,internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
OKINAWA,internaciones,2      ingresos espontaneos,2014-07-01,9,35,9,35,44
OMEREQUE,internaciones,2      ingresos espontaneos,2014-07-01,7,7,7,7,14
ORURO,internaciones,2      ingresos espontaneos,2014-07-01,1462,1910,1462,1910,3372
PADILLA,internaciones,2      ingresos espontaneos,2014-07-01,31,49,31,49,80
PAILON,internaciones,2      ingresos espontaneos,2014-07-01,19,81,19,81,100
PALCA,internaciones,2      ingresos espontaneos,2014-07-01,0,8,0,8,8
PALOS BLANCOS,internaciones,2      ingresos espontaneos,2014-07-01,10,38,10,38,48
PAMPA GRANDE,internaciones,2      ingresos espontaneos,2014-07-01,3,21,3,21,24
PASORAPA,internaciones,2      ingresos espontaneos,2014-07-01,3,9,3,9,12
PATACAMAYA,internaciones,2      ingresos espontaneos,2014-07-01,4,68,4,68,72
PAZÑA,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
PELECHUCO,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
POCOATA,internaciones,2      ingresos espontaneos,2014-07-01,1,11,1,11,12
POCONA,internaciones,2      ingresos espontaneos,2014-07-01,0,14,0,14,14
POJO (CBBA),internaciones,2      ingresos espontaneos,2014-07-01,0,24,0,24,24
POOPO,internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
POROMA,internaciones,2      ingresos espontaneos,2014-07-01,0,6,0,6,6
PORONGO,internaciones,2      ingresos espontaneos,2014-07-01,6,8,6,8,14
PORTACHUELO,internaciones,2      ingresos espontaneos,2014-07-01,75,140,75,140,215
PORVENIR,internaciones,2      ingresos espontaneos,2014-07-01,2,11,2,11,13
POSTRER VALLE,internaciones,2      ingresos espontaneos,2014-07-01,1,1,1,1,2
POTOSI,internaciones,2      ingresos espontaneos,2014-07-01,810,1406,810,1406,2216
PRESTO,internaciones,2      ingresos espontaneos,2014-07-01,1,5,1,5,6
PUCARANI,internaciones,2      ingresos espontaneos,2014-07-01,0,15,0,15,15
PUERTO ACOSTA,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
PUERTO QUIJARRO,internaciones,2      ingresos espontaneos,2014-07-01,22,54,22,54,76
PUERTO RICO,internaciones,2      ingresos espontaneos,2014-07-01,19,11,19,11,30
PUERTO SILES,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,2      ingresos espontaneos,2014-07-01,33,95,33,95,128
PUERTO VILLARROEL,internaciones,2      ingresos espontaneos,2014-07-01,75,179,75,179,254
PUNA,internaciones,2      ingresos espontaneos,2014-07-01,0,12,0,12,12
PUNATA,internaciones,2      ingresos espontaneos,2014-07-01,80,139,80,139,219
QUILLACOLLO,internaciones,2      ingresos espontaneos,2014-07-01,36,211,36,211,247
QUIME,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
QUIRUSILLAS,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
REYES,internaciones,2      ingresos espontaneos,2014-07-01,11,35,11,35,46
RIBERALTA,internaciones,2      ingresos espontaneos,2014-07-01,267,584,267,584,851
ROBORE,internaciones,2      ingresos espontaneos,2014-07-01,30,61,30,61,91
RURRENABAQUE,internaciones,2      ingresos espontaneos,2014-07-01,52,98,52,98,150
SACABA,internaciones,2      ingresos espontaneos,2014-07-01,114,450,114,450,564
SACABAMBA,internaciones,2      ingresos espontaneos,2014-07-01,2,10,2,10,12
SACACA,internaciones,2      ingresos espontaneos,2014-07-01,1,10,1,10,11
SAIPINA,internaciones,2      ingresos espontaneos,2014-07-01,0,12,0,12,12
SAMAIPATA,internaciones,2      ingresos espontaneos,2014-07-01,9,25,9,25,34
SAN AGUSTIN,internaciones,2      ingresos espontaneos,2014-07-01,1,1,1,1,2
SAN ANDRES,internaciones,2      ingresos espontaneos,2014-07-01,27,0,27,0,27
SAN ANTONIO DE LOMERIO,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
SAN BENITO,internaciones,2      ingresos espontaneos,2014-07-01,6,9,6,9,15
SAN BORJA,internaciones,2      ingresos espontaneos,2014-07-01,36,142,36,142,178
SAN BUENA VENTURA,internaciones,2      ingresos espontaneos,2014-07-01,8,20,8,20,28
SAN CARLOS,internaciones,2      ingresos espontaneos,2014-07-01,41,50,41,50,91
SAN IGNACIO,internaciones,2      ingresos espontaneos,2014-07-01,25,59,25,59,84
SAN IGNACIO DE VELASCO,internaciones,2      ingresos espontaneos,2014-07-01,100,228,100,228,328
SAN JAVIER(STC),internaciones,2      ingresos espontaneos,2014-07-01,13,35,13,35,48
SAN JOAQUIN,internaciones,2      ingresos espontaneos,2014-07-01,3,33,3,33,36
SAN JOSE DE CHIQUITOS,internaciones,2      ingresos espontaneos,2014-07-01,46,97,46,97,143
SAN JUAN DE YAPACANI,internaciones,2      ingresos espontaneos,2014-07-01,30,29,30,29,59
SAN JULIAN,internaciones,2      ingresos espontaneos,2014-07-01,94,102,94,102,196
SAN LORENZO(TJA),internaciones,2      ingresos espontaneos,2014-07-01,0,10,0,10,10
SAN LUCAS,internaciones,2      ingresos espontaneos,2014-07-01,23,48,23,48,71
SAN MATIAS,internaciones,2      ingresos espontaneos,2014-07-01,17,55,17,55,72
SAN MIGUEL DE VELASCO,internaciones,2      ingresos espontaneos,2014-07-01,3,22,3,22,25
SAN PEDRO,internaciones,2      ingresos espontaneos,2014-07-01,7,25,7,25,32
SAN PEDRO DE BUENA VISTA,internaciones,2      ingresos espontaneos,2014-07-01,2,22,2,22,24
SAN PEDRO DE TIQUINA,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
SAN RAFAEL,internaciones,2      ingresos espontaneos,2014-07-01,12,22,12,22,34
SAN RAMON BENI,internaciones,2      ingresos espontaneos,2014-07-01,6,16,6,16,22
SAN RAMON SCZ,internaciones,2      ingresos espontaneos,2014-07-01,6,25,6,25,31
SANTA ANA,internaciones,2      ingresos espontaneos,2014-07-01,42,127,42,127,169
SANTA CRUZ DE LA SIERRA,internaciones,2      ingresos espontaneos,2014-07-01,4102,7438,4102,7438,11540
SANTA ROSA,internaciones,2      ingresos espontaneos,2014-07-01,6,25,6,25,31
SANTA ROSA DEL SARA,internaciones,2      ingresos espontaneos,2014-07-01,2,15,2,15,17
SANTIAGO DE CALLAPA,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
SANTIAGO DE HUARI,internaciones,2      ingresos espontaneos,2014-07-01,0,13,0,13,13
SANTIAGO DE HUATA,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
SANTIVAÑES,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
SANTUARIO DE QUILLACAS,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
SAPAHAQUI,internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
SENA,internaciones,2      ingresos espontaneos,2014-07-01,11,15,11,15,26
SHINAOTA,internaciones,2      ingresos espontaneos,2014-07-01,26,82,26,82,108
SICA SICA (VILLA AROMA),internaciones,2      ingresos espontaneos,2014-07-01,0,13,0,13,13
SICAYA,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
SIPE SIPE,internaciones,2      ingresos espontaneos,2014-07-01,0,45,0,45,45
SOPACHUY,internaciones,2      ingresos espontaneos,2014-07-01,4,17,4,17,21
SORACACHI,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
SORATA,internaciones,2      ingresos espontaneos,2014-07-01,2,13,2,13,15
SUCRE,internaciones,2      ingresos espontaneos,2014-07-01,1978,1639,1978,1639,3617
TACACOMA,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
TACOPAYA,internaciones,2      ingresos espontaneos,2014-07-01,1,7,1,7,8
TAPACARI,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
TARABUCO,internaciones,2      ingresos espontaneos,2014-07-01,10,54,10,54,64
TARACO,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
TARATA,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
TARIJA,internaciones,2      ingresos espontaneos,2014-07-01,816,1244,816,1244,2060
TARVITA,internaciones,2      ingresos espontaneos,2014-07-01,3,19,3,19,22
TEOPONTE,internaciones,2      ingresos espontaneos,2014-07-01,0,13,0,13,13
TIAWANACU,internaciones,2      ingresos espontaneos,2014-07-01,0,11,0,11,11
TIPUANI,internaciones,2      ingresos espontaneos,2014-07-01,15,21,15,21,36
TIQUIPAYA,internaciones,2      ingresos espontaneos,2014-07-01,20,178,20,178,198
TIRAQUE (CBBA),internaciones,2      ingresos espontaneos,2014-07-01,0,31,0,31,31
TOCO,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
TOLATA,internaciones,2      ingresos espontaneos,2014-07-01,2,6,2,6,8
TOLEDO,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
TOMINA,internaciones,2      ingresos espontaneos,2014-07-01,1,11,1,11,12
TORO TORO,internaciones,2      ingresos espontaneos,2014-07-01,0,6,0,6,6
TOTORA(CBBA),internaciones,2      ingresos espontaneos,2014-07-01,6,30,6,30,36
TOTORA(ORR),internaciones,2      ingresos espontaneos,2014-07-01,0,5,0,5,5
TRIGAL,internaciones,2      ingresos espontaneos,2014-07-01,4,4,4,4,8
TRINIDAD,internaciones,2      ingresos espontaneos,2014-07-01,406,527,406,527,933
TUPIZA,internaciones,2      ingresos espontaneos,2014-07-01,123,253,123,253,376
TURCO,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
UNCIA,internaciones,2      ingresos espontaneos,2014-07-01,66,109,66,109,175
URUBICHA,internaciones,2      ingresos espontaneos,2014-07-01,8,18,8,18,26
UYUNI,internaciones,2      ingresos espontaneos,2014-07-01,36,112,36,112,148
VACAS,internaciones,2      ingresos espontaneos,2014-07-01,0,7,0,7,7
VALLEGRANDE,internaciones,2      ingresos espontaneos,2014-07-01,42,110,42,110,152
VIACHA,internaciones,2      ingresos espontaneos,2014-07-01,42,189,42,189,231
VILLA CHARCAS,internaciones,2      ingresos espontaneos,2014-07-01,0,23,0,23,23
VILLA MONTES,internaciones,2      ingresos espontaneos,2014-07-01,63,214,63,214,277
VILLA RIVERO,internaciones,2      ingresos espontaneos,2014-07-01,7,9,7,9,16
VILLA SERRANO,internaciones,2      ingresos espontaneos,2014-07-01,0,1,0,1,1
VILLA TUNARI,internaciones,2      ingresos espontaneos,2014-07-01,109,295,109,295,404
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,2      ingresos espontaneos,2014-07-01,2,6,2,6,8
VILLAZON,internaciones,2      ingresos espontaneos,2014-07-01,63,145,63,145,208
VINTO,internaciones,2      ingresos espontaneos,2014-07-01,23,127,23,127,150
VITICHI,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
WARNES,internaciones,2      ingresos espontaneos,2014-07-01,40,94,40,94,134
YACO,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
YACUIBA,internaciones,2      ingresos espontaneos,2014-07-01,175,393,175,393,568
YAMPARAEZ,internaciones,2      ingresos espontaneos,2014-07-01,0,2,0,2,2
YANACACHI,internaciones,2      ingresos espontaneos,2014-07-01,0,3,0,3,3
YAPACANI,internaciones,2      ingresos espontaneos,2014-07-01,83,94,83,94,177
YOTALA,internaciones,2      ingresos espontaneos,2014-07-01,2,14,2,14,16
ZUDAÑEZ,internaciones,2      ingresos espontaneos,2014-07-01,11,17,11,17,28
ACACIO,internaciones,2      ingresos espontaneos,2014-08-01,0,2,0,2,2
ACHACACHI,internaciones,2      ingresos espontaneos,2014-08-01,9,43,9,43,52
ACHOCALLA,internaciones,2      ingresos espontaneos,2014-08-01,0,6,0,6,6
AIQUILE,internaciones,2      ingresos espontaneos,2014-08-01,36,85,36,85,121
ALCALA,internaciones,2      ingresos espontaneos,2014-08-01,0,3,0,3,3
ALTO BENI,internaciones,2      ingresos espontaneos,2014-08-01,0,10,0,10,10
ANCORAIMES,internaciones,2      ingresos espontaneos,2014-08-01,0,4,0,4,4
ANTEQUERA,internaciones,2      ingresos espontaneos,2014-08-01,1,1,1,1,2
ANZALDO,internaciones,2      ingresos espontaneos,2014-08-01,17,22,17,22,39
APOLO,internaciones,2      ingresos espontaneos,2014-08-01,3,25,3,25,28
ARAMPAMPA,internaciones,2      ingresos espontaneos,2014-08-01,1,0,1,0,1
ARANI,internaciones,2      ingresos espontaneos,2014-08-01,1,6,1,6,7
ARBIETO,internaciones,2      ingresos espontaneos,2014-08-01,0,16,0,16,16
ARQUE,internaciones,2      ingresos espontaneos,2014-08-01,0,5,0,5,5
ASCENCION DE GUARAYOS,internaciones,2      ingresos espontaneos,2014-08-01,47,135,47,135,182
ATOCHA,internaciones,2      ingresos espontaneos,2014-08-01,53,77,53,77,130
AYATA,internaciones,2      ingresos espontaneos,2014-08-01,0,4,0,4,4
AYO AYO,internaciones,2      ingresos espontaneos,2014-08-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,2      ingresos espontaneos,2014-08-01,13,29,13,29,42
AZURDUY,internaciones,2      ingresos espontaneos,2014-08-01,5,12,5,12,17
BAURES,internaciones,2      ingresos espontaneos,2014-08-01,8,20,8,20,28
BELLA FLOR,internaciones,2      ingresos espontaneos,2014-08-01,2,2,2,2,4
BERMEJO,internaciones,2      ingresos espontaneos,2014-08-01,100,148,100,148,248
BETANZOS,internaciones,2      ingresos espontaneos,2014-08-01,4,36,4,36,40
BOLIVAR,internaciones,2      ingresos espontaneos,2014-08-01,0,2,0,2,2
BOYUIBE,internaciones,2      ingresos espontaneos,2014-08-01,6,21,6,21,27
BUENA VISTA,internaciones,2      ingresos espontaneos,2014-08-01,15,11,15,11,26
CABEZAS,internaciones,2      ingresos espontaneos,2014-08-01,4,16,4,16,20
CAIROMA,internaciones,2      ingresos espontaneos,2014-08-01,2,7,2,7,9
"CAIZA ""D""",internaciones,2      ingresos espontaneos,2014-08-01,0,3,0,3,3
CAJUATA,internaciones,2      ingresos espontaneos,2014-08-01,0,4,0,4,4
CALACOTO,internaciones,2      ingresos espontaneos,2014-08-01,0,1,0,1,1
CALAMARCA,internaciones,2      ingresos espontaneos,2014-08-01,0,5,0,5,5
CAMARGO,internaciones,2      ingresos espontaneos,2014-08-01,16,38,16,38,54
CAMIRI,internaciones,2      ingresos espontaneos,2014-08-01,135,322,135,322,457
CAPINOTA,internaciones,2      ingresos espontaneos,2014-08-01,1,33,1,33,34
CAQUIAVIRI,internaciones,2      ingresos espontaneos,2014-08-01,0,2,0,2,2
CARACOLLO,internaciones,2      ingresos espontaneos,2014-08-01,4,34,4,34,38
CARANAVI,internaciones,2      ingresos espontaneos,2014-08-01,30,143,30,143,173
CARMEN RIVERO TORREZ,internaciones,2      ingresos espontaneos,2014-08-01,10,19,10,19,29
CHALLAPATA,internaciones,2      ingresos espontaneos,2014-08-01,23,100,23,100,123
CHAQUI,internaciones,2      ingresos espontaneos,2014-08-01,0,1,0,1,1
CHARAGUA,internaciones,2      ingresos espontaneos,2014-08-01,41,104,41,104,145
CHAYANTA,internaciones,2      ingresos espontaneos,2014-08-01,0,10,0,10,10
CHIMORE,internaciones,2      ingresos espontaneos,2014-08-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,2      ingresos espontaneos,2014-08-01,45,82,45,82,127
CHUMA,internaciones,2      ingresos espontaneos,2014-08-01,1,2,1,2,3
CKOCHAS,internaciones,2      ingresos espontaneos,2014-08-01,0,2,0,2,2
CLIZA,internaciones,2      ingresos espontaneos,2014-08-01,20,80,20,80,100
COBIJA,internaciones,2      ingresos espontaneos,2014-08-01,180,246,180,246,426
COCHABAMBA,internaciones,2      ingresos espontaneos,2014-08-01,3149,5098,3149,5098,8247
COIPASA,internaciones,2      ingresos espontaneos,2014-08-01,0,1,0,1,1
COLCAPIRHUA,internaciones,2      ingresos espontaneos,2014-08-01,44,82,44,82,126
"COLCHA ""K""",internaciones,2      ingresos espontaneos,2014-08-01,0,2,0,2,2
COLOMI,internaciones,2      ingresos espontaneos,2014-08-01,0,23,0,23,23
COLPA BELGICA,internaciones,2      ingresos espontaneos,2014-08-01,14,29,14,29,43
COLQUECHACA,internaciones,2      ingresos espontaneos,2014-08-01,0,12,0,12,12
COLQUENCHA,internaciones,2      ingresos espontaneos,2014-08-01,0,2,0,2,2
COLQUIRI,internaciones,2      ingresos espontaneos,2014-08-01,2,5,2,5,7
COMANCHE,internaciones,2      ingresos espontaneos,2014-08-01,0,1,0,1,1
COMARAPA,internaciones,2      ingresos espontaneos,2014-08-01,16,35,16,35,51
CONCEPCION,internaciones,2      ingresos espontaneos,2014-08-01,17,49,17,49,66
COPACABANA,internaciones,2      ingresos espontaneos,2014-08-01,1,8,1,8,9
CORIPATA,internaciones,2      ingresos espontaneos,2014-08-01,0,7,0,7,7
COROICO,internaciones,2      ingresos espontaneos,2014-08-01,42,71,42,71,113
CORQUE,internaciones,2      ingresos espontaneos,2014-08-01,3,4,3,4,7
COTAGAITA,internaciones,2      ingresos espontaneos,2014-08-01,1,14,1,14,15
COTOCA,internaciones,2      ingresos espontaneos,2014-08-01,23,135,23,135,158
CUATRO CAÑADAS,internaciones,2      ingresos espontaneos,2014-08-01,14,7,14,7,21
CUCHUMUELA (V. G. VILLARROEL),internaciones,2      ingresos espontaneos,2014-08-01,1,1,1,1,2
CUEVO,internaciones,2      ingresos espontaneos,2014-08-01,2,3,2,3,5
CULPINA,internaciones,2      ingresos espontaneos,2014-08-01,5,29,5,29,34
CURAHUARA DE CARANGAS,internaciones,2      ingresos espontaneos,2014-08-01,0,6,0,6,6
DESAGUADERO,internaciones,2      ingresos espontaneos,2014-08-01,0,10,0,10,10
EL ALTO,internaciones,2      ingresos espontaneos,2014-08-01,1041,2152,1041,2152,3193
