,group,variable,month,13. 6 RETORNADOS CANTIDAD,13. 6 RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
SUCRE,internaciones,6      retornados,2014-11-01,7,331,7,331,338
TARABUCO,internaciones,6      retornados,2014-11-01,3,14,3,14,17
TARIJA,internaciones,6      retornados,2014-11-01,0,1,0,1,1
TRINIDAD,internaciones,6      retornados,2014-11-01,0,125,0,125,125
TUPIZA,internaciones,6      retornados,2014-11-01,0,4,0,4,4
VILLA CHARCAS,internaciones,6      retornados,2014-11-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,6      retornados,2014-11-01,2,0,2,0,2
YAMPARAEZ,internaciones,6      retornados,2014-11-01,1,0,1,0,1
ZUDAÑEZ,internaciones,6      retornados,2014-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-12-01,6,6,6,6,12
BERMEJO,internaciones,6      retornados,2014-12-01,16,0,16,0,16
CAIROMA,internaciones,6      retornados,2014-12-01,0,7,0,7,7
CAMIRI,internaciones,6      retornados,2014-12-01,1,0,1,0,1
CLIZA,internaciones,6      retornados,2014-12-01,0,21,0,21,21
COBIJA,internaciones,6      retornados,2014-12-01,9,161,9,161,170
COCHABAMBA,internaciones,6      retornados,2014-12-01,17,259,17,259,276
COMARAPA,internaciones,6      retornados,2014-12-01,6,6,6,6,12
CORIPATA,internaciones,6      retornados,2014-12-01,0,50,0,50,50
CUATRO CAÑADAS,internaciones,6      retornados,2014-12-01,2,3,2,3,5
EL ALTO,internaciones,6      retornados,2014-12-01,6,22,6,22,28
EL TORNO,internaciones,6      retornados,2014-12-01,3,0,3,0,3
GENERAL SAAVEDRA,internaciones,6      retornados,2014-12-01,0,11,0,11,11
HUACARETA,internaciones,6      retornados,2014-12-01,1,0,1,0,1
HUANUNI,internaciones,6      retornados,2014-12-01,0,3,0,3,3
LA ASUNTA,internaciones,6      retornados,2014-12-01,0,1,0,1,1
LA PAZ,internaciones,6      retornados,2014-12-01,3,5,3,5,8
MACHARETI,internaciones,6      retornados,2014-12-01,0,1,0,1,1
MONTEAGUDO,internaciones,6      retornados,2014-12-01,3,18,3,18,21
MONTERO,internaciones,6      retornados,2014-12-01,2,284,2,284,286
ORURO,internaciones,6      retornados,2014-12-01,12,1,12,1,13
POTOSI,internaciones,6      retornados,2014-12-01,5,6,5,6,11
PUERTO SUAREZ,internaciones,6      retornados,2014-12-01,1,0,1,0,1
PUNATA,internaciones,6      retornados,2014-12-01,37,59,37,59,96
RIBERALTA,internaciones,6      retornados,2014-12-01,8,93,8,93,101
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-12-01,7,20,7,20,27
SAN MATIAS,internaciones,6      retornados,2014-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-12-01,85,585,85,585,670
SANTA ROSA DEL SARA,internaciones,6      retornados,2014-12-01,0,1,0,1,1
SOPACHUY,internaciones,6      retornados,2014-12-01,0,1,0,1,1
SORATA,internaciones,6      retornados,2014-12-01,0,1,0,1,1
SUCRE,internaciones,6      retornados,2014-12-01,15,88,15,88,103
TAPACARI,internaciones,6      retornados,2014-12-01,0,1,0,1,1
TARVITA,internaciones,6      retornados,2014-12-01,1,3,1,3,4
TOLATA,internaciones,6      retornados,2014-12-01,1,0,1,0,1
TUPIZA,internaciones,6      retornados,2014-12-01,0,90,0,90,90
ZUDAÑEZ,internaciones,6      retornados,2014-12-01,0,1,0,1,1
