,group,variable,month,13. 3 EGRESOS CANTIDAD,13. 3 EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,3      egresos,2014-03-01,6,15,6,15,21
VILLAZON,internaciones,3      egresos,2014-03-01,81,177,81,177,258
VINTO,internaciones,3      egresos,2014-03-01,2,92,2,92,94
WARNES,internaciones,3      egresos,2014-03-01,67,120,67,120,187
YACO,internaciones,3      egresos,2014-03-01,0,3,0,3,3
YACUIBA,internaciones,3      egresos,2014-03-01,269,566,269,566,835
YAMPARAEZ,internaciones,3      egresos,2014-03-01,0,5,0,5,5
YANACACHI,internaciones,3      egresos,2014-03-01,0,3,0,3,3
YAPACANI,internaciones,3      egresos,2014-03-01,70,169,70,169,239
YOTALA,internaciones,3      egresos,2014-03-01,2,12,2,12,14
ZUDAÑEZ,internaciones,3      egresos,2014-03-01,7,11,7,11,18
ACACIO,internaciones,3      egresos,2014-04-01,0,4,0,4,4
ACHACACHI,internaciones,3      egresos,2014-04-01,11,51,11,51,62
ACHOCALLA,internaciones,3      egresos,2014-04-01,0,5,0,5,5
AIQUILE,internaciones,3      egresos,2014-04-01,33,66,33,66,99
ALALAY,internaciones,3      egresos,2014-04-01,1,2,1,2,3
ALCALA,internaciones,3      egresos,2014-04-01,0,4,0,4,4
ALTO BENI,internaciones,3      egresos,2014-04-01,0,9,0,9,9
ANCORAIMES,internaciones,3      egresos,2014-04-01,1,9,1,9,10
ANTEQUERA,internaciones,3      egresos,2014-04-01,0,4,0,4,4
ANZALDO,internaciones,3      egresos,2014-04-01,8,13,8,13,21
APOLO,internaciones,3      egresos,2014-04-01,3,25,3,25,28
ARAMPAMPA,internaciones,3      egresos,2014-04-01,0,5,0,5,5
ARANI,internaciones,3      egresos,2014-04-01,1,9,1,9,10
ARBIETO,internaciones,3      egresos,2014-04-01,3,8,3,8,11
ARQUE,internaciones,3      egresos,2014-04-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,3      egresos,2014-04-01,61,178,61,178,239
ATOCHA,internaciones,3      egresos,2014-04-01,47,82,47,82,129
AYATA,internaciones,3      egresos,2014-04-01,0,1,0,1,1
AYO AYO,internaciones,3      egresos,2014-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,3      egresos,2014-04-01,41,40,41,40,81
AZURDUY,internaciones,3      egresos,2014-04-01,2,2,2,2,4
BAURES,internaciones,3      egresos,2014-04-01,5,22,5,22,27
BELEN DE ANDAMARCA,internaciones,3      egresos,2014-04-01,0,2,0,2,2
BERMEJO,internaciones,3      egresos,2014-04-01,85,178,85,178,263
BETANZOS,internaciones,3      egresos,2014-04-01,3,36,3,36,39
BOLIVAR,internaciones,3      egresos,2014-04-01,1,3,1,3,4
BOYUIBE,internaciones,3      egresos,2014-04-01,10,24,10,24,34
BUENA VISTA,internaciones,3      egresos,2014-04-01,4,12,4,12,16
CABEZAS,internaciones,3      egresos,2014-04-01,8,20,8,20,28
CAIROMA,internaciones,3      egresos,2014-04-01,1,9,1,9,10
"CAIZA ""D""",internaciones,3      egresos,2014-04-01,0,2,0,2,2
CAJUATA,internaciones,3      egresos,2014-04-01,0,1,0,1,1
CALAMARCA,internaciones,3      egresos,2014-04-01,0,12,0,12,12
CAMARGO,internaciones,3      egresos,2014-04-01,28,55,28,55,83
CAMATAQUI (C. VILLA ABECIA),internaciones,3      egresos,2014-04-01,0,4,0,4,4
CAMIRI,internaciones,3      egresos,2014-04-01,167,344,167,344,511
CAPINOTA,internaciones,3      egresos,2014-04-01,9,30,9,30,39
CAQUIAVIRI,internaciones,3      egresos,2014-04-01,0,2,0,2,2
CARACOLLO,internaciones,3      egresos,2014-04-01,0,20,0,20,20
CARANAVI,internaciones,3      egresos,2014-04-01,37,182,37,182,219
CARAPARI,internaciones,3      egresos,2014-04-01,2,4,2,4,6
CARIPUYO,internaciones,3      egresos,2014-04-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-04-01,3,26,3,26,29
CHALLAPATA,internaciones,3      egresos,2014-04-01,32,64,32,64,96
CHAQUI,internaciones,3      egresos,2014-04-01,0,1,0,1,1
CHARAGUA,internaciones,3      egresos,2014-04-01,66,131,66,131,197
CHAYANTA,internaciones,3      egresos,2014-04-01,0,11,0,11,11
CHIMORE,internaciones,3      egresos,2014-04-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-04-01,32,79,32,79,111
CHUMA,internaciones,3      egresos,2014-04-01,1,3,1,3,4
CLIZA,internaciones,3      egresos,2014-04-01,21,62,21,62,83
COBIJA,internaciones,3      egresos,2014-04-01,200,401,200,401,601
COCAPATA,internaciones,3      egresos,2014-04-01,1,0,1,0,1
COCHABAMBA,internaciones,3      egresos,2014-04-01,3054,5272,3054,5272,8326
COLCAPIRHUA,internaciones,3      egresos,2014-04-01,52,98,52,98,150
"COLCHA ""K""",internaciones,3      egresos,2014-04-01,0,4,0,4,4
COLOMI,internaciones,3      egresos,2014-04-01,0,31,0,31,31
COLPA BELGICA,internaciones,3      egresos,2014-04-01,1,8,1,8,9
COLQUECHACA,internaciones,3      egresos,2014-04-01,0,6,0,6,6
COLQUENCHA,internaciones,3      egresos,2014-04-01,0,3,0,3,3
COLQUIRI,internaciones,3      egresos,2014-04-01,16,16,16,16,32
COMARAPA,internaciones,3      egresos,2014-04-01,3,40,3,40,43
COMBAYA,internaciones,3      egresos,2014-04-01,0,1,0,1,1
CONCEPCION,internaciones,3      egresos,2014-04-01,7,67,7,67,74
COPACABANA,internaciones,3      egresos,2014-04-01,1,17,1,17,18
CORIPATA,internaciones,3      egresos,2014-04-01,2,17,2,17,19
CORO CORO,internaciones,3      egresos,2014-04-01,0,3,0,3,3
COROICO,internaciones,3      egresos,2014-04-01,37,79,37,79,116
COTAGAITA,internaciones,3      egresos,2014-04-01,1,12,1,12,13
COTOCA,internaciones,3      egresos,2014-04-01,21,163,21,163,184
CUATRO CAÑADAS,internaciones,3      egresos,2014-04-01,6,8,6,8,14
CUEVO,internaciones,3      egresos,2014-04-01,2,5,2,5,7
CULPINA,internaciones,3      egresos,2014-04-01,18,30,18,30,48
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-04-01,0,5,0,5,5
DESAGUADERO,internaciones,3      egresos,2014-04-01,0,4,0,4,4
EL ALTO,internaciones,3      egresos,2014-04-01,1138,2903,1138,2903,4041
EL PUENTE(STC),internaciones,3      egresos,2014-04-01,21,36,21,36,57
EL PUENTE(TJA),internaciones,3      egresos,2014-04-01,0,1,0,1,1
EL TORNO,internaciones,3      egresos,2014-04-01,331,462,331,462,793
EL VILLAR,internaciones,3      egresos,2014-04-01,0,2,0,2,2
ENTRE RIOS TRJ,internaciones,3      egresos,2014-04-01,4,16,4,16,20
ENTRE RIOS CBBA,internaciones,3      egresos,2014-04-01,10,30,10,30,40
ESCOMA,internaciones,3      egresos,2014-04-01,1,14,1,14,15
EUCALIPTUS,internaciones,3      egresos,2014-04-01,0,4,0,4,4
EXALTACION,internaciones,3      egresos,2014-04-01,1,6,1,6,7
FERNANDEZ ALONSO,internaciones,3      egresos,2014-04-01,28,20,28,20,48
GENERAL SAAVEDRA,internaciones,3      egresos,2014-04-01,0,48,0,48,48
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-04-01,1,4,1,4,5
GUANAY,internaciones,3      egresos,2014-04-01,1,20,1,20,21
GUAQUI,internaciones,3      egresos,2014-04-01,0,5,0,5,5
GUAYARAMERIN,internaciones,3      egresos,2014-04-01,164,387,164,387,551
GUTIERREZ,internaciones,3      egresos,2014-04-01,4,33,4,33,37
HUACARETA,internaciones,3      egresos,2014-04-01,10,23,10,23,33
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-04-01,0,1,0,1,1
HUACHACALLA,internaciones,3      egresos,2014-04-01,1,3,1,3,4
HUANUNI,internaciones,3      egresos,2014-04-01,37,84,37,84,121
HUARACAJE,internaciones,3      egresos,2014-04-01,5,12,5,12,17
HUARINA,internaciones,3      egresos,2014-04-01,0,4,0,4,4
HUATAJATA,internaciones,3      egresos,2014-04-01,0,5,0,5,5
HUAYLLAMARCA,internaciones,3      egresos,2014-04-01,3,5,3,5,8
ICLA,internaciones,3      egresos,2014-04-01,1,5,1,5,6
INCAHUASI,internaciones,3      egresos,2014-04-01,0,11,0,11,11
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-04-01,12,27,12,27,39
IXIAMAS,internaciones,3      egresos,2014-04-01,2,22,2,22,24
JESUS DE MACHACA,internaciones,3      egresos,2014-04-01,2,8,2,8,10
LA ASUNTA,internaciones,3      egresos,2014-04-01,6,55,6,55,61
LA GUARDIA,internaciones,3      egresos,2014-04-01,50,92,50,92,142
LA PAZ,internaciones,3      egresos,2014-04-01,2730,6325,2730,6325,9055
LAGUNILLAS,internaciones,3      egresos,2014-04-01,4,16,4,16,20
LAJA,internaciones,3      egresos,2014-04-01,0,7,0,7,7
LAS CARRERAS,internaciones,3      egresos,2014-04-01,0,3,0,3,3
LLALLAGUA,internaciones,3      egresos,2014-04-01,38,138,38,138,176
LURIBAY,internaciones,3      egresos,2014-04-01,0,1,0,1,1
MACHACAMARCA,internaciones,3      egresos,2014-04-01,0,4,0,4,4
MACHARETI,internaciones,3      egresos,2014-04-01,0,6,0,6,6
MAGDALENA,internaciones,3      egresos,2014-04-01,39,67,39,67,106
MAIRANA,internaciones,3      egresos,2014-04-01,7,54,7,54,61
MAPIRI,internaciones,3      egresos,2014-04-01,3,50,3,50,53
MECAPACA,internaciones,3      egresos,2014-04-01,0,3,0,3,3
MINEROS,internaciones,3      egresos,2014-04-01,3,10,3,10,13
MIZQUE,internaciones,3      egresos,2014-04-01,7,48,7,48,55
MOCOMOCO,internaciones,3      egresos,2014-04-01,0,3,0,3,3
MOJOCOYA,internaciones,3      egresos,2014-04-01,0,12,0,12,12
MONTEAGUDO,internaciones,3      egresos,2014-04-01,64,136,64,136,200
MONTERO,internaciones,3      egresos,2014-04-01,263,617,263,617,880
MORO MORO,internaciones,3      egresos,2014-04-01,0,2,0,2,2
MOROCHATA,internaciones,3      egresos,2014-04-01,2,2,2,2,4
NAZACARA DE PACAJES,internaciones,3      egresos,2014-04-01,0,1,0,1,1
OCURI,internaciones,3      egresos,2014-04-01,0,9,0,9,9
OKINAWA,internaciones,3      egresos,2014-04-01,5,23,5,23,28
OMEREQUE,internaciones,3      egresos,2014-04-01,4,8,4,8,12
ORURO,internaciones,3      egresos,2014-04-01,694,2148,694,2148,2842
PADILLA,internaciones,3      egresos,2014-04-01,37,69,37,69,106
PAILON,internaciones,3      egresos,2014-04-01,43,76,43,76,119
PALCA,internaciones,3      egresos,2014-04-01,0,4,0,4,4
PALOS BLANCOS,internaciones,3      egresos,2014-04-01,4,30,4,30,34
PAMPA GRANDE,internaciones,3      egresos,2014-04-01,5,24,5,24,29
PAPEL PAMPA,internaciones,3      egresos,2014-04-01,0,3,0,3,3
PASORAPA,internaciones,3      egresos,2014-04-01,4,5,4,5,9
PATACAMAYA,internaciones,3      egresos,2014-04-01,0,51,0,51,51
PAZÑA,internaciones,3      egresos,2014-04-01,0,2,0,2,2
PELECHUCO,internaciones,3      egresos,2014-04-01,1,2,1,2,3
POCOATA,internaciones,3      egresos,2014-04-01,0,10,0,10,10
POCONA,internaciones,3      egresos,2014-04-01,0,15,0,15,15
POJO (CBBA),internaciones,3      egresos,2014-04-01,2,7,2,7,9
POOPO,internaciones,3      egresos,2014-04-01,0,4,0,4,4
POROMA,internaciones,3      egresos,2014-04-01,1,5,1,5,6
PORONGO,internaciones,3      egresos,2014-04-01,0,2,0,2,2
PORTACHUELO,internaciones,3      egresos,2014-04-01,63,133,63,133,196
PORVENIR,internaciones,3      egresos,2014-04-01,2,10,2,10,12
POSTRER VALLE,internaciones,3      egresos,2014-04-01,0,1,0,1,1
POTOSI,internaciones,3      egresos,2014-04-01,723,1323,723,1323,2046
PRESTO,internaciones,3      egresos,2014-04-01,2,4,2,4,6
PUCARANI,internaciones,3      egresos,2014-04-01,2,22,2,22,24
PUERTO ACOSTA,internaciones,3      egresos,2014-04-01,0,7,0,7,7
PUERTO CARABUCO,internaciones,3      egresos,2014-04-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,3      egresos,2014-04-01,6,7,6,7,13
PUERTO QUIJARRO,internaciones,3      egresos,2014-04-01,20,24,20,24,44
PUERTO RICO,internaciones,3      egresos,2014-04-01,11,25,11,25,36
PUERTO SUAREZ,internaciones,3      egresos,2014-04-01,27,89,27,89,116
PUERTO VILLARROEL,internaciones,3      egresos,2014-04-01,73,178,73,178,251
PUNA,internaciones,3      egresos,2014-04-01,0,10,0,10,10
PUNATA,internaciones,3      egresos,2014-04-01,85,206,85,206,291
QUIABAYA,internaciones,3      egresos,2014-04-01,0,3,0,3,3
QUILLACOLLO,internaciones,3      egresos,2014-04-01,10,362,10,362,372
QUIME,internaciones,3      egresos,2014-04-01,2,9,2,9,11
QUIRUSILLAS,internaciones,3      egresos,2014-04-01,2,2,2,2,4
RAVELO,internaciones,3      egresos,2014-04-01,0,3,0,3,3
REYES,internaciones,3      egresos,2014-04-01,6,31,6,31,37
RIBERALTA,internaciones,3      egresos,2014-04-01,257,692,257,692,949
ROBORE,internaciones,3      egresos,2014-04-01,36,64,36,64,100
RURRENABAQUE,internaciones,3      egresos,2014-04-01,40,107,40,107,147
SABAYA,internaciones,3      egresos,2014-04-01,0,1,0,1,1
SACABA,internaciones,3      egresos,2014-04-01,123,380,123,380,503
SACABAMBA,internaciones,3      egresos,2014-04-01,7,10,7,10,17
SACACA,internaciones,3      egresos,2014-04-01,3,9,3,9,12
SAIPINA,internaciones,3      egresos,2014-04-01,2,10,2,10,12
SALINAS DE GARCI MENDOZA,internaciones,3      egresos,2014-04-01,0,10,0,10,10
SAMAIPATA,internaciones,3      egresos,2014-04-01,5,18,5,18,23
SAN ANDRES,internaciones,3      egresos,2014-04-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,internaciones,3      egresos,2014-04-01,2,3,2,3,5
SAN BENITO,internaciones,3      egresos,2014-04-01,5,8,5,8,13
SAN BORJA,internaciones,3      egresos,2014-04-01,47,142,47,142,189
SAN BUENA VENTURA,internaciones,3      egresos,2014-04-01,26,20,26,20,46
SAN CARLOS,internaciones,3      egresos,2014-04-01,51,108,51,108,159
SAN IGNACIO,internaciones,3      egresos,2014-04-01,25,85,25,85,110
SAN IGNACIO DE VELASCO,internaciones,3      egresos,2014-04-01,81,245,81,245,326
SAN JAVIER(STC),internaciones,3      egresos,2014-04-01,14,47,14,47,61
SAN JOAQUIN,internaciones,3      egresos,2014-04-01,13,24,13,24,37
SAN JOSE DE CHIQUITOS,internaciones,3      egresos,2014-04-01,95,128,95,128,223
SAN JUAN DE YAPACANI,internaciones,3      egresos,2014-04-01,0,2,0,2,2
SAN JULIAN,internaciones,3      egresos,2014-04-01,42,140,42,140,182
SAN LORENZO(TJA),internaciones,3      egresos,2014-04-01,0,5,0,5,5
SAN LUCAS,internaciones,3      egresos,2014-04-01,16,43,16,43,59
SAN MATIAS,internaciones,3      egresos,2014-04-01,20,37,20,37,57
SAN MIGUEL DE VELASCO,internaciones,3      egresos,2014-04-01,3,20,3,20,23
SAN PEDRO,internaciones,3      egresos,2014-04-01,4,6,4,6,10
SAN PEDRO DE BUENA VISTA,internaciones,3      egresos,2014-04-01,0,5,0,5,5
SAN RAFAEL,internaciones,3      egresos,2014-04-01,3,23,3,23,26
SAN RAMON BENI,internaciones,3      egresos,2014-04-01,12,27,12,27,39
SAN RAMON SCZ,internaciones,3      egresos,2014-04-01,8,37,8,37,45
SANTA ANA,internaciones,3      egresos,2014-04-01,47,108,47,108,155
SANTA CRUZ DE LA SIERRA,internaciones,3      egresos,2014-04-01,4566,9352,4566,9352,13918
SANTA ROSA,internaciones,3      egresos,2014-04-01,10,35,10,35,45
SANTA ROSA DEL SARA,internaciones,3      egresos,2014-04-01,6,15,6,15,21
SANTIAGO DE CALLAPA,internaciones,3      egresos,2014-04-01,0,2,0,2,2
SANTIAGO DE HUARI,internaciones,3      egresos,2014-04-01,0,11,0,11,11
SANTIAGO DE HUATA,internaciones,3      egresos,2014-04-01,0,2,0,2,2
SANTIAGO DE MACHACA,internaciones,3      egresos,2014-04-01,0,2,0,2,2
SANTIVAÑES,internaciones,3      egresos,2014-04-01,0,6,0,6,6
SANTUARIO DE QUILLACAS,internaciones,3      egresos,2014-04-01,1,2,1,2,3
SAPAHAQUI,internaciones,3      egresos,2014-04-01,0,5,0,5,5
SHINAOTA,internaciones,3      egresos,2014-04-01,27,107,27,107,134
SICA SICA (VILLA AROMA),internaciones,3      egresos,2014-04-01,0,9,0,9,9
SICAYA,internaciones,3      egresos,2014-04-01,0,1,0,1,1
SIPE SIPE,internaciones,3      egresos,2014-04-01,0,33,0,33,33
SOPACHUY,internaciones,3      egresos,2014-04-01,5,10,5,10,15
SORACACHI,internaciones,3      egresos,2014-04-01,0,2,0,2,2
SORATA,internaciones,3      egresos,2014-04-01,5,12,5,12,17
SUCRE,internaciones,3      egresos,2014-04-01,1825,1825,1825,1825,3650
TACACHI,internaciones,3      egresos,2014-04-01,0,2,0,2,2
TACACOMA,internaciones,3      egresos,2014-04-01,0,6,0,6,6
TACOPAYA,internaciones,3      egresos,2014-04-01,1,9,1,9,10
TAPACARI,internaciones,3      egresos,2014-04-01,0,9,0,9,9
TARABUCO,internaciones,3      egresos,2014-04-01,16,43,16,43,59
TARATA,internaciones,3      egresos,2014-04-01,0,5,0,5,5
TARIJA,internaciones,3      egresos,2014-04-01,791,741,791,741,1532
TARVITA,internaciones,3      egresos,2014-04-01,7,21,7,21,28
TEOPONTE,internaciones,3      egresos,2014-04-01,0,13,0,13,13
TIAWANACU,internaciones,3      egresos,2014-04-01,0,11,0,11,11
TIPUANI,internaciones,3      egresos,2014-04-01,12,20,12,20,32
TIQUIPAYA,internaciones,3      egresos,2014-04-01,27,159,27,159,186
TIRAQUE (CBBA),internaciones,3      egresos,2014-04-01,0,20,0,20,20
TOCO,internaciones,3      egresos,2014-04-01,0,2,0,2,2
TOLATA,internaciones,3      egresos,2014-04-01,2,10,2,10,12
TOMINA,internaciones,3      egresos,2014-04-01,3,29,3,29,32
TORO TORO,internaciones,3      egresos,2014-04-01,0,4,0,4,4
TOTORA(CBBA),internaciones,3      egresos,2014-04-01,4,38,4,38,42
TOTORA(ORR),internaciones,3      egresos,2014-04-01,0,5,0,5,5
TRIGAL,internaciones,3      egresos,2014-04-01,5,8,5,8,13
TRINIDAD,internaciones,3      egresos,2014-04-01,451,931,451,931,1382
TUPIZA,internaciones,3      egresos,2014-04-01,134,220,134,220,354
UMALA,internaciones,3      egresos,2014-04-01,0,5,0,5,5
UNCIA,internaciones,3      egresos,2014-04-01,0,17,0,17,17
URUBICHA,internaciones,3      egresos,2014-04-01,3,22,3,22,25
UYUNI,internaciones,3      egresos,2014-04-01,28,103,28,103,131
VACAS,internaciones,3      egresos,2014-04-01,0,5,0,5,5
VALLEGRANDE,internaciones,3      egresos,2014-04-01,43,96,43,96,139
VIACHA,internaciones,3      egresos,2014-04-01,33,109,33,109,142
VILA VILA,internaciones,3      egresos,2014-04-01,0,4,0,4,4
VILLA CHARCAS,internaciones,3      egresos,2014-04-01,0,17,0,17,17
VILLA MONTES,internaciones,3      egresos,2014-04-01,73,244,73,244,317
VILLA RIVERO,internaciones,3      egresos,2014-04-01,6,15,6,15,21
VILLA SERRANO,internaciones,3      egresos,2014-04-01,0,2,0,2,2
VILLA TUNARI,internaciones,3      egresos,2014-04-01,104,342,104,342,446
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,3      egresos,2014-04-01,4,6,4,6,10
VILLAZON,internaciones,3      egresos,2014-04-01,59,152,59,152,211
VINTO,internaciones,3      egresos,2014-04-01,5,103,5,103,108
WARNES,internaciones,3      egresos,2014-04-01,60,129,60,129,189
YACO,internaciones,3      egresos,2014-04-01,0,5,0,5,5
YACUIBA,internaciones,3      egresos,2014-04-01,301,538,301,538,839
YAMPARAEZ,internaciones,3      egresos,2014-04-01,0,6,0,6,6
YANACACHI,internaciones,3      egresos,2014-04-01,0,1,0,1,1
YAPACANI,internaciones,3      egresos,2014-04-01,265,286,265,286,551
YOTALA,internaciones,3      egresos,2014-04-01,1,13,1,13,14
ZUDAÑEZ,internaciones,3      egresos,2014-04-01,32,49,32,49,81
ACHACACHI,internaciones,3      egresos,2014-05-01,10,51,10,51,61
ACHOCALLA,internaciones,3      egresos,2014-05-01,0,2,0,2,2
AIQUILE,internaciones,3      egresos,2014-05-01,37,69,37,69,106
ALALAY,internaciones,3      egresos,2014-05-01,0,2,0,2,2
ALCALA,internaciones,3      egresos,2014-05-01,1,3,1,3,4
ALTO BENI,internaciones,3      egresos,2014-05-01,0,8,0,8,8
ANCORAIMES,internaciones,3      egresos,2014-05-01,0,1,0,1,1
ANTEQUERA,internaciones,3      egresos,2014-05-01,0,4,0,4,4
ANZALDO,internaciones,3      egresos,2014-05-01,5,20,5,20,25
APOLO,internaciones,3      egresos,2014-05-01,5,29,5,29,34
ARAMPAMPA,internaciones,3      egresos,2014-05-01,2,6,2,6,8
ARANI,internaciones,3      egresos,2014-05-01,0,16,0,16,16
ARBIETO,internaciones,3      egresos,2014-05-01,0,8,0,8,8
ASCENCION DE GUARAYOS,internaciones,3      egresos,2014-05-01,64,165,64,165,229
ATOCHA,internaciones,3      egresos,2014-05-01,46,64,46,64,110
AYATA,internaciones,3      egresos,2014-05-01,0,5,0,5,5
AYO AYO,internaciones,3      egresos,2014-05-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,3      egresos,2014-05-01,11,45,11,45,56
AZURDUY,internaciones,3      egresos,2014-05-01,8,15,8,15,23
BAURES,internaciones,3      egresos,2014-05-01,4,16,4,16,20
BELLA FLOR,internaciones,3      egresos,2014-05-01,0,2,0,2,2
BERMEJO,internaciones,3      egresos,2014-05-01,63,53,63,53,116
BETANZOS,internaciones,3      egresos,2014-05-01,2,45,2,45,47
BOLIVAR,internaciones,3      egresos,2014-05-01,0,1,0,1,1
BOYUIBE,internaciones,3      egresos,2014-05-01,12,21,12,21,33
BUENA VISTA,internaciones,3      egresos,2014-05-01,6,8,6,8,14
CABEZAS,internaciones,3      egresos,2014-05-01,7,20,7,20,27
CAIROMA,internaciones,3      egresos,2014-05-01,5,11,5,11,16
"CAIZA ""D""",internaciones,3      egresos,2014-05-01,2,3,2,3,5
CAJUATA,internaciones,3      egresos,2014-05-01,0,6,0,6,6
CALACOTO,internaciones,3      egresos,2014-05-01,1,3,1,3,4
CALAMARCA,internaciones,3      egresos,2014-05-01,0,5,0,5,5
CAMARGO,internaciones,3      egresos,2014-05-01,29,82,29,82,111
CAMATAQUI (C. VILLA ABECIA),internaciones,3      egresos,2014-05-01,0,3,0,3,3
CAMIRI,internaciones,3      egresos,2014-05-01,155,346,155,346,501
CAPINOTA,internaciones,3      egresos,2014-05-01,3,38,3,38,41
CAQUIAVIRI,internaciones,3      egresos,2014-05-01,0,1,0,1,1
CARACOLLO,internaciones,3      egresos,2014-05-01,2,29,2,29,31
CARANAVI,internaciones,3      egresos,2014-05-01,38,166,38,166,204
CARAPARI,internaciones,3      egresos,2014-05-01,3,8,3,8,11
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-05-01,10,18,10,18,28
CHALLAPATA,internaciones,3      egresos,2014-05-01,9,80,9,80,89
CHAQUI,internaciones,3      egresos,2014-05-01,0,5,0,5,5
CHARAGUA,internaciones,3      egresos,2014-05-01,46,137,46,137,183
CHAYANTA,internaciones,3      egresos,2014-05-01,0,13,0,13,13
CHIMORE,internaciones,3      egresos,2014-05-01,0,13,0,13,13
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-05-01,56,108,56,108,164
CHUMA,internaciones,3      egresos,2014-05-01,1,1,1,1,2
CLIZA,internaciones,3      egresos,2014-05-01,26,74,26,74,100
COBIJA,internaciones,3      egresos,2014-05-01,243,385,243,385,628
COCAPATA,internaciones,3      egresos,2014-05-01,0,1,0,1,1
COCHABAMBA,internaciones,3      egresos,2014-05-01,3188,5349,3188,5349,8537
COLCAPIRHUA,internaciones,3      egresos,2014-05-01,43,86,43,86,129
"COLCHA ""K""",internaciones,3      egresos,2014-05-01,0,1,0,1,1
COLLANA,internaciones,3      egresos,2014-05-01,0,1,0,1,1
COLOMI,internaciones,3      egresos,2014-05-01,0,23,0,23,23
COLPA BELGICA,internaciones,3      egresos,2014-05-01,6,9,6,9,15
COLQUECHACA,internaciones,3      egresos,2014-05-01,0,7,0,7,7
COLQUENCHA,internaciones,3      egresos,2014-05-01,0,8,0,8,8
COLQUIRI,internaciones,3      egresos,2014-05-01,0,4,0,4,4
COMARAPA,internaciones,3      egresos,2014-05-01,13,57,13,57,70
CONCEPCION,internaciones,3      egresos,2014-05-01,19,53,19,53,72
COPACABANA,internaciones,3      egresos,2014-05-01,1,7,1,7,8
CORIPATA,internaciones,3      egresos,2014-05-01,0,12,0,12,12
CORO CORO,internaciones,3      egresos,2014-05-01,0,3,0,3,3
COROICO,internaciones,3      egresos,2014-05-01,32,69,32,69,101
CORQUE,internaciones,3      egresos,2014-05-01,1,5,1,5,6
COTAGAITA,internaciones,3      egresos,2014-05-01,3,12,3,12,15
COTOCA,internaciones,3      egresos,2014-05-01,13,133,13,133,146
CUATRO CAÑADAS,internaciones,3      egresos,2014-05-01,17,38,17,38,55
CUEVO,internaciones,3      egresos,2014-05-01,1,7,1,7,8
CULPINA,internaciones,3      egresos,2014-05-01,12,37,12,37,49
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-05-01,0,7,0,7,7
DESAGUADERO,internaciones,3      egresos,2014-05-01,0,7,0,7,7
EL ALTO,internaciones,3      egresos,2014-05-01,1066,2971,1066,2971,4037
EL CHORO,internaciones,3      egresos,2014-05-01,0,4,0,4,4
EL PUENTE(STC),internaciones,3      egresos,2014-05-01,11,26,11,26,37
EL PUENTE(TJA),internaciones,3      egresos,2014-05-01,0,4,0,4,4
EL TORNO,internaciones,3      egresos,2014-05-01,238,367,238,367,605
EL VILLAR,internaciones,3      egresos,2014-05-01,1,4,1,4,5
ENTRE RIOS TRJ,internaciones,3      egresos,2014-05-01,6,26,6,26,32
ENTRE RIOS CBBA,internaciones,3      egresos,2014-05-01,10,36,10,36,46
ESCOMA,internaciones,3      egresos,2014-05-01,2,20,2,20,22
EUCALIPTUS,internaciones,3      egresos,2014-05-01,0,5,0,5,5
EXALTACION,internaciones,3      egresos,2014-05-01,1,6,1,6,7
FERNANDEZ ALONSO,internaciones,3      egresos,2014-05-01,12,25,12,25,37
GENERAL SAAVEDRA,internaciones,3      egresos,2014-05-01,1,34,1,34,35
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-05-01,3,6,3,6,9
GUANAY,internaciones,3      egresos,2014-05-01,0,10,0,10,10
GUAQUI,internaciones,3      egresos,2014-05-01,0,2,0,2,2
GUAYARAMERIN,internaciones,3      egresos,2014-05-01,156,345,156,345,501
GUTIERREZ,internaciones,3      egresos,2014-05-01,6,33,6,33,39
HUACARETA,internaciones,3      egresos,2014-05-01,7,8,7,8,15
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-05-01,1,3,1,3,4
HUACHACALLA,internaciones,3      egresos,2014-05-01,2,4,2,4,6
HUANUNI,internaciones,3      egresos,2014-05-01,82,98,82,98,180
HUARACAJE,internaciones,3      egresos,2014-05-01,8,16,8,16,24
HUARINA,internaciones,3      egresos,2014-05-01,0,3,0,3,3
