municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas de hi,TOTAL
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,28,28
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,6,6
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,22,22
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,13,13
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,12,12
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,21,21
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
PORTACHUELO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
POSTRER VALLE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,119,119
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,14,14
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,47,47
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,20,20
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,17,17
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,5,5
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,8,8
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
PUERTO SILES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,84,84
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,51,51
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,24,24
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,139,139
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,12,12
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,16,16
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,28,28
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,114,114
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,24,24
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,114,114
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,46,46
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,12,12
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,11,11
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,8,8
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,8,8
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,68,68
