municipality,group,variable,month,Niños 1 a 4 años con 2da dosis de vitamina A,TOTAL
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,9,9
POCOATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,28,28
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,39,39
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,54,54
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,52,52
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,18,18
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,51,51
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,28,28
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,98,98
QUIME,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,4,4
RAVELO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,1,1
REYES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,30,30
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,15,15
RURRENABAQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,72,72
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,35,35
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,14,14
SAN ANTONIO DE LOMERIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,60,60
SAN BORJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,96,96
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,40,40
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,89,89
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,7,7
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,5,5
SAN JULIAN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,167,167
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,60,60
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,19,19
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,82,82
SAN PEDRO DE CURAHUARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,8,8
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,560,560
SANTA ROSA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,40,40
SICA SICA (VILLA AROMA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,45,45
SOPACHUY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,5,5
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,18,18
TACACOMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,25,25
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,16,16
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,13,13
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,1189,1189
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,45,45
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,52,52
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,27,27
TRINIDAD,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,7,7
TUPIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,9,9
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,37,37
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,139,139
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,8,8
YACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,49,49
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,328,328
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-05-01,9,9
ACHACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,10,10
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,29,29
ANCORAIMES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,37,37
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,10,10
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,8,8
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,23,23
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,13,13
AZURDUY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,22,22
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,31,31
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,11,11
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,77,77
BETANZOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,26,26
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,30,30
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,35,35
"CAIZA ""D""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,35,35
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,64,64
CALACOTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,6,6
CALAMARCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,1,1
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,119,119
CAQUIAVIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,25,25
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,137,137
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,85,85
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,10,10
CATACORA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,7,7
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,5,5
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,73,73
CHARAÑA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,7,7
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,65,65
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,11,11
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,273,273
COLLANA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,41,41
COLQUENCHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,6,6
COLQUIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,128,128
COMANCHE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,21,21
COMBAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,2,2
CONCEPCION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,46,46
COPACABANA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,27,27
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,72,72
CORO CORO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,24,24
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,29,29
CUATRO CAÑADAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,27,27
CUEVO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,7,7
CURVA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,13,13
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,7,7
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,2188,2188
EL PUENTE(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,6,6
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,46,46
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,20,20
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,123,123
GENERAL SAAVEDRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,174,174
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,20,20
GUANAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,36,36
GUAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,36,36
GUTIERREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,127,127
HUARACAJE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,8,8
ICHOCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,20,20
INQUISIVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,94,94
IRUPANA (VILLA DE LANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,82,82
IXIAMAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,4,4
JESUS DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,31,31
LA ASUNTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,122,122
LA PAZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,1488,1488
LAGUNILLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,20,20
LAJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,31,31
LLALLAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,2,2
LORETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,17,17
LURIBAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,125,125
MAGDALENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,27,27
MAPIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,26,26
MECAPACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,35,35
MINEROS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,159,159
MOCOMOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,38,38
MONTERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,152,152
NAZACARA DE PACAJES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,14,14
PADCAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,92,92
PAILON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,50,50
PALCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,4,4
PALOS BLANCOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,153,153
PAPEL PAMPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,18,18
PATACAMAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,36,36
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,25,25
POCOATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,63,63
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,43,43
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,93,93
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,54,54
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,19,19
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,85,85
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,76,76
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,72,72
QUIABAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,20,20
QUILLACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,27,27
QUIME,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,15,15
REYES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,40,40
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,35,35
RURRENABAQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,60,60
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,30,30
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,61,61
SAN BORJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,204,204
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,29,29
SAN CARLOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,4,4
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,67,67
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,14,14
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,3,3
SAN JULIAN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,95,95
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,39,39
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,33,33
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,108,108
SAN PEDRO DE CURAHUARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,61,61
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,25,25
SAN RAMON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,1177,1177
SANTA ROSA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,50,50
SANTIAGO DE CALLAPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,4,4
SANTIAGO DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,10,10
SAPAHAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,5,5
SICA SICA (VILLA AROMA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,107,107
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,90,90
TACACOMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,31,31
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,82,82
TARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,22,22
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,22,22
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,462,462
TARVITA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,107,107
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,23,23
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,25,25
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,17,17
TOMAVE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,2,2
TRINIDAD,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,1,1
TUPIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,1,1
UMALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,13,13
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,38,38
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,117,117
VILLA MONTES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,125,125
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,2,2
WARNES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,45,45
YACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,62,62
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,93,93
YAMPARAEZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,4,4
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,24,24
YOTALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,1,1
YUNCHARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-06-01,12,12
ACACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,140,140
ACHACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,581,581
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,5,5
AIQUILE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,87,87
ALALAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,57,57
ALCALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,5,5
ANCORAIMES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,247,247
ANTEQUERA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,3,3
ANZALDO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,37,37
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,49,49
ARAMPAMPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,15,15
ARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,85,85
ARBIETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,1,1
ARQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,176,176
ASCENCION DE GUARAYOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,44,44
ATOCHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,25,25
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,22,22
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,125,125
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,38,38
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,102,102
AZURDUY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,295,295
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,78,78
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,12,12
BELEN DE URMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,20,20
BELLA FLOR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,51,51
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,68,68
BETANZOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,383,383
BOLIVAR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,141,141
BOLPEBRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,11,11
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,35,35
BUENA VISTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,124,124
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,67,67
CAIROMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,237,237
"CAIZA ""D""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,47,47
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,110,110
CALACOTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,25,25
CALAMARCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,76,76
CAMARGO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,191,191
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,28,28
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,94,94
CAPINOTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,89,89
CAQUIAVIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,73,73
CARACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,131,131
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,152,152
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,50,50
CARIPUYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,147,147
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,19,19
CATACORA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,59,59
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,2,2
CHALLAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,269,269
CHAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,14,14
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,141,141
CHARAÑA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,26,26
CHAYANTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,7,7
CHIPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,4,4
CHOQUE COTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,37,37
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,148,148
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,48,48
CLIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,11,11
COBIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,331,331
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,910,910
COIPASA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,7,7
COLCAPIRHUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,267,267
"COLCHA ""K""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,5,5
COLLANA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,36,36
COLOMI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,35,35
COLPA BELGICA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,57,57
COLQUECHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,394,394
COLQUENCHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,59,59
COLQUIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,123,123
COMANCHE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,38,38
COMARAPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-07-01,159,159
