municipality,group,variable,month,Mujeres puérperas que recibieron dosis única d,TOTAL
ORURO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,148,148
PADCAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,22,22
PADILLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,25,25
PAILON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
PALCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,15,15
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,47,47
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,3,3
PAMPA GRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,11,11
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,12,12
PASORAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,27,27
PAZÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
PELECHUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,8,8
POCOATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,28,28
POCONA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,30,30
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,15,15
POOPO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,8,8
PORCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
POROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,23,23
PORONGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,30,30
PORVENIR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
POSTRER VALLE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1,1
POTOSI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,179,179
PRESTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,20,20
PUCARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,3,3
PUCARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,23,23
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,24,24
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,21,21
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,12,12
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,11,11
PUERTO QUIJARRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,13,13
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,18,18
PUERTO SILES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
PUERTO SUAREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,30,30
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,105,105
PUNA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,46,46
PUNATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,48,48
QUIABAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,4,4
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,218,218
QUIME,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
QUIRUSILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
RAVELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,48,48
REYES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,60,60
RIBERALTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,169,169
ROBORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,19,19
RURRENABAQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,28,28
SABAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
SACABA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,119,119
SACABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,7,7
SACACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,55,55
SAIPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,13,13
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,7,7
SAN AGUSTIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,4,4
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,16,16
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
SAN BENITO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,15,15
SAN BORJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,102,102
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,8,8
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,47,47
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,22,22
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,120,120
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
SAN JAVIER(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,17,17
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,8,8
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,50,50
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,27,27
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,111,111
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,7,7
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,35,35
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,59,59
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,33,33
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,17,17
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,24,24
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,31,31
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,9,9
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
SAN PEDRO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
SAN RAFAEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,12,12
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,18,18
SANTA ANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,39,39
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1825,1825
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,3,3
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,29,29
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,12,12
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,3,3
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1,1
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,15,15
SENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,26,26
SICAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,31,31
SOPACHUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,25,25
SORACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
SORATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,20,20
SUCRE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,259,259
TACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1,1
TACACOMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,16,16
TACOPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,25,25
TAHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1,1
TAPACARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,54,54
TARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,54,54
TARACO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
TARATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,8,8
TARIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,107,107
TARVITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,31,31
TEOPONTE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
TIAWANACU,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,14,14
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,24,24
TIPUANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,15,15
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,49,49
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,75,75
TOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,3,3
TOLATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
TOLEDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
TOMAVE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
TOMINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,16,16
TORO TORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,19,19
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,30,30
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,10,10
TRINIDAD,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,265,265
TUPIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,75,75
TURCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
UMALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
UNCIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,51,51
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,7,7
URUBICHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,11,11
UYUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,45,45
VACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,22,22
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,28,28
VIACHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,29,29
VILA VILA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,72,72
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,2,2
VILLA RIVERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,7,7
VILLA SERRANO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,14,14
VILLA TUNARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,98,98
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,12,12
VILLAZON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,62,62
VINTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,43,43
VITICHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,19,19
WALDO BALLIVIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,1,1
WARNES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,74,74
YACO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,6,6
YACUIBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,128,128
YAMPARAEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,13,13
YANACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,3,3
YAPACANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,92,92
YOCALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,12,12
YOTALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,9,9
YUNCHARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,5,5
ZUDAÑEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-04-01,9,9
ACACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,12,12
ACHACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,57,57
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,11,11
AIQUILE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,43,43
ALALAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
ALCALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,27,27
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,3,3
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,2,2
ANZALDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,10,10
APOLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,37,37
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,10,10
ARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,6,6
ARBIETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
ARQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,56,56
ATOCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,12,12
AUCAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,8,8
AYATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,13,13
AYO AYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,47,47
AZURDUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,23,23
BATALLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,13,13
BAURES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,13,13
BELEN DE URMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,2,2
BELLA FLOR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
BERMEJO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,13,13
BETANZOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,56,56
BOLIVAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,17,17
BOLPEBRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,3,3
BOYUIBE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,15,15
CABEZAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,54,54
CAIROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,10,10
"CAIZA ""D""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,15,15
CAJUATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,19,19
CALACOTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
CALAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,10,10
CAMARGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
CAMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,68,68
CAPINOTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,24,24
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,8,8
CARACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,27,27
CARANAVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,106,106
CARANGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,1,1
CARAPARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
CARIPUYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,20,20
CATACORA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,1,1
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,48,48
CHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
CHARAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,47,47
CHARAÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,1,1
CHAYANTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,30,30
CHIMORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,27,27
CHIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,35,35
CHUMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,12,12
CLIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,18,18
COBIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,81,81
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,314,314
COIPASA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,1,1
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,25,25
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,13,13
COLOMI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,37,37
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,59,59
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,9,9
COLQUIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,33,33
COMANCHE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,2,2
COMARAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,44,44
COMBAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
COPACABANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
CORIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,24,24
CORO CORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,9,9
COROICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,36,36
CORQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,14,14
COTAGAITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,31,31
COTOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,76,76
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,28,28
CUEVO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
CULPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,39,39
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,6,6
CURVA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,1,1
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
EL ALTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,879,879
EL CHORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
EL PUENTE(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,20,20
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,15,15
EL TORNO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,37,37
EL VILLAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,29,29
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,25,25
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,11,11
EXALTACION,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,3,3
FILADELFIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,17,17
GUANAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
GUAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,29,29
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,16,16
HUACARETA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,20,20
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
HUACHACALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,1,1
HUANUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,36,36
HUARACAJE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,5,5
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,8,8
ICHOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
ICLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,12,12
INCAHUASI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,46,46
INQUISIVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,33,33
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
IXIAMAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,16,16
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,13,13
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,29,29
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,36,36
LA PAZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,896,896
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,8,8
LAJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,12,12
LAS CARRERAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,2,2
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,48,48
LLICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
LORETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,6,6
LURIBAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,7,7
MACHARETI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,10,10
MAGDALENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,10,10
MAIRANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,25,25
MALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,4,4
MAPIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,20,20
MECAPACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,8,8
MINEROS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,22,22
MIZQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,33,33
MOCOMOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,22,22
MOJOCOYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,17,17
MONTEAGUDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-05-01,47,47
