municipality,group,variable,month,Niños de 1 a 4 años con 1ra dosis vitamina A,TOTAL
TRINIDAD,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,449,449
TUPIZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,321,321
TURCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,29,29
UMALA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,136,136
UNCIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,23,23
URIONDO (A. CONCEPCION),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,46,46
URUBICHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,160,160
UYUNI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,102,102
VACAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,52,52
VALLEGRANDE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,201,201
VIACHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,82,82
VILA VILA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,34,34
VILLA MONTES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,223,223
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,3,3
VILLA RIVERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,34,34
VILLA SERRANO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,260,260
VILLA TUNARI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,540,540
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,165,165
VILLAZON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,247,247
VINTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,244,244
VITICHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,216,216
WALDO BALLIVIAN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,1,1
WARNES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,1410,1410
YACO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,51,51
YACUIBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,293,293
YAMPARAEZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,62,62
YANACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,40,40
YAPACANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,275,275
YOCALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,213,213
YOTALA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,171,171
YUNCHARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,25,25
ZUDAÑEZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-02-01,18,18
ACACIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,152,152
ACHACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,637,637
ACHOCALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,31,31
AIQUILE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,189,189
ALALAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,91,91
ALCALA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,66,66
ANCORAIMES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,116,116
ANDAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,48,48
ANTEQUERA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,21,21
ANZALDO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,118,118
APOLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,67,67
ARAMPAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,89,89
ARANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,110,110
ARBIETO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,71,71
ARQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,128,128
ASCENCION DE GUARAYOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,16,16
ATOCHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,67,67
AUCAPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,89,89
AYATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,101,101
AYO AYO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,44,44
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,311,311
AZURDUY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,410,410
BATALLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,109,109
BAURES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,16,16
BELEN DE URMIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,36,36
BELLA FLOR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,39,39
BERMEJO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,252,252
BETANZOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,765,765
BOLIVAR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,163,163
BOLPEBRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,41,41
BOYUIBE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,80,80
BUENA VISTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,180,180
CABEZAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,75,75
CAIROMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,218,218
"CAIZA ""D""",micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,114,114
CAJUATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,81,81
CALACOTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,116,116
CALAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,145,145
CAMARGO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,251,251
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,52,52
CAMIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,159,159
CAPINOTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,82,82
CAQUIAVIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,247,247
CARACOLLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,138,138
CARANAVI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,353,353
CARANGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1,1
CARAPARI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,110,110
CARIPUYO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,230,230
CARMEN RIVERO TORREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,3,3
CATACORA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1,1
CHACARILLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,15,15
CHALLAPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,142,142
CHAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,199,199
CHARAGUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,117,117
CHARAÑA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,35,35
CHAYANTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,35,35
CHIMORE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,29,29
CHIPAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,9,9
CHOQUE COTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,27,27
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,105,105
CHUMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,75,75
CLIZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,35,35
COBIJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,258,258
COCHABAMBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1839,1839
COIPASA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,21,21
COLCAPIRHUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,95,95
"COLCHA ""K""",micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,122,122
COLLANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,10,10
COLOMI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,80,80
COLPA BELGICA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,88,88
COLQUECHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,569,569
COLQUENCHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,66,66
COLQUIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,183,183
COMANCHE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,80,80
COMARAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,239,239
COMBAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,47,47
CONCEPCION,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,49,49
COPACABANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,63,63
CORIPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,40,40
CORO CORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,157,157
COROICO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,85,85
CORQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,127,127
COTAGAITA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,419,419
COTOCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,470,470
CUATRO CAÑADAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,95,95
CUEVO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,20,20
CULPINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,450,450
CURAHUARA DE CARANGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,13,13
CURVA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,53,53
DESAGUADERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,16,16
EL ALTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1954,1954
EL CHORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1,1
EL PUENTE(STC),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,124,124
EL PUENTE(TJA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,93,93
EL TORNO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,465,465
EL VILLAR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,118,118
ENTRE RIOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,168,168
ENTRE RIOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,232,232
EUCALIPTUS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,46,46
EUREKA (SANTOS MERCADO),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,14,14
EXALTACION,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,40,40
FERNANDEZ ALONSO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,121,121
FILADELFIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,57,57
GENERAL SAAVEDRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,162,162
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,156,156
GUANAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,60,60
GUAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,21,21
GUAYARAMERIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,118,118
GUTIERREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,77,77
HUACARETA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,272,272
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,23,23
HUACHACALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,19,19
HUANUNI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,121,121
HUARACAJE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,35,35
HUAYLLAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,47,47
ICHOCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,73,73
ICLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,159,159
INCAHUASI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,658,658
INQUISIVI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,202,202
IRUPANA (VILLA DE LANZA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,213,213
IXIAMAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,29,29
JESUS DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,72,72
LA ASUNTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,101,101
LA GUARDIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,229,229
LA PAZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,2471,2471
LA RIVERA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,2,2
LAGUNILLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,74,74
LAJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,128,128
LAS CARRERAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,45,45
LICOMA PAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,71,71
LLALLAGUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,341,341
LLICA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,20,20
LORETO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,50,50
LURIBAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,268,268
MACHACAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,43,43
MACHARETI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,85,85
MAGDALENA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,40,40
MAIRANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,71,71
MALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,69,69
MAPIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,46,46
MECAPACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,45,45
MINEROS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,265,265
MIZQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,335,335
MOCOMOCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,251,251
MOJINETE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,11,11
MOJOCOYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,220,220
MONTEAGUDO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,408,408
MONTERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,774,774
MORO MORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,41,41
MOROCHATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,372,372
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,11,11
NAZACARA DE PACAJES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,33,33
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,12,12
OCURI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,219,219
OKINAWA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,137,137
OMEREQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,103,103
ORURO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1230,1230
PADCAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,189,189
PADILLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,168,168
PAILON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,80,80
PALCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,71,71
PALOS BLANCOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,443,443
PAMPA AULLAGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,25,25
PAMPA GRANDE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,116,116
PAPEL PAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,10,10
PASORAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,86,86
PATACAMAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,41,41
PAZÑA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,41,41
PELECHUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,85,85
POCOATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,485,485
POCONA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,106,106
POJO (CBBA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,259,259
POOPO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,21,21
PORCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,101,101
POROMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,358,358
PORONGO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,22,22
PORTACHUELO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,179,179
PORVENIR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,91,91
POSTRER VALLE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,34,34
POTOSI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1238,1238
PRESTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,96,96
PUCARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,16,16
PUCARANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,191,191
PUERTO ACOSTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,239,239
PUERTO CARABUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,158,158
PUERTO GONZALO MORENO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,57,57
PUERTO PEREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,50,50
PUERTO QUIJARRO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,155,155
PUERTO RICO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,67,67
PUERTO SILES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1,1
PUERTO SUAREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,165,165
PUERTO VILLARROEL,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,210,210
PUNA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,378,378
PUNATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,88,88
QUIABAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,25,25
QUILLACOLLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,492,492
QUIME,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,24,24
QUIRUSILLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,12,12
RAVELO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,418,418
REYES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,111,111
RIBERALTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,629,629
ROBORE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,364,364
RURRENABAQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,99,99
SABAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,68,68
SACABA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,1850,1850
SACABAMBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,66,66
SACACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,929,929
SAIPINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,79,79
SALINAS DE GARCI MENDOZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,91,91
SAMAIPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,86,86
SAN AGUSTIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,49,49
SAN ANDRES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,142,142
SAN ANDRES DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,26,26
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,30,30
SAN ANTONIO DE LOMERIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,165,165
SAN BENITO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,81,81
SAN BORJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,242,242
SAN BUENA VENTURA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,54,54
SAN CARLOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,251,251
SAN IGNACIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,170,170
SAN IGNACIO DE VELASCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,798,798
SAN JAVIER(BNI),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,89,89
SAN JAVIER(STC),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,132,132
SAN JOAQUIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,98,98
SAN JUAN DE YAPACANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-03-01,114,114
