municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas,TOTAL
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,24,24
VILLAZON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,69,69
VINTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,2,2
VITICHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,15,15
WALDO BALLIVIAN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,5,5
WARNES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,67,67
YACO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,8,8
YACUIBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,99,99
YAMPARAEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,13,13
YANACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,6,6
YAPACANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,61,61
YOCALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,7,7
YOTALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,26,26
YUNCHARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,8,8
ZUDAÑEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-03-01,9,9
ACACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
ACHACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,114,114
ACHOCALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,16,16
AIQUILE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,28,28
ALALAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
ALCALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
ANCORAIMES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
ANTEQUERA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
ANZALDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
APOLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,37,37
ARAMPAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
ARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
ARBIETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
ARQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
ATOCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,67,67
AUCAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
AYATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
AYO AYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,28,28
AZURDUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,59,59
BATALLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,40,40
BAURES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
BELLA FLOR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
BERMEJO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,31,31
BETANZOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,36,36
BOLIVAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
BOLPEBRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
BOYUIBE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,35,35
CABEZAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
CAIROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
"CAIZA ""D""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
CAJUATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
CALACOTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
CALAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,21,21
CAMARGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
CAMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,59,59
CAPINOTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
CAQUIAVIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,22,22
CARACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,28,28
CARANAVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,65,65
CARANGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
CARAPARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
CARIPUYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
CHALLAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,61,61
CHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
CHARAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,99,99
CHARAÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
CHAYANTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
CHIMORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,21,21
CHIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
CHOQUE COTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,44,44
CHUMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
CLIZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,29,29
COBIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,67,67
COCHABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,168,168
COIPASA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
COLCAPIRHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,53,53
"COLCHA ""K""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,19,19
COLLANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
COLOMI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
COLPA BELGICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
COLQUECHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,114,114
COLQUENCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
COLQUIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,51,51
COMANCHE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
COMARAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,23,23
COMBAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
CONCEPCION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,72,72
COPACABANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
CORIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
CORO CORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
COROICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,19,19
CORQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
COTAGAITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,57,57
COTOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,36,36
CUATRO CAÑADAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,36,36
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
CUEVO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
CULPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,16,16
CURAHUARA DE CARANGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
CURVA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
DESAGUADERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
EL ALTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1120,1120
EL CHORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
EL PUENTE(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
EL PUENTE(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,25,25
EL TORNO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,190,190
EL VILLAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,27,27
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
EUCALIPTUS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
EUREKA (SANTOS MERCADO),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
EXALTACION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
FERNANDEZ ALONSO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,14,14
FILADELFIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
GENERAL SAAVEDRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,51,51
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
GUANAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,33,33
GUAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
GUAYARAMERIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,145,145
GUTIERREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
HUACARETA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
HUACHACALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
HUANUNI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,21,21
HUARACAJE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
HUAYLLAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
ICHOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,19,19
ICLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,23,23
INCAHUASI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,31,31
INGAVI (HUMAITA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
INQUISIVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,34,34
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,19,19
IXIAMAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
JESUS DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,16,16
LA ASUNTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,80,80
LA GUARDIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,48,48
LA PAZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1239,1239
LAGUNILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
LAJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,29,29
LAS CARRERAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
LICOMA PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
LLALLAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,62,62
LLICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
LORETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
LURIBAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
MACHACAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
MACHARETI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,18,18
MAGDALENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,11,11
MAIRANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
MALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
MAPIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,27,27
MECAPACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
MINEROS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,30,30
MIZQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,26,26
MOCOMOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
MOJOCOYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
MONTEAGUDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,61,61
MONTERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,117,117
MORO MORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
MOROCHATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,86,86
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
OCURI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,70,70
OKINAWA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
OMEREQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
ORURO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,220,220
PADCAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,32,32
PADILLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,21,21
PAILON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
PALCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
PALOS BLANCOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,68,68
PAMPA AULLAGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
PAMPA GRANDE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
PAPEL PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
PASORAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
PATACAMAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,41,41
PAZÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,16,16
PELECHUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
POCOATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,21,21
POCONA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,26,26
POJO (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,14,14
PORCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
POROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,25,25
PORONGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
PORTACHUELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,18,18
PORVENIR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
POSTRER VALLE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
POTOSI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,185,185
PRESTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,26,26
PUCARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
PUCARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,44,44
PUERTO ACOSTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,55,55
PUERTO CARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,20,20
PUERTO GONZALO MORENO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
PUERTO PEREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
PUERTO RICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,25,25
PUERTO VILLARROEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,47,47
PUNA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,28,28
PUNATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,16,16
QUIABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
QUILLACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,20,20
QUIME,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
QUIRUSILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
RAVELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,57,57
REYES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,38,38
RIBERALTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,150,150
ROBORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,11,11
RURRENABAQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
SABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
SACABA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,59,59
SACABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
SACACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,26,26
SAIPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,17,17
SAMAIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
SAN AGUSTIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
SAN ANDRES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,36,36
SAN ANDRES DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,11,11
SAN BENITO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
SAN BORJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,172,172
SAN BUENA VENTURA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,19,19
SAN CARLOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,28,28
SAN IGNACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,24,24
SAN IGNACIO DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,60,60
SAN JAVIER(BNI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
SAN JAVIER(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,14,14
SAN JOAQUIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,23,23
SAN JUAN DE YAPACANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,14,14
SAN JULIAN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,106,106
SAN LORENZO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
SAN LORENZO(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,50,50
SAN LUCAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,60,60
SAN MIGUEL DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,19,19
SAN PABLO DE LIPEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
SAN PEDRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,35,35
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,40,40
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
SAN PEDRO DE TIQUINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,4,4
SAN PEDRO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,11,11
SAN RAFAEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,46,46
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,10,10
SANTA ANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,23,23
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1199,1199
SANTA ROSA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
SANTA ROSA DEL SARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,14,14
SANTIAGO DE CALLAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
SANTIAGO DE HUARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,15,15
SANTIAGO DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
SANTIVAÑES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,8,8
SANTUARIO DE QUILLACAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,3,3
SAPAHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
SENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,12,12
SICA SICA (VILLA AROMA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,44,44
SICAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
SIPE SIPE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,29,29
SOPACHUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,11,11
SORACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,2,2
SORATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,25,25
SUCRE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,227,227
TACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
TACACOMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,6,6
TACOBAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
TACOPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,14,14
TAHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
TAPACARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,48,48
TARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,28,28
TARACO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,9,9
TARATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,5,5
TARIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,91,91
TARVITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,33,33
TEOPONTE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,20,20
TIAWANACU,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,13,13
TINGUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,7,7
TIPUANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,22,22
TIQUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,11,11
TIRAQUE (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,92,92
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-04-01,1,1
