municipality,group,variable,month,Niños (as) de 6 m. a menores de 2 años que reciben alimento complementario Nutribebé,TOTAL
TOLATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,49,49
TOLEDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,85,85
TOMAVE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,176,176
TOMINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,219,219
TORO TORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,22,22
TOTORA(CBBA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,9,9
TRIGAL,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,15,15
TRINIDAD,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,179,179
TUPIZA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,214,214
TURCO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,65,65
UMALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,112,112
UNCIA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,59,59
URIONDO (A. CONCEPCION),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,278,278
URUBICHA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,28,28
UYUNI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,192,192
VACAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,130,130
VILA VILA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,107,107
VILLA MONTES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,1003,1003
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,19,19
VILLA RIVERO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,57,57
VILLA SERRANO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,229,229
VILLA TUNARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,16,16
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,212,212
VILLAZON,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,491,491
VINTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,32,32
VITICHI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,158,158
YACUIBA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,1011,1011
YAMPARAEZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,45,45
YOCALLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,98,98
YOTALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,182,182
YUNCHARA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,170,170
ZUDAÑEZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-02-01,318,318
ACACIO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,83,83
ACHACACHI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,125,125
AIQUILE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,80,80
ALALAY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,58,58
ALCALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,83,83
ALTO BENI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,14,14
ANCORAIMES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,24,24
ANDAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,87,87
ANTEQUERA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,71,71
ANZALDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,77,77
APOLO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,31,31
ARANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,174,174
ARQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,294,294
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,31,31
ATOCHA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,46,46
AYATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,115,115
AYO AYO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,134,134
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,18,18
AZURDUY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,207,207
BATALLAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,222,222
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,4,4
BELEN DE URMIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,16,16
BELLA FLOR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,4,4
BERMEJO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,769,769
BETANZOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,686,686
BOLIVAR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,38,38
BOLPEBRA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,32,32
BOYUIBE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,85,85
"CAIZA ""D""",micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,171,171
CALACOTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,4,4
CALAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,6,6
CAMARGO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,174,174
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,59,59
CAMIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,7,7
CAPINOTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,361,361
CARACOLLO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,642,642
CARANAVI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,36,36
CARAPARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,303,303
CATACORA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,25,25
CHACARILLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,9,9
CHALLAPATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,674,674
CHAQUI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,154,154
CHARAGUA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,60,60
CHAYANTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,260,260
CHIPAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,33,33
CHOQUE COTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,20,20
CKOCHAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,228,228
CLIZA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,307,307
COBIJA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,342,342
COCAPATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,187,187
COCHABAMBA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,629,629
"COLCHA ""K""",micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,78,78
COLLANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,29,29
COLOMI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,354,354
COLQUECHACA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,997,997
COLQUENCHA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,117,117
COLQUIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,162,162
COMARAPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,48,48
COMBAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,18,18
COPACABANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,177,177
CORO CORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,108,108
CORQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,20,20
COTAGAITA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,294,294
CUEVO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,57,57
CULPINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,93,93
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,105,105
CURVA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,13,13
EL ALTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,2766,2766
EL PUENTE(STC),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,310,310
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,222,222
EL VILLAR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,108,108
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,632,632
ESCOMA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,17,17
ESMERALDA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,3,3
EUCALIPTUS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,135,135
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,36,36
EXALTACION,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,25,25
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,142,142
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,42,42
GUANAY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,89,89
GUAQUI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,106,106
GUTIERREZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,178,178
HUACARETA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,217,217
HUACHACALLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,14,14
HUANUNI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,313,313
HUARINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,11,11
HUAYLLAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,69,69
HUMANATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,78,78
ICHOCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,51,51
ICLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,236,236
INGAVI (HUMAITA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,41,41
IXIAMAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,188,188
LA RIVERA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,1,1
LAGUNILLAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,52,52
LAJA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,56,56
LAS CARRERAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,59,59
LICOMA PAMPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,6,6
LLALLAGUA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,719,719
LLICA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,84,84
LORETO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,9,9
LURIBAY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,73,73
MACHACAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,75,75
MACHARETI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,167,167
MAIRANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,176,176
MALLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,33,33
MAPIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,809,809
MINEROS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,382,382
MIZQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,173,173
MONTEAGUDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,581,581
MONTERO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,115,115
MORO MORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,52,52
MOROCHATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,201,201
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,2,2
OCURI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,518,518
ORURO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,2467,2467
PADCAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,426,426
PADILLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,253,253
PAILON,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,40,40
PAMPA AULLAGAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,68,68
PAPEL PAMPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,9,9
PASORAPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,33,33
PAZÑA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,132,132
POCOATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,503,503
POCONA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,235,235
POOPO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,13,13
POROMA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,386,386
POTOSI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,179,179
PRESTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,166,166
PUCARA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,33,33
PUCARANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,283,283
PUERTO ACOSTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,67,67
PUERTO CARABUCO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,121,121
PUERTO GONZALO MORENO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,126,126
PUERTO PEREZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,92,92
PUERTO RICO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,118,118
PUERTO SILES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,9,9
PUERTO VILLARROEL,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,52,52
PUNA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,402,402
PUNATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,433,433
QUIABAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,2,2
QUILLACOLLO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,1528,1528
QUIRUSILLAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,32,32
RAVELO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,311,311
REYES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,20,20
RIBERALTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,342,342
ROBORE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,343,343
SABAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,34,34
SACABA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,1545,1545
SACACA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,534,534
SAIPINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,3,3
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,188,188
SAN AGUSTIN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,26,26
SAN ANDRES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,4,4
SAN ANDRES DE MACHACA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,32,32
SAN BENITO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,215,215
SAN IGNACIO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,272,272
SAN JAVIER(BNI),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,9,9
SAN JOAQUIN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,56,56
SAN JOSE DE CHIQUITOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,201,201
SAN JUAN DE YAPACANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,38,38
SAN JULIAN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,4,4
SAN LORENZO(TJA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,417,417
SAN LUCAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,870,870
SAN MATIAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,91,91
SAN MIGUEL DE VELASCO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,181,181
SAN PABLO DE LIPEZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,21,21
SAN PEDRO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,315,315
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,458,458
SAN PEDRO DE QUEMES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,8,8
SAN PEDRO DE TIQUINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,67,67
SAN RAFAEL,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,127,127
SAN RAMON BENI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,27,27
SANTA ANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,40,40
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,7177,7177
SANTIAGO DE CALLAPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,82,82
SANTIAGO DE HUARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,156,156
SANTIAGO DE HUATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,1,1
SANTUARIO DE QUILLACAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,63,63
SHINAOTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,101,101
SICA SICA (VILLA AROMA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,179,179
SICAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,52,52
SIPE SIPE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,63,63
SOPACHUY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-03-01,195,195
