municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
SAN JOAQUIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,8,8
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,38,38
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,24,24
SAN JULIAN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,68,68
SAN LORENZO(PND),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
SAN LORENZO(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,20,20
SAN LUCAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,66,66
SAN MATIAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,17,17
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,13,13
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,5,5
SAN PEDRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,26,26
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,9,9
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
SAN PEDRO(PND),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
SAN RAFAEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
SAN RAMON BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,8,8
SAN RAMON SCZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
SANTA ANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,45,45
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,473,473
SANTA ROSA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,14,14
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,14,14
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
SANTIAGO DE HUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,5,5
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
SANTIVAÑES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,8,8
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
SAPAHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
SENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
SHINAOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,53,53
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,16,16
SICAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
SIPE SIPE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,31,31
SOPACHUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
SORACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,13,13
SORATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,17,17
SUCRE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,502,502
TACACOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
TACOBAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,10,10
TACOPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,16,16
TAPACARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,59,59
TARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,32,32
TARACO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,8,8
TARATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
TARIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,407,407
TARVITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,23,23
TEOPONTE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,5,5
TIAWANACU,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,21,21
TINGUIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,26,26
TIPUANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
TIQUIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,68,68
TIRAQUE (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,23,23
TOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
TOLATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
TOLEDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
TOMAVE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
TOMINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,19,19
TORO TORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,10,10
TOTORA(CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,15,15
TOTORA(ORR),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
TRINIDAD,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,51,51
TUPIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,12,12
