,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
CHOQUE COTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,2,0,2,2
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,21,1,21,1,22
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,7,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,7,5,7,12
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,29,0,29,0,29
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,107,0,107,0,107
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,13,12,13,12,25
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1203,1,1203,1,1204
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,42,0,42,0,42
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,7,4,7,11
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,12,1,12,1,13
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,8,8,8,16
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,2,3,2,5
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,12,2,12,14
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,21,0,21,0,21
COMBAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,3,0,3,3
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,18,4,18,4,22
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,0,7,0,7
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,2,0,2,2
COROICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,21,4,21,4,25
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,2,1,2,3
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,10,1,10,1,11
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,77,5,77,5,82
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,18,0,18,0,18
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,3,8,3,11
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,5,0,5,5
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1065,21,1065,21,1086
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,0,6,0,6
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,79,0,79,0,79
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,10,1,10,1,11
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,33,1,33,1,34
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,1,2,1,3
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,2,2,2,4
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,9,0,9,0,9
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,0,8,0,8
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,9,2,9,11
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,0,8,0,8
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,2,3,2,5
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,75,2,75,2,77
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,16,6,16,6,22
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,0,8,0,8
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
HUACHACALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,22,2,22,2,24
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,3,2,3,5
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,2,0,2,2
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,3,0,3,3
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,1,7,1,8
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,8,8,8,16
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,6,3,6,9
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,4,5,4,9
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,9,0,9,0,9
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,1,6,1,7
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,46,6,46,6,52
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,88,0,88,0,88
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1180,3,1180,3,1183
LA RIVERA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
LAJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,6,8,6,14
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,54,5,54,5,59
LLICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
LORETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,1,2,1,3
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,10,1,10,1,11
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,16,0,16,0,16
MALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,12,0,12,0,12
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,14,0,14,0,14
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,18,1,18,1,19
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,14,1,14,15
MOJINETE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,1,6,1,7
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,36,2,36,2,38
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,288,1,288,1,289
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,6,0,6,6
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,12,5,12,5,17
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,0,8,0,8
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,527,17,527,17,544
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,15,0,15,0,15
PAILON,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,37,0,37,0,37
PALCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,7,5,7,12
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,27,15,27,15,42
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,9,0,9,0,9
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,4,2,4,6
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,18,6,18,6,24
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,1,4,1,5
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,7,1,7,8
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,16,12,16,12,28
POCONA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,8,0,8,0,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,1,11,1,12
POOPO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,0,4,0,4
PORCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,0,7,0,7
POROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,5,1,5,6
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,0,5,0,5
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,34,1,34,1,35
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
POSTRER VALLE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,463,4,463,4,467
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,3,1,3,4
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,20,7,20,27
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,5,3,5,8
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,1,5,1,6
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,1,4,1,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,2,1,2,3
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,0,11,0,11
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,1,6,1,7
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,28,1,28,1,29
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,133,2,133,2,135
PUNA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,96,1,96,1,97
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,2,1,2,3
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,209,10,209,10,219
QUIME,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,1,4,1,5
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,5,1,5,6
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,2,2,2,4
REYES,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,16,0,16,0,16
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,215,0,215,0,215
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,17,0,17,0,17
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,37,1,37,1,38
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,1,3,1,4
SACABA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,232,0,232,0,232
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,5,11,5,16
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,1,5,1,6
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,1,2,1,3
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,0,6,0,6
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,1,4,1,5
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,62,25,62,25,87
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,19,3,19,3,22
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,26,0,26,0,26
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,23,5,23,5,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,128,1,128,1,129
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,23,0,23,0,23
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,14,1,14,1,15
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,51,0,51,0,51
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,53,0,53,0,53
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,3,6,3,9
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,24,14,24,14,38
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,19,2,19,2,21
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,15,1,15,1,16
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,9,0,9,0,9
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,14,12,14,12,26
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,7,1,7,8
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,15,6,15,6,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,1,7,1,8
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,27,2,27,2,29
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2883,5,2883,5,2888
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,15,1,15,1,16
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,0,7,0,7
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,3,1,3,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,3,6,3,9
SENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,7,1,7,1,8
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,46,2,46,2,48
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,5,5,5,10
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,39,7,39,7,46
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,0,6,0,6
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
SORATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,8,11,8,19
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,406,2,406,2,408
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,1,2,1,3
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,5,1,5,6
TAHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,13,1,13,14
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,5,1,5,6
TARACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,316,0,316,0,316
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,2,11,2,13
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,2,11,2,13
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,3,5,3,8
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,6,3,6,9
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,65,7,65,7,72
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,13,0,13,0,13
TOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,2,2,2,4
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,1,3,1,4
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,3,6,3,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,22,1,22,1,23
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,3,1,3,4
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,241,1,241,1,242
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,64,3,64,3,67
UMALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,16,2,16,2,18
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,2,3,2,5
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,0,4,0,4
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,39,7,39,7,46
VACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,0,1,0,1
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,15,0,15,0,15
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,74,7,74,7,81
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,1,5,1,6
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,11,4,11,4,15
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,82,2,82,2,84
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,131,14,131,14,145
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,4,3,4,3,7
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,34,0,34,0,34
VINTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,55,3,55,3,58
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,3,3,3,6
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,0,1,0,1,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,82,1,82,1,83
YACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,1,5,1,6
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,138,0,138,0,138
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,5,0,5,0,5
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,88,1,88,1,89
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,3,1,3,4
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,6,0,6,0,6
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,1,1,1,1,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-03-01,3,0,3,0,3
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,34,9,34,9,43
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,2,1,2,3
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,20,0,20,0,20
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,2,0,2,2
ALCALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,2,4,2,6
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,8,1,8,9
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
ANTEQUERA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,1,2,1,3
APOLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,15,6,15,6,21
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
ARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,10,1,10,1,11
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,8,2,8,10
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,58,0,58,0,58
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,0,11,0,11
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,4,0,4,4
