,group,variable,month,9. NACIDOS MUERTOS SERV/DOM,9. NACIDOS MUERTOS SERV/DOM,TOTALES,TOTALES,TOTALES
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,2,0,2,0,2
VINTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
AIQUILE,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,14,0,14,0,14
COMARAPA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
COROICO,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,18,1,18,1,19
FILADELFIA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,5,0,5,0,5
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,0,1,0,1,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,4,0,4,0,4
POROMA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,5,0,5,0,5
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,14,0,14,0,14
SORATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-08-01,2,0,2,0,2
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
CALAMARCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,12,0,12,0,12
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,15,0,15,0,15
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,16,1,16,1,17
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,2,0,2,0,2
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,8,0,8,0,8
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,6,0,6,0,6
PUCARANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,0,1,0,1,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,18,0,18,0,18
SHINAOTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,6,0,6,0,6
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,4,2,4,2,6
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,4,0,4,0,4
VINTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-09-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,4,0,4,0,4
AIQUILE,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,2,0,2,0,2
BETANZOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,3,0,3,0,3
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,16,0,16,0,16
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,18,0,18,0,18
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
ICHOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,0,1,0,1,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,10,0,10,0,10
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,2,0,2,0,2
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,5,0,5,0,5
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,5,0,5,0,5
PRESTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,0,1,0,1,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,2,0,2,0,2
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,3,0,3,0,3
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,20,0,20,0,20
SORATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,3,0,3,0,3
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,2,1,2,1,3
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-10-01,3,0,3,0,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,0,1,0,1,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,1,1,1,2
CHARAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,10,0,10,0,10
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,9,0,9,0,9
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,21,0,21,0,21
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,3,0,3,0,3
PALCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,9,0,9,0,9
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,10,0,10,0,10
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,0,1,0,1,1
SORATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
VACAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
YOTALA,recien nacidos en servicio y domicilio,nacidos muertos,2024-11-01,1,0,1,0,1
ARBIETO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,7,0,7,0,7
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,24,0,24,0,24
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,4,0,4,0,4
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,6,0,6,0,6
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,6,0,6,0,6
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,2,0,2,0,2
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,14,1,14,1,15
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,2,1,2,1,3
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-12-01,2,0,2,0,2
