,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
MINEROS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,13,0,13,0,13
MIZQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,18,1,18,1,19
MOCOMOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,9,1,9,10
MOJINETE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
MOJOCOYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,1,6,1,7
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,36,1,36,1,37
MONTERO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,41,0,41,0,41
MOROCHATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,12,5,12,5,17
OMEREQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,478,8,478,8,486
PADCAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,0,3,0,3
PADILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,15,0,15,0,15
PAILON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,37,0,37,0,37
PALCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,6,5,6,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,27,15,27,15,42
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,1,0,1,1
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,9,0,9,0,9
PAPEL PAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,1,2,1,3
PASORAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,1,2,1,3
PATACAMAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,18,4,18,4,22
PAZÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,1,4,1,5
POCOATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,15,12,15,12,27
POCONA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,8,0,8,0,8
POJO (CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,1,11,1,12
POOPO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,0,4,0,4
PORCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,7,0,7,0,7
POROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,5,1,5,6
PORONGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,0,5,0,5
PORTACHUELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,34,1,34,1,35
PORVENIR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,440,4,440,4,444
PRESTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,2,1,2,3
PUCARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,8,5,8,13
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,5,3,5,8
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,1,5,1,6
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,1,4,1,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,0,11,0,11
PUERTO RICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,1,6,1,7
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,118,1,118,1,119
PUNA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,47,1,47,1,48
QUIABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,2,1,2,3
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,206,2,206,2,208
QUIME,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,1,3,1,4
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,5,1,5,6
RAVELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,1,2,1,3
REYES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,16,1,16,1,17
RIBERALTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,214,0,214,0,214
ROBORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,17,0,17,0,17
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,37,1,37,1,38
SABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,1,3,1,4
SACABA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,226,0,226,0,226
SACABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,4,11,4,15
SAIPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,0,4,0,4
SAMAIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,0,2,0,2
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,0,5,0,5
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,1,3,1,4
SAN BORJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,62,14,62,14,76
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,19,0,19,0,19
SAN CARLOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,0,4,0,4
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,23,5,23,5,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,61,1,61,1,62
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,22,0,22,0,22
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,51,0,51,0,51
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,53,0,53,0,53
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,2,6,2,8
SAN LUCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,24,14,24,14,38
SAN MATIAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,18,0,18,0,18
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,15,1,15,1,16
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,1,1,1,2
SAN PEDRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,7,0,7,0,7
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,14,11,14,11,25
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,5,1,5,6
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,15,6,15,6,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
SAN RAMON BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,7,1,7,1,8
SANTA ANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,29,0,29,0,29
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1810,5,1810,5,1815
SANTA ROSA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,15,1,15,1,16
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,7,0,7,0,7
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,1,1,1,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,3,1,3,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,1,0,1,1
SANTIVAÑES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,1,6,1,7
SENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,7,0,7,0,7
SHINAOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,41,0,41,0,41
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,3,5,3,8
SICAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,39,0,39,0,39
SOPACHUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,0,6,0,6
SORACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,1,1,1,2
SORATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,5,11,5,16
SUCRE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,384,0,384,0,384
TACACOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
TACOPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,3,0,3,3
TAHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,3,1,3,4
TARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,5,1,5,6
TARACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,309,0,309,0,309
TARVITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,2,11,2,13
TEOPONTE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,2,11,2,13
TIAHUANACU,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,3,5,3,8
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,2,1,2,3
TIPUANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,55,7,55,7,62
TOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,2,2,2,4
TOLEDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,0,2,0,2
TOMAVE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,2,1,2,1,3
TOMINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,1,3,1,4
TORO TORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,3,6,3,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,22,1,22,1,23
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,3,1,3,4
TRINIDAD,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,190,0,190,0,190
TUPIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,64,1,64,1,65
UNCIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,16,1,16,1,17
URUBICHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,0,4,0,4
UYUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,27,4,27,4,31
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,15,0,15,0,15
VIACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,69,1,69,1,70
VILA VILA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,1,5,1,6
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,11,4,11,4,15
VILLA MONTES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,8,1,8,1,9
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,1,1,1,2
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,123,5,123,5,128
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,4,3,4,3,7
VILLAZON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,30,0,30,0,30
VINTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,58,0,58,0,58
VITICHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,3,3,3,6
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,0,1,0,1,1
WARNES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,41,0,41,0,41
YACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,1,5,1,6
YACUIBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,133,0,133,0,133
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,5,0,5,0,5
YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,88,1,88,1,89
YOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,3,1,3,4
YOTALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,6,0,6,0,6
YUNCHARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,1,1,1,1,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-03-01,3,0,3,0,3
ACACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,34,7,34,7,41
ACHOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
AIQUILE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,20,0,20,0,20
ALALAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,2,0,2,2
ALCALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,1,4,1,5
ANCORAIMES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,7,0,7,7
ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
ANTEQUERA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,1,2,1,3
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
ARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
ARQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,2,2,2,4
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,58,0,58,0,58
ATOCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,0,11,0,11
AYO AYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,10,10,10,10,20
AZURDUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,5,6,5,11
BATALLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,5,6,5,11
BAURES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,0,4,0,4
BERMEJO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,38,0,38,0,38
BETANZOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,16,0,16,0,16
BOLIVAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,4,2,4,6
BOYUIBE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,12,8,12,8,20
CAIROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,3,2,3,5
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,2,7,2,9
CAJUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
CALAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,2,4,2,6
CAMARGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,12,2,12,2,14
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,1,1,1,2
CAMIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,0,5,0,5
CAPINOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,15,0,15,0,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,2,1,2,3
CARACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,17,0,17,0,17
CARANAVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,89,0,89,0,89
CARAPARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,0,4,0,4
CARIPUYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,4,3,4,7
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,2,2,2,4
CHACARILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,36,6,36,6,42
CHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,2,5,2,7
CHARAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,9,9,9,9,18
CHAYANTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,3,5,3,8
CHIMORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
CHIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,19,0,19,0,19
CKOCHAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,7,0,7,7
CLIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,22,0,22,0,22
COBIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,94,0,94,0,94
COCAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,9,5,9,5,14
COCHABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1025,1,1025,1,1026
COIPASA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,32,0,32,0,32
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
COLLANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,13,0,13,0,13
COLQUECHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,9,7,9,16
COLQUENCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,1,7,1,8
COLQUIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,4,4,4,8
COMARAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,21,0,21,0,21
CONCEPCION,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,21,3,21,3,24
CORIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,0,11,0,11
CORO CORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,17,1,17,1,18
CORQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
COTAGAITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,1,11,1,12
COTOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,84,9,84,9,93
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,24,0,24,0,24
CULPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,13,2,13,2,15
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,712,9,712,9,721
EL CHORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,1,3,1,4
EL TORNO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,69,0,69,0,69
EL VILLAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,0,6,0,6
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,39,0,39,0,39
ESCOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,0,5,0,5
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,9,0,9,0,9
FILADELFIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,1,2,1,3
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
GUANAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,18,2,18,2,20
GUAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,8,2,8,2,10
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,58,0,58,0,58
GUTIERREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,9,3,9,3,12
HUACARAJE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,0,7,0,7
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,1,2,1,3
HUANUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,22,0,22,0,22
HUARINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,4,0,4,4
HUATAJATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
