municipality,group,variable,month,Primer Control Post Parto,TOTAL
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2021-05-01,5,5
OCURI,atencion de partos en servicios,primer control post parto,2021-05-01,9,9
ORURO,atencion de partos en servicios,primer control post parto,2021-05-01,189,189
PADILLA,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
PAILON,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2021-05-01,14,14
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
PASORAPA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
PATACAMAYA,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
PAZÑA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
POOPO,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
PORCO,atencion de partos en servicios,primer control post parto,2021-05-01,13,13
POROMA,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
PORONGO,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
PORTACHUELO,atencion de partos en servicios,primer control post parto,2021-05-01,22,22
POTOSI,atencion de partos en servicios,primer control post parto,2021-05-01,105,105
PRESTO,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
PUERTO RICO,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2021-05-01,30,30
PUNA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
PUNATA,atencion de partos en servicios,primer control post parto,2021-05-01,36,36
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2021-05-01,16,16
ROBORE,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
RURRENABAQUE,atencion de partos en servicios,primer control post parto,2021-05-01,21,21
SABAYA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
SACABA,atencion de partos en servicios,primer control post parto,2021-05-01,21,21
SACABAMBA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
SACACA,atencion de partos en servicios,primer control post parto,2021-05-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2021-05-01,7,7
SAMAIPATA,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2021-05-01,8,8
SAN BORJA,atencion de partos en servicios,primer control post parto,2021-05-01,10,10
SAN IGNACIO,atencion de partos en servicios,primer control post parto,2021-05-01,27,27
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2021-05-01,26,26
SAN JOAQUIN,atencion de partos en servicios,primer control post parto,2021-05-01,7,7
SAN JULIAN,atencion de partos en servicios,primer control post parto,2021-05-01,49,49
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2021-05-01,6,6
SAN LUCAS,atencion de partos en servicios,primer control post parto,2021-05-01,27,27
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2021-05-01,7,7
SAN PEDRO,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2021-05-01,8,8
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2021-05-01,8,8
SAN RAMON SCZ,atencion de partos en servicios,primer control post parto,2021-05-01,16,16
SANTA ANA,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2021-05-01,310,310
SANTA ROSA,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2021-05-01,6,6
SANTIAGO DE CALLAPA,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
SANTIVAÑES,atencion de partos en servicios,primer control post parto,2021-05-01,11,11
SANTUARIO DE QUILLACAS,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
SAPAHAQUI,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
SENA,atencion de partos en servicios,primer control post parto,2021-05-01,13,13
SHINAOTA,atencion de partos en servicios,primer control post parto,2021-05-01,88,88
SICAYA,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
SIPE SIPE,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
SOPACHUY,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
SUCRE,atencion de partos en servicios,primer control post parto,2021-05-01,42,42
TAPACARI,atencion de partos en servicios,primer control post parto,2021-05-01,34,34
TARABUCO,atencion de partos en servicios,primer control post parto,2021-05-01,12,12
TARIJA,atencion de partos en servicios,primer control post parto,2021-05-01,281,281
TARVITA,atencion de partos en servicios,primer control post parto,2021-05-01,12,12
TEOPONTE,atencion de partos en servicios,primer control post parto,2021-05-01,12,12
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
TIPUANI,atencion de partos en servicios,primer control post parto,2021-05-01,6,6
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2021-05-01,18,18
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2021-05-01,36,36
TOLEDO,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
TOMAVE,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
TORO TORO,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2021-05-01,1,1
TRINIDAD,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
TUPIZA,atencion de partos en servicios,primer control post parto,2021-05-01,16,16
TURCO,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
UNCIA,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2021-05-01,4,4
URUBICHA,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
UYUNI,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2021-05-01,23,23
VIACHA,atencion de partos en servicios,primer control post parto,2021-05-01,6,6
VILA VILA,atencion de partos en servicios,primer control post parto,2021-05-01,5,5
VILLA MONTES,atencion de partos en servicios,primer control post parto,2021-05-01,22,22
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2021-05-01,4,4
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2021-05-01,51,51
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2021-05-01,5,5
VILLAZON,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
VINTO,atencion de partos en servicios,primer control post parto,2021-05-01,30,30
VITICHI,atencion de partos en servicios,primer control post parto,2021-05-01,2,2
WALDO BALLIVIAN,atencion de partos en servicios,primer control post parto,2021-05-01,7,7
WARNES,atencion de partos en servicios,primer control post parto,2021-05-01,34,34
YACO,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
YACUIBA,atencion de partos en servicios,primer control post parto,2021-05-01,30,30
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
YANACACHI,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
YAPACANI,atencion de partos en servicios,primer control post parto,2021-05-01,10,10
YOCALLA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
YOTALA,atencion de partos en servicios,primer control post parto,2021-05-01,1,1
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2021-05-01,3,3
ACACIO,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
ACHACACHI,atencion de partos en servicios,primer control post parto,2021-06-01,21,21
AIQUILE,atencion de partos en servicios,primer control post parto,2021-06-01,19,19
ALCALA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
ALTO BENI,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
ANCORAIMES,atencion de partos en servicios,primer control post parto,2021-06-01,12,12
ANDAMARCA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
ANZALDO,atencion de partos en servicios,primer control post parto,2021-06-01,15,15
APOLO,atencion de partos en servicios,primer control post parto,2021-06-01,22,22
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
ARANI,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
ARBIETO,atencion de partos en servicios,primer control post parto,2021-06-01,13,13
ARQUE,atencion de partos en servicios,primer control post parto,2021-06-01,18,18
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2021-06-01,47,47
ATOCHA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
AUCAPATA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
AYATA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2021-06-01,21,21
AZURDUY,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
BATALLAS,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
BAURES,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
BELEN DE ANDAMARCA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
BELLA FLOR,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
BERMEJO,atencion de partos en servicios,primer control post parto,2021-06-01,46,46
BETANZOS,atencion de partos en servicios,primer control post parto,2021-06-01,33,33
BOLIVAR,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
BOYUIBE,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
BUENA VISTA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
CABEZAS,atencion de partos en servicios,primer control post parto,2021-06-01,18,18
CAIROMA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2021-06-01,3,3
CAJUATA,atencion de partos en servicios,primer control post parto,2021-06-01,12,12
CALAMARCA,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
CAMARGO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
CAMIRI,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
CAPINOTA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
CAQUIAVIRI,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
CARACOLLO,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
CARANAVI,atencion de partos en servicios,primer control post parto,2021-06-01,108,108
CARAPARI,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
CARIPUYO,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
CHALLAPATA,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
CHAQUI,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
CHARAGUA,atencion de partos en servicios,primer control post parto,2021-06-01,49,49
CHARAÑA,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
CHAYANTA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
CHIMORE,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
CHUA COCANI,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2021-06-01,3,3
CHUMA,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
CKOCHAS,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
CLIZA,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
COBIJA,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
COCAPATA,atencion de partos en servicios,primer control post parto,2021-06-01,33,33
COCHABAMBA,atencion de partos en servicios,primer control post parto,2021-06-01,527,527
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2021-06-01,14,14
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2021-06-01,7,7
COLLANA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
COLOMI,atencion de partos en servicios,primer control post parto,2021-06-01,41,41
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
COLQUECHACA,atencion de partos en servicios,primer control post parto,2021-06-01,17,17
COLQUENCHA,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
CONCEPCION,atencion de partos en servicios,primer control post parto,2021-06-01,41,41
CORIPATA,atencion de partos en servicios,primer control post parto,2021-06-01,16,16
CORO CORO,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
COROICO,atencion de partos en servicios,primer control post parto,2021-06-01,22,22
CORQUE,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
COTAGAITA,atencion de partos en servicios,primer control post parto,2021-06-01,11,11
CUEVO,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
CULPINA,atencion de partos en servicios,primer control post parto,2021-06-01,11,11
DESAGUADERO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2021-06-01,329,329
EL CHORO,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2021-06-01,1,1
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2021-06-01,14,14
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2021-06-01,22,22
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2021-06-01,29,29
ESCOMA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
EUCALIPTUS,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
FILADELFIA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2021-06-01,5,5
GUANAY,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
GUAQUI,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2021-06-01,52,52
GUTIERREZ,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
HUACARETA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
HUACHACALLA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
HUANUNI,atencion de partos en servicios,primer control post parto,2021-06-01,24,24
HUARINA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
HUAYLLAMARCA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
HUMANATA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
ICHOCA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
ICLA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
INCAHUASI,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
INQUISIVI,atencion de partos en servicios,primer control post parto,2021-06-01,17,17
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2021-06-01,23,23
IXIAMAS,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2021-06-01,12,12
LA ASUNTA,atencion de partos en servicios,primer control post parto,2021-06-01,51,51
LA GUARDIA,atencion de partos en servicios,primer control post parto,2021-06-01,25,25
LA PAZ,atencion de partos en servicios,primer control post parto,2021-06-01,388,388
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
LAJA,atencion de partos en servicios,primer control post parto,2021-06-01,11,11
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
LICOMA PAMPA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
LLALLAGUA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
LLICA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
LURIBAY,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
MACHARETI,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
MAIRANA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
MALLA,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
MAPIRI,atencion de partos en servicios,primer control post parto,2021-06-01,24,24
MINEROS,atencion de partos en servicios,primer control post parto,2021-06-01,36,36
MIZQUE,atencion de partos en servicios,primer control post parto,2021-06-01,32,32
MOCOMOCO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
MOJINETE,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
MOJOCOYA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
MONTERO,atencion de partos en servicios,primer control post parto,2021-06-01,51,51
MORO MORO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
MOROCHATA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2021-06-01,3,3
OCURI,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
OMEREQUE,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
ORURO,atencion de partos en servicios,primer control post parto,2021-06-01,225,225
PADILLA,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2021-06-01,21,21
PAMPA AULLAGAS,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
PAPEL PAMPA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
PATACAMAYA,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
PAZÑA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
POCOATA,atencion de partos en servicios,primer control post parto,2021-06-01,19,19
POCONA,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
POJO (CBBA),atencion de partos en servicios,primer control post parto,2021-06-01,11,11
POOPO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
PORCO,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
POROMA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
PORONGO,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
PORTACHUELO,atencion de partos en servicios,primer control post parto,2021-06-01,17,17
PORVENIR,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
POSTRER VALLE,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
POTOSI,atencion de partos en servicios,primer control post parto,2021-06-01,90,90
PRESTO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
PUERTO RICO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2021-06-01,36,36
PUNA,atencion de partos en servicios,primer control post parto,2021-06-01,21,21
PUNATA,atencion de partos en servicios,primer control post parto,2021-06-01,41,41
QUIABAYA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2021-06-01,91,91
QUIME,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
RAQAYPAMPA(ETA),atencion de partos en servicios,primer control post parto,2021-06-01,15,15
RAVELO,atencion de partos en servicios,primer control post parto,2021-06-01,13,13
RIBERALTA,atencion de partos en servicios,primer control post parto,2021-06-01,220,220
ROBORE,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
RURRENABAQUE,atencion de partos en servicios,primer control post parto,2021-06-01,36,36
SABAYA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
SACABA,atencion de partos en servicios,primer control post parto,2021-06-01,26,26
SACABAMBA,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
SACACA,atencion de partos en servicios,primer control post parto,2021-06-01,17,17
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2021-06-01,10,10
SAMAIPATA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
SAN AGUSTIN,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
SAN BENITO,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
SAN BORJA,atencion de partos en servicios,primer control post parto,2021-06-01,14,14
SAN BUENA VENTURA,atencion de partos en servicios,primer control post parto,2021-06-01,21,21
SAN IGNACIO,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2021-06-01,39,39
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2021-06-01,29,29
SAN JOAQUIN,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
SAN JUAN DE YAPACANI,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SAN JULIAN,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2021-06-01,4,4
SAN LUCAS,atencion de partos en servicios,primer control post parto,2021-06-01,21,21
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
SAN PEDRO,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,primer control post parto,2021-06-01,22,22
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2021-06-01,13,13
SAN PEDRO DE QUEMES,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SAN RAMON SCZ,atencion de partos en servicios,primer control post parto,2021-06-01,18,18
SANTA ANA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2021-06-01,301,301
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
SANTIAGO DE CALLAPA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
SANTIAGO DE HUATA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
SANTIAGO DE MACHACA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
SANTIVAÑES,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
SAPAHAQUI,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
SENA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
SHINAOTA,atencion de partos en servicios,primer control post parto,2021-06-01,86,86
SICA SICA (VILLA AROMA),atencion de partos en servicios,primer control post parto,2021-06-01,21,21
SICAYA,atencion de partos en servicios,primer control post parto,2021-06-01,9,9
SIPE SIPE,atencion de partos en servicios,primer control post parto,2021-06-01,29,29
SOPACHUY,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
SORACACHI,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
SORATA,atencion de partos en servicios,primer control post parto,2021-06-01,24,24
SUCRE,atencion de partos en servicios,primer control post parto,2021-06-01,146,146
TACACHI,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
TACACOMA,atencion de partos en servicios,primer control post parto,2021-06-01,8,8
TACOBAMBA,atencion de partos en servicios,primer control post parto,2021-06-01,14,14
TACOPAYA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
TAPACARI,atencion de partos en servicios,primer control post parto,2021-06-01,15,15
TARABUCO,atencion de partos en servicios,primer control post parto,2021-06-01,14,14
TARACO,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
TARATA,atencion de partos en servicios,primer control post parto,2021-06-01,11,11
TARIJA,atencion de partos en servicios,primer control post parto,2021-06-01,291,291
TARVITA,atencion de partos en servicios,primer control post parto,2021-06-01,13,13
TEOPONTE,atencion de partos en servicios,primer control post parto,2021-06-01,13,13
TIAHUANACU,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2021-06-01,16,16
TIPUANI,atencion de partos en servicios,primer control post parto,2021-06-01,12,12
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2021-06-01,40,40
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2021-06-01,50,50
TOCO,atencion de partos en servicios,primer control post parto,2021-06-01,10,10
TOLATA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
TOMAVE,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
TOMINA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
TORO TORO,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
TOTORA(CBBA),atencion de partos en servicios,primer control post parto,2021-06-01,10,10
TUPIZA,atencion de partos en servicios,primer control post parto,2021-06-01,28,28
TURCO,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
UMALA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
UNCIA,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2021-06-01,6,6
URUBICHA,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
UYUNI,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
VACAS,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2021-06-01,2,2
VIACHA,atencion de partos en servicios,primer control post parto,2021-06-01,23,23
VILA VILA,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
VILLA CHARCAS,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
VILLA MONTES,atencion de partos en servicios,primer control post parto,2021-06-01,20,20
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2021-06-01,1,1
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2021-06-01,143,143
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2021-06-01,7,7
VILLAZON,atencion de partos en servicios,primer control post parto,2021-06-01,7,7
VINTO,atencion de partos en servicios,primer control post parto,2021-06-01,39,39
VITICHI,atencion de partos en servicios,primer control post parto,2021-06-01,6,6
WALDO BALLIVIAN,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
WARNES,atencion de partos en servicios,primer control post parto,2021-06-01,85,85
YACO,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
YACUIBA,atencion de partos en servicios,primer control post parto,2021-06-01,40,40
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
YANACACHI,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
YAPACANI,atencion de partos en servicios,primer control post parto,2021-06-01,4,4
YOCALLA,atencion de partos en servicios,primer control post parto,2021-06-01,1,1
YOTALA,atencion de partos en servicios,primer control post parto,2021-06-01,3,3
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2021-06-01,5,5
ACHACACHI,atencion de partos en servicios,primer control post parto,2021-07-01,41,41
