municipality,group,variable,month,Primer Control Post Parto,TOTAL
CARAPARI,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
CARIPUYO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
CHALLAPATA,atencion de partos en servicios,primer control post parto,2022-04-01,42,42
CHAQUI,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
CHARAGUA,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
CHARAÑA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
CHAYANTA,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
CHIMORE,atencion de partos en servicios,primer control post parto,2022-04-01,17,17
CHUA COCANI,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2022-04-01,16,16
CHUMA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
CKOCHAS,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
CLIZA,atencion de partos en servicios,primer control post parto,2022-04-01,14,14
COBIJA,atencion de partos en servicios,primer control post parto,2022-04-01,13,13
COCAPATA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
COCHABAMBA,atencion de partos en servicios,primer control post parto,2022-04-01,468,468
COIPASA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2022-04-01,27,27
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2022-04-01,5,5
COLLANA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
COLOMI,atencion de partos en servicios,primer control post parto,2022-04-01,12,12
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
COLQUECHACA,atencion de partos en servicios,primer control post parto,2022-04-01,13,13
COMARAPA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
CONCEPCION,atencion de partos en servicios,primer control post parto,2022-04-01,39,39
COPACABANA,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
CORIPATA,atencion de partos en servicios,primer control post parto,2022-04-01,18,18
CORO CORO,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
COROICO,atencion de partos en servicios,primer control post parto,2022-04-01,18,18
CORQUE,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
COTAGAITA,atencion de partos en servicios,primer control post parto,2022-04-01,11,11
COTOCA,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
CUEVO,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
DESAGUADERO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2022-04-01,469,469
EL CHORO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2022-04-01,8,8
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
EL VILLAR,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2022-04-01,7,7
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2022-04-01,13,13
ESCOMA,atencion de partos en servicios,primer control post parto,2022-04-01,9,9
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2022-04-01,15,15
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2022-04-01,18,18
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2022-04-01,1,1
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2022-04-01,30,30
GUTIERREZ,atencion de partos en servicios,primer control post parto,2022-04-01,13,13
HUACARETA,atencion de partos en servicios,primer control post parto,2022-04-01,8,8
HUACHACALLA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2022-04-01,17,17
HUARACAJE,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
HUARINA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
HUMANATA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
ICLA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
INCAHUASI,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
INQUISIVI,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2022-04-01,5,5
IXIAMAS,atencion de partos en servicios,primer control post parto,2022-04-01,9,9
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
LA ASUNTA,atencion de partos en servicios,primer control post parto,2022-04-01,31,31
LA GUARDIA,atencion de partos en servicios,primer control post parto,2022-04-01,82,82
LA PAZ,atencion de partos en servicios,primer control post parto,2022-04-01,306,306
LA RIVERA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
LAJA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
LLALLAGUA,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
LORETO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
LURIBAY,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
MACHARETI,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
MAGDALENA,atencion de partos en servicios,primer control post parto,2022-04-01,14,14
MAIRANA,atencion de partos en servicios,primer control post parto,2022-04-01,7,7
MAPIRI,atencion de partos en servicios,primer control post parto,2022-04-01,9,9
MECAPACA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
MINEROS,atencion de partos en servicios,primer control post parto,2022-04-01,24,24
MIZQUE,atencion de partos en servicios,primer control post parto,2022-04-01,16,16
MOCOMOCO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
MOJOCOYA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
MONTERO,atencion de partos en servicios,primer control post parto,2022-04-01,113,113
MORO MORO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
MOROCHATA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
OCURI,atencion de partos en servicios,primer control post parto,2022-04-01,10,10
OKINAWA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
ORURO,atencion de partos en servicios,primer control post parto,2022-04-01,308,308
PADCAYA,atencion de partos en servicios,primer control post parto,2022-04-01,14,14
PADILLA,atencion de partos en servicios,primer control post parto,2022-04-01,10,10
PAILON,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
PALCA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2022-04-01,16,16
PAMPA AULLAGAS,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
PAPEL PAMPA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
PASORAPA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
PATACAMAYA,atencion de partos en servicios,primer control post parto,2022-04-01,28,28
POCOATA,atencion de partos en servicios,primer control post parto,2022-04-01,17,17
POCONA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
POJO (CBBA),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
POOPO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
PORCO,atencion de partos en servicios,primer control post parto,2022-04-01,9,9
POROMA,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
PORONGO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
PORTACHUELO,atencion de partos en servicios,primer control post parto,2022-04-01,12,12
PORVENIR,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
POTOSI,atencion de partos en servicios,primer control post parto,2022-04-01,223,223
PRESTO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
PUCARANI,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
PUERTO RICO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
PUNA,atencion de partos en servicios,primer control post parto,2022-04-01,8,8
PUNATA,atencion de partos en servicios,primer control post parto,2022-04-01,26,26
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2022-04-01,67,67
RAQAYPAMPA(ETA),atencion de partos en servicios,primer control post parto,2022-04-01,7,7
REYES,atencion de partos en servicios,primer control post parto,2022-04-01,10,10
RIBERALTA,atencion de partos en servicios,primer control post parto,2022-04-01,291,291
ROBORE,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
SACABA,atencion de partos en servicios,primer control post parto,2022-04-01,95,95
SACABAMBA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SACACA,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SAMAIPATA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SAN ANDRES,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2022-04-01,8,8
SAN BENITO,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
SAN BORJA,atencion de partos en servicios,primer control post parto,2022-04-01,11,11
SAN BUENA VENTURA,atencion de partos en servicios,primer control post parto,2022-04-01,28,28
SAN CARLOS,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
SAN IGNACIO,atencion de partos en servicios,primer control post parto,2022-04-01,36,36
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2022-04-01,92,92
SAN JAVIER(BNI),atencion de partos en servicios,primer control post parto,2022-04-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2022-04-01,34,34
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
SAN JULIAN,atencion de partos en servicios,primer control post parto,2022-04-01,67,67
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
SAN LORENZO(TJA),atencion de partos en servicios,primer control post parto,2022-04-01,33,33
SAN LUCAS,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
SAN MATIAS,atencion de partos en servicios,primer control post parto,2022-04-01,21,21
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
SAN PEDRO,atencion de partos en servicios,primer control post parto,2022-04-01,8,8
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2022-04-01,8,8
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
SAN RAMON SCZ,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
SANTA ANA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2022-04-01,480,480
SANTA ROSA,atencion de partos en servicios,primer control post parto,2022-04-01,12,12
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
SANTIAGO DE CALLAPA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SENA,atencion de partos en servicios,primer control post parto,2022-04-01,12,12
SHINAOTA,atencion de partos en servicios,primer control post parto,2022-04-01,101,101
SICA SICA (VILLA AROMA),atencion de partos en servicios,primer control post parto,2022-04-01,11,11
SICAYA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SIPE SIPE,atencion de partos en servicios,primer control post parto,2022-04-01,19,19
SORACACHI,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
SORATA,atencion de partos en servicios,primer control post parto,2022-04-01,9,9
SUCRE,atencion de partos en servicios,primer control post parto,2022-04-01,454,454
TARABUCO,atencion de partos en servicios,primer control post parto,2022-04-01,7,7
TARATA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
TARIJA,atencion de partos en servicios,primer control post parto,2022-04-01,105,105
TARVITA,atencion de partos en servicios,primer control post parto,2022-04-01,11,11
TIAHUANACU,atencion de partos en servicios,primer control post parto,2022-04-01,8,8
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
TIPUANI,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2022-04-01,13,13
TOCO,atencion de partos en servicios,primer control post parto,2022-04-01,9,9
TOLATA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
TOLEDO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
TOMINA,atencion de partos en servicios,primer control post parto,2022-04-01,7,7
TORO TORO,atencion de partos en servicios,primer control post parto,2022-04-01,7,7
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
TRINIDAD,atencion de partos en servicios,primer control post parto,2022-04-01,7,7
TUPIZA,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
TURCO,atencion de partos en servicios,primer control post parto,2022-04-01,2,2
UMALA,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
UNCIA,atencion de partos en servicios,primer control post parto,2022-04-01,15,15
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2022-04-01,4,4
URUBICHA,atencion de partos en servicios,primer control post parto,2022-04-01,6,6
UYUNI,atencion de partos en servicios,primer control post parto,2022-04-01,18,18
VACAS,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2022-04-01,14,14
VIACHA,atencion de partos en servicios,primer control post parto,2022-04-01,14,14
VILA VILA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
VILLA CHARCAS,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
VILLA MONTES,atencion de partos en servicios,primer control post parto,2022-04-01,31,31
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2022-04-01,53,53
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2022-04-01,2,2
VILLAZON,atencion de partos en servicios,primer control post parto,2022-04-01,45,45
VINTO,atencion de partos en servicios,primer control post parto,2022-04-01,75,75
VITICHI,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
WARNES,atencion de partos en servicios,primer control post parto,2022-04-01,168,168
YACUIBA,atencion de partos en servicios,primer control post parto,2022-04-01,32,32
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2022-04-01,5,5
YANACACHI,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
YAPACANI,atencion de partos en servicios,primer control post parto,2022-04-01,64,64
YOCALLA,atencion de partos en servicios,primer control post parto,2022-04-01,1,1
YOTALA,atencion de partos en servicios,primer control post parto,2022-04-01,4,4
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2022-04-01,3,3
ACACIO,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
ACHACACHI,atencion de partos en servicios,primer control post parto,2022-05-01,27,27
ACHOCALLA,atencion de partos en servicios,primer control post parto,2022-05-01,22,22
AIQUILE,atencion de partos en servicios,primer control post parto,2022-05-01,29,29
ALCALA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
ALTO BENI,atencion de partos en servicios,primer control post parto,2022-05-01,7,7
ANCORAIMES,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
ANZALDO,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
APOLO,atencion de partos en servicios,primer control post parto,2022-05-01,14,14
ARANI,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
ARBIETO,atencion de partos en servicios,primer control post parto,2022-05-01,15,15
ARQUE,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2022-05-01,62,62
ATOCHA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
AUCAPATA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
AYATA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2022-05-01,8,8
AZURDUY,atencion de partos en servicios,primer control post parto,2022-05-01,6,6
BAURES,atencion de partos en servicios,primer control post parto,2022-05-01,6,6
BELLA FLOR,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
BERMEJO,atencion de partos en servicios,primer control post parto,2022-05-01,59,59
BETANZOS,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
BOLIVAR,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
BOYUIBE,atencion de partos en servicios,primer control post parto,2022-05-01,4,4
BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-05-01,9,9
CABEZAS,atencion de partos en servicios,primer control post parto,2022-05-01,19,19
CAIROMA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2022-05-01,5,5
CAJUATA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
CAMARGO,atencion de partos en servicios,primer control post parto,2022-05-01,9,9
CAMIRI,atencion de partos en servicios,primer control post parto,2022-05-01,6,6
CAPINOTA,atencion de partos en servicios,primer control post parto,2022-05-01,7,7
CAQUIAVIRI,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
CARACOLLO,atencion de partos en servicios,primer control post parto,2022-05-01,16,16
CARANAVI,atencion de partos en servicios,primer control post parto,2022-05-01,54,54
CARAPARI,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
CARIPUYO,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
CHALLAPATA,atencion de partos en servicios,primer control post parto,2022-05-01,51,51
CHAQUI,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
CHARAGUA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
CHAYANTA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
CHIMORE,atencion de partos en servicios,primer control post parto,2022-05-01,9,9
CHUA COCANI,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2022-05-01,11,11
CHUMA,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
CKOCHAS,atencion de partos en servicios,primer control post parto,2022-05-01,7,7
CLIZA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
COBIJA,atencion de partos en servicios,primer control post parto,2022-05-01,6,6
COCAPATA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
COCHABAMBA,atencion de partos en servicios,primer control post parto,2022-05-01,439,439
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2022-05-01,12,12
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2022-05-01,4,4
COLLANA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
COLOMI,atencion de partos en servicios,primer control post parto,2022-05-01,9,9
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
COLQUECHACA,atencion de partos en servicios,primer control post parto,2022-05-01,12,12
COMARAPA,atencion de partos en servicios,primer control post parto,2022-05-01,12,12
CONCEPCION,atencion de partos en servicios,primer control post parto,2022-05-01,37,37
COPACABANA,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
CORIPATA,atencion de partos en servicios,primer control post parto,2022-05-01,13,13
COROICO,atencion de partos en servicios,primer control post parto,2022-05-01,12,12
CORQUE,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
COTAGAITA,atencion de partos en servicios,primer control post parto,2022-05-01,8,8
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2022-05-01,10,10
CUEVO,atencion de partos en servicios,primer control post parto,2022-05-01,4,4
CULPINA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
CURVA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
DESAGUADERO,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
EL ALTO,atencion de partos en servicios,primer control post parto,2022-05-01,336,336
EL CHORO,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2022-05-01,6,6
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2022-05-01,4,4
EL TORNO,atencion de partos en servicios,primer control post parto,2022-05-01,19,19
EL VILLAR,atencion de partos en servicios,primer control post parto,2022-05-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2022-05-01,14,14
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2022-05-01,21,21
ESCARA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
ESCOMA,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
EXALTACION,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2022-05-01,14,14
FILADELFIA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2022-05-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2022-05-01,1,1
GUANAY,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2022-05-01,14,14
GUTIERREZ,atencion de partos en servicios,primer control post parto,2022-05-01,8,8
HUACARETA,atencion de partos en servicios,primer control post parto,2022-05-01,4,4
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,primer control post parto,2022-05-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2022-05-01,14,14
HUARACAJE,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
HUARINA,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
HUATAJATA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
HUMANATA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
ICHOCA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
ICLA,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
INCAHUASI,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
INQUISIVI,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2022-05-01,9,9
LA ASUNTA,atencion de partos en servicios,primer control post parto,2022-05-01,29,29
LA GUARDIA,atencion de partos en servicios,primer control post parto,2022-05-01,59,59
LA PAZ,atencion de partos en servicios,primer control post parto,2022-05-01,249,249
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
LAJA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
LLALLAGUA,atencion de partos en servicios,primer control post parto,2022-05-01,8,8
LURIBAY,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
MACHACAMARCA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
MACHARETI,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
MAGDALENA,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
MAIRANA,atencion de partos en servicios,primer control post parto,2022-05-01,18,18
MAPIRI,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
MECAPACA,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
MINEROS,atencion de partos en servicios,primer control post parto,2022-05-01,18,18
MIZQUE,atencion de partos en servicios,primer control post parto,2022-05-01,23,23
MOCOMOCO,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
MOJOCOYA,atencion de partos en servicios,primer control post parto,2022-05-01,4,4
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
MONTERO,atencion de partos en servicios,primer control post parto,2022-05-01,84,84
MORO MORO,atencion de partos en servicios,primer control post parto,2022-05-01,4,4
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2022-05-01,2,2
OCURI,atencion de partos en servicios,primer control post parto,2022-05-01,7,7
OKINAWA,atencion de partos en servicios,primer control post parto,2022-05-01,7,7
ORURO,atencion de partos en servicios,primer control post parto,2022-05-01,260,260
PADCAYA,atencion de partos en servicios,primer control post parto,2022-05-01,9,9
PADILLA,atencion de partos en servicios,primer control post parto,2022-05-01,11,11
PAILON,atencion de partos en servicios,primer control post parto,2022-05-01,30,30
PALCA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2022-05-01,12,12
PAMPA AULLAGAS,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
PAPEL PAMPA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
PATACAMAYA,atencion de partos en servicios,primer control post parto,2022-05-01,35,35
PAZÑA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
POCOATA,atencion de partos en servicios,primer control post parto,2022-05-01,8,8
POCONA,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
POJO (CBBA),atencion de partos en servicios,primer control post parto,2022-05-01,2,2
POOPO,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
PORCO,atencion de partos en servicios,primer control post parto,2022-05-01,10,10
POROMA,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
PORONGO,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
PORTACHUELO,atencion de partos en servicios,primer control post parto,2022-05-01,16,16
PORVENIR,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
POSTRER VALLE,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
POTOSI,atencion de partos en servicios,primer control post parto,2022-05-01,197,197
PRESTO,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2022-05-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
PUERTO QUIJARRO,atencion de partos en servicios,primer control post parto,2022-05-01,16,16
PUERTO RICO,atencion de partos en servicios,primer control post parto,2022-05-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2022-05-01,10,10
PUNA,atencion de partos en servicios,primer control post parto,2022-05-01,7,7
PUNATA,atencion de partos en servicios,primer control post parto,2022-05-01,42,42
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2022-05-01,68,68
QUIRUSILLAS,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
RAQAYPAMPA(ETA),atencion de partos en servicios,primer control post parto,2022-05-01,4,4
RAVELO,atencion de partos en servicios,primer control post parto,2022-05-01,6,6
REYES,atencion de partos en servicios,primer control post parto,2022-05-01,13,13
RIBERALTA,atencion de partos en servicios,primer control post parto,2022-05-01,254,254
ROBORE,atencion de partos en servicios,primer control post parto,2022-05-01,3,3
RURRENABAQUE,atencion de partos en servicios,primer control post parto,2022-05-01,19,19
SABAYA,atencion de partos en servicios,primer control post parto,2022-05-01,2,2
SACABA,atencion de partos en servicios,primer control post parto,2022-05-01,111,111
