,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,1,0,1
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,128,0,128
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,2,0,2
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,211,1,212
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,2,0,2
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,2,0,2
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,74,1,75
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,12,2,14
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,7,1,8
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,2,4,6
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-03-01,7,1,8
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,36,1,37
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,3,26
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,0,5
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,0,5
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,15,6,21
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,1,5
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,1,5
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,3,11
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,31,3,34
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,1,4
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,21,1,22
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,1,12
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,20,1,21
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,43,2,45
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,0,11
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,1,7
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,1,15
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,4,10
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,1,18
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,2,2
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,4,6
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,1,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,46,3,49
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,25,2,27
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,1,10
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,1,3
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,0,5
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,10,0,10
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,34,0,34
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,0,9
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,0,9
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,1,12
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,37,2,39
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,1,4
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,74,0,74
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,0,23
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,1,9
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,21,1,22
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,52,6,58
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,7,4,11
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,30,4,34
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,1,14
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,41,1,42
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,1,4
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,16,33
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,55,0,55
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
CHUA COCANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,31,0,31
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,1,9
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,2,7
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,2,21
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,44,0,44
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,91,0,91
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,7,9,16
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1325,0,1325
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,71,0,71
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,18,0,18
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,0,8
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,29,6,35
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,16,9,25
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,24,0,24
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,38,0,38
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,1,13
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,4,5
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,22,0,22
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,12,31
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,70,0,70
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,42,0,42
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,1,2
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,25,10,35
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,0,9
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,2,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,2,3
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1081,2,1083
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,5,7
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,0,17
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,1,14
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,63,1,64
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,0,9
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,27,2,29
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,47,0,47
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,35,0,35
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,1,3
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,4,9
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,2,25
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,4,6
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,85,0,85
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,0,11
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,1,15
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,3,5
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,170,0,170
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,0,8
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,2,5
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,1,1
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,2,10
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,15,10,25
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,6,12
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,1,14
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,2,11
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,103,1,104
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,133,0,133
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1099,0,1099
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,3,7
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,2,13
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,62,1,63
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,1,5
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,0,14
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,21,1,22
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,10,0,10
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,21,1,22
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,1,10
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,28,0,28
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,1,24
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,1,10
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,2,11
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,43,1,44
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,187,0,187
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,1,1
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,4,13
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,2,15
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,542,0,542
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,1,24
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,27,4,31
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,46,0,46
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,3,20
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,48,0,48
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,2,6
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,36,0,36
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,1,7
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,15,7,22
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,0,14
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,0,9
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,1,14
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,11,30
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,18,0,18
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,38,0,38
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,9,2,11
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,1,4
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,348,0,348
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,7,6,13
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,27,1,28
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,3,9
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,5,6
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,0,11
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,26,0,26
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,34,0,34
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,61,3,64
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,10,7,17
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,30,0,30
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,0,5
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,109,0,109
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,0,14
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,10,11,21
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,3,15
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,254,13,267
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,22,0,22
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,26,0,26
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,173,0,173
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,22,1,23
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,5,8
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,1,1
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,0,17
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,4,4
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,1,5
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,1,15
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,65,1,66
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,25,0,25
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,33,0,33
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,50,1,51
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,57,9,66
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,27,0,27
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,0,23
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,0,17
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,54,3,57
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,24,1,25
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,59,10,69
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,0,19
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,22,1,23
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,0,6
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,33,0,33
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,28,2,30
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,2,3
SAN PEDRO DE QUEMES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,3,8
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,1,5
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,10,0,10
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,0,19
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,50,0,50
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1973,1,1974
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,16,0,16
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,15,0,15
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,0,2,2
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,1,6
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,0,8
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,3,9
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,3,0,3
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,51,0,51
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,13,0,13
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,0,5
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,72,0,72
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,10,1,11
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,6,1,7
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,18,0,18
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,689,4,693
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,1,6
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,5,0,5
TAHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,1,1,2
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,4,23
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,22,7,29
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,11,1,12
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,394,0,394
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,21,5,26
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,14,0,14
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,17,0,17
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,22,1,23
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,23,0,23
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,117,3,120
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,20,4,24
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,4,0,4
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,12,0,12
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,2,0,2
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,8,1,9
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-04-01,19,0,19
