,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,6,66,89,68,95,163
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,30,18,177,173,207,191,398
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,2,17,18,17,20,37
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,5,50,42,53,47,100
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,4,51,22,54,26,80
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,3,32,23,33,26,59
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,28,27,108,89,136,116,252
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,4,46,40,51,44,95
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,7,28,18,32,25,57
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,10,155,135,166,145,311
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,7,80,77,91,84,175
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,5,70,80,75,85,160
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,1,37,43,43,44,87
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,5,67,52,70,57,127
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,15,15,78,81,93,96,189
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,13,8,31,23,44,31,75
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,10,11,76,73,86,84,170
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,9,9,34,34,43,43,86
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,0,12,13,13,13,26
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,133,146,649,664,782,810,1592
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,1,80,67,86,68,154
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,4,13,16,14,20,34
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,29,20,166,147,195,167,362
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,8,8,53,50,61,58,119
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,7,6,59,64,66,70,136
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,5,68,59,74,64,138
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,35,49,36,51,87
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,0,90,80,91,80,171
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,12,10,51,52,63,62,125
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,0,9,2,12,2,14
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,36,31,37,25,73,56,129
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,66,52,304,330,370,382,752
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,9,143,151,154,160,314
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,43,56,140,98,183,154,337
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,3,10,9,10,12,22
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,99,49,437,389,536,438,974
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,15,8,59,57,74,65,139
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,2,10,8,13,10,23
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,10,16,133,160,143,176,319
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,73,67,73,67,140
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,112,104,564,556,676,660,1336
ROBORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,3,123,117,127,120,247
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,96,89,96,89,185
SABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,3,17,9,18,12,30
SACABA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,68,56,715,661,783,717,1500
SACABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,23,30,24,32,56
SACACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,34,21,169,156,203,177,380
SAIPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,1,42,40,45,41,86
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,5,59,70,65,75,140
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,20,21,44,32,64,53,117
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,5,13,6,15,21
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,12,67,64,78,76,154
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,2,21,13,21,15,36
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,1,6,7,6,8,14
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,10,14,54,47,64,61,125
SAN BENITO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,10,11,89,83,99,94,193
SAN BORJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,2,309,267,315,269,584
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,5,50,62,56,67,123
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,14,113,112,124,126,250
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,53,56,174,162,227,218,445
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,79,85,405,361,484,446,930
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,10,11,10,6,20,17,37
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,13,17,42,39,55,56,111
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,7,18,19,23,26,49
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,19,17,52,41,71,58,129
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,8,7,42,33,50,40,90
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,130,140,213,190,343,330,673
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,20,11,29,39,49,50,99
SAN LORENZO(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,14,9,141,113,155,122,277
SAN LUCAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,58,56,338,223,396,279,675
SAN MATIAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,5,28,17,39,22,61
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,10,126,102,137,112,249
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,1,12,10,14,11,25
SAN PEDRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,15,5,109,103,124,108,232
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,20,18,157,152,177,170,347
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,1,25,31,26,32,58
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,1,4,1,4,2,6
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,6,14,12,16,18,34
SAN PEDRO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,5,2,5,2,7
SAN RAFAEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,2,46,49,50,51,101
SAN RAMON BENI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,5,18,21,21,26,47
SAN RAMON SCZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,3,46,24,48,27,75
SANTA ANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,8,2,99,76,107,78,185
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,773,663,2025,2958,2798,3621,6419
SANTA ROSA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,36,49,36,49,85
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,9,19,52,52,61,71,132
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,1,19,22,21,23,44
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,3,69,54,71,57,128
SANTIAGO DE HUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,5,29,24,34,29,63
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,27,23,28,25,53
SANTIVAÑES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,4,51,53,57,57,114
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,2,0,22,28,24,28,52
SAPAHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,9,6,37,34,46,40,86
SENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,2,22,12,25,14,39
SHINAOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,24,33,302,213,326,246,572
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,16,7,136,130,152,137,289
SICAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,0,38,21,39,21,60
SIPE SIPE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,58,48,206,186,264,234,498
SOPACHUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,8,59,55,65,63,128
SORACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,7,78,85,82,92,174
SORATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,7,17,65,61,72,78,150
SUCRE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,289,291,1783,1710,2072,2001,4073
TACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,0,0,1,2,3
TACACOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,9,11,29,30,38,41,79
TACOBAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,3,60,33,63,36,99
TACOPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,8,11,102,75,110,86,196
TAHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,4,7,4,7,11
TAPACARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,12,13,187,158,199,171,370
TARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,10,9,139,141,149,150,299
TARACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,1,22,12,26,13,39
TARATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,38,34,34,51,72,85,157
TARIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,217,180,790,677,1007,857,1864
TARVITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,5,117,105,123,110,233
TEOPONTE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,4,43,47,48,51,99
TIAWANACU,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,7,61,56,72,63,135
TINGUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,4,113,105,116,109,225
TIPUANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,19,6,49,22,68,28,96
TIQUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,107,95,361,254,468,349,817
TIRAQUE (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,29,139,137,150,166,316
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,0,7,7,10,7,17
TOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,5,36,22,39,27,66
TODOS SANTOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,1,0,1,0,1
TOLATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,17,5,42,31,59,36,95
TOLEDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,1,35,32,39,33,72
TOMAVE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,11,12,65,54,76,66,142
TOMINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,5,67,73,72,78,150
TORO TORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,5,4,73,55,78,59,137
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,31,36,87,76,118,112,230
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,2,27,21,27,23,50
TRIGAL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,3,13,13,14,16,30
TRINIDAD,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,140,99,313,281,453,380,833
TUPIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,1,224,213,225,214,439
TURCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,0,32,14,33,14,47
UMALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,38,45,39,47,86
UNCIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,22,14,164,110,186,124,310
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,27,25,102,82,129,107,236
URUBICHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,8,7,75,49,83,56,139
UYUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,13,18,121,122,134,140,274
VACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,19,30,69,62,88,92,180
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,9,8,63,63,72,71,143
VIACHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,83,42,156,161,239,203,442
VILA VILA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,2,46,55,46,57,103
VILLA CHARCAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,6,16,129,121,135,137,272
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,36,40,195,194,231,234,465
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,1,23,34,24,35,59
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,19,35,55,46,74,81,155
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,21,13,92,84,113,97,210
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,259,223,565,488,824,711,1535
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,8,6,56,61,64,67,131
VILLAZON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,32,27,263,236,295,263,558
VINTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,82,40,227,122,309,162,471
VITICHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,7,74,51,78,58,136
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,4,13,10,14,14,28
WARNES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,82,66,213,191,295,257,552
YACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,12,5,63,61,75,66,141
YACUIBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,96,72,409,376,505,448,953
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,2,54,39,57,41,98
YANACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,2,32,26,35,28,63
YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,69,58,254,218,323,276,599
YOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,7,6,61,49,68,55,123
YOTALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,4,1,43,43,47,44,91
YUNCHARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,1,2,46,40,47,42,89
YUNGUYO DE LITORAL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,0,0,1,0,1,0,1
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-02-01,3,1,48,57,51,58,109
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,9,5,44,58,53,63,116
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,38,33,207,195,245,228,473
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,21,6,55,75,76,81,157
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,7,18,61,62,68,80,148
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,14,15,26,12,40,27,67
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,8,21,20,26,28,54
ALTO BENI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,9,4,66,52,75,56,131
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,9,6,68,77,77,83,160
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,4,5,17,38,21,43,64
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,3,5,12,22,15,27,42
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,8,8,65,65,73,73,146
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,11,12,152,120,163,132,295
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,6,8,28,22,34,30,64
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,31,21,51,37,82,58,140
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,16,18,86,105,102,123,225
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,17,18,132,120,149,138,287
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,0,1,127,104,127,105,232
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,13,64,57,69,70,139
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,0,3,40,32,40,35,75
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,3,74,74,79,77,156
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,4,56,54,61,58,119
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,25,35,191,148,216,183,399
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,11,107,85,112,96,208
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,23,18,69,82,92,100,192
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,2,3,34,26,36,29,65
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,1,1,17,9,18,10,28
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,2,2,10,11,12,13,25
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,1,0,16,19,17,19,36
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,45,45,112,88,157,133,290
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,22,26,252,267,274,293,567
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,6,73,88,78,94,172
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,0,0,3,18,3,18,21
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,2,5,26,15,28,20,48
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,3,4,114,91,117,95,212
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,15,15,86,70,101,85,186
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,12,7,74,68,86,75,161
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,10,9,83,78,93,87,180
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,6,5,60,62,66,67,133
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,3,4,34,20,37,24,61
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,12,8,82,83,94,91,185
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,4,9,102,105,106,114,220
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,0,1,28,20,28,21,49
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,50,42,178,172,228,214,442
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,29,16,196,177,225,193,418
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,4,7,60,67,64,74,138
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,17,9,141,112,158,121,279
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,18,20,342,285,360,305,665
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,8,9,120,97,128,106,234
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-03-01,5,9,72,71,77,80,157
