,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,19,0,19
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,58,3,61
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,4,3,7
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,19,3,22
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,38,14,52
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,17,0,17
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,12,2,14
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,2,0,2
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,24,0,24
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,19,2,21
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,0,2,2
SAN PEDRO DE QUEMES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,0,1
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,0,1
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,9,0,9
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,0,5
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,26,0,26
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,40,0,40
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1504,0,1504
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,16,0,16
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,17,0,17
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,2,3
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,0,5
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,2,3,5
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,0,2,2
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,2,0,2
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,2,3
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,1,6
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,3,0,3
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,38,0,38
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,22,0,22
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,2,0,2
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,39,0,39
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,9,1,10
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,0,5
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,15,4,19
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,618,2,620
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,8,1,9
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,4,0,4
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,7,0,7
TAHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,0,1
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,19,2,21
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,13,6,19
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,4,0,4
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,6,0,6
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,300,0,300
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,18,1,19
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,20,5,25
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,12,6,18
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,7,2,9
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,27,0,27
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,80,9,89
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,26,3,29
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,0,2,2
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,6,0,6
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,8,0,8
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,4,0,4
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,8,2,10
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,8,1,9
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,7,2,9
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,8,4,12
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,0,5
TRIGAL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,1,2
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,203,1,204
TUPIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,54,4,58
TURCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,3,0,3
UMALA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,6,2,8
UNCIA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,10,2,12
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,21,0,21
URUBICHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,9,3,12
UYUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,43,1,44
VACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,12,2,14
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,18,2,20
VIACHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,77,0,77
VILA VILA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,0,5
VILLA CHARCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,13,8,21
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,58,0,58
VILLA NUEVA (LOMA ALTA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,1,0,1
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,7,0,7
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,13,3,16
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,81,1,82
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,8,3,11
VILLAZON,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,48,3,51
VINTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,69,0,69
VITICHI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,9,1,10
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,153,0,153
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,2,3,5
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,189,6,195
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,4,0,4
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,3,0,3
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,39,0,39
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,3,0,3
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,1,6
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,2,7,9
YUNGUYO DE LITORAL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,0,1,1
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-02-01,5,3,8
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,0,6
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,36,1,37
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,0,6
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,27,2,29
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,14,0,14
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,0,10
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,4,6
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,0,5
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,2,3
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,4,26
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,0,5
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,11,0,11
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,8,1,9
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,8,0,8
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,33,1,34
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,0,13
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,1,11
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,20,1,21
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,3,10
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,1,14
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,0,1,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,48,0,48
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,39,6,45
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,1,11
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,2,4
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,18,1,19
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,19,0,19
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,1,13
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,0,7
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,11,1,12
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,1,2
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,0,13
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,33,2,35
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,45,0,45
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,14,0,14
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,2,5
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,0,13
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,45,3,48
CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,0,1,1
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,2,24
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,7,13
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,8,1,9
CATACORA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,39,7,46
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,30,0,30
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,3,12
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,0,10
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,0,10
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,1,8
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,0,9
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,17,0,17
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,67,2,69
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,15,18,33
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1030,0,1030
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,100,0,100
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,8,0,8
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,25,0,25
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,0,4
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,26,11,37
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,0,13
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,21,5,26
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,35,0,35
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,3,5
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,0,22
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,2,14
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,18,0,18
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,1,6
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,24,1,25
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,2,8
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,27,0,27
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,68,0,68
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,0,22
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,0,5
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,6,19
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,0,6
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,991,0,991
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,1,2
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,0,13
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,1,7
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,59,0,59
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,0,22
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,41,0,41
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,1,14
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,1,14
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,23,0,23
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,1,4
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,20,0,20
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,5,8
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,19,0,19
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,1,3
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,95,0,95
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,18,0,18
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,1,8
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,1,4
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,49,1,50
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,0,4
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,2,5
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,2,5
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,1,5
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,3,9
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,4,11
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,2,6
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,16,0,16
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,1,14
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,63,0,63
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,88,0,88
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,929,0,929
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,1,3
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,0,9
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,1,4
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,0,4
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,63,1,64
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,0,5
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,0,10
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,19,1,20
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,0,12
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,43,1,44
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,0,9
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,39,0,39
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,35,0,35
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,11,3,14
MOJINETE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,3,9
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,34,0,34
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,177,0,177
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,1,5
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,4,9
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,2,11
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,0,12
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,1,2
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,389,0,389
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,3,15
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,10,1,11
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,24,0,24
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,1,10
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,50,2,52
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,0,4
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,0,9
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,3,0,3
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,32,2,34
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,6,0,6
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,0,2
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,13,4,17
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,9,3,12
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,8,0,8
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,11,0,11
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,15,0,15
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,8,30
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,0,12
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,35,2,37
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,8,0,8
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,1,3
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,266,1,267
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,2,12,14
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,33,0,33
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,7,7,14
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,15,11,26
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,11,0,11
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,5,1,6
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,15,0,15
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,12,0,12
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,1,0,1
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,29,0,29
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,80,0,80
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,19,1,20
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,22,0,22
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-03-01,4,0,4
