municipality,group,variable,month,Repetidas,TOTAL
SANTIAGO DE HUARI,consultas prenatales,repetidas,2006-03-01,19,19
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2006-03-01,9,9
SANTIVAÑES,consultas prenatales,repetidas,2006-03-01,27,27
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2006-03-01,10,10
SAPAHAQUI,consultas prenatales,repetidas,2006-03-01,27,27
SENA,consultas prenatales,repetidas,2006-03-01,32,32
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2006-03-01,65,65
SICAYA,consultas prenatales,repetidas,2006-03-01,7,7
SIPE SIPE,consultas prenatales,repetidas,2006-03-01,305,305
SOPACHUY,consultas prenatales,repetidas,2006-03-01,75,75
SORACACHI,consultas prenatales,repetidas,2006-03-01,9,9
SORATA,consultas prenatales,repetidas,2006-03-01,62,62
SUCRE,consultas prenatales,repetidas,2006-03-01,2302,2302
TACACHI,consultas prenatales,repetidas,2006-03-01,2,2
TACACOMA,consultas prenatales,repetidas,2006-03-01,22,22
TACOBAMBA,consultas prenatales,repetidas,2006-03-01,12,12
TACOPAYA,consultas prenatales,repetidas,2006-03-01,49,49
TAHUA,consultas prenatales,repetidas,2006-03-01,7,7
TAPACARI,consultas prenatales,repetidas,2006-03-01,69,69
TARABUCO,consultas prenatales,repetidas,2006-03-01,157,157
TARACO,consultas prenatales,repetidas,2006-03-01,5,5
TARATA,consultas prenatales,repetidas,2006-03-01,56,56
TARIJA,consultas prenatales,repetidas,2006-03-01,1193,1193
TARVITA,consultas prenatales,repetidas,2006-03-01,136,136
TEOPONTE,consultas prenatales,repetidas,2006-03-01,31,31
TIAWANACU,consultas prenatales,repetidas,2006-03-01,56,56
TINGUIPAYA,consultas prenatales,repetidas,2006-03-01,87,87
TIPUANI,consultas prenatales,repetidas,2006-03-01,89,89
TIQUIPAYA,consultas prenatales,repetidas,2006-03-01,251,251
TIRAQUE (CBBA),consultas prenatales,repetidas,2006-03-01,285,285
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2006-03-01,2,2
TOCO,consultas prenatales,repetidas,2006-03-01,16,16
TODOS SANTOS,consultas prenatales,repetidas,2006-03-01,1,1
TOLATA,consultas prenatales,repetidas,2006-03-01,17,17
TOLEDO,consultas prenatales,repetidas,2006-03-01,19,19
TOMAVE,consultas prenatales,repetidas,2006-03-01,28,28
TOMINA,consultas prenatales,repetidas,2006-03-01,65,65
TORO TORO,consultas prenatales,repetidas,2006-03-01,48,48
TOTORA(CBBA),consultas prenatales,repetidas,2006-03-01,70,70
TOTORA(ORR),consultas prenatales,repetidas,2006-03-01,8,8
TRIGAL,consultas prenatales,repetidas,2006-03-01,4,4
TRINIDAD,consultas prenatales,repetidas,2006-03-01,893,893
TUPIZA,consultas prenatales,repetidas,2006-03-01,311,311
TURCO,consultas prenatales,repetidas,2006-03-01,9,9
UMALA,consultas prenatales,repetidas,2006-03-01,6,6
UNCIA,consultas prenatales,repetidas,2006-03-01,146,146
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2006-03-01,60,60
URUBICHA,consultas prenatales,repetidas,2006-03-01,60,60
UYUNI,consultas prenatales,repetidas,2006-03-01,94,94
VACAS,consultas prenatales,repetidas,2006-03-01,56,56
VALLEGRANDE,consultas prenatales,repetidas,2006-03-01,95,95
VIACHA,consultas prenatales,repetidas,2006-03-01,245,245
VILA VILA,consultas prenatales,repetidas,2006-03-01,15,15
VILLA MONTES,consultas prenatales,repetidas,2006-03-01,293,293
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2006-03-01,4,4
VILLA RIVERO,consultas prenatales,repetidas,2006-03-01,16,16
VILLA SERRANO,consultas prenatales,repetidas,2006-03-01,71,71
VILLA TUNARI,consultas prenatales,repetidas,2006-03-01,413,413
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2006-03-01,86,86
VILLAZON,consultas prenatales,repetidas,2006-03-01,298,298
VINTO,consultas prenatales,repetidas,2006-03-01,207,207
VITICHI,consultas prenatales,repetidas,2006-03-01,47,47
WALDO BALLIVIAN,consultas prenatales,repetidas,2006-03-01,6,6
WARNES,consultas prenatales,repetidas,2006-03-01,441,441
YACO,consultas prenatales,repetidas,2006-03-01,16,16
YACUIBA,consultas prenatales,repetidas,2006-03-01,524,524
YAMPARAEZ,consultas prenatales,repetidas,2006-03-01,45,45
YANACACHI,consultas prenatales,repetidas,2006-03-01,18,18
YAPACANI,consultas prenatales,repetidas,2006-03-01,295,295
YOCALLA,consultas prenatales,repetidas,2006-03-01,14,14
YOTALA,consultas prenatales,repetidas,2006-03-01,74,74
YUNCHARA,consultas prenatales,repetidas,2006-03-01,20,20
ZUDAÑEZ,consultas prenatales,repetidas,2006-03-01,37,37
ACACIO,consultas prenatales,repetidas,2006-04-01,51,51
ACHACACHI,consultas prenatales,repetidas,2006-04-01,177,177
ACHOCALLA,consultas prenatales,repetidas,2006-04-01,38,38
AIQUILE,consultas prenatales,repetidas,2006-04-01,149,149
ALALAY,consultas prenatales,repetidas,2006-04-01,19,19
ALCALA,consultas prenatales,repetidas,2006-04-01,24,24
ANCORAIMES,consultas prenatales,repetidas,2006-04-01,63,63
ANDAMARCA,consultas prenatales,repetidas,2006-04-01,11,11
ANTEQUERA,consultas prenatales,repetidas,2006-04-01,17,17
ANZALDO,consultas prenatales,repetidas,2006-04-01,19,19
APOLO,consultas prenatales,repetidas,2006-04-01,103,103
ARAMPAMPA,consultas prenatales,repetidas,2006-04-01,17,17
ARANI,consultas prenatales,repetidas,2006-04-01,32,32
ARBIETO,consultas prenatales,repetidas,2006-04-01,13,13
ARQUE,consultas prenatales,repetidas,2006-04-01,48,48
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-04-01,180,180
ATOCHA,consultas prenatales,repetidas,2006-04-01,57,57
AUCAPATA,consultas prenatales,repetidas,2006-04-01,10,10
AYATA,consultas prenatales,repetidas,2006-04-01,16,16
AYO AYO,consultas prenatales,repetidas,2006-04-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-04-01,120,120
AZURDUY,consultas prenatales,repetidas,2006-04-01,101,101
BATALLAS,consultas prenatales,repetidas,2006-04-01,49,49
BAURES,consultas prenatales,repetidas,2006-04-01,25,25
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-04-01,3,3
BELEN DE URMIRI,consultas prenatales,repetidas,2006-04-01,11,11
BELLA FLOR,consultas prenatales,repetidas,2006-04-01,4,4
BERMEJO,consultas prenatales,repetidas,2006-04-01,209,209
BETANZOS,consultas prenatales,repetidas,2006-04-01,171,171
BOLIVAR,consultas prenatales,repetidas,2006-04-01,16,16
BOLPEBRA,consultas prenatales,repetidas,2006-04-01,5,5
BOYUIBE,consultas prenatales,repetidas,2006-04-01,25,25
BUENA VISTA,consultas prenatales,repetidas,2006-04-01,73,73
CABEZAS,consultas prenatales,repetidas,2006-04-01,95,95
CAIROMA,consultas prenatales,repetidas,2006-04-01,58,58
"CAIZA ""D""",consultas prenatales,repetidas,2006-04-01,35,35
CAJUATA,consultas prenatales,repetidas,2006-04-01,41,41
CALACOTO,consultas prenatales,repetidas,2006-04-01,16,16
CALAMARCA,consultas prenatales,repetidas,2006-04-01,38,38
CAMARGO,consultas prenatales,repetidas,2006-04-01,122,122
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2006-04-01,24,24
CAMIRI,consultas prenatales,repetidas,2006-04-01,243,243
CAPINOTA,consultas prenatales,repetidas,2006-04-01,122,122
CAQUIAVIRI,consultas prenatales,repetidas,2006-04-01,34,34
CARACOLLO,consultas prenatales,repetidas,2006-04-01,113,113
CARANAVI,consultas prenatales,repetidas,2006-04-01,311,311
CARAPARI,consultas prenatales,repetidas,2006-04-01,44,44
CARIPUYO,consultas prenatales,repetidas,2006-04-01,43,43
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2006-04-01,10,10
CHALLAPATA,consultas prenatales,repetidas,2006-04-01,147,147
CHAQUI,consultas prenatales,repetidas,2006-04-01,26,26
CHARAGUA,consultas prenatales,repetidas,2006-04-01,156,156
CHARAÑA,consultas prenatales,repetidas,2006-04-01,4,4
CHAYANTA,consultas prenatales,repetidas,2006-04-01,64,64
CHIMORE,consultas prenatales,repetidas,2006-04-01,65,65
CHIPAYA,consultas prenatales,repetidas,2006-04-01,6,6
CHOQUE COTA,consultas prenatales,repetidas,2006-04-01,4,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-04-01,139,139
CHUMA,consultas prenatales,repetidas,2006-04-01,24,24
CLIZA,consultas prenatales,repetidas,2006-04-01,78,78
COBIJA,consultas prenatales,repetidas,2006-04-01,348,348
COCHABAMBA,consultas prenatales,repetidas,2006-04-01,4956,4956
COIPASA,consultas prenatales,repetidas,2006-04-01,4,4
COLCAPIRHUA,consultas prenatales,repetidas,2006-04-01,369,369
"COLCHA ""K""",consultas prenatales,repetidas,2006-04-01,58,58
COLLANA,consultas prenatales,repetidas,2006-04-01,7,7
COLOMI,consultas prenatales,repetidas,2006-04-01,88,88
COLPA BELGICA,consultas prenatales,repetidas,2006-04-01,35,35
COLQUECHACA,consultas prenatales,repetidas,2006-04-01,138,138
COLQUENCHA,consultas prenatales,repetidas,2006-04-01,10,10
COLQUIRI,consultas prenatales,repetidas,2006-04-01,102,102
COMANCHE,consultas prenatales,repetidas,2006-04-01,7,7
COMARAPA,consultas prenatales,repetidas,2006-04-01,163,163
COMBAYA,consultas prenatales,repetidas,2006-04-01,1,1
CONCEPCION,consultas prenatales,repetidas,2006-04-01,106,106
COPACABANA,consultas prenatales,repetidas,2006-04-01,41,41
CORIPATA,consultas prenatales,repetidas,2006-04-01,61,61
CORO CORO,consultas prenatales,repetidas,2006-04-01,18,18
COROICO,consultas prenatales,repetidas,2006-04-01,128,128
CORQUE,consultas prenatales,repetidas,2006-04-01,17,17
COTAGAITA,consultas prenatales,repetidas,2006-04-01,143,143
COTOCA,consultas prenatales,repetidas,2006-04-01,173,173
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-04-01,88,88
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-04-01,7,7
CUEVO,consultas prenatales,repetidas,2006-04-01,25,25
CULPINA,consultas prenatales,repetidas,2006-04-01,79,79
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-04-01,19,19
CURVA,consultas prenatales,repetidas,2006-04-01,5,5
DESAGUADERO,consultas prenatales,repetidas,2006-04-01,20,20
EL ALTO,consultas prenatales,repetidas,2006-04-01,4274,4274
EL CHORO,consultas prenatales,repetidas,2006-04-01,9,9
EL PUENTE(STC),consultas prenatales,repetidas,2006-04-01,81,81
EL PUENTE(TJA),consultas prenatales,repetidas,2006-04-01,61,61
EL TORNO,consultas prenatales,repetidas,2006-04-01,121,121
EL VILLAR,consultas prenatales,repetidas,2006-04-01,35,35
ENTRE RIOS,consultas prenatales,repetidas,2006-04-01,63,63
ENTRE RIOS,consultas prenatales,repetidas,2006-04-01,104,104
ESCARA,consultas prenatales,repetidas,2006-04-01,1,1
EUCALIPTUS,consultas prenatales,repetidas,2006-04-01,30,30
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2006-04-01,2,2
EXALTACION,consultas prenatales,repetidas,2006-04-01,15,15
FERNANDEZ ALONSO,consultas prenatales,repetidas,2006-04-01,109,109
FILADELFIA,consultas prenatales,repetidas,2006-04-01,7,7
GENERAL SAAVEDRA,consultas prenatales,repetidas,2006-04-01,85,85
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2006-04-01,20,20
GUANAY,consultas prenatales,repetidas,2006-04-01,43,43
GUAQUI,consultas prenatales,repetidas,2006-04-01,27,27
GUAYARAMERIN,consultas prenatales,repetidas,2006-04-01,414,414
GUTIERREZ,consultas prenatales,repetidas,2006-04-01,44,44
HUACARETA,consultas prenatales,repetidas,2006-04-01,68,68
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2006-04-01,12,12
HUACHACALLA,consultas prenatales,repetidas,2006-04-01,4,4
HUANUNI,consultas prenatales,repetidas,2006-04-01,247,247
HUARACAJE,consultas prenatales,repetidas,2006-04-01,34,34
HUAYLLAMARCA,consultas prenatales,repetidas,2006-04-01,7,7
ICHOCA,consultas prenatales,repetidas,2006-04-01,15,15
ICLA,consultas prenatales,repetidas,2006-04-01,88,88
INCAHUASI,consultas prenatales,repetidas,2006-04-01,143,143
INGAVI (HUMAITA),consultas prenatales,repetidas,2006-04-01,5,5
INQUISIVI,consultas prenatales,repetidas,2006-04-01,30,30
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2006-04-01,68,68
IXIAMAS,consultas prenatales,repetidas,2006-04-01,41,41
JESUS DE MACHACA,consultas prenatales,repetidas,2006-04-01,43,43
LA ASUNTA,consultas prenatales,repetidas,2006-04-01,181,181
LA GUARDIA,consultas prenatales,repetidas,2006-04-01,217,217
LA PAZ,consultas prenatales,repetidas,2006-04-01,6806,6806
LA RIVERA,consultas prenatales,repetidas,2006-04-01,1,1
LAGUNILLAS,consultas prenatales,repetidas,2006-04-01,22,22
LAJA,consultas prenatales,repetidas,2006-04-01,34,34
LAS CARRERAS,consultas prenatales,repetidas,2006-04-01,31,31
LICOMA PAMPA,consultas prenatales,repetidas,2006-04-01,9,9
LLALLAGUA,consultas prenatales,repetidas,2006-04-01,365,365
LLICA,consultas prenatales,repetidas,2006-04-01,27,27
LORETO,consultas prenatales,repetidas,2006-04-01,12,12
LURIBAY,consultas prenatales,repetidas,2006-04-01,28,28
MACHACAMARCA,consultas prenatales,repetidas,2006-04-01,15,15
MACHARETI,consultas prenatales,repetidas,2006-04-01,54,54
MAGDALENA,consultas prenatales,repetidas,2006-04-01,107,107
MAIRANA,consultas prenatales,repetidas,2006-04-01,52,52
MALLA,consultas prenatales,repetidas,2006-04-01,12,12
MAPIRI,consultas prenatales,repetidas,2006-04-01,134,134
MECAPACA,consultas prenatales,repetidas,2006-04-01,22,22
MINEROS,consultas prenatales,repetidas,2006-04-01,134,134
MIZQUE,consultas prenatales,repetidas,2006-04-01,127,127
MOCOMOCO,consultas prenatales,repetidas,2006-04-01,33,33
MOJINETE,consultas prenatales,repetidas,2006-04-01,3,3
MOJOCOYA,consultas prenatales,repetidas,2006-04-01,35,35
MONTEAGUDO,consultas prenatales,repetidas,2006-04-01,238,238
MONTERO,consultas prenatales,repetidas,2006-04-01,958,958
MORO MORO,consultas prenatales,repetidas,2006-04-01,5,5
MOROCHATA,consultas prenatales,repetidas,2006-04-01,68,68
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2006-04-01,6,6
NAZACARA DE PACAJES,consultas prenatales,repetidas,2006-04-01,1,1
OCURI,consultas prenatales,repetidas,2006-04-01,104,104
OKINAWA,consultas prenatales,repetidas,2006-04-01,99,99
OMEREQUE,consultas prenatales,repetidas,2006-04-01,35,35
ORURO,consultas prenatales,repetidas,2006-04-01,1941,1941
PADCAYA,consultas prenatales,repetidas,2006-04-01,51,51
PADILLA,consultas prenatales,repetidas,2006-04-01,89,89
PAILON,consultas prenatales,repetidas,2006-04-01,85,85
PALCA,consultas prenatales,repetidas,2006-04-01,16,16
PALOS BLANCOS,consultas prenatales,repetidas,2006-04-01,174,174
PAMPA AULLAGAS,consultas prenatales,repetidas,2006-04-01,11,11
PAMPA GRANDE,consultas prenatales,repetidas,2006-04-01,59,59
PAPEL PAMPA,consultas prenatales,repetidas,2006-04-01,9,9
PASORAPA,consultas prenatales,repetidas,2006-04-01,21,21
PATACAMAYA,consultas prenatales,repetidas,2006-04-01,76,76
PAZÑA,consultas prenatales,repetidas,2006-04-01,27,27
PELECHUCO,consultas prenatales,repetidas,2006-04-01,12,12
POCOATA,consultas prenatales,repetidas,2006-04-01,94,94
POCONA,consultas prenatales,repetidas,2006-04-01,47,47
POJO (CBBA),consultas prenatales,repetidas,2006-04-01,48,48
POOPO,consultas prenatales,repetidas,2006-04-01,17,17
PORCO,consultas prenatales,repetidas,2006-04-01,76,76
POROMA,consultas prenatales,repetidas,2006-04-01,73,73
PORONGO,consultas prenatales,repetidas,2006-04-01,42,42
PORTACHUELO,consultas prenatales,repetidas,2006-04-01,170,170
PORVENIR,consultas prenatales,repetidas,2006-04-01,46,46
POSTRER VALLE,consultas prenatales,repetidas,2006-04-01,6,6
POTOSI,consultas prenatales,repetidas,2006-04-01,1386,1386
PRESTO,consultas prenatales,repetidas,2006-04-01,48,48
PUCARA,consultas prenatales,repetidas,2006-04-01,5,5
PUCARANI,consultas prenatales,repetidas,2006-04-01,94,94
PUERTO ACOSTA,consultas prenatales,repetidas,2006-04-01,48,48
PUERTO CARABUCO,consultas prenatales,repetidas,2006-04-01,24,24
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2006-04-01,50,50
PUERTO PEREZ,consultas prenatales,repetidas,2006-04-01,8,8
PUERTO QUIJARRO,consultas prenatales,repetidas,2006-04-01,73,73
PUERTO RICO,consultas prenatales,repetidas,2006-04-01,39,39
PUERTO SILES,consultas prenatales,repetidas,2006-04-01,1,1
PUERTO SUAREZ,consultas prenatales,repetidas,2006-04-01,79,79
PUERTO VILLARROEL,consultas prenatales,repetidas,2006-04-01,292,292
PUNA,consultas prenatales,repetidas,2006-04-01,185,185
PUNATA,consultas prenatales,repetidas,2006-04-01,149,149
QUIABAYA,consultas prenatales,repetidas,2006-04-01,9,9
QUILLACOLLO,consultas prenatales,repetidas,2006-04-01,691,691
QUIME,consultas prenatales,repetidas,2006-04-01,41,41
QUIRUSILLAS,consultas prenatales,repetidas,2006-04-01,4,4
RAVELO,consultas prenatales,repetidas,2006-04-01,104,104
REYES,consultas prenatales,repetidas,2006-04-01,69,69
RIBERALTA,consultas prenatales,repetidas,2006-04-01,927,927
ROBORE,consultas prenatales,repetidas,2006-04-01,64,64
RURRENABAQUE,consultas prenatales,repetidas,2006-04-01,91,91
SABAYA,consultas prenatales,repetidas,2006-04-01,16,16
SACABA,consultas prenatales,repetidas,2006-04-01,578,578
SACABAMBA,consultas prenatales,repetidas,2006-04-01,21,21
SACACA,consultas prenatales,repetidas,2006-04-01,90,90
SAIPINA,consultas prenatales,repetidas,2006-04-01,34,34
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2006-04-01,38,38
SAMAIPATA,consultas prenatales,repetidas,2006-04-01,70,70
SAN AGUSTIN,consultas prenatales,repetidas,2006-04-01,14,14
SAN ANDRES,consultas prenatales,repetidas,2006-04-01,36,36
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2006-04-01,6,6
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2006-04-01,5,5
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2006-04-01,37,37
SAN BENITO,consultas prenatales,repetidas,2006-04-01,45,45
SAN BORJA,consultas prenatales,repetidas,2006-04-01,233,233
SAN BUENA VENTURA,consultas prenatales,repetidas,2006-04-01,67,67
SAN CARLOS,consultas prenatales,repetidas,2006-04-01,174,174
SAN IGNACIO,consultas prenatales,repetidas,2006-04-01,117,117
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2006-04-01,456,456
SAN JAVIER(BNI),consultas prenatales,repetidas,2006-04-01,21,21
SAN JAVIER(STC),consultas prenatales,repetidas,2006-04-01,100,100
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2006-04-01,80,80
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2006-04-01,73,73
SAN JULIAN,consultas prenatales,repetidas,2006-04-01,263,263
SAN LORENZO(PND),consultas prenatales,repetidas,2006-04-01,19,19
SAN LORENZO(TJA),consultas prenatales,repetidas,2006-04-01,86,86
SAN LUCAS,consultas prenatales,repetidas,2006-04-01,234,234
SAN MATIAS,consultas prenatales,repetidas,2006-04-01,43,43
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2006-04-01,64,64
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2006-04-01,13,13
SAN PEDRO,consultas prenatales,repetidas,2006-04-01,135,135
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2006-04-01,58,58
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2006-04-01,10,10
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2006-04-01,5,5
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2006-04-01,6,6
SAN PEDRO(PND),consultas prenatales,repetidas,2006-04-01,2,2
SAN RAFAEL,consultas prenatales,repetidas,2006-04-01,35,35
SAN RAMON,consultas prenatales,repetidas,2006-04-01,78,78
SAN RAMON,consultas prenatales,repetidas,2006-04-01,45,45
SANTA ANA,consultas prenatales,repetidas,2006-04-01,91,91
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2006-04-01,6817,6817
SANTA ROSA,consultas prenatales,repetidas,2006-04-01,54,54
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2006-04-01,121,121
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2006-04-01,4,4
SANTIAGO DE HUARI,consultas prenatales,repetidas,2006-04-01,22,22
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2006-04-01,13,13
SANTIVAÑES,consultas prenatales,repetidas,2006-04-01,21,21
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2006-04-01,8,8
SAPAHAQUI,consultas prenatales,repetidas,2006-04-01,36,36
SENA,consultas prenatales,repetidas,2006-04-01,28,28
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2006-04-01,49,49
SICAYA,consultas prenatales,repetidas,2006-04-01,9,9
SIPE SIPE,consultas prenatales,repetidas,2006-04-01,235,235
SOPACHUY,consultas prenatales,repetidas,2006-04-01,60,60
SORACACHI,consultas prenatales,repetidas,2006-04-01,17,17
SORATA,consultas prenatales,repetidas,2006-04-01,62,62
SUCRE,consultas prenatales,repetidas,2006-04-01,1959,1959
TACACHI,consultas prenatales,repetidas,2006-04-01,2,2
TACACOMA,consultas prenatales,repetidas,2006-04-01,28,28
TACOBAMBA,consultas prenatales,repetidas,2006-04-01,21,21
TACOPAYA,consultas prenatales,repetidas,2006-04-01,55,55
TAHUA,consultas prenatales,repetidas,2006-04-01,7,7
TAPACARI,consultas prenatales,repetidas,2006-04-01,87,87
TARABUCO,consultas prenatales,repetidas,2006-04-01,195,195
TARACO,consultas prenatales,repetidas,2006-04-01,6,6
TARATA,consultas prenatales,repetidas,2006-04-01,33,33
TARIJA,consultas prenatales,repetidas,2006-04-01,993,993
TARVITA,consultas prenatales,repetidas,2006-04-01,146,146
TEOPONTE,consultas prenatales,repetidas,2006-04-01,27,27
TIAWANACU,consultas prenatales,repetidas,2006-04-01,58,58
TINGUIPAYA,consultas prenatales,repetidas,2006-04-01,100,100
TIPUANI,consultas prenatales,repetidas,2006-04-01,91,91
TIQUIPAYA,consultas prenatales,repetidas,2006-04-01,294,294
TIRAQUE (CBBA),consultas prenatales,repetidas,2006-04-01,250,250
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2006-04-01,2,2
TOCO,consultas prenatales,repetidas,2006-04-01,24,24
TOLATA,consultas prenatales,repetidas,2006-04-01,20,20
TOLEDO,consultas prenatales,repetidas,2006-04-01,17,17
TOMAVE,consultas prenatales,repetidas,2006-04-01,32,32
TOMINA,consultas prenatales,repetidas,2006-04-01,58,58
TORO TORO,consultas prenatales,repetidas,2006-04-01,46,46
TOTORA(CBBA),consultas prenatales,repetidas,2006-04-01,80,80
TOTORA(ORR),consultas prenatales,repetidas,2006-04-01,11,11
TRIGAL,consultas prenatales,repetidas,2006-04-01,5,5
TRINIDAD,consultas prenatales,repetidas,2006-04-01,833,833
TUPIZA,consultas prenatales,repetidas,2006-04-01,272,272
TURCO,consultas prenatales,repetidas,2006-04-01,11,11
UMALA,consultas prenatales,repetidas,2006-04-01,4,4
UNCIA,consultas prenatales,repetidas,2006-04-01,184,184
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2006-04-01,58,58
URUBICHA,consultas prenatales,repetidas,2006-04-01,62,62
UYUNI,consultas prenatales,repetidas,2006-04-01,85,85
VACAS,consultas prenatales,repetidas,2006-04-01,58,58
VALLEGRANDE,consultas prenatales,repetidas,2006-04-01,79,79
VIACHA,consultas prenatales,repetidas,2006-04-01,168,168
VILA VILA,consultas prenatales,repetidas,2006-04-01,11,11
VILLA MONTES,consultas prenatales,repetidas,2006-04-01,194,194
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2006-04-01,1,1
VILLA RIVERO,consultas prenatales,repetidas,2006-04-01,8,8
VILLA SERRANO,consultas prenatales,repetidas,2006-04-01,78,78
VILLA TUNARI,consultas prenatales,repetidas,2006-04-01,353,353
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2006-04-01,50,50
VILLAZON,consultas prenatales,repetidas,2006-04-01,278,278
VINTO,consultas prenatales,repetidas,2006-04-01,152,152
VITICHI,consultas prenatales,repetidas,2006-04-01,66,66
WALDO BALLIVIAN,consultas prenatales,repetidas,2006-04-01,4,4
WARNES,consultas prenatales,repetidas,2006-04-01,347,347
YACO,consultas prenatales,repetidas,2006-04-01,18,18
YACUIBA,consultas prenatales,repetidas,2006-04-01,161,161
YAMPARAEZ,consultas prenatales,repetidas,2006-04-01,41,41
YANACACHI,consultas prenatales,repetidas,2006-04-01,21,21
YAPACANI,consultas prenatales,repetidas,2006-04-01,333,333
YOCALLA,consultas prenatales,repetidas,2006-04-01,16,16
YOTALA,consultas prenatales,repetidas,2006-04-01,41,41
YUNCHARA,consultas prenatales,repetidas,2006-04-01,31,31
ZUDAÑEZ,consultas prenatales,repetidas,2006-04-01,45,45
ACACIO,consultas prenatales,repetidas,2006-05-01,45,45
ACHACACHI,consultas prenatales,repetidas,2006-05-01,205,205
ACHOCALLA,consultas prenatales,repetidas,2006-05-01,60,60
AIQUILE,consultas prenatales,repetidas,2006-05-01,169,169
ALALAY,consultas prenatales,repetidas,2006-05-01,9,9
ALCALA,consultas prenatales,repetidas,2006-05-01,26,26
ANCORAIMES,consultas prenatales,repetidas,2006-05-01,61,61
ANDAMARCA,consultas prenatales,repetidas,2006-05-01,18,18
ANTEQUERA,consultas prenatales,repetidas,2006-05-01,19,19
ANZALDO,consultas prenatales,repetidas,2006-05-01,12,12
APOLO,consultas prenatales,repetidas,2006-05-01,108,108
ARAMPAMPA,consultas prenatales,repetidas,2006-05-01,27,27
ARANI,consultas prenatales,repetidas,2006-05-01,32,32
ARBIETO,consultas prenatales,repetidas,2006-05-01,12,12
ARQUE,consultas prenatales,repetidas,2006-05-01,54,54
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-05-01,237,237
ATOCHA,consultas prenatales,repetidas,2006-05-01,72,72
AUCAPATA,consultas prenatales,repetidas,2006-05-01,11,11
AYATA,consultas prenatales,repetidas,2006-05-01,23,23
AYO AYO,consultas prenatales,repetidas,2006-05-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-05-01,135,135
AZURDUY,consultas prenatales,repetidas,2006-05-01,106,106
BATALLAS,consultas prenatales,repetidas,2006-05-01,57,57
BAURES,consultas prenatales,repetidas,2006-05-01,33,33
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-05-01,7,7
BELEN DE URMIRI,consultas prenatales,repetidas,2006-05-01,11,11
BELLA FLOR,consultas prenatales,repetidas,2006-05-01,10,10
BERMEJO,consultas prenatales,repetidas,2006-05-01,200,200
BETANZOS,consultas prenatales,repetidas,2006-05-01,209,209
BOLIVAR,consultas prenatales,repetidas,2006-05-01,20,20
BOLPEBRA,consultas prenatales,repetidas,2006-05-01,2,2
BOYUIBE,consultas prenatales,repetidas,2006-05-01,20,20
