,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,591,591
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,18,18
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,12,12
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,11,11
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,43,43
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,9,9
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,18,18
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,3,3
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,4,4
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,19,19
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,57,57
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,180,180
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,7,7
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,40,40
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,275,275
SAN BENITO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
SAN BORJA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,2,2
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,65,65
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,32,32
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,18,18
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,42,42
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,52,52
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,15,15
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,44,44
