,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
EL PUENTE(STC),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,24,24
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,21,21
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,88,88
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,2,2
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,29,29
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1,1
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,16,16
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,15,15
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,28,28
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,15,15
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,98,98
HUACARETA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1,1
HUACHACALLA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1,1
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,47,47
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,8,8
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,16,16
INGAVI (HUMAITA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,8,8
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,79,79
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,142,142
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1022,1022
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,10,10
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,7,7
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,84,84
MACHACAMARCA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,22,22
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,28,28
MAPIRI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,8,8
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,57,57
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,40,40
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,8,8
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,78,78
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,188,188
MOROCHATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,14,14
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,834,834
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,17,17
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,21,21
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,36,36
PAMPA GRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,10,10
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,48,48
PAZÑA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,4,4
POOPO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,15,15
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,8,8
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,16,16
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,28,28
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,106,106
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,18,18
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,22,22
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,48,48
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,40,40
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,207,207
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,7,7
QUIABAYA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,8,8
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,31,31
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,48,48
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,41,41
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,348,348
SAN BUENA VENTURA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,59,59
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,71,71
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,42,42
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,130,130
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,38,38
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,20,20
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1,1
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,19,19
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,13,13
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,113,113
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,15,15
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,21,21
SAN PEDRO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1,1
SAN RAFAEL,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,23,23
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,72,72
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1044,1044
SANTA ROSA DEL SARA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,14,14
SANTIAGO DE HUARI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,2,2
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,5,5
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,26,26
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,10,10
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,107,107
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,19,19
SORATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,4,4
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,949,949
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,28,28
TARATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,15,15
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,325,325
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,23,23
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,12,12
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,10,10
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,55,55
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,12,12
TUPIZA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,20,20
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,5,5
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,20,20
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,4,4
URUBICHA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,25,25
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,45,45
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,50,50
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,48,48
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,117,117
VILLA NUEVA (LOMA ALTA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,3,3
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,15,15
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,229,229
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,30,30
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,176,176
VINTO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,12,12
VITICHI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,2,2
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,138,138
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,91,91
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,5,5
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,20,20
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,7,7
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,7,7
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,34,34
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,30,30
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,4,4
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,48,48
AYATA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,34,34
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,16,16
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,24,24
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,90,90
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,6,6
BOLIVAR,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,27,27
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,45,45
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,107,107
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,51,51
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,19,19
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,18,18
CARMEN RIVERO TORREZ,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,11,11
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,74,74
CHARAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,5,5
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,41,41
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,46,46
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,165,165
COCAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,3,3
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,445,445
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,9,9
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,42,42
COROICO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,38,38
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,27,27
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,36,36
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,48,48
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,1189,1189
EL CHORO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
EL PUENTE(STC),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,4,4
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,90,90
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,5,5
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,43,43
ENTRE RIOS CBBA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,22,22
ESCOMA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,11,11
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,3,3
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,7,7
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,30,30
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,119,119
HUACARETA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,7,7
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,78,78
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,32,32
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
INGAVI (HUMAITA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,11,11
INQUISIVI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,83,83
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,56,56
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,402,402
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,89,89
MACHACAMARCA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,6,6
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,17,17
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,27,27
MAPIRI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,50,50
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,1,1
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,72,72
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,330,330
MOROCHATA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,7,7
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,3,3
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,652,652
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,16,16
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,28,28
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
PAMPA AULLAGAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
PAMPA GRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,20,20
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,43,43
PAZÑA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
POOPO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,5,5
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,7,7
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,9,9
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,153,153
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
PUERTO CARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,8,8
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,18,18
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,4,4
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,35,35
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,36,36
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,160,160
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,73,73
QUILLACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,9,9
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,15,15
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,38,38
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,56,56
SABAYA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,355,355
SALINAS DE GARCI MENDOZA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,4,4
SAN BENITO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,28,28
SAN BUENA VENTURA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,28,28
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,100,100
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,38,38
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,114,114
SAN JAVIER(BNI),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,1,1
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,27,27
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,26,26
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,22,22
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,78,78
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,16,16
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,12,12
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,95,95
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,40,40
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,17,17
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,28,28
SAN RAFAEL,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,14,14
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,41,41
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,997,997
SANTA ROSA DEL SARA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,13,13
SANTIAGO DE HUARI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,12,12
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,11,11
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,15,15
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,12,12
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,87,87
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,9,9
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,963,963
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,30,30
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,302,302
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,30,30
TOCO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,7,7
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,6,6
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,1,1
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,16,16
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,56,56
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,79,79
TUPIZA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,5,5
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,11,11
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,3,3
URUBICHA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,18,18
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,67,67
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,47,47
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,72,72
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,20,20
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,96,96
VILLA NUEVA (LOMA ALTA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,11,11
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,16,16
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,216,216
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,17,17
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,122,122
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,71,71
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,92,92
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,10,10
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,9,9
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,12,12
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,2,2
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-09-01,0,21,21
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,27,27
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,37,37
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,7,7
ANDAMARCA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,5,5
ANTEQUERA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,7,7
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,80,80
AYATA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,33,33
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,14,14
BELEN DE ANDAMARCA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,7,7
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,94,94
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,22,22
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,3,3
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,13,13
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,45,45
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,9,9
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,175,175
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,47,47
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,16,16
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,111,111
CARMEN RIVERO TORREZ,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,8,8
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,59,59
CHARAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,7,7
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,14,14
CHOQUE COTA,vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-10-01,0,27,27
