,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,3,4
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,15,19,34
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,19,19
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,22,23
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,182,183
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,7,8
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,41,41
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,6,6
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,1,1
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,2,2
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,4,56,60
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,28,30
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,13,34,47
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,44,46
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,5,10,15
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,28,87,115
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,24,67,91
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,13,13
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,5,5
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,32,32
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,18,18
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,17,18
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,3,21,24
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,137,649,786
SANTIVAÑES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,18,33,51
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,7,7
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,14,14
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,5,5
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,63,658,721
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,18,18
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,20,78,98
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,8,8
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,1,1
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,18,18
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,8,24,32
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,7,7
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,22,24
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,13,13
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,8,3,11
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,19,19
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,4,4
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,43,43
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,8,8
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,9,35,44
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,245,245
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,19,20
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,4,50,54
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,61,62
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,11,19,30
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,17,18
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,23,24
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,4,4
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,15,32,47
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,48,49
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,7,7
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,5,25,30
ARANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,19,20
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,5,81,86
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,8,8
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,22,22
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,33,33
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,2,2
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,4,4
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,14,6,20
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,18,18
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,5,5
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,7,9
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,3,1,4
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,6,33,39
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,30,82,112
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,20,20
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,43,44
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,26,26
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,0,1
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,29,29
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,30,30
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,42,416,458
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,2,3
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,12,12
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,56,57
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,7,6,13
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,4,11,15
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,9,9
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,3,24,27
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,222,3619,3841
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,59,61
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,3,3
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,3,17,20
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,2,2
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,9,9
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,6,6
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,12,12
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,365,264,629
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,61,63
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,25,25
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,12,14
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,15,24,39
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,11,11
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,78,79
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,170,426,596
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,2,3
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,6,6
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,0,1
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,3,5,8
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,26,26
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,44,45
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,7,7
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,4,82,86
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,8,137,145
MOROCHATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,18,3,21
OKINAWA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,23,23
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,19,194,213
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,17,17
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,20,21
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,4,14,18
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,69,69
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,2,2
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,17,19
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,11,13
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,29,30
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,13,13
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,2,2
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,14,28,42
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,93,93
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,4,119,123
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,7,9
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,11,11
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,30,31
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,6,39,45
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,2,3
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,1,1
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,3,3
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,0,2
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,18,18
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,18,106,124
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,26,28
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,8,13,21
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,4,73,77
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,7,8
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,8,8
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,39,40
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,18,18
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,16,18
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,197,1100,1297
SANTIVAÑES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,5,7
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,20,20
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,13,13
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,6,79,85
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,21,21
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,31,524,555
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,33,33
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,16,16
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,23,170,193
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,12,12
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,6,6
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,6,4,10
TOTORA(CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,3,53,56
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,13,33,46
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,5,5
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,5,5
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,5,5
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,48,48
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,7,8
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,13,14
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,4,208,212
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,8,51,59
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,1,53,54
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,2,61,63
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,8,19,27
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,0,9,9
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,7,5,12
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-04-01,3,7,10
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,32,33
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,26,28
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,7,119,126
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,19,21
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,11,11
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,24,24
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,55,55
BOLIVAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,1,1
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,2,2
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,0,1
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,12,12
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,3,3
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,0,1
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,5,6
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,3,24,27
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,16,16,32
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,1,1
CARMEN RIVERO TORREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,0,1
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,42,44
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,34,35
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,3,3
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,19,20
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,26,27
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,21,300,321
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,8,8
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,15,15
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,6,6
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,50,50
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,15,15
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,8,8
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,26,26
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,6,6
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,317,1521,1838
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,69,73
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,6,10
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,3,21,24
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,6,6
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,1,1
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,4,4
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,20,20
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,11,11
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,338,510,848
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,7,7
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,60,60
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,9,9
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,6,120,126
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,146,401,547
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,0,1
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,1,1
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,18,18
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,16,16
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,71,71
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,6,6
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,76,78
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,9,155,164
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,3,3
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,13,13
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,17,151,168
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,37,37
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,19,19
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,5,101,106
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,7,48,55
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,8,21,29
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,21,21
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,0,1
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,7,7
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,6,6
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,5,7,12
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,35,35
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,121,123
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,3,139,142
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,7,11
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,24,25
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,34,36
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,3,61,64
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,5,2,7
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,2,2
SAN ANDRES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,1,1
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,3,3
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,3,22,25
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,36,37
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,15,221,236
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,29,30
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,1,1
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,16,17
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,15,19
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,3,3
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,5,5
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,61,61
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,33,35
