municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,31,31
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,186,186
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,153,153
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,163,163
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,651,651
SICAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,62,62
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,1060,1060
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,62,62
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,248,248
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,36019,36019
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,186,186
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,152,152
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,620,620
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,58,58
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,12148,12148
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,558,558
TEOPONTE,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,62,62
TIAWANACU,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,31,31
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,93,93
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,744,744
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,124,124
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,62,62
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,558,558
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,217,217
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,682,682
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,6083,6083
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,2790,2790
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,93,93
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,186,186
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,1488,1488
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,155,155
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,682,682
VIACHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,1333,1333
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,93,93
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,91,91
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,1116,1116
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,124,124
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,341,341
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,2170,2170
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,370,370
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,1240,1240
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,775,775
VITICHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,31,31
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,682,682
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,2983,2983
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,248,248
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,1466,1466
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-03-01,186,186
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,450,450
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1140,1140
ALALAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
ALCALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
ANCORAIMES,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
ANTEQUERA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,360,360
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,270,270
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1919,1919
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,189,189
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,848,848
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,626,626
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
BELLA FLOR,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,21,21
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,235,235
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,360,360
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,181,181
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
CAIROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,840,840
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1909,1909
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,330,330
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1050,1050
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,273,273
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,870,870
CHAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
CHIMORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,870,870
CKOCHAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,350,350
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,3415,3415
COCAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,50339,50339
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1149,1149
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,420,420
CONCEPCION,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,330,330
CORIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
CORO CORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,960,960
CORQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,618,618
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,547,547
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,17840,17840
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,272,272
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,2880,2880
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,660,660
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
EXALTACION,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,91,91
FILADELFIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,203,203
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,130,130
GUAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,186,186
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,2085,2085
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,619,619
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,146,146
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,2200,2200
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,61,61
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,282,282
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
INQUISIVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,390,390
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,480,480
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1832,1832
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,67819,67819
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1050,1050
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
LURIBAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,270,270
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,840,840
MOJINETE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,330,330
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1560,1560
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,4255,4255
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,360,360
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,13719,13719
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,450,450
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,608,608
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,544,544
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1020,1020
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,113,113
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,11790,11790
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,219,219
PUCARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,117,117
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,230,230
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,315,315
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,810,810
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1530,1530
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1530,1530
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1050,1050
QUIME,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,146,146
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,3150,3150
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1571,1571
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,630,630
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1620,1620
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,75,75
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,81,81
SAN BENITO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,540,540
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,759,759
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,2400,2400
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1290,1290
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,715,715
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1166,1166
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,72,72
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,904,904
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,570,570
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
SAN PEDRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,420,420
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,45894,45894
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,182,182
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,157,157
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,660,660
SICAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,30,30
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,905,905
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,54,54
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,32985,32985
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,150,150
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,243,243
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,570,570
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,12897,12897
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,540,540
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,720,720
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,540,540
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,210,210
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,690,690
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,6879,6879
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,2700,2700
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1200,1200
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,660,660
VIACHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,630,630
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,90,90
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1080,1080
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,120,120
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1907,1907
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,300,300
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1200,1200
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,750,750
VITICHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,91,91
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,720,720
YACO,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,60,60
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,3279,3279
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,240,240
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,1210,1210
YOTALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,217,217
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-04-01,180,180
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,465,465
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1178,1178
ALCALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
ANTEQUERA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,190,190
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,279,279
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
ARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,150,150
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1983,1983
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,142,142
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,928,928
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,352,352
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,26,26
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,2540,2540
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,372,372
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,310,310
CAIROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,90,90
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,868,868
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,2453,2453
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,341,341
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1085,1085
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,286,286
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,775,775
CHAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,273,273
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,120,120
CHIMORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,713,713
CHUMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
CKOCHAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,340,340
