municipality,group,variable,month,Total Días camas ocupadas otros servicios,TOTAL
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,68,68
BELLA FLOR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,10,10
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,19,19
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,52,52
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,69,69
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,40,40
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,6,6
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,201,201
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1493,1493
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,41,41
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,23,23
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,431,431
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,27,27
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,160,160
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,143,143
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,32,32
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,190,190
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,155,155
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2085,2085
COCAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,31,31
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,33338,33338
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,168,168
COLOMI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1,1
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,289,289
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,168,168
CONCEPCION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,264,264
CORIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,21,21
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,225,225
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,537,537
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,123,123
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,4,4
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,37,37
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9369,9369
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,30,30
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,847,847
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,73,73
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,17,17
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,11,11
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1,1
EXALTACION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,8,8
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
FILADELFIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,7,7
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,8,8
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,12,12
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,923,923
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,55,55
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,69,69
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,4,4
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,620,620
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,63,63
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,13,13
ICLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,20,20
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,8,8
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,43,43
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,60,60
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,34,34
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,663,663
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,50405,50405
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,3,3
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,3,3
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,583,583
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2,2
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,14,14
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,219,219
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,70,70
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,18,18
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,165,165
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,62,62
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,455,455
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2396,2396
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1,1
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2,2
OCURI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,3,3
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,8,8
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,7579,7579
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,319,319
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,202,202
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,30,30
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,7,7
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,17,17
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,8,8
POCOATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2,2
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
POROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2,2
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,539,539
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,7,7
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,7351,7351
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,51,51
PUCARANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,5,5
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,3,3
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,245,245
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,165,165
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,334,334
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,475,475
PUNA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,3,3
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,751,751
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,199,199
QUIME,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,11,11
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,5,5
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,98,98
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,3183,3183
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,292,292
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,413,413
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,650,650
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,13,13
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,26,26
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,15,15
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,55,55
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,5,5
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,265,265
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,77,77
SAN CARLOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,18,18
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,209,209
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1253,1253
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,35,35
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,52,52
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,292,292
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,214,214
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,175,175
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,80,80
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,127,127
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,26,26
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,180,180
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,25,25
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,72,72
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,83,83
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,49,49
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,273,273
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,33250,33250
SANTA ROSA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,41,41
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,20,20
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,4,4
SENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,23,23
SHINAOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,203,203
SOPACHUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,30,30
SORATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,15,15
SUCRE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,23875,23875
TARABUCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,156,156
TARIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,11761,11761
TARVITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,26,26
TIPUANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,26,26
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,223,223
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1,1
TOLATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,6,6
TOMINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,11,11
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,39,39
TRIGAL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
TRINIDAD,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,4167,4167
TUPIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,1407,1407
UNCIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,9,9
URUBICHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,18,18
UYUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,332,332
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,374,374
VIACHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,279,279
VILLA MONTES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,668,668
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,23,23
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,904,904
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,179,179
VILLAZON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,538,538
VINTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,245,245
WARNES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,662,662
YACUIBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,2383,2383
YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,591,591
YOTALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,44,44
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-04-01,36,36
ACHACACHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,183,183
AIQUILE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,171,171
ALCALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,5,5
ANZALDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,67,67
APOLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,36,36
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,407,407
ATOCHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,38,38
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,83,83
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,78,78
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,49,49
BELLA FLOR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,5,5
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,798,798
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,13,13
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1,1
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,46,46
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,107,107
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,48,48
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1,1
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,279,279
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1379,1379
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,80,80
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,22,22
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,421,421
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,55,55
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,240,240
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,67,67
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,9,9
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,208,208
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,12,12
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,116,116
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1690,1690
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,33760,33760
COIPASA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,62,62
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,169,169
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,111,111
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,132,132
CONCEPCION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,660,660
CORIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,6,6
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,299,299
COTAGAITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,24,24
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,390,390
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,102,102
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,5,5
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,153,153
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,9161,9161
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,11,11
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1254,1254
EL VILLAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,44,44
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,11,11
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,15,15
EXALTACION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,2,2
FILADELFIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,5,5
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,49,49
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,84,84
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1222,1222
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,64,64
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,128,128
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,8,8
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,109,109
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,9,9
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,17,17
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,47,47
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,51,51
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,31,31
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,33,33
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,714,714
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,51524,51524
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1,1
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,675,675
LLICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,62,62
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,13,13
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,131,131
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,59,59
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,36,36
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,156,156
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,145,145
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,12,12
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,598,598
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,3410,3410
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,62,62
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,31,31
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,7,7
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,7061,7061
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,211,211
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,128,128
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,56,56
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,29,29
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,9,9
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,75,75
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,6,6
POROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,437,437
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,19,19
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,6990,6990
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,62,62
PUCARANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,2,2
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,138,138
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,42,42
PUERTO SILES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1,1
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,415,415
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,486,486
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,777,777
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,282,282
QUIME,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,63,63
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,2148,2148
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,242,242
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,435,435
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,678,678
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,8,8
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,26,26
SAN ANDRES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,9,9
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,4,4
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,5,5
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,284,284
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,99,99
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,191,191
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,1064,1064
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,105,105
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,45,45
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,303,303
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,199,199
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,338,338
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,6,6
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,103,103
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,106,106
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,61,61
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,26,26
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,13,13
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,52,52
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,89,89
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,61,61
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-05-01,290,290
