municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,50,50,33,83
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,7,7,5,12
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,105,105,105,210
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,58,58,57,115
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,84,84,87,171
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,62,62,37,99
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,120,120,140,260
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,322,322,319,641
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,150,150,136,286
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,20,20,21,41
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,67,67,49,116
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,66,66,60,126
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,276,276,257,533
AZURDUY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,220,220,204,424
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,125,125,125,250
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,52,52,57,109
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,7,7,8,15
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,25,25,12,37
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,20,20,34,54
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,89,89,77,166
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,268,268,274,542
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,82,82,123,205
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,16,16,17,33
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,31,31,30,61
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,210,210,200,410
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,79,79,68,147
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,149,149,169,318
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,86,86,85,171
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,40,40,63,103
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,18,18,20,38
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,152,152,131,283
CAMARGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,206,206,237,443
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,49,49,26,75
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,375,375,283,658
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,70,70,85,155
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,68,68,68,136
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,133,133,137,270
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,498,498,404,902
CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,0,0,1,1
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,109,109,121,230
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,106,106,120,226
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,29,29,14,43
CATACORA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,1,1,0,1
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,4,4,3,7
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,196,196,211,407
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,56,56,68,124
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,325,325,268,593
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,10,10,9,19
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,145,145,128,273
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,81,81,47,128
CHIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,6,6,8,14
CHOQUE COTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,3,3,4,7
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,49,49,30,79
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,68,68,58,126
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,72,72,53,125
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,314,314,291,605
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,1800,1800,1642,3442
COIPASA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,5,5,4,9
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,68,68,69,137
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,128,128,127,255
COLLANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,11,11,8,19
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,121,121,98,219
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,47,47,31,78
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,207,207,186,393
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,35,35,53,88
COLQUIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,104,104,92,196
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,34,34,21,55
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,175,175,176,351
COMBAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,19,19,15,34
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,70,70,77,147
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,87,87,78,165
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,32,32,27,59
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,70,70,55,125
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,57,57,57,114
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,61,61,56,117
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,237,237,204,441
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,292,292,264,556
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,50,50,55,105
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,6,6,3,9
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,31,31,50,81
CULPINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,251,251,244,495
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,34,34,21,55
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,15,15,7,22
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,45,45,47,92
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,4010,4010,3607,7617
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,7,7,13,20
EL PUENTE(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,112,112,84,196
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,103,103,89,192
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,240,240,199,439
EL VILLAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,73,73,92,165
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,182,182,152,334
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,172,172,172,344
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,48,48,56,104
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,3,3,3,6
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,41,41,39,80
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,169,169,159,328
FILADELFIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,21,21,35,56
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,161,161,155,316
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,56,56,49,105
GUANAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,112,112,92,204
GUAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,53,53,30,83
GUAYARAMERIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,393,393,354,747
GUTIERREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,209,209,231,440
HUACARETA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,134,134,131,265
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,34,34,28,62
HUACHACALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,3,3,5,8
HUANUNI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,197,197,174,371
HUARACAJE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,52,52,43,95
HUAYLLAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,20,20,16,36
ICHOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,37,37,23,60
ICLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,233,233,199,432
INCAHUASI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,283,283,306,589
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,17,17,7,24
INQUISIVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,139,139,120,259
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,140,140,126,266
IXIAMAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,75,75,57,132
JESUS DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,80,80,80,160
LA ASUNTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,114,114,103,217
LA GUARDIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,198,198,154,352
LA PAZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,4057,4057,3667,7724
LA RIVERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,0,0,3,3
LAGUNILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,105,105,102,207
LAJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,115,115,120,235
LAS CARRERAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,42,42,43,85
LICOMA PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,14,14,22,36
LLALLAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,335,335,264,599
LLICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,56,56,60,116
LORETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,18,18,22,40
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,97,97,87,184
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,28,28,28,56
MACHARETI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,122,122,125,247
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,78,78,61,139
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,94,94,75,169
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,25,25,16,41
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,152,152,142,294
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,100,100,68,168
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,227,227,193,420
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,129,129,150,279
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,78,78,85,163
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,19,19,15,34
MOJOCOYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,116,116,103,219
MONTEAGUDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,229,229,179,408
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,892,892,878,1770
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,12,12,7,19
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,89,89,99,188
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,7,7,13,20
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,1,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,3,3,1,4
OCURI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,196,196,200,396
OKINAWA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,95,95,99,194
OMEREQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,62,62,47,109
ORURO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,1492,1492,1335,2827
PADCAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,140,140,123,263
PADILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,172,172,169,341
PAILON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,138,138,149,287
PALCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,115,115,94,209
PALOS BLANCOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,237,237,202,439
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,29,29,27,56
PAMPA GRANDE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,69,69,56,125
PAPEL PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,39,39,48,87
PASORAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,76,76,43,119
PATACAMAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,265,265,283,548
PAZÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,44,44,49,93
PELECHUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,27,27,28,55
POCOATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,255,255,289,544
POCONA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,76,76,45,121
POJO (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,115,115,123,238
POOPO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,10,10,9,19
PORCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,64,64,72,136
POROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,147,147,129,276
PORONGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,48,48,44,92
PORTACHUELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,144,144,134,278
PORVENIR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,28,28,36,64
POSTRER VALLE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,17,17,16,33
POTOSI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,1112,1112,1118,2230
PRESTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,121,121,118,239
PUCARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,25,25,11,36
PUCARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,175,175,177,352
PUERTO ACOSTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,120,120,138,258
PUERTO CARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,84,84,91,175
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,75,75,70,145
PUERTO PEREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,55,55,33,88
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,108,108,110,218
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,68,68,66,134
PUERTO SILES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,5,5,3,8
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,76,76,80,156
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,166,166,168,334
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,232,232,237,469
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,170,170,158,328
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,13,13,16,29
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,173,173,128,301
QUIME,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,97,97,88,185
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,21,21,15,36
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,400,400,390,790
REYES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,181,181,165,346
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,934,934,898,1832
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,112,112,103,215
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,153,153,111,264
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,37,37,21,58
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,129,129,115,244
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,24,24,21,45
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,318,318,293,611
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,59,59,52,111
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,69,69,75,144
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,106,106,90,196
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,22,22,22,44
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,72,72,57,129
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,34,34,23,57
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,15,15,18,33
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,133,133,118,251
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,103,103,73,176
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,347,347,304,651
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,90,90,87,177
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,225,225,253,478
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,169,169,163,332
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,543,543,524,1067
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,43,43,34,77
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,44,44,30,74
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,53,53,49,102
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,146,146,91,237
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,136,136,130,266
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,207,207,190,397
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,81,81,68,149
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,200,200,175,375
SAN LUCAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,454,454,474,928
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,123,123,118,241
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,103,103,107,210
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,29,29,35,64
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,170,170,162,332
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,198,198,202,400
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,45,45,42,87
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,0,0,12,12
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,47,47,24,71
SAN PEDRO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,15,15,23,38
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,65,65,67,132
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,45,45,42,87
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,64,64,33,97
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,152,152,145,297
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,5724,5724,4341,10065
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,79,79,57,136
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,91,91,96,187
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-04-01,41,41,32,73
