municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,13,13,12,25
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,18,28
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,21,21,27,48
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,67,67,70,137
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,28,28,20,48
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,4,4,6,10
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,5,5,10,15
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,50,50,33,83
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,7,7,9,16
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,21,21,21,42
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,4,15
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,0,0,1,1
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,220,220,204,424
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,11,22
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,0,2
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,41,41,39,80
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,40,40,39,79
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,26,26,20,46
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,13,13,9,22
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,31,31,22,53
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,23,23,24,47
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,7,7,6,13
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1,1,0,1
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,24,24,24,48
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,51,51,59,110
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,36,36,43,79
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,87,87,107,194
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,2,4
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,737,737,497,1234
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,13,13,8,21
QUIRUSILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1,1,1,2
RAVELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,64,64,56,120
REYES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,17,17,21,38
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,175,175,166,341
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,25,25,27,52
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,18,18,24,42
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,6,6,6,12
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,499,499,403,902
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,0,0,4,4
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,19,19,25,44
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,7,7,16,23
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,7,7,8,15
SAMAIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,12,12,8,20
SAN AGUSTIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,3,3,1,4
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,27,27,26,53
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,3,3,2,5
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1,1,0,1
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,7,7,6,13
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,30,30,30,60
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,63,63,74,137
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,7,18
SAN CARLOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,13,13,25,38
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,50,50,48,98
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,68,68,76,144
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,5,5,11,16
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,10,20
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,5,7
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,9,9,5,14
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,16,16,13,29
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,122,122,140,262
SAN LORENZO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,12,12,7,19
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,39,39,31,70
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,73,73,74,147
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,38,38,38,76
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,12,12,9,21
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,4,4,5,9
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,12,22
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,28,28,44,72
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,23,23,15,38
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1,1,0,1
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,12,12,0,12
SAN PEDRO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,0,0,1,1
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,11,21
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,29,29,29,58
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,3,3,4,7
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,45,45,33,78
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1895,1895,1845,3740
SANTA ROSA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,20,20,19,39
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,28,28,44,72
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,6,6,10,16
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,23,23,19,42
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,0,2
SANTIVAÑES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,3,3,5,8
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,4,6
SAPAHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,18,29
SENA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,2,12
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,27,27,25,52
SICAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,6,6,3,9
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,119,119,111,230
SOPACHUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,19,19,6,25
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,14,14,10,24
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,44,44,42,86
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,919,919,929,1848
TACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,5,7
TACACOMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,7,17
TACOBAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,34,34,25,59
TACOPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,15,26
TAHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1,1,2,3
TAPACARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,38,38,38,76
TARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,58,58,39,97
TARACO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,6,6,6,12
TARATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,15,26
TARIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,741,741,690,1431
TARVITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,9,9,14,23
TEOPONTE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,14,14,7,21
TIAWANACU,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,20,20,15,35
TINGUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,30,30,25,55
TIPUANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,15,15,9,24
TIQUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,196,196,144,340
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,365,365,365,730
TOCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,6,6,7,13
TOLATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,7,7,2,9
TOLEDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,15,15,14,29
TOMAVE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,13,24
TOMINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,6,16
TORO TORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,16,16,17,33
TOTORA(CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,41,41,33,74
TOTORA(ORR),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,8,8,14,22
TRIGAL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,0,0,1,1
TRINIDAD,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,437,437,379,816
TUPIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,47,47,28,75
TURCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,8,18
UMALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,5,5,10,15
UNCIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,67,67,63,130
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,21,21,13,34
URUBICHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,9,9,19,28
UYUNI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,37,37,24,61
VACAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,15,15,19,34
VALLEGRANDE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,23,23,21,44
VIACHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,77,77,72,149
VILA VILA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,12,12,7,19
VILLA MONTES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,67,67,104,171
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,2,4
VILLA RIVERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,8,19
VILLA SERRANO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,8,8,8,16
VILLA TUNARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,317,317,302,619
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,16,16,17,33
VILLAZON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,51,51,37,88
VINTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,210,210,196,406
VITICHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,13,13,7,20
WALDO BALLIVIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,1,1,0,1
WARNES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,135,135,135,270
YACO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,3,3,2,5
YACUIBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,72,72,106,178
YAMPARAEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,10,10,10,20
YANACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,9,9,7,16
YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,51,51,57,108
YOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,9,9,2,11
YOTALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,11,11,9,20
YUNCHARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,2,2,5,7
ZUDAÑEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-04-01,14,14,7,21
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,32,32,18,50
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,60,60,57,117
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,18,18,23,41
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,65,65,64,129
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,9,9,2,11
ALCALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,3,3,3,6
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,15,15,20,35
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,1,1,0,1
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,3,3,1,4
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,5,7
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,30,30,25,55
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,8,14
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,15,15,11,26
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,17,17,13,30
ARQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,14,14,15,29
ATOCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,16,16,4,20
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,15,15,18,33
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,10,16
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,5,5,7,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,43,43,50,93
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,12,12,13,25
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,15,15,14,29
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,8,14
BELEN DE URMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,2,4
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,1,1,5,6
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,30,30,35,65
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,38,38,45,83
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,14,14,10,24
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,3,3,0,3
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,6,8
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,12,12,8,20
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,14,14,22,36
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,5,5,9,14
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,26,26,16,42
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,12,12,4,16
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,1,1,5,6
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,7,13
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,13,13,17,30
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,2,4
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,76,76,77,153
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,25,25,16,41
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,8,8,7,15
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,5,5,14,19
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,121,121,110,231
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,10,10,9,19
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,9,9,6,15
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,7,7,6,13
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,3,3,2,5
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,4,4,10,14
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,29,29,26,55
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,7,7,7,14
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,16,16,26,42
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,0,0,2,2
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,13,13,10,23
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,46,46,42,88
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,5,5,8,13
CHOQUE COTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,76,76,64,140
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,12,12,12,24
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,114,114,103,217
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,131,131,120,251
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,1623,1623,1398,3021
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,320,320,297,617
"COLCHA ""K""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,11,17
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,7,7,6,13
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,104,104,99,203
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,12,12,9,21
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,40,40,39,79
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,10,10,2,12
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,81,81,54,135
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,5,5,1,6
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,35,35,23,58
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,1,3
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,7,13
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,16,22
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,62,62,39,101
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,9,9,8,17
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,64,64,70,134
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,3,3,8,11
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,45,45,43,88
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,40,40,44,84
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,71,71,45,116
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,2,4
CUEVO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2,2,4,6
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,32,32,31,63
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,8,14
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,1,1,1,2
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,6,6,3,9
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,2171,2171,2200,4371
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,5,5,1,6
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,12,12,15,27
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-05-01,7,7,8,15
