municipality,group,variable,month,0 Contrareferidos,TOTAL
SAIPINA,internaciones,contrareferidos,2007-12-01,2,2
SAN CARLOS,internaciones,contrareferidos,2007-12-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-12-01,5,5
SAN JULIAN,internaciones,contrareferidos,2007-12-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-12-01,145,145
SANTIVAÑES,internaciones,contrareferidos,2007-12-01,1,1
SORATA,internaciones,contrareferidos,2007-12-01,1,1
SUCRE,internaciones,contrareferidos,2007-12-01,9,9
TARABUCO,internaciones,contrareferidos,2007-12-01,10,10
TARIJA,internaciones,contrareferidos,2007-12-01,1,1
TARVITA,internaciones,contrareferidos,2007-12-01,2,2
TORO TORO,internaciones,contrareferidos,2007-12-01,1,1
TUPIZA,internaciones,contrareferidos,2007-12-01,24,24
VACAS,internaciones,contrareferidos,2007-12-01,2,2
VILLA TUNARI,internaciones,contrareferidos,2007-12-01,10,10
VILLAZON,internaciones,contrareferidos,2007-12-01,28,28
YACUIBA,internaciones,contrareferidos,2007-12-01,16,16
