,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
COLQUIRI,rabia,no de personas con esquema clasico completo,2020-10-01,1,1,1,1,2
COPACABANA,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2020-10-01,0,2,0,2,2
COTOCA,rabia,no de personas con esquema clasico completo,2020-10-01,1,3,1,3,4
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-10-01,1,6,1,6,7
EL ALTO,rabia,no de personas con esquema clasico completo,2020-10-01,8,11,8,11,19
EL TORNO,rabia,no de personas con esquema clasico completo,2020-10-01,7,7,7,7,14
GENERAL SAAVEDRA,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
HUANUNI,rabia,no de personas con esquema clasico completo,2020-10-01,1,1,1,1,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-10-01,4,7,4,7,11
LA PAZ,rabia,no de personas con esquema clasico completo,2020-10-01,20,5,20,5,25
LORETO,rabia,no de personas con esquema clasico completo,2020-10-01,0,2,0,2,2
MOCOMOCO,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2020-10-01,3,1,3,1,4
PAILON,rabia,no de personas con esquema clasico completo,2020-10-01,2,1,2,1,3
PORONGO,rabia,no de personas con esquema clasico completo,2020-10-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2020-10-01,25,30,25,30,55
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2020-10-01,1,3,1,3,4
SAIPINA,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con esquema clasico completo,2020-10-01,0,1,0,1,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2020-10-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-10-01,72,70,72,70,142
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2020-10-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2020-10-01,2,1,2,1,3
TARIJA,rabia,no de personas con esquema clasico completo,2020-10-01,11,9,11,9,20
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-10-01,26,20,26,20,46
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2020-10-01,2,0,2,0,2
VIACHA,rabia,no de personas con esquema clasico completo,2020-10-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2020-10-01,9,6,9,6,15
ACHACACHI,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
ANZALDO,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
CAMIRI,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2020-11-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-11-01,11,13,11,13,24
COLOMI,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
COPACABANA,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-11-01,6,1,6,1,7
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-11-01,0,4,0,4,4
EL ALTO,rabia,no de personas con esquema clasico completo,2020-11-01,18,12,18,12,30
EL TORNO,rabia,no de personas con esquema clasico completo,2020-11-01,5,4,5,4,9
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-11-01,12,9,12,9,21
LA PAZ,rabia,no de personas con esquema clasico completo,2020-11-01,16,19,16,19,35
LORETO,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
MOCOMOCO,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
PADCAYA,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
PAILON,rabia,no de personas con esquema clasico completo,2020-11-01,2,1,2,1,3
PORONGO,rabia,no de personas con esquema clasico completo,2020-11-01,2,1,2,1,3
PORTACHUELO,rabia,no de personas con esquema clasico completo,2020-11-01,0,2,0,2,2
PUCARANI,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2020-11-01,3,1,3,1,4
SAN BORJA,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
SAN CARLOS,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-11-01,93,73,93,73,166
SORATA,rabia,no de personas con esquema clasico completo,2020-11-01,1,1,1,1,2
SUCRE,rabia,no de personas con esquema clasico completo,2020-11-01,0,2,0,2,2
TARIJA,rabia,no de personas con esquema clasico completo,2020-11-01,9,9,9,9,18
TOCO,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-11-01,13,9,13,9,22
TUPIZA,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2020-11-01,2,1,2,1,3
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2020-11-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2020-11-01,6,6,6,6,12
YACUIBA,rabia,no de personas con esquema clasico completo,2020-11-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
AYATA,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-12-01,20,11,20,11,31
COPACABANA,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
CORIPATA,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
COTAGAITA,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-12-01,4,2,4,2,6
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-12-01,2,1,2,1,3
EL ALTO,rabia,no de personas con esquema clasico completo,2020-12-01,16,5,16,5,21
EL TORNO,rabia,no de personas con esquema clasico completo,2020-12-01,2,6,2,6,8
GENERAL SAAVEDRA,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
INQUISIVI,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-12-01,12,7,12,7,19
LA PAZ,rabia,no de personas con esquema clasico completo,2020-12-01,19,20,19,20,39
LLALLAGUA,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2020-12-01,2,3,2,3,5
PAILON,rabia,no de personas con esquema clasico completo,2020-12-01,1,2,1,2,3
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2020-12-01,0,2,0,2,2
POTOSI,rabia,no de personas con esquema clasico completo,2020-12-01,95,91,95,91,186
PUCARANI,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2020-12-01,4,5,4,5,9
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-12-01,93,57,93,57,150
SORATA,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2020-12-01,1,2,1,2,3
TARIJA,rabia,no de personas con esquema clasico completo,2020-12-01,9,5,9,5,14
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
TOCO,rabia,no de personas con esquema clasico completo,2020-12-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-12-01,17,17,17,17,34
TUPIZA,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2020-12-01,3,2,3,2,5
VINTO,rabia,no de personas con esquema clasico completo,2020-12-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2020-12-01,7,3,7,3,10
