municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
LICOMA PAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,9,9
LLALLAGUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,251,251
LLICA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,79,79
LORETO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,3,3
LURIBAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,23,23
MACHACAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,29,29
MACHARETI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,166,166
MAGDALENA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,3,3
MAIRANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,27,27
MALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,6,6
MAPIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,104,104
MECAPACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,9,9
MINEROS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,218,218
MIZQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,47,47
MOCOMOCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,12,12
MOJOCOYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,8,8
MONTEAGUDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,132,132
MONTERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,592,592
MORO MORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,26,26
MOROCHATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,74,74
OCURI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,24,24
OKINAWA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,30,30
OMEREQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,43,43
ORURO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,999,999
PADCAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,15,15
PADILLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,78,78
PAILON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,127,127
PALCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,43,43
PALOS BLANCOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,100,100
PAMPA AULLAGAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,66,66
PAMPA GRANDE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,4,4
PAPEL PAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,10,10
PASORAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,43,43
PATACAMAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,86,86
PAZÑA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,48,48
PELECHUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,26,26
POCOATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,340,340
POCONA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,25,25
POJO (CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,71,71
POOPO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,43,43
PORCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,68,68
PORONGO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,46,46
PORTACHUELO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,161,161
PORVENIR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,88,88
POSTRER VALLE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,28,28
POTOSI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,1062,1062
PRESTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,39,39
PUCARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,60,60
PUCARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,73,73
PUERTO ACOSTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,39,39
PUERTO CARABUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,28,28
PUERTO GONZALO MORENO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,2,2
PUERTO PEREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,10,10
PUERTO QUIJARRO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,78,78
PUERTO RICO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,79,79
PUERTO SILES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,2,2
PUERTO SUAREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,177,177
PUERTO VILLARROEL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,103,103
PUNA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,141,141
PUNATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,380,380
QUIABAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,13,13
QUILLACOLLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,574,574
QUIME,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,44,44
QUIRUSILLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,18,18
RAVELO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,29,29
REYES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,43,43
RIBERALTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,184,184
ROBORE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,32,32
RURRENABAQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,19,19
SABAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,6,6
SACABA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,618,618
SACABAMBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,44,44
SACACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,74,74
SAIPINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,59,59
SALINAS DE GARCI MENDOZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,255,255
SAMAIPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,38,38
SAN ANDRES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,30,30
SAN ANDRES DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,18,18
SAN ANTONIO DE LOMERIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,14,14
SAN BENITO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,29,29
SAN BORJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,31,31
SAN BUENA VENTURA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,37,37
SAN CARLOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,37,37
SAN IGNACIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,45,45
SAN IGNACIO DE VELASCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,203,203
SAN JAVIER(BNI),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,15,15
SAN JAVIER(STC),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,48,48
SAN JOAQUIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,28,28
SAN JOSE DE CHIQUITOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,6,6
SAN JUAN DE YAPACANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,24,24
SAN JULIAN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,37,37
SAN LORENZO(PND),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,46,46
SAN LORENZO(TJA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,82,82
SAN LUCAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,91,91
SAN MATIAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,53,53
SAN MIGUEL DE VELASCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,35,35
SAN PEDRO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,7,7
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,204,204
SAN PEDRO DE CURAHUARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,25,25
SAN PEDRO DE TIQUINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,14,14
SAN RAFAEL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,51,51
SAN RAMON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,78,78
SAN RAMON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,4,4
SANTA ANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,34,34
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,6258,6258
SANTA ROSA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,58,58
SANTA ROSA DEL SARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,70,70
SANTIAGO DE CALLAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,1,1
SANTIAGO DE HUARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,128,128
SANTIAGO DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,52,52
SANTIVAÑES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,4,4
SANTUARIO DE QUILLACAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,41,41
SAPAHAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,58,58
SENA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,22,22
SICA SICA (VILLA AROMA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,136,136
SICAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,50,50
SIPE SIPE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,203,203
SOPACHUY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,192,192
SORACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,84,84
SORATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,50,50
SUCRE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,1179,1179
TACACOMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,19,19
TAPACARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,13,13
TARABUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,697,697
TARACO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,17,17
TARATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,36,36
TARIJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,326,326
TARVITA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,129,129
TEOPONTE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,48,48
TIAWANACU,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,12,12
TINGUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,95,95
TIPUANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,37,37
TIQUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,1206,1206
TIRAQUE (CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,157,157
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,1,1
TOCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,88,88
TOLATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,53,53
TOLEDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,40,40
TOMAVE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,44,44
TOMINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,276,276
TOTORA(CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,78,78
TOTORA(ORR),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,4,4
TRIGAL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,11,11
TRINIDAD,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,253,253
TUPIZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,109,109
TURCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,33,33
UMALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,52,52
UNCIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,233,233
URIONDO (A. CONCEPCION),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,49,49
URUBICHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,40,40
UYUNI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,17,17
VACAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,44,44
VALLEGRANDE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,153,153
VIACHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,412,412
VILA VILA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,12,12
VILLA MONTES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,52,52
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,44,44
VILLA RIVERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,23,23
VILLA SERRANO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,98,98
VILLA TUNARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,252,252
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,72,72
VILLAZON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,191,191
VINTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,74,74
VITICHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,4,4
WALDO BALLIVIAN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,7,7
WARNES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,208,208
YACO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,18,18
YACUIBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,43,43
YAMPARAEZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,151,151
YANACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,8,8
YAPACANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,42,42
YOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,114,114
YOTALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,40,40
YUNCHARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,32,32
ZUDAÑEZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-04-01,5,5
ACACIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,18,18
ACHACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,81,81
ACHOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,28,28
AIQUILE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,72,72
ALALAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,8,8
ALCALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,224,224
ANCORAIMES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,84,84
ANDAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,18,18
ANTEQUERA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,44,44
ANZALDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,163,163
APOLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,123,123
ARAMPAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,30,30
ARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,23,23
ARBIETO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,180,180
ARQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,12,12
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,15,15
ATOCHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,6,6
AYATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,43,43
AYO AYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,69,69
AZURDUY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,16,16
BATALLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,7,7
BAURES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,5,5
BELEN DE URMIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,2,2
BERMEJO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,50,50
BETANZOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,65,65
BOLIVAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,5,5
BOLPEBRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,43,43
BOYUIBE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,12,12
BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,8,8
CABEZAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,169,169
CAIROMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,159,159
"CAIZA ""D""",atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,64,64
CAJUATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,6,6
CALACOTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,66,66
CALAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,79,79
CAMARGO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,189,189
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,15,15
CAMIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,245,245
CAPINOTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,38,38
CAQUIAVIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,28,28
CARACOLLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,45,45
CARANAVI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,324,324
CARAPARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,11,11
CARIPUYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,42,42
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,39,39
CATACORA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,33,33
CHALLAPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,178,178
CHAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,12,12
CHARAGUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,68,68
CHARAÑA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,11,11
CHAYANTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,191,191
CHIMORE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,56,56
CHOQUE COTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,120,120
CHUMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,67,67
CLIZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,174,174
COBIJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,548,548
COCHABAMBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,2774,2774
COIPASA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,5,5
COLCAPIRHUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,336,336
"COLCHA ""K""",atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,75,75
COLLANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,13,13
COLOMI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,58,58
COLPA BELGICA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,106,106
COLQUECHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,51,51
COLQUENCHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,2,2
COLQUIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,38,38
COMANCHE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,17,17
COMARAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,115,115
COMBAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,20,20
CONCEPCION,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,11,11
COPACABANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,45,45
CORIPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,35,35
CORO CORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,9,9
COROICO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,55,55
CORQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,15,15
COTAGAITA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,94,94
COTOCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,35,35
CUATRO CAÑADAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,98,98
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,10,10
CUEVO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,26,26
CULPINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,33,33
CURAHUARA DE CARANGAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,20,20
CURVA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,4,4
DESAGUADERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,20,20
EL ALTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,3154,3154
EL CHORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,66,66
EL PUENTE(STC),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,17,17
EL PUENTE(TJA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,28,28
EL TORNO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,138,138
EL VILLAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,5,5
ENTRE RIOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,38,38
ENTRE RIOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,78,78
EUCALIPTUS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,35,35
FERNANDEZ ALONSO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,34,34
FILADELFIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,47,47
GENERAL SAAVEDRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,30,30
GUANAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,33,33
GUAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,37,37
GUAYARAMERIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,50,50
GUTIERREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,126,126
HUACARETA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,11,11
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,3,3
HUACHACALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,1,1
HUANUNI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,81,81
HUARACAJE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,19,19
HUAYLLAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,10,10
ICLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,330,330
INCAHUASI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,176,176
INGAVI (HUMAITA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,2,2
INQUISIVI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,16,16
IRUPANA (VILLA DE LANZA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,37,37
IXIAMAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,34,34
JESUS DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,26,26
LA ASUNTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,79,79
LA GUARDIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,125,125
LA PAZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,6485,6485
LAGUNILLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,14,14
LAJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-05-01,66,66
