municipality,group,variable,month,Restauraciones,TOTAL
PORTACHUELO,atenciones odontologicas,restauraciones,2009-03-01,179,179
PORVENIR,atenciones odontologicas,restauraciones,2009-03-01,55,55
POSTRER VALLE,atenciones odontologicas,restauraciones,2009-03-01,32,32
POTOSI,atenciones odontologicas,restauraciones,2009-03-01,1792,1792
PRESTO,atenciones odontologicas,restauraciones,2009-03-01,15,15
PUCARA,atenciones odontologicas,restauraciones,2009-03-01,6,6
PUCARANI,atenciones odontologicas,restauraciones,2009-03-01,55,55
PUERTO ACOSTA,atenciones odontologicas,restauraciones,2009-03-01,108,108
PUERTO CARABUCO,atenciones odontologicas,restauraciones,2009-03-01,47,47
PUERTO GONZALO MORENO,atenciones odontologicas,restauraciones,2009-03-01,6,6
PUERTO QUIJARRO,atenciones odontologicas,restauraciones,2009-03-01,84,84
PUERTO RICO,atenciones odontologicas,restauraciones,2009-03-01,41,41
PUERTO SUAREZ,atenciones odontologicas,restauraciones,2009-03-01,108,108
PUERTO VILLARROEL,atenciones odontologicas,restauraciones,2009-03-01,208,208
PUNA,atenciones odontologicas,restauraciones,2009-03-01,104,104
PUNATA,atenciones odontologicas,restauraciones,2009-03-01,310,310
QUILLACOLLO,atenciones odontologicas,restauraciones,2009-03-01,870,870
QUIME,atenciones odontologicas,restauraciones,2009-03-01,101,101
QUIRUSILLAS,atenciones odontologicas,restauraciones,2009-03-01,24,24
RAVELO,atenciones odontologicas,restauraciones,2009-03-01,22,22
REYES,atenciones odontologicas,restauraciones,2009-03-01,89,89
RIBERALTA,atenciones odontologicas,restauraciones,2009-03-01,303,303
ROBORE,atenciones odontologicas,restauraciones,2009-03-01,70,70
RURRENABAQUE,atenciones odontologicas,restauraciones,2009-03-01,94,94
SABAYA,atenciones odontologicas,restauraciones,2009-03-01,15,15
SACABA,atenciones odontologicas,restauraciones,2009-03-01,682,682
SACABAMBA,atenciones odontologicas,restauraciones,2009-03-01,14,14
SACACA,atenciones odontologicas,restauraciones,2009-03-01,244,244
SAIPINA,atenciones odontologicas,restauraciones,2009-03-01,21,21
SALINAS DE GARCI MENDOZA,atenciones odontologicas,restauraciones,2009-03-01,52,52
SAMAIPATA,atenciones odontologicas,restauraciones,2009-03-01,77,77
SAN AGUSTIN,atenciones odontologicas,restauraciones,2009-03-01,13,13
SAN ANDRES,atenciones odontologicas,restauraciones,2009-03-01,11,11
SAN ANDRES DE MACHACA,atenciones odontologicas,restauraciones,2009-03-01,35,35
SAN ANTONIO DE LOMERIO,atenciones odontologicas,restauraciones,2009-03-01,34,34
SAN BENITO,atenciones odontologicas,restauraciones,2009-03-01,65,65
SAN BORJA,atenciones odontologicas,restauraciones,2009-03-01,404,404
SAN BUENA VENTURA,atenciones odontologicas,restauraciones,2009-03-01,32,32
SAN CARLOS,atenciones odontologicas,restauraciones,2009-03-01,137,137
SAN IGNACIO,atenciones odontologicas,restauraciones,2009-03-01,276,276
SAN IGNACIO DE VELASCO,atenciones odontologicas,restauraciones,2009-03-01,191,191
SAN JAVIER(STC),atenciones odontologicas,restauraciones,2009-03-01,161,161
SAN JOAQUIN,atenciones odontologicas,restauraciones,2009-03-01,47,47
SAN JUAN DE YAPACANI,atenciones odontologicas,restauraciones,2009-03-01,25,25
SAN JULIAN,atenciones odontologicas,restauraciones,2009-03-01,156,156
SAN LORENZO(PND),atenciones odontologicas,restauraciones,2009-03-01,3,3
SAN LORENZO(TJA),atenciones odontologicas,restauraciones,2009-03-01,390,390
SAN LUCAS,atenciones odontologicas,restauraciones,2009-03-01,52,52
SAN MATIAS,atenciones odontologicas,restauraciones,2009-03-01,41,41
SAN MIGUEL DE VELASCO,atenciones odontologicas,restauraciones,2009-03-01,134,134
SAN PEDRO,atenciones odontologicas,restauraciones,2009-03-01,61,61
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,restauraciones,2009-03-01,61,61
SAN PEDRO DE CURAHUARA,atenciones odontologicas,restauraciones,2009-03-01,47,47
SAN PEDRO DE TIQUINA,atenciones odontologicas,restauraciones,2009-03-01,13,13
SAN PEDRO(PND),atenciones odontologicas,restauraciones,2009-03-01,8,8
SAN RAFAEL,atenciones odontologicas,restauraciones,2009-03-01,78,78
SAN RAMON,atenciones odontologicas,restauraciones,2009-03-01,26,26
SAN RAMON,atenciones odontologicas,restauraciones,2009-03-01,57,57
SANTA ANA,atenciones odontologicas,restauraciones,2009-03-01,304,304
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,restauraciones,2009-03-01,7883,7883
SANTA ROSA,atenciones odontologicas,restauraciones,2009-03-01,153,153
SANTA ROSA DEL SARA,atenciones odontologicas,restauraciones,2009-03-01,80,80
SANTIAGO DE HUARI,atenciones odontologicas,restauraciones,2009-03-01,102,102
SANTIAGO DE MACHACA,atenciones odontologicas,restauraciones,2009-03-01,45,45
SANTIVAÑES,atenciones odontologicas,restauraciones,2009-03-01,13,13
SANTUARIO DE QUILLACAS,atenciones odontologicas,restauraciones,2009-03-01,26,26
SAPAHAQUI,atenciones odontologicas,restauraciones,2009-03-01,15,15
SENA,atenciones odontologicas,restauraciones,2009-03-01,11,11
SICA SICA (VILLA AROMA),atenciones odontologicas,restauraciones,2009-03-01,136,136
SICAYA,atenciones odontologicas,restauraciones,2009-03-01,14,14
SIPE SIPE,atenciones odontologicas,restauraciones,2009-03-01,510,510
SOPACHUY,atenciones odontologicas,restauraciones,2009-03-01,38,38
SORACACHI,atenciones odontologicas,restauraciones,2009-03-01,10,10
SORATA,atenciones odontologicas,restauraciones,2009-03-01,48,48
SUCRE,atenciones odontologicas,restauraciones,2009-03-01,4174,4174
TACACOMA,atenciones odontologicas,restauraciones,2009-03-01,120,120
TACOPAYA,atenciones odontologicas,restauraciones,2009-03-01,11,11
TAHUA,atenciones odontologicas,restauraciones,2009-03-01,11,11
TAPACARI,atenciones odontologicas,restauraciones,2009-03-01,72,72
TARABUCO,atenciones odontologicas,restauraciones,2009-03-01,19,19
TARACO,atenciones odontologicas,restauraciones,2009-03-01,10,10
TARATA,atenciones odontologicas,restauraciones,2009-03-01,40,40
TARIJA,atenciones odontologicas,restauraciones,2009-03-01,3464,3464
TARVITA,atenciones odontologicas,restauraciones,2009-03-01,44,44
TEOPONTE,atenciones odontologicas,restauraciones,2009-03-01,12,12
TIAWANACU,atenciones odontologicas,restauraciones,2009-03-01,7,7
TINGUIPAYA,atenciones odontologicas,restauraciones,2009-03-01,27,27
TIPUANI,atenciones odontologicas,restauraciones,2009-03-01,1,1
TIQUIPAYA,atenciones odontologicas,restauraciones,2009-03-01,970,970
TIRAQUE (CBBA),atenciones odontologicas,restauraciones,2009-03-01,507,507
TOCO,atenciones odontologicas,restauraciones,2009-03-01,138,138
TOLATA,atenciones odontologicas,restauraciones,2009-03-01,193,193
TOLEDO,atenciones odontologicas,restauraciones,2009-03-01,97,97
TOMAVE,atenciones odontologicas,restauraciones,2009-03-01,60,60
TOMINA,atenciones odontologicas,restauraciones,2009-03-01,42,42
TORO TORO,atenciones odontologicas,restauraciones,2009-03-01,41,41
TOTORA(CBBA),atenciones odontologicas,restauraciones,2009-03-01,32,32
TOTORA(ORR),atenciones odontologicas,restauraciones,2009-03-01,2,2
TRIGAL,atenciones odontologicas,restauraciones,2009-03-01,28,28
TRINIDAD,atenciones odontologicas,restauraciones,2009-03-01,424,424
TUPIZA,atenciones odontologicas,restauraciones,2009-03-01,163,163
TURCO,atenciones odontologicas,restauraciones,2009-03-01,28,28
UMALA,atenciones odontologicas,restauraciones,2009-03-01,14,14
UNCIA,atenciones odontologicas,restauraciones,2009-03-01,59,59
URIONDO (A. CONCEPCION),atenciones odontologicas,restauraciones,2009-03-01,354,354
URUBICHA,atenciones odontologicas,restauraciones,2009-03-01,24,24
UYUNI,atenciones odontologicas,restauraciones,2009-03-01,44,44
VACAS,atenciones odontologicas,restauraciones,2009-03-01,57,57
VALLEGRANDE,atenciones odontologicas,restauraciones,2009-03-01,306,306
VIACHA,atenciones odontologicas,restauraciones,2009-03-01,160,160
VILA VILA,atenciones odontologicas,restauraciones,2009-03-01,19,19
VILLA MONTES,atenciones odontologicas,restauraciones,2009-03-01,165,165
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,restauraciones,2009-03-01,58,58
VILLA RIVERO,atenciones odontologicas,restauraciones,2009-03-01,67,67
VILLA SERRANO,atenciones odontologicas,restauraciones,2009-03-01,253,253
VILLA TUNARI,atenciones odontologicas,restauraciones,2009-03-01,562,562
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,restauraciones,2009-03-01,127,127
VILLAZON,atenciones odontologicas,restauraciones,2009-03-01,204,204
VINTO,atenciones odontologicas,restauraciones,2009-03-01,129,129
VITICHI,atenciones odontologicas,restauraciones,2009-03-01,11,11
WALDO BALLIVIAN,atenciones odontologicas,restauraciones,2009-03-01,4,4
WARNES,atenciones odontologicas,restauraciones,2009-03-01,488,488
YACO,atenciones odontologicas,restauraciones,2009-03-01,11,11
YACUIBA,atenciones odontologicas,restauraciones,2009-03-01,765,765
YAMPARAEZ,atenciones odontologicas,restauraciones,2009-03-01,25,25
YANACACHI,atenciones odontologicas,restauraciones,2009-03-01,7,7
YAPACANI,atenciones odontologicas,restauraciones,2009-03-01,149,149
YOCALLA,atenciones odontologicas,restauraciones,2009-03-01,17,17
YOTALA,atenciones odontologicas,restauraciones,2009-03-01,159,159
YUNCHARA,atenciones odontologicas,restauraciones,2009-03-01,71,71
ZUDAÑEZ,atenciones odontologicas,restauraciones,2009-03-01,26,26
ACACIO,atenciones odontologicas,restauraciones,2009-04-01,3,3
ACHACACHI,atenciones odontologicas,restauraciones,2009-04-01,566,566
ACHOCALLA,atenciones odontologicas,restauraciones,2009-04-01,17,17
AIQUILE,atenciones odontologicas,restauraciones,2009-04-01,189,189
ALALAY,atenciones odontologicas,restauraciones,2009-04-01,16,16
ALCALA,atenciones odontologicas,restauraciones,2009-04-01,26,26
ANCORAIMES,atenciones odontologicas,restauraciones,2009-04-01,46,46
ANDAMARCA,atenciones odontologicas,restauraciones,2009-04-01,30,30
ANTEQUERA,atenciones odontologicas,restauraciones,2009-04-01,52,52
ANZALDO,atenciones odontologicas,restauraciones,2009-04-01,86,86
APOLO,atenciones odontologicas,restauraciones,2009-04-01,48,48
ARAMPAMPA,atenciones odontologicas,restauraciones,2009-04-01,8,8
ARANI,atenciones odontologicas,restauraciones,2009-04-01,24,24
ARBIETO,atenciones odontologicas,restauraciones,2009-04-01,75,75
ARQUE,atenciones odontologicas,restauraciones,2009-04-01,89,89
ASCENCION DE GUARAYOS,atenciones odontologicas,restauraciones,2009-04-01,64,64
AYATA,atenciones odontologicas,restauraciones,2009-04-01,21,21
AYO AYO,atenciones odontologicas,restauraciones,2009-04-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,restauraciones,2009-04-01,131,131
AZURDUY,atenciones odontologicas,restauraciones,2009-04-01,76,76
BATALLAS,atenciones odontologicas,restauraciones,2009-04-01,49,49
BAURES,atenciones odontologicas,restauraciones,2009-04-01,80,80
BERMEJO,atenciones odontologicas,restauraciones,2009-04-01,411,411
BETANZOS,atenciones odontologicas,restauraciones,2009-04-01,189,189
BOLIVAR,atenciones odontologicas,restauraciones,2009-04-01,12,12
BOLPEBRA,atenciones odontologicas,restauraciones,2009-04-01,37,37
BOYUIBE,atenciones odontologicas,restauraciones,2009-04-01,37,37
BUENA VISTA,atenciones odontologicas,restauraciones,2009-04-01,27,27
CABEZAS,atenciones odontologicas,restauraciones,2009-04-01,78,78
CAIROMA,atenciones odontologicas,restauraciones,2009-04-01,13,13
"CAIZA ""D""",atenciones odontologicas,restauraciones,2009-04-01,25,25
CAJUATA,atenciones odontologicas,restauraciones,2009-04-01,15,15
CALACOTO,atenciones odontologicas,restauraciones,2009-04-01,64,64
CALAMARCA,atenciones odontologicas,restauraciones,2009-04-01,86,86
CAMARGO,atenciones odontologicas,restauraciones,2009-04-01,126,126
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,restauraciones,2009-04-01,9,9
CAMIRI,atenciones odontologicas,restauraciones,2009-04-01,428,428
CAPINOTA,atenciones odontologicas,restauraciones,2009-04-01,179,179
CAQUIAVIRI,atenciones odontologicas,restauraciones,2009-04-01,10,10
CARACOLLO,atenciones odontologicas,restauraciones,2009-04-01,97,97
CARANAVI,atenciones odontologicas,restauraciones,2009-04-01,82,82
CARAPARI,atenciones odontologicas,restauraciones,2009-04-01,191,191
CARMEN RIVERO TORREZ,atenciones odontologicas,restauraciones,2009-04-01,28,28
CATACORA,atenciones odontologicas,restauraciones,2009-04-01,62,62
CHALLAPATA,atenciones odontologicas,restauraciones,2009-04-01,158,158
CHAQUI,atenciones odontologicas,restauraciones,2009-04-01,20,20
CHARAGUA,atenciones odontologicas,restauraciones,2009-04-01,113,113
CHARAÑA,atenciones odontologicas,restauraciones,2009-04-01,48,48
CHAYANTA,atenciones odontologicas,restauraciones,2009-04-01,78,78
CHIMORE,atenciones odontologicas,restauraciones,2009-04-01,38,38
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,restauraciones,2009-04-01,82,82
CHUMA,atenciones odontologicas,restauraciones,2009-04-01,26,26
CLIZA,atenciones odontologicas,restauraciones,2009-04-01,153,153
COBIJA,atenciones odontologicas,restauraciones,2009-04-01,268,268
COCHABAMBA,atenciones odontologicas,restauraciones,2009-04-01,12580,12580
COIPASA,atenciones odontologicas,restauraciones,2009-04-01,5,5
COLCAPIRHUA,atenciones odontologicas,restauraciones,2009-04-01,288,288
COLLANA,atenciones odontologicas,restauraciones,2009-04-01,6,6
COLOMI,atenciones odontologicas,restauraciones,2009-04-01,53,53
COLPA BELGICA,atenciones odontologicas,restauraciones,2009-04-01,62,62
COLQUECHACA,atenciones odontologicas,restauraciones,2009-04-01,8,8
COLQUENCHA,atenciones odontologicas,restauraciones,2009-04-01,16,16
COLQUIRI,atenciones odontologicas,restauraciones,2009-04-01,54,54
COMANCHE,atenciones odontologicas,restauraciones,2009-04-01,51,51
COMARAPA,atenciones odontologicas,restauraciones,2009-04-01,335,335
COMBAYA,atenciones odontologicas,restauraciones,2009-04-01,25,25
CONCEPCION,atenciones odontologicas,restauraciones,2009-04-01,13,13
COPACABANA,atenciones odontologicas,restauraciones,2009-04-01,37,37
CORIPATA,atenciones odontologicas,restauraciones,2009-04-01,29,29
CORO CORO,atenciones odontologicas,restauraciones,2009-04-01,13,13
COROICO,atenciones odontologicas,restauraciones,2009-04-01,198,198
CORQUE,atenciones odontologicas,restauraciones,2009-04-01,23,23
COTAGAITA,atenciones odontologicas,restauraciones,2009-04-01,155,155
COTOCA,atenciones odontologicas,restauraciones,2009-04-01,52,52
CUATRO CAÑADAS,atenciones odontologicas,restauraciones,2009-04-01,113,113
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,restauraciones,2009-04-01,17,17
CUEVO,atenciones odontologicas,restauraciones,2009-04-01,15,15
CULPINA,atenciones odontologicas,restauraciones,2009-04-01,27,27
CURAHUARA DE CARANGAS,atenciones odontologicas,restauraciones,2009-04-01,34,34
CURVA,atenciones odontologicas,restauraciones,2009-04-01,3,3
DESAGUADERO,atenciones odontologicas,restauraciones,2009-04-01,43,43
EL ALTO,atenciones odontologicas,restauraciones,2009-04-01,5692,5692
EL CHORO,atenciones odontologicas,restauraciones,2009-04-01,7,7
EL PUENTE(STC),atenciones odontologicas,restauraciones,2009-04-01,10,10
EL PUENTE(TJA),atenciones odontologicas,restauraciones,2009-04-01,159,159
EL TORNO,atenciones odontologicas,restauraciones,2009-04-01,123,123
EL VILLAR,atenciones odontologicas,restauraciones,2009-04-01,31,31
ENTRE RIOS,atenciones odontologicas,restauraciones,2009-04-01,63,63
ENTRE RIOS,atenciones odontologicas,restauraciones,2009-04-01,124,124
EUCALIPTUS,atenciones odontologicas,restauraciones,2009-04-01,61,61
EXALTACION,atenciones odontologicas,restauraciones,2009-04-01,54,54
FERNANDEZ ALONSO,atenciones odontologicas,restauraciones,2009-04-01,95,95
FILADELFIA,atenciones odontologicas,restauraciones,2009-04-01,3,3
GENERAL SAAVEDRA,atenciones odontologicas,restauraciones,2009-04-01,42,42
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,restauraciones,2009-04-01,16,16
GUANAY,atenciones odontologicas,restauraciones,2009-04-01,106,106
GUAQUI,atenciones odontologicas,restauraciones,2009-04-01,52,52
GUAYARAMERIN,atenciones odontologicas,restauraciones,2009-04-01,301,301
GUTIERREZ,atenciones odontologicas,restauraciones,2009-04-01,48,48
HUACARETA,atenciones odontologicas,restauraciones,2009-04-01,38,38
HUACHACALLA,atenciones odontologicas,restauraciones,2009-04-01,17,17
HUANUNI,atenciones odontologicas,restauraciones,2009-04-01,59,59
HUARACAJE,atenciones odontologicas,restauraciones,2009-04-01,30,30
HUAYLLAMARCA,atenciones odontologicas,restauraciones,2009-04-01,26,26
ICLA,atenciones odontologicas,restauraciones,2009-04-01,25,25
INCAHUASI,atenciones odontologicas,restauraciones,2009-04-01,92,92
INQUISIVI,atenciones odontologicas,restauraciones,2009-04-01,18,18
IRUPANA (VILLA DE LANZA),atenciones odontologicas,restauraciones,2009-04-01,88,88
IXIAMAS,atenciones odontologicas,restauraciones,2009-04-01,46,46
JESUS DE MACHACA,atenciones odontologicas,restauraciones,2009-04-01,24,24
LA ASUNTA,atenciones odontologicas,restauraciones,2009-04-01,18,18
LA GUARDIA,atenciones odontologicas,restauraciones,2009-04-01,239,239
LA PAZ,atenciones odontologicas,restauraciones,2009-04-01,12577,12577
LAGUNILLAS,atenciones odontologicas,restauraciones,2009-04-01,31,31
LAJA,atenciones odontologicas,restauraciones,2009-04-01,53,53
LAS CARRERAS,atenciones odontologicas,restauraciones,2009-04-01,20,20
LICOMA PAMPA,atenciones odontologicas,restauraciones,2009-04-01,11,11
LLALLAGUA,atenciones odontologicas,restauraciones,2009-04-01,277,277
LLICA,atenciones odontologicas,restauraciones,2009-04-01,20,20
LURIBAY,atenciones odontologicas,restauraciones,2009-04-01,2,2
MACHACAMARCA,atenciones odontologicas,restauraciones,2009-04-01,64,64
MACHARETI,atenciones odontologicas,restauraciones,2009-04-01,78,78
MAGDALENA,atenciones odontologicas,restauraciones,2009-04-01,78,78
MAIRANA,atenciones odontologicas,restauraciones,2009-04-01,73,73
MAPIRI,atenciones odontologicas,restauraciones,2009-04-01,172,172
MECAPACA,atenciones odontologicas,restauraciones,2009-04-01,14,14
MINEROS,atenciones odontologicas,restauraciones,2009-04-01,208,208
MIZQUE,atenciones odontologicas,restauraciones,2009-04-01,133,133
MOCOMOCO,atenciones odontologicas,restauraciones,2009-04-01,27,27
MOJOCOYA,atenciones odontologicas,restauraciones,2009-04-01,52,52
MONTEAGUDO,atenciones odontologicas,restauraciones,2009-04-01,218,218
MONTERO,atenciones odontologicas,restauraciones,2009-04-01,529,529
MORO MORO,atenciones odontologicas,restauraciones,2009-04-01,48,48
MOROCHATA,atenciones odontologicas,restauraciones,2009-04-01,57,57
OCURI,atenciones odontologicas,restauraciones,2009-04-01,38,38
OKINAWA,atenciones odontologicas,restauraciones,2009-04-01,28,28
OMEREQUE,atenciones odontologicas,restauraciones,2009-04-01,191,191
ORURO,atenciones odontologicas,restauraciones,2009-04-01,1305,1305
PADCAYA,atenciones odontologicas,restauraciones,2009-04-01,259,259
PADILLA,atenciones odontologicas,restauraciones,2009-04-01,91,91
PAILON,atenciones odontologicas,restauraciones,2009-04-01,86,86
PALCA,atenciones odontologicas,restauraciones,2009-04-01,31,31
PALOS BLANCOS,atenciones odontologicas,restauraciones,2009-04-01,87,87
PAMPA AULLAGAS,atenciones odontologicas,restauraciones,2009-04-01,81,81
PAMPA GRANDE,atenciones odontologicas,restauraciones,2009-04-01,17,17
PAPEL PAMPA,atenciones odontologicas,restauraciones,2009-04-01,42,42
PASORAPA,atenciones odontologicas,restauraciones,2009-04-01,54,54
PATACAMAYA,atenciones odontologicas,restauraciones,2009-04-01,81,81
PAZÑA,atenciones odontologicas,restauraciones,2009-04-01,51,51
PELECHUCO,atenciones odontologicas,restauraciones,2009-04-01,10,10
POCOATA,atenciones odontologicas,restauraciones,2009-04-01,43,43
POCONA,atenciones odontologicas,restauraciones,2009-04-01,56,56
POJO (CBBA),atenciones odontologicas,restauraciones,2009-04-01,99,99
POOPO,atenciones odontologicas,restauraciones,2009-04-01,109,109
PORCO,atenciones odontologicas,restauraciones,2009-04-01,50,50
PORONGO,atenciones odontologicas,restauraciones,2009-04-01,36,36
PORTACHUELO,atenciones odontologicas,restauraciones,2009-04-01,122,122
PORVENIR,atenciones odontologicas,restauraciones,2009-04-01,83,83
POSTRER VALLE,atenciones odontologicas,restauraciones,2009-04-01,26,26
POTOSI,atenciones odontologicas,restauraciones,2009-04-01,1367,1367
PRESTO,atenciones odontologicas,restauraciones,2009-04-01,10,10
PUCARA,atenciones odontologicas,restauraciones,2009-04-01,7,7
PUCARANI,atenciones odontologicas,restauraciones,2009-04-01,60,60
PUERTO ACOSTA,atenciones odontologicas,restauraciones,2009-04-01,128,128
PUERTO CARABUCO,atenciones odontologicas,restauraciones,2009-04-01,30,30
PUERTO GONZALO MORENO,atenciones odontologicas,restauraciones,2009-04-01,2,2
PUERTO QUIJARRO,atenciones odontologicas,restauraciones,2009-04-01,80,80
PUERTO RICO,atenciones odontologicas,restauraciones,2009-04-01,53,53
PUERTO SILES,atenciones odontologicas,restauraciones,2009-04-01,42,42
PUERTO SUAREZ,atenciones odontologicas,restauraciones,2009-04-01,107,107
PUERTO VILLARROEL,atenciones odontologicas,restauraciones,2009-04-01,141,141
PUNA,atenciones odontologicas,restauraciones,2009-04-01,86,86
PUNATA,atenciones odontologicas,restauraciones,2009-04-01,237,237
QUIABAYA,atenciones odontologicas,restauraciones,2009-04-01,1,1
QUILLACOLLO,atenciones odontologicas,restauraciones,2009-04-01,671,671
QUIME,atenciones odontologicas,restauraciones,2009-04-01,81,81
QUIRUSILLAS,atenciones odontologicas,restauraciones,2009-04-01,17,17
RAVELO,atenciones odontologicas,restauraciones,2009-04-01,16,16
REYES,atenciones odontologicas,restauraciones,2009-04-01,71,71
RIBERALTA,atenciones odontologicas,restauraciones,2009-04-01,404,404
ROBORE,atenciones odontologicas,restauraciones,2009-04-01,75,75
RURRENABAQUE,atenciones odontologicas,restauraciones,2009-04-01,41,41
SABAYA,atenciones odontologicas,restauraciones,2009-04-01,10,10
SACABA,atenciones odontologicas,restauraciones,2009-04-01,562,562
SACABAMBA,atenciones odontologicas,restauraciones,2009-04-01,20,20
SAIPINA,atenciones odontologicas,restauraciones,2009-04-01,49,49
SALINAS DE GARCI MENDOZA,atenciones odontologicas,restauraciones,2009-04-01,58,58
SAMAIPATA,atenciones odontologicas,restauraciones,2009-04-01,79,79
SAN ANDRES DE MACHACA,atenciones odontologicas,restauraciones,2009-04-01,82,82
SAN ANTONIO DE LOMERIO,atenciones odontologicas,restauraciones,2009-04-01,25,25
SAN BENITO,atenciones odontologicas,restauraciones,2009-04-01,60,60
SAN BORJA,atenciones odontologicas,restauraciones,2009-04-01,91,91
SAN BUENA VENTURA,atenciones odontologicas,restauraciones,2009-04-01,49,49
SAN CARLOS,atenciones odontologicas,restauraciones,2009-04-01,84,84
SAN IGNACIO,atenciones odontologicas,restauraciones,2009-04-01,269,269
SAN IGNACIO DE VELASCO,atenciones odontologicas,restauraciones,2009-04-01,301,301
SAN JAVIER(STC),atenciones odontologicas,restauraciones,2009-04-01,116,116
SAN JOAQUIN,atenciones odontologicas,restauraciones,2009-04-01,61,61
SAN JUAN DE YAPACANI,atenciones odontologicas,restauraciones,2009-04-01,12,12
SAN JULIAN,atenciones odontologicas,restauraciones,2009-04-01,49,49
SAN LORENZO(PND),atenciones odontologicas,restauraciones,2009-04-01,8,8
SAN LORENZO(TJA),atenciones odontologicas,restauraciones,2009-04-01,259,259
SAN LUCAS,atenciones odontologicas,restauraciones,2009-04-01,34,34
SAN MATIAS,atenciones odontologicas,restauraciones,2009-04-01,35,35
SAN MIGUEL DE VELASCO,atenciones odontologicas,restauraciones,2009-04-01,87,87
SAN PEDRO,atenciones odontologicas,restauraciones,2009-04-01,51,51
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,restauraciones,2009-04-01,36,36
SAN PEDRO DE CURAHUARA,atenciones odontologicas,restauraciones,2009-04-01,50,50
SAN PEDRO DE TIQUINA,atenciones odontologicas,restauraciones,2009-04-01,6,6
SAN RAFAEL,atenciones odontologicas,restauraciones,2009-04-01,83,83
SAN RAMON,atenciones odontologicas,restauraciones,2009-04-01,24,24
SAN RAMON,atenciones odontologicas,restauraciones,2009-04-01,59,59
SANTA ANA,atenciones odontologicas,restauraciones,2009-04-01,310,310
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,restauraciones,2009-04-01,6633,6633
SANTA ROSA,atenciones odontologicas,restauraciones,2009-04-01,62,62
SANTA ROSA DEL SARA,atenciones odontologicas,restauraciones,2009-04-01,78,78
SANTIAGO DE CALLAPA,atenciones odontologicas,restauraciones,2009-04-01,2,2
SANTIAGO DE HUARI,atenciones odontologicas,restauraciones,2009-04-01,63,63
SANTIAGO DE MACHACA,atenciones odontologicas,restauraciones,2009-04-01,39,39
SANTIVAÑES,atenciones odontologicas,restauraciones,2009-04-01,10,10
SANTUARIO DE QUILLACAS,atenciones odontologicas,restauraciones,2009-04-01,18,18
SAPAHAQUI,atenciones odontologicas,restauraciones,2009-04-01,28,28
SENA,atenciones odontologicas,restauraciones,2009-04-01,6,6
SICA SICA (VILLA AROMA),atenciones odontologicas,restauraciones,2009-04-01,128,128
SICAYA,atenciones odontologicas,restauraciones,2009-04-01,17,17
SIPE SIPE,atenciones odontologicas,restauraciones,2009-04-01,460,460
SOPACHUY,atenciones odontologicas,restauraciones,2009-04-01,82,82
SORACACHI,atenciones odontologicas,restauraciones,2009-04-01,53,53
SORATA,atenciones odontologicas,restauraciones,2009-04-01,24,24
SUCRE,atenciones odontologicas,restauraciones,2009-04-01,3718,3718
TACACOMA,atenciones odontologicas,restauraciones,2009-04-01,59,59
TACOPAYA,atenciones odontologicas,restauraciones,2009-04-01,14,14
TAPACARI,atenciones odontologicas,restauraciones,2009-04-01,64,64
TARABUCO,atenciones odontologicas,restauraciones,2009-04-01,53,53
TARACO,atenciones odontologicas,restauraciones,2009-04-01,13,13
TARATA,atenciones odontologicas,restauraciones,2009-04-01,30,30
TARIJA,atenciones odontologicas,restauraciones,2009-04-01,3065,3065
TARVITA,atenciones odontologicas,restauraciones,2009-04-01,36,36
TEOPONTE,atenciones odontologicas,restauraciones,2009-04-01,44,44
TIAWANACU,atenciones odontologicas,restauraciones,2009-04-01,4,4
TINGUIPAYA,atenciones odontologicas,restauraciones,2009-04-01,14,14
TIPUANI,atenciones odontologicas,restauraciones,2009-04-01,23,23
TIQUIPAYA,atenciones odontologicas,restauraciones,2009-04-01,993,993
TIRAQUE (CBBA),atenciones odontologicas,restauraciones,2009-04-01,484,484
TOCO,atenciones odontologicas,restauraciones,2009-04-01,169,169
TOLATA,atenciones odontologicas,restauraciones,2009-04-01,131,131
TOLEDO,atenciones odontologicas,restauraciones,2009-04-01,67,67
TOMAVE,atenciones odontologicas,restauraciones,2009-04-01,54,54
TOMINA,atenciones odontologicas,restauraciones,2009-04-01,22,22
TOTORA(CBBA),atenciones odontologicas,restauraciones,2009-04-01,153,153
TOTORA(ORR),atenciones odontologicas,restauraciones,2009-04-01,6,6
TRIGAL,atenciones odontologicas,restauraciones,2009-04-01,24,24
TRINIDAD,atenciones odontologicas,restauraciones,2009-04-01,735,735
TUPIZA,atenciones odontologicas,restauraciones,2009-04-01,106,106
TURCO,atenciones odontologicas,restauraciones,2009-04-01,27,27
UMALA,atenciones odontologicas,restauraciones,2009-04-01,7,7
