,group,variable,month,L 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,L 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
CAPINOTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,13,13
CARACOLLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
CARANAVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,132,132
CARAPARI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,19,19
CARMEN RIVERO TORREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
CHALLAPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
CHIPAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,36,36
CHUMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
CLIZA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,37,37
COBIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,167,167
COCHABAMBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,493,493
COLPA BELGICA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
COMARAPA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,8,8
COROICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,41,41
CORQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
COTAGAITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,20,20
COTOCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,7,7
CUATRO CAÑADAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,36,36
CUEVO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
CULPINA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,28,28
DESAGUADERO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
EL ALTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,948,948
EL PUENTE(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,16,16
EL TORNO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,66,66
EL VILLAR,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
ENTRE RIOS TRJ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
ENTRE RIOS CBBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
ESCOMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,13,13
EUCALIPTUS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,7,7
EUREKA (SANTOS MERCADO),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
FERNANDEZ ALONSO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,25,25
FILADELFIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
GENERAL SAAVEDRA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,30,30
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,15,15
GUANAY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,22,22
GUAYARAMERIN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
GUTIERREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,16,16
HUACARETA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
HUACAYA (VILLA DE HUACAYA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,11,11
HUACHACALLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
HUANUNI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,55,55
ICLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,21,21
INCAHUASI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,20,20
INGAVI (HUMAITA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
INQUISIVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
IRUPANA (VILLA DE LANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,10,10
LA ASUNTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,62,62
LA GUARDIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,38,38
LA PAZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1051,1051
LAS CARRERAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
LLALLAGUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,125,125
MACHARETI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,6,6
MAIRANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,8,8
MAPIRI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
MINEROS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
MIZQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,29,29
MOJOCOYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,14,14
MONTEAGUDO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,65,65
MONTERO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,218,218
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
ORURO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,384,384
PADCAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,7,7
PADILLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,16,16
PAILON,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,41,41
PAMPA GRANDE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,13,13
PATACAMAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,32,32
POJO (CBBA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,16,16
POROMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,10,10
PORONGO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,8,8
PORTACHUELO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,6,6
POTOSI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
PRESTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,12,12
PUCARANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,6,6
PUERTO QUIJARRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,9,9
PUERTO RICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
PUERTO SUAREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,15,15
PUERTO VILLARROEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,148,148
PUNATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
QUIABAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
QUIME,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,18,18
RIBERALTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,190,190
ROBORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
RURRENABAQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
SACABA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,173,173
SAMAIPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,11,11
SAN BENITO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,15,15
SAN CARLOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,16,16
SAN IGNACIO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,19,19
SAN IGNACIO DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,86,86
SAN JAVIER(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
SAN JOSE DE CHIQUITOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,13,13
SAN JULIAN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,15,15
SAN LORENZO(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
SAN LUCAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,118,118
SAN MATIAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
SAN MIGUEL DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,14,14
SAN PEDRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
SAN RAFAEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,17,17
SANTA ANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,171,171
SANTA ROSA DEL SARA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,23,23
SANTIAGO DE MACHACA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
SENA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,4,4
SHINAOTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,20,20
SIPE SIPE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,18,18
SOPACHUY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,19,19
SORATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,21,21
SUCRE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,566,566
TARABUCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,41,41
TARATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,13,13
TARIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,50,50
TARVITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,25,25
TOCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,7,7
TOLATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,7,7
TOLEDO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
TOMINA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,12,12
TOTORA(ORR),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,2,2
TRINIDAD,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,17,17
URIONDO (A. CONCEPCION),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
URUBICHA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,16,16
UYUNI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,5,5
VILLA CHARCAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,19,19
VILLA MONTES,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,20,20
VILLA SERRANO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,8,8
VILLA TUNARI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,271,271
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,15,15
VILLAZON,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,41,41
WARNES,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,104,104
YACUIBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,24,24
YAMPARAEZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,10,10
YANACACHI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,3,3
YOTALA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,13,13
YUNCHARA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,1,1
ZUDAÑEZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-04-01,0,12,12
ACHACACHI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,25,25
AIQUILE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,40,40
ALCALA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,9,9
APOLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,17,17
ARBIETO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,9,9
AZURDUY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,13,13
BERMEJO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,61,61
BETANZOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,12,12
BOYUIBE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,2,2
BUENA VISTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,22,22
CABEZAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,13,13
CAMARGO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,46,46
CAMATAQUI (C. VILLA ABECIA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,8,8
CAMIRI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,114,114
CAPINOTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,52,52
CARACOLLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,25,25
CARANAVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,76,76
CARAPARI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,34,34
CARMEN RIVERO TORREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,7,7
CHALLAPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,3,3
CHIMORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,10,10
CHIPAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,8,8
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,36,36
CHUMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,5,5
CLIZA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,49,49
COBIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,181,181
COCHABAMBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,833,833
COLCAPIRHUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,10,10
COLPA BELGICA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,13,13
COLQUIRI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,20,20
COMARAPA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,14,14
COROICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,56,56
CORQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
COTAGAITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,20,20
COTOCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,42,42
CUATRO CAÑADAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,39,39
CUEVO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,7,7
CULPINA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,38,38
EL ALTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1748,1748
EL CHORO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
EL PUENTE(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,7,7
EL PUENTE(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,2,2
EL TORNO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,159,159
EL VILLAR,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,2,2
ENTRE RIOS TRJ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,36,36
ENTRE RIOS CBBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
ESCOMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,14,14
EUCALIPTUS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,8,8
EUREKA (SANTOS MERCADO),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
FERNANDEZ ALONSO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,17,17
FILADELFIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,12,12
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,6,6
GUANAY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,21,21
GUAYARAMERIN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,198,198
GUTIERREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,41,41
HUACARETA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,14,14
HUACAYA (VILLA DE HUACAYA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,15,15
HUANUNI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,99,99
HUAYLLAMARCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,2,2
ICLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,22,22
INCAHUASI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,11,11
INGAVI (HUMAITA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,3,3
INQUISIVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
LA ASUNTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,65,65
LA GUARDIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,103,103
LA PAZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1077,1077
LAGUNILLAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,3,3
LAS CARRERAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,6,6
LLALLAGUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,159,159
MACHACAMARCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,11,11
MACHARETI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,28,28
MAIRANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,21,21
MINEROS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,50,50
MIZQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,50,50
MOJOCOYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,5,5
MONTEAGUDO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,86,86
MONTERO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,211,211
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,6,6
ORURO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,961,961
PADCAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,18,18
PADILLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,19,19
PAILON,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,84,84
PALOS BLANCOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,21,21
PAMPA GRANDE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,6,6
PATACAMAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,61,61
POJO (CBBA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,8,8
POROMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,11,11
PORONGO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,9,9
PORTACHUELO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,22,22
PORVENIR,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,24,24
POTOSI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,152,152
PRESTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,22,22
PUCARANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,17,17
PUERTO GONZALO MORENO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,24,24
PUERTO QUIJARRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,2,2
PUERTO RICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,6,6
PUERTO SUAREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,37,37
PUERTO VILLARROEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,235,235
PUNATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,5,5
QUIME,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,20,20
RIBERALTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,69,69
ROBORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,23,23
RURRENABAQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,34,34
SACABA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,471,471
SAMAIPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
SAN BENITO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,18,18
SAN CARLOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,67,67
SAN IGNACIO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,33,33
SAN IGNACIO DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,104,104
SAN JAVIER(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,37,37
SAN JOSE DE CHIQUITOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,53,53
SAN JUAN DE YAPACANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,17,17
SAN JULIAN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,82,82
SAN LORENZO(PND),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,14,14
SAN LORENZO(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,36,36
SAN LUCAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,73,73
SAN MIGUEL DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,20,20
SAN PEDRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,21,21
SAN PEDRO DE BUENA VISTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,18,18
SAN RAFAEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,31,31
SANTA ANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,29,29
SANTA CRUZ DE LA SIERRA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1104,1104
SANTA ROSA DEL SARA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,20,20
SANTIVAÑES,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,4,4
SHINAOTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,26,26
SIPE SIPE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,3,3
SOPACHUY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,16,16
SUCRE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,729,729
TACACOMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,4,4
TAPACARI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,1,1
TARABUCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,41,41
TARATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,14,14
TARIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,313,313
TARVITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,15,15
TIPUANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,11,11
TOCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-05-01,0,4,4
