,group,variable,month,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
VALLEGRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,48,49
VILLA CHARCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,26,26
VILLA SERRANO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,11,11
VILLA TUNARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,10,309,319
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,8,49,57
VILLAZON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,9,151,160
WARNES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,5,125,130
YACUIBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,18,110,128
YAMPARAEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,13,13
YANACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,46,36,82
YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,9,25,34
YOTALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,9,9
YUNCHARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,22,24
ZUDAÑEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,12,12
ACHACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,30,30
AIQUILE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,13,16
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,9,9
APOLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,22,25
ARQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,3,4
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,14,58,72
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,0,1
BELLA FLOR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,4,4
BERMEJO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,16,16
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,21,21
BOLPEBRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,8,8
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,22,22
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,39,39
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,8,9
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,38,41
CARACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,4,5
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,26,137,163
CARAPARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,20,20
CHIPAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,4,4
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,37,38
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,10,172,182
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,105,536,641
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,8,13,21
COMARAPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,9,9
COROICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,5,2,7
CORQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,3,3
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,20,21
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,8,10
CUEVO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,5,6
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,32,32
DESAGUADERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,3,4
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,72,994,1066
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,39,42
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,50,101,151
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,8,9,17
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,14,16
EUCALIPTUS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,12,12
EUREKA (SANTOS MERCADO),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,14,16
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,16,16
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,21,22
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,11,11
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,58,60
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,22,23
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,22,22
INGAVI (HUMAITA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,3,3
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,10,10
LA ASUNTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,6,69,75
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,4,46,50
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,43,661,704
LAGUNILLAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,11,11
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,3,3
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,13,29,42
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,9,9
MAPIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,5,2,7
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,6,6
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,2,3
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,9,9
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,4,69,73
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,9,195,204
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,43,195,238
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,8,8
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,25,25
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,37,38
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,13,13
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,24,81,105
POJO (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,16,16
POROMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
PORONGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,9,10
PORTACHUELO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,2,4
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,17,7,24
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,12,12
PUCARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,8,10
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,6,3,9
PUERTO RICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,7,7
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,7,21,28
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,8,43,51
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,5,81,86
QUIABAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
QUIME,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,21,22
RIBERALTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,30,202,232
ROBORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,5,7
RURRENABAQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,9,11
SACABA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,8,229,237
SAMAIPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,13,13
SAN BENITO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,15,15
SAN IGNACIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,12,19,31
SAN IGNACIO DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,31,101,132
SAN JAVIER(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
SAN JOSE DE CHIQUITOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,5,8
SAN JULIAN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,7,9
SAN LORENZO(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
SAN LUCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,119,120
SAN MATIAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
SAN MIGUEL DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,14,15
SAN PEDRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,4,11,15
SAN RAFAEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,18,18
SANTA ANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,10,11
SANTA CRUZ DE LA SIERRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,161,251,412
SANTA ROSA DEL SARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,23,23
SANTIAGO DE MACHACA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,8,8
SENA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,4,4
SHINAOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,9,21,30
SIPE SIPE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,6,6
SOPACHUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,7,39,46
SORATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,21,21
SUCRE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,122,656,778
TAPACARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,3,3
TARABUCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,50,51
TARATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,15,16
TARIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,145,70,215
TARVITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,25,25
TIRAQUE (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
TOCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,7,7
TOLATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,8,8
TOLEDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,2,3,5
TOMINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,13,13
TOTORA(ORR),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,2,2
TRINIDAD,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,133,157,290
TUPIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,3,3
URUBICHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,8,11
VILLA CHARCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,19,20
VILLA SERRANO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,8,9
VILLA TUNARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,5,278,283
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,1,15,16
VILLAZON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,7,33,40
WARNES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,4,106,110
YACUIBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,15,48,63
YAMPARAEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,11,11
YANACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,4,7
YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,3,52,55
YOTALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,12,12
YUNCHARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,0,1,1
ZUDAÑEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-04-01,6,13,19
ACHACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,4,25,29
AIQUILE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,2,7,9
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,9,10
APOLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,2,18,20
ARBIETO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,2,2
ARQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,0,1
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,6,14,20
AZURDUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,13,14
BERMEJO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,53,53
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,15,15
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,22,22
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,13,14
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,47,47
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,13,14
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,7,121,128
CAPINOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,5,17,22
CARACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,8,39,47
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,19,3,22
CARAPARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,34,34
CARMEN RIVERO TORREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,2,8,10
CHIMORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,10,11
CHIPAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,3,3
CHUMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,6,6
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,51,51
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,89,219,308
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,127,957,1084
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,11,19,30
COLQUIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,10,23,33
COMARAPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,2,0,2
CORQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,3,4,7
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,20,20
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,7,43,50
CUATRO CAÑADAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,1,1
CUEVO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,7,7
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,40,40
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,160,2057,2217
EL CHORO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,2,2
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,8,8
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,2,3
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,12,184,196
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,2,2
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,7,25,32
ENTRE RIOS CBBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,0,1
EUCALIPTUS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,14,15
EUREKA (SANTOS MERCADO),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,1,1
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,13,13
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,7,7
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,161,107,268
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,41,42
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,14,15
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,15,15
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,102,102
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,22,22
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,12,13
INGAVI (HUMAITA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,3,3
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,1,1,2
LA ASUNTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,5,69,74
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,3,114,117
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,41,1056,1097
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,6,6
LLALLAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,170,7,177
MACHACAMARCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,11,11
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,4,29,33
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,26,26
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,3,51,54
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,3,50,53
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,8,8
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,17,98,115
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,10,172,182
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,6,6
OCURI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,1,1
OMEREQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,2,2
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,57,740,797
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,19,19
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,28,28
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,7,86,93
PALOS BLANCOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,6,21,27
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,16,16
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,10,73,83
POJO (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-05-01,0,13,13
