,group,variable,month,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
MAIRANA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,2,4
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,47,47
MOJOCOYA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,2,2
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,6,27,33
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,171,183,354
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,8,11
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,4,4
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,30,262,292
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,13,13
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,12,14
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,14,15
PALOS BLANCOS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,1,3
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,39,41
POJO (CBBA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,2,3
PORONGO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,6,23,29
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,6,1,7
PORVENIR,vih,l 22.3        n de personas con prueba rapida,2012-03-01,4,13,17
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,12,102,114
PRESTO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
PUCARANI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,1,2
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,8,8,16
PUERTO RICO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,11,40,51
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,1,1
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-03-01,5,15,20
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,6,131,137
QUILLACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,5,5
QUIME,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,6,9
RIBERALTA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,36,24,60
ROBORE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,3,3
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,44,44
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,7,179,186
SAN BENITO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,2,5
SAN CARLOS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,17,18
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,11,14,25
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,25,62,87
SAN JAVIER(STC),vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,26,26
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,58,61
SAN JUAN DE YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,18,14,32
SAN JULIAN,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,4,4
SAN LORENZO(PND),vih,l 22.3        n de personas con prueba rapida,2012-03-01,48,136,184
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,65,65
SAN MATIAS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,23,24
SAN MIGUEL DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,10,36,46
SAN PEDRO DE TIQUINA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,3,4
SAN RAMON BENI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,1,1
SANTA ANA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,1,3
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,192,606,798
SANTA ROSA DEL SARA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,2,2
SANTIAGO DE MACHACA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,0,2
SENA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,17,17
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,4,4,8
SIPE SIPE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,4,4
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,106,151,257
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,31,32
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,37,47,84
TIPUANI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,1,3
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,11,11
TOLEDO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,62,2,64
TOTORA(CBBA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,37,37
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-03-01,192,195,387
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,12,12
UNCIA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,76,197,273
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,53,53
VALLEGRANDE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,44,45
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-03-01,16,19,35
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,11,11
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,10,10,20
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,8,40,48
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-03-01,9,77,86
WARNES,vih,l 22.3        n de personas con prueba rapida,2012-03-01,5,1,6
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,13,40,53
YANACACHI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,46,36,82
YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,9,44,53
YUNCHARA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,14,15
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,3,3
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,30,33
ALCALA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
APOLO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,25,25
ARQUE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,3,4
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,14,37,51
AYATA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,8,12
AZURDUY,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,7,7
BELLA FLOR,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,3,5
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,20,20
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,6,7
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,37,40
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,13,13
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,3,4
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,26,9,35
CARAPARI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,1,4
CHUMA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,2,4
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,10,8,18
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,74,245,319
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,8,16,24
COMARAPA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,5,43,48
COTAGAITA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,1,3
CUATRO CAÑADAS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
CUEVO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
CULPINA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
DESAGUADERO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,72,460,532
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,39,42
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,50,35,85
EL VILLAR,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,3,3
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-04-01,10,86,96
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,1,3
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,5,5
EUREKA (SANTOS MERCADO),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
FERNANDEZ ALONSO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,1,4
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,5,6
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
HUANUNI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,1,3
ICLA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
INCAHUASI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,10,10
INGAVI (HUMAITA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,3,3
INQUISIVI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
LA ASUNTA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,6,7,13
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,49,53
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-04-01,39,1038,1077
LLALLAGUA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,6,126,132
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,11,12
MAPIRI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,5,0,5
MINEROS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,6,6
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,32,33
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,19,23
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,24,77,101
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,45,161,206
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,9,9
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,66,70
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,24,49,73
POJO (CBBA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,16,16
POROMA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
PORONGO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,1,2
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,2,4
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,13,10,23
PRESTO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,2,2
PUCARANI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,2,4
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,6,3,9
PUERTO RICO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,7,7
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-04-01,7,21,28
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-04-01,8,187,195
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,7,83,90
QUIABAYA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,2,2
QUIME,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,3,4
RIBERALTA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,30,15,45
ROBORE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,1,3
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,5,7
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,8,151,159
SAMAIPATA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,12,8,20
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,31,63,94
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,13,15
SAN JULIAN,vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,2,6
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,1,2
SAN MIGUEL DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,11,15
SAN RAFAEL,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
SANTA ANA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,139,149,288
SANTIAGO DE MACHACA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
SENA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,4,4
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,9,1,10
SIPE SIPE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,18,18
SOPACHUY,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,45,45
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-04-01,110,96,206
TAPACARI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,3,3
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,9,10
TARATA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,2,3
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,145,63,208
TIRAQUE (CBBA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,8,8
TOLEDO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,1,3
TOMINA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,10,10
TOTORA(ORR),vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,2,2
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-04-01,56,61,117
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,20,0,20
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,17,20
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,2,0,2
VILLA CHARCAS,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,0,1
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-04-01,6,6,12
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,8,9
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,5,7,12
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-04-01,1,1,2
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-04-01,7,25,32
WARNES,vih,l 22.3        n de personas con prueba rapida,2012-04-01,4,2,6
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-04-01,14,33,47
YAMPARAEZ,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
YANACACHI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,1,4
YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-04-01,3,52,55
ZUDAÑEZ,vih,l 22.3        n de personas con prueba rapida,2012-04-01,0,1,1
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,5,25,30
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,47,49
ALCALA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
APOLO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,18,20
ARBIETO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,6,0,6
AZURDUY,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,17,18
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,12,12
CABEZAS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,13,14
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,7,121,128
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,5,69,74
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,8,14,22
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,19,73,92
CARAPARI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,34,34
CARMEN RIVERO TORREZ,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,3,3
CHIMORE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
CHUMA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
CLIZA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,92,71,163
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,88,408,496
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,11,32,43
COLQUIRI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,10,3,13
COMARAPA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,14,16
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,4,7
CORQUE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,3,6
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,7,1,8
CUATRO CAÑADAS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,8,8
CULPINA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,2,2
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,161,666,827
EL CHORO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,8,8
EL PUENTE(TJA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,12,25,37
EL VILLAR,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-05-01,10,62,72
ENTRE RIOS CBBA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,2,2
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,6,7
EUREKA (SANTOS MERCADO),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
FERNANDEZ ALONSO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
FILADELFIA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-05-01,161,49,210
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,18,19
HUACARETA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,2,2
HUANUNI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,3,3
INCAHUASI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,12,13
INGAVI (HUMAITA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,3,3
IRUPANA (VILLA DE LANZA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
LA ASUNTA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,5,4,9
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,110,113
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-05-01,68,1205,1273
LAGUNILLAS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,33,33
MINEROS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,51,54
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,50,53
MOJOCOYA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,3,3
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,17,26,43
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,24,168,192
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,6,6
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,66,307,373
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,19,19
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,9,9
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-05-01,5,4,9
PALOS BLANCOS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,6,0,6
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,10,12,22
POJO (CBBA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,5,5
POROMA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,2,5
PORVENIR,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,1,3
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,24,151,175
PRESTO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,10,11
PUERTO GONZALO MORENO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,5,5
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,3,6
PUERTO RICO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,6,6
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-05-01,7,274,281
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,5,3,8
QUIME,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,28,30
RIBERALTA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,19,9,28
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,35,37
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,7,212,219
SAN BENITO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,23,23
SAN CARLOS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,12,13
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,4,19,23
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,27,58,85
SAN JAVIER(STC),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,37,38
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,1,3
SAN JUAN DE YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,2,4
SAN JULIAN,vih,l 22.3        n de personas con prueba rapida,2012-05-01,6,0,6
SAN LORENZO(PND),vih,l 22.3        n de personas con prueba rapida,2012-05-01,6,46,52
SAN LORENZO(TJA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,18,20
SAN MIGUEL DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,3,17,20
SAN RAFAEL,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
SANTA ANA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,185,266,451
SANTIVAÑES,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,12,12,24
SOPACHUY,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,18,19
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,118,128,246
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,10,4,14
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,40,74,114
TARVITA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,3,5
TIPUANI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,0,2
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,8,8
TOTORA(CBBA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,54,55
TOTORA(ORR),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,1,2
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-05-01,35,154,189
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,28,3,31
UNCIA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,12,12
URIONDO (A. CONCEPCION),vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
