municipality,group,variable,month,N° de TBP BAAR (-) nuevos,TOTAL
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,15,15
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-11-01,5,5
CAJUATA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
CARAPARI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,10,10
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,4,4
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,7,7
COLQUECHACA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
COMARAPA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,3,3
COROICO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,8,8
GUAYARAMERIN,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
HUANUNI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
INCAHUASI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,2,2
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,24,24
LAGUNILLAS,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
MONTEAGUDO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
OCURI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
OKINAWA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,6,6
PORTACHUELO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,12,12
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,4,4
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,3,3
ROBORE,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
SAN BENITO,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,2,2
SAN CARLOS,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-11-01,30,30
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,5,5
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,25,25
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,3,3
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,4,4
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,2,2
WARNES,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,1,1
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2008-11-01,3,3
ACHACACHI,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,13,13
AYO AYO,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-12-01,2,2
CHIMORE,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
COMARAPA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,11,11
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,7,7
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,9,9
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
PORTACHUELO,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,55,55
PUNA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
SACABA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-12-01,27,27
SAN JOSE DE CHIQUITOS,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,14,14
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,13,13
SAN PEDRO,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,8,8
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,7,7
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2008-12-01,2,2
TUPIZA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,3,3
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2008-12-01,1,1
