municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3,3,5,8
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,0,0,4,4
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,43,43,47,90
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,5,5,9,14
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,18,18,6,24
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,26,26,34,60
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,45,45,32,77
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,26,26,24,50
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,8,14
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,12,21
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,112,112,94,206
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,24,24,12,36
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,98,98,91,189
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3,3,1,4
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,1,1,2,3
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,220,220,224,444
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,11,11,10,21
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,1,1,0,1
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,36,36,25,61
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,41,41,30,71
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,23,23,15,38
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,16,16,25,41
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,10,10,8,18
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,32,32,37,69
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,12,12,13,25
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,10,10,13,23
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,30,30,28,58
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,124,124,126,250
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,49,49,55,104
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,148,148,169,317
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,2,4
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,888,888,629,1517
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,16,16,17,33
QUIRUSILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,1,1,1,2
RAVELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,21,21,24,45
REYES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,7,7,14,21
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,176,176,164,340
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,46,46,42,88
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,39,39,21,60
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,6,15
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,698,698,620,1318
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,14,14,18,32
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,25,25,18,43
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,11,11,14,25
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,3,9
SAMAIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,4,13
SAN AGUSTIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,0,0,1,1
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,52,52,67,119
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3,3,4,7
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,4,4,9,13
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,4,4,7,11
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,29,29,40,69
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,72,72,69,141
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,10,10,14,24
SAN CARLOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,18,18,33,51
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,60,60,44,104
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,91,91,80,171
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,5,5,9,14
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,28,28,19,47
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,14,14,11,25
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,23,23,20,43
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,16,22
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,190,190,162,352
SAN LORENZO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,40,40,15,55
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,32,32,23,55
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,132,132,117,249
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,15,15,9,24
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,9,18
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,3,5
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,29,29,20,49
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,54,54,47,101
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,1,7
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,3,5
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,7,7,4,11
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,12,12,10,22
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,13,19
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,41,41,49,90
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3253,3253,2738,5991
SANTA ROSA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,14,14,17,31
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,30,30,31,61
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,8,8,5,13
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,4,4,6,10
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,2,4
SANTIVAÑES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,5,5,7,12
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,0,0,1,1
SAPAHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,10,10,13,23
SENA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,5,5,7,12
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,21,21,16,37
SICAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,5,5,2,7
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,255,255,248,503
SOPACHUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,21,21,15,36
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,9,18
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,32,32,19,51
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,956,956,947,1903
TACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,1,3
TACACOMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,4,10
TACOBAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,51,51,32,83
TACOPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,10,19
TAHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,0,0,1,1
TAPACARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,85,85,102,187
TARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,44,44,31,75
TARACO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,8,8,8,16
TARATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,11,11,22,33
TARIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,681,681,631,1312
TARVITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,62,62,80,142
TEOPONTE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,20,20,26,46
TIAWANACU,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,13,13,11,24
TINGUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,45,45,35,80
TIPUANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,18,18,14,32
TIQUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,79,79,66,145
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,353,353,263,616
TITO YUPANQUI (PARQUIPUJIO),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,1,1,4,5
TOCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,11,11,4,15
TOLATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,41,41,36,77
TOLEDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,10,10,12,22
TOMAVE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,16,16,10,26
TOMINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,9,9,5,14
TORO TORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,23,23,11,34
TOTORA(CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,86,86,55,141
TOTORA(ORR),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,21,21,11,32
TRIGAL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,0,2
TRINIDAD,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,550,550,568,1118
TUPIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,38,38,38,76
TURCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,7,7,7,14
UMALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3,3,5,8
UNCIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,27,27,13,40
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,23,23,24,47
UYUNI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,37,37,29,66
VACAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,22,22,17,39
VALLEGRANDE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,22,22,17,39
VIACHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,76,76,82,158
VILA VILA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,13,13,17,30
VILLA MONTES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,20,20,17,37
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,4,4,12,16
VILLA RIVERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,10,10,9,19
VILLA SERRANO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,11,11,9,20
VILLA TUNARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,371,371,361,732
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,37,37,27,64
VILLAZON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,45,45,42,87
VINTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,20,20,20,40
VITICHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,8,8,3,11
WALDO BALLIVIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,1,1,1,2
WARNES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,188,188,152,340
YACO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,6,6,5,11
YACUIBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,73,73,67,140
YAMPARAEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,12,12,15,27
YANACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,2,2,4,6
YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,61,61,58,119
YOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3,3,1,4
YOTALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,36,36,12,48
YUNCHARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,3,3,3,6
ZUDAÑEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-03-01,21,21,21,42
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,3,3,2,5
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,60,60,62,122
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,10,10,8,18
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,32,32,24,56
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,5,5,3,8
ALCALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1,1,3,4
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,8,17
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,5,5,2,7
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,4,4,6,10
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,13,13,22,35
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,22,22,11,33
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,7,7,5,12
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,47,47,28,75
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,14,14,23,37
ARQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,20,20,30,50
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,46,46,68,114
ATOCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,6,6,3,9
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,23,23,17,40
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,10,19
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,12,12,2,14
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,68,68,67,135
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,23,23,19,42
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,23,23,19,42
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,8,8,6,14
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,2,2,3,5
BELEN DE URMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1,1,0,1
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,4,4,5,9
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,43,43,48,91
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,29,29,29,58
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,7,7,12,19
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,4,4,3,7
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,11,11,1,12
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,16,16,21,37
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,22,22,28,50
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,11,11,12,23
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,10,10,12,22
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,19,19,22,41
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,9,18
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,11,11,15,26
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,13,13,19,32
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,4,4,7,11
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,62,62,53,115
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,16,16,8,24
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,8,8,6,14
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,24,24,16,40
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,94,94,295,389
CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,0,0,3,3
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,20,20,19,39
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,10,10,4,14
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,16,16,5,21
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1,1,2,3
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,7,7,9,16
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,31,31,32,63
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,14,14,8,22
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,29,29,37,66
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1,1,2,3
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,18,18,17,35
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,31,31,18,49
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,2,2,1,3
CHOQUE COTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,2,2,0,2
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,58,58,40,98
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,8,17
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,34,34,26,60
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,38,38,32,70
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1649,1649,1406,3055
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,248,248,280,528
"COLCHA ""K""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,17,17,12,29
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,4,4,1,5
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,112,112,93,205
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,5,14
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,33,33,34,67
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,7,16
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,13,13,17,30
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1,1,2,3
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,29,29,9,38
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,1,1,2,3
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,15,15,14,29
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,8,8,13,21
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,42,42,57,99
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,13,13,14,27
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,57,57,59,116
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,8,8,15,23
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,40,40,20,60
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,39,39,32,71
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,31,31,30,61
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,5,5,3,8
CUEVO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,2,2,2,4
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,29,29,23,52
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,10,10,6,16
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,5,5,3,8
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-04-01,9,9,5,14
