municipality,group,variable,month,Controles repetidos en niños de 2 años de < 5 NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,27,27,47,74
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,70,70,82,152
PUERTO SILES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,1,1,0,1
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,40,40,51,91
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,133,133,140,273
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,246,246,301,547
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,65,65,44,109
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,15,15,7,22
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,146,146,112,258
QUIME,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,76,76,82,158
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,9,9,9,18
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,366,366,376,742
REYES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,94,94,86,180
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,527,527,614,1141
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,88,88,98,186
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,84,84,61,145
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,20,20,25,45
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,88,88,99,187
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,24,24,18,42
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,380,380,328,708
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,76,76,67,143
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,120,120,104,224
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,75,75,63,138
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,21,21,29,50
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,92,92,97,189
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,26,26,17,43
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,26,26,22,48
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,140,140,146,286
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,39,39,21,60
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,216,216,231,447
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,68,68,81,149
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,138,138,112,250
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,201,201,192,393
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,429,429,436,865
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,15,15,19,34
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,111,111,101,212
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,35,35,45,80
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,124,124,101,225
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,108,108,106,214
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,108,108,120,228
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,145,145,116,261
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,197,197,205,402
SAN LUCAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,484,484,546,1030
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,72,72,90,162
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,69,69,56,125
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,29,29,19,48
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,100,100,96,196
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,203,203,231,434
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,42,42,38,80
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,5,5,5,10
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,27,27,35,62
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,64,64,54,118
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,26,26,24,50
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,42,42,35,77
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,88,88,65,153
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,2401,2401,2243,4644
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,79,79,76,155
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,214,214,182,396
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,37,37,29,66
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,36,36,39,75
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,23,23,10,33
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,33,33,33,66
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,19,19,15,34
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,84,84,87,171
SENA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,75,75,66,141
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,158,158,165,323
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,31,31,23,54
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,67,67,77,144
SOPACHUY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,130,130,160,290
SORACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,73,73,75,148
SORATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,114,114,125,239
SUCRE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,751,751,748,1499
TACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,3,3,3,6
TACACOMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,48,48,67,115
TACOBAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,100,100,73,173
TACOPAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,82,82,104,186
TAHUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,8,8,12,20
TAPACARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,246,246,254,500
TARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,381,381,431,812
TARACO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,36,36,41,77
TARATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,33,33,31,64
TARIJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,630,630,630,1260
TARVITA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,289,289,292,581
TEOPONTE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,91,91,81,172
TIAWANACU,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,61,61,77,138
TINGUIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,198,198,206,404
TIPUANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,36,36,43,79
TIQUIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,44,44,44,88
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,116,116,148,264
TITO YUPANQUI (PARQUIPUJIO),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,12,12,14,26
TOCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,31,31,15,46
TOLATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,9,9,3,12
TOLEDO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,54,54,61,115
TOMAVE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,74,74,93,167
TOMINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,210,210,236,446
TORO TORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,222,222,240,462
TOTORA(CBBA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,44,44,45,89
TOTORA(ORR),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,32,32,21,53
TRIGAL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,25,25,20,45
TRINIDAD,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,396,396,321,717
TUPIZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,504,504,504,1008
TURCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,43,43,41,84
UMALA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,51,51,52,103
UNCIA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,127,127,123,250
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,184,184,194,378
UYUNI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,169,169,153,322
VACAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,31,31,35,66
VALLEGRANDE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,126,126,142,268
VIACHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,147,147,135,282
VILA VILA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,45,45,65,110
VILLA MONTES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,177,177,233,410
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,13,13,12,25
VILLA RIVERO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,19,19,18,37
VILLA SERRANO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,298,298,275,573
VILLA TUNARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,221,221,198,419
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,152,152,174,326
VILLAZON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,317,317,340,657
VINTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,45,45,41,86
VITICHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,173,173,177,350
WALDO BALLIVIAN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,8,8,8,16
WARNES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,260,260,271,531
YACO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,51,51,32,83
YACUIBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,381,381,329,710
YAMPARAEZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,244,244,240,484
YANACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,20,20,20,40
YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,326,326,329,655
YOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,17,17,19,36
YOTALA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,155,155,180,335
YUNCHARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,71,71,52,123
ZUDAÑEZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-03-01,107,107,126,233
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,91,91,111,202
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,199,199,223,422
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,34,34,25,59
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,75,75,64,139
ALALAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,8,8,14,22
ALCALA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,66,66,75,141
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,171,171,169,340
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,63,63,63,126
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,22,22,24,46
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,26,26,21,47
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,136,136,132,268
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,33,33,44,77
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,19,19,20,39
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,16,16,16,32
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,64,64,89,153
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,384,384,391,775
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,167,167,143,310
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,55,55,70,125
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,56,56,31,87
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,16,16,32,48
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,187,187,200,387
AZURDUY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,310,310,293,603
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,45,45,45,90
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,28,28,45,73
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,2,2,0,2
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,12,12,10,22
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,48,48,46,94
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,78,78,100,178
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,243,243,274,517
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,53,53,47,100
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,19,19,14,33
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,52,52,44,96
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,181,181,177,358
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,151,151,112,263
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,119,119,157,276
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,94,94,99,193
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,25,25,29,54
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,36,36,27,63
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,122,122,120,242
CAMARGO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,208,208,195,403
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,62,62,49,111
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,294,294,298,592
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,96,96,104,200
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,29,29,38,67
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,83,83,99,182
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,315,315,294,609
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,62,62,62,124
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,93,93,97,190
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,19,19,21,40
CATACORA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,2,2,1,3
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,10,10,21,31
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,200,200,232,432
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,46,46,50,96
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,162,162,184,346
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,19,19,10,29
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,127,127,138,265
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,31,31,35,66
CHIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,34,34,8,42
CHOQUE COTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,0,0,3,3
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,79,79,82,161
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,47,47,58,105
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,29,29,40,69
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,201,201,188,389
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,1193,1193,979,2172
COIPASA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,5,5,2,7
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,42,42,65,107
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,88,88,88,176
COLLANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,9,9,5,14
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,32,32,33,65
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,40,40,33,73
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,221,221,198,419
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,40,40,36,76
COLQUIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,86,86,86,172
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,8,8,16,24
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,90,90,92,182
COMBAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,15,15,14,29
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,119,119,92,211
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,62,62,56,118
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,103,103,95,198
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,61,61,72,133
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,146,146,118,264
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,51,51,50,101
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,285,285,318,603
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,107,107,87,194
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,66,66,75,141
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,17,17,13,30
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,51,51,52,103
CULPINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,230,230,241,471
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,45,45,31,76
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,31,31,22,53
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,34,34,20,54
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,2145,2145,2020,4165
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,8,8,12,20
EL PUENTE(STC),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,65,65,55,120
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,115,115,109,224
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,80,80,86,166
EL VILLAR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,110,110,102,212
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,162,162,168,330
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,144,144,132,276
ESCARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,1,1,0,1
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,65,65,39,104
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,1,1,4,5
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,25,25,31,56
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-04-01,106,106,125,231
