municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
SAN LUCAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,554,554,478,1032
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,111,111,111,222
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,142,142,113,255
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,31,31,31,62
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,166,166,144,310
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,197,197,192,389
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,46,46,45,91
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,4,4,7,11
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,32,32,33,65
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,58,58,58,116
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,52,52,21,73
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,45,45,47,92
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,153,153,138,291
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,4925,4925,4722,9647
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,72,72,82,154
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,57,57,69,126
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,20,20,27,47
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,40,40,38,78
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,30,30,29,59
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,60,60,61,121
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,21,21,22,43
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,93,93,84,177
SENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,67,67,42,109
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,198,198,208,406
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,45,45,29,74
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,177,177,146,323
SOPACHUY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,135,135,134,269
SORACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,60,60,64,124
SORATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,126,126,91,217
SUCRE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,1242,1242,1141,2383
TACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,3,3,9,12
TACACOMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,45,45,28,73
TACOBAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,97,97,92,189
TACOPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,88,88,69,157
TAHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,8,8,9,17
TAPACARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,209,209,204,413
TARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,273,273,292,565
TARACO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,20,20,21,41
TARATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,47,47,59,106
TARIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,1007,1007,921,1928
TARVITA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,252,252,219,471
TEOPONTE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,82,82,70,152
TIAWANACU,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,82,82,84,166
TINGUIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,173,173,158,331
TIPUANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,93,93,66,159
TIQUIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,66,66,52,118
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,165,165,140,305
TITO YUPANQUI (PARQUIPUJIO),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,6,6,12,18
TOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,30,30,16,46
TODOS SANTOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,2,2,1,3
TOLATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,11,11,20,31
TOLEDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,42,42,32,74
TOMAVE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,103,103,99,202
TOMINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,222,222,185,407
TORO TORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,224,224,210,434
TOTORA(CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,99,99,88,187
TOTORA(ORR),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,16,16,18,34
TRIGAL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,13,13,14,27
TRINIDAD,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,601,601,498,1099
TUPIZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,366,366,357,723
TURCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,31,31,31,62
UMALA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,35,35,30,65
UNCIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,138,138,123,261
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,184,184,182,366
UYUNI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,283,283,227,510
VACAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,67,67,49,116
VALLEGRANDE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,132,132,150,282
VIACHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,214,214,182,396
VILA VILA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,41,41,41,82
VILLA MONTES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,253,253,222,475
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,8,8,17,25
VILLA RIVERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,37,37,38,75
VILLA SERRANO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,213,213,197,410
VILLA TUNARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,347,347,274,621
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,123,123,117,240
VILLAZON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,401,401,364,765
VINTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,95,95,84,179
VITICHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,133,133,150,283
WALDO BALLIVIAN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,15,15,16,31
WARNES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,481,481,419,900
YACO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,64,64,64,128
YACUIBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,406,406,363,769
YAMPARAEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,148,148,140,288
YANACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,28,28,27,55
YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,571,571,545,1116
YOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,15,15,16,31
YOTALA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,85,85,70,155
YUNCHARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,46,46,49,95
ZUDAÑEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-03-01,111,111,90,201
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,100,100,103,203
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,281,281,275,556
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,51,51,48,99
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,81,81,90,171
ALALAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,27,27,20,47
ALCALA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,57,57,54,111
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,111,111,110,221
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,27,27,41,68
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,25,25,27,52
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,8,8,9,17
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,143,143,124,267
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,50,50,40,90
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,31,31,39,70
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,21,21,12,33
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,72,72,74,146
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,319,319,324,643
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,161,161,153,314
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,76,76,61,137
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,76,76,67,143
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,40,40,34,74
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,212,212,193,405
AZURDUY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,285,285,262,547
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,96,96,78,174
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,32,32,42,74
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,5,5,3,8
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,17,17,7,24
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,31,31,39,70
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,74,74,62,136
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,202,202,204,406
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,67,67,69,136
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,18,18,19,37
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,42,42,24,66
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,219,219,156,375
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,147,147,139,286
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,166,166,162,328
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,91,91,68,159
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,82,82,73,155
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,33,33,45,78
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,176,176,186,362
CAMARGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,204,204,209,413
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,43,43,32,75
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,322,322,308,630
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,79,79,78,157
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,54,54,54,108
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,119,119,101,220
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,494,494,260,754
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,93,93,108,201
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,94,94,115,209
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,25,25,29,54
CATACORA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,2,2,2,4
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,9,9,6,15
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,242,242,198,440
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,45,45,38,83
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,274,274,231,505
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,19,19,16,35
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,142,142,122,264
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,61,61,45,106
CHIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,12,12,20,32
CHOQUE COTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,4,4,1,5
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,139,139,130,269
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,73,73,73,146
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,134,134,121,255
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,328,328,319,647
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,1863,1863,1583,3446
COIPASA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,3,3,3,6
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,110,110,95,205
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,98,98,112,210
COLLANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,14,14,11,25
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,66,66,46,112
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,50,50,50,100
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,234,234,191,425
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,28,28,38,66
COLQUIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,143,143,136,279
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,19,19,13,32
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,156,156,158,314
COMBAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,11,11,8,19
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,210,210,195,405
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,106,106,91,197
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,136,136,139,275
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,76,76,69,145
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,102,102,149,251
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,45,45,45,90
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,305,305,301,606
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,203,203,225,428
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,72,72,57,129
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,25,25,12,37
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,39,39,56,95
CULPINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,280,280,242,522
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,33,33,38,71
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,26,26,19,45
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,35,35,30,65
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,3764,3764,3294,7058
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,9,9,6,15
EL PUENTE(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,83,83,81,164
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,81,81,61,142
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,136,136,150,286
EL VILLAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,94,94,88,182
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,212,212,182,394
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,161,161,97,258
ESCARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,0,0,2,2
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,42,42,37,79
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,2,2,2,4
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,26,26,26,52
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,124,124,91,215
FILADELFIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,28,28,23,51
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,97,97,102,199
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,79,79,66,145
GUANAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,137,137,95,232
GUAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,32,32,33,65
GUAYARAMERIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,443,443,410,853
GUTIERREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,189,189,181,370
HUACARETA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,120,120,129,249
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,50,50,51,101
HUACHACALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,3,3,5,8
HUANUNI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,198,198,142,340
HUARACAJE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,29,29,24,53
HUAYLLAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,16,16,22,38
ICHOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,41,41,27,68
ICLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,184,184,196,380
INCAHUASI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,274,274,265,539
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,12,12,12,24
INQUISIVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,139,139,150,289
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,185,185,166,351
IXIAMAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,81,81,98,179
JESUS DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,76,76,68,144
LA ASUNTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,232,232,205,437
LA GUARDIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,338,338,331,669
LA PAZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,3081,3081,2896,5977
LA RIVERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,0,0,5,5
LAGUNILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,99,99,94,193
LAJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,116,116,72,188
LAS CARRERAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,52,52,40,92
LICOMA PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,5,5,7,12
LLALLAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,77,77,67,144
LLICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,32,32,31,63
LORETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,31,31,17,48
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,135,135,103,238
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,19,19,30,49
MACHARETI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,113,113,92,205
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,87,87,69,156
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,70,70,58,128
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,35,35,27,62
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,183,183,144,327
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,85,85,74,159
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,216,216,175,391
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,115,115,130,245
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,99,99,100,199
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,9,9,1,10
MOJOCOYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,97,97,79,176
MONTEAGUDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,288,288,272,560
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,911,911,795,1706
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,26,26,34,60
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,42,42,41,83
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-04-01,17,17,22,39
