municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,279,279
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,273,273
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1052,1052
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,62,62
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,403,403
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,8,8
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,38934,38934
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,124,124
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,341,341
TAPACARI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,31,31
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,682,682
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,62,62
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,17725,17725
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,868,868
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,124,124
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1149,1149
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,93,93
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,186,186
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,93,93
TOMAVE,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,30,30
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,589,589
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,330,330
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,899,899
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,155,155
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,6781,6781
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,2821,2821
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,62,62
URUBICHA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,31,31
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1418,1418
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,124,124
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,811,811
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1209,1209
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,217,217
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,402,402
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1302,1302
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,124,124
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,372,372
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,4103,4103
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,310,310
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1612,1612
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1612,1612
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,62,62
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1432,1432
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,8892,8892
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,248,248
YANACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,31,31
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,1098,1098
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,403,403
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-03-01,248,248
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,541,541
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,810,810
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,360,360
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2490,2490
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,840,840
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,660,660
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,750,750
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2268,2268
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,570,570
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,480,480
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,278,278
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,237,237
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,298,298
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1200,1200
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,572,572
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,630,630
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,840,840
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,540,540
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,371,371
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1801,1801
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,210,210
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,753,753
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,718,718
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,803,803
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,272,272
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,540,540
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,4796,4796
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,270,270
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,51458,51458
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,7742,7742
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,600,600
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,480,480
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,186,186
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,420,420
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,600,600
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,960,960
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,420,420
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,270,270
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1680,1680
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,480,480
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,421,421
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,270,270
CURVA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,57,57
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,21886,21886
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1170,1170
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,480,480
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,660,660
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,132,132
FILADELFIA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,25,25
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,137,137
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1680,1680
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,660,660
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,724,724
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,270,270
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1720,1720
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,510,510
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,450,450
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,6,6
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,284,284
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2610,2610
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,73813,73813
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,4,4
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,360,360
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1050,1050
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,26,26
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,208,208
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,537,537
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,840,840
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2068,2068
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,8151,8151
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1290,1290
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,24443,24443
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,720,720
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,142,142
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,183,183
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,33,33
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,690,690
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,330,330
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,872,872
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2460,2460
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,177,177
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,18664,18664
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,510,510
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,451,451
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,105,105
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,452,452
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,276,276
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,146,146
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2430,2430
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,540,540
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,3120,3120
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,4318,4318
QUIME,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,690,690
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,4260,4260
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,976,976
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,600,600
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,7742,7742
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,330,330
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,243,243
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,330,330
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,133,133
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1050,1050
SAN CARLOS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,30,30
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,649,649
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2670,2670
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,330,330
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,248,248
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,824,824
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,43,43
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2484,2484
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1230,1230
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,630,630
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,310,310
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,420,420
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,151,151
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,180,180
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,660,660
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,72922,72922
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,227,227
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,270,270
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,270,270
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1046,1046
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,39008,39008
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,481,481
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,662,662
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,17147,17147
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,840,840
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1114,1114
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,184,184
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,90,90
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,570,570
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,300,300
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,840,840
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,5957,5957
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,2990,2990
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1380,1380
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1081,1081
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1890,1890
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,210,210
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,390,390
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1260,1260
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,360,360
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,4061,4061
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,150,150
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1560,1560
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1560,1560
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,60,60
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,1522,1522
YACO,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,120,120
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,8750,8750
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,922,922
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,360,360
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-04-01,240,240
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,588,588
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,868,868
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,281,281
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,279,279
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,372,372
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2133,2133
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,121,121
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,713,713
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,775,775
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2318,2318
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,496,496
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,410,410
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,402,402
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,214,214
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,310,310
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1239,1239
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,591,591
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,837,837
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
