municipality,group,variable,month,8. Días camas ocupadas otros servicios,TOTAL
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,405,405
TOMINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,16,16
TORO TORO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,11,11
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,13,13
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,4427,4427
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1340,1340
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,21,21
URUBICHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,31,31
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,520,520
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,719,719
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,372,372
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,14,14
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,574,574
VILLA SERRANO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,18,18
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2366,2366
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,19,19
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,606,606
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,412,412
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,736,736
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2401,2401
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,789,789
YOTALA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,4,4
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,20,20
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,153,153
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,244,244
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,8,8
ANTEQUERA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,61,61
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,10,10
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,979,979
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,23,23
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,53,53
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,45,45
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,838,838
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,8,8
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,97,97
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,20,20
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,196,196
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2,2
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,39,39
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,218,218
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4,4
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,153,153
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,209,209
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,26,26
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,319,319
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,39,39
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,49,49
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,398,398
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,263,263
CHARAÑA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,6,6
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,243,243
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,201,201
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,63,63
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,138,138
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2505,2505
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,33058,33058
COIPASA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3670,3670
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,10,10
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,11,11
COLQUENCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2,2
COLQUIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,30,30
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,240,240
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,252,252
CORIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,7,7
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,268,268
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,14,14
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1050,1050
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,206,206
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2,2
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,51,51
CURVA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,15,15
DESAGUADERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,16218,16218
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,90,90
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,500,500
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,115,115
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,233,233
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,43,43
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4,4
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,48,48
FILADELFIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,8,8
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,13,13
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,20,20
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,81,81
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,964,964
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,72,72
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,18,18
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,33,33
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,47,47
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,439,439
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,6,6
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,7,7
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,70,70
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4,4
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,56,56
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,694,694
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,45405,45405
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,8,8
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,641,641
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4,4
LURIBAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
MACHACAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,12,12
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,246,246
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,112,112
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,153,153
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,232,232
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,6,6
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,696,696
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4999,4999
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,6,6
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,36,36
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,14696,14696
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,270,270
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,278,278
PALCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,9,9
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,6,6
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,207,207
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,31,31
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,8,8
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4,4
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,111,111
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,78,78
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,464,464
PORVENIR,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,10087,10087
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,52,52
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,50,50
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,15,15
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,208,208
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,22,22
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,174,174
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,993,993
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1032,1032
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1733,1733
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,27,27
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,15,15
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,85,85
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2700,2700
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,263,263
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,396,396
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,19,19
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2263,2263
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,8,8
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,89,89
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,11,11
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,55,55
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,491,491
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,540,540
SAN CARLOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,40,40
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,222,222
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1085,1085
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,12,12
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,70,70
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,416,416
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,69,69
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1089,1089
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,165,165
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,234,234
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,78,78
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,240,240
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,84,84
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,55,55
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,99,99
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,236,236
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,57811,57811
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,118,118
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,108,108
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,104,104
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,49,49
SORACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2,2
SORATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,16,16
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,24329,24329
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,7,7
TACOBAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2,2
TAPACARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,398,398
TARATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,10208,10208
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,58,58
TIPUANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,16,16
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,460,460
TOMINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,16,16
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,45,45
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,4036,4036
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1150,1150
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,6,6
URUBICHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,30,30
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,643,643
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,757,757
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,514,514
VILA VILA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,3,3
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,5,5
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,633,633
VILLA RIVERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
VILLA SERRANO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2075,2075
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,9,9
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,655,655
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,500,500
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,890,890
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,2157,2157
YAMPARAEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,1,1
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,774,774
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-04-01,39,39
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,100,100
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,327,327
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,9,9
ANDAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,33,33
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,9,9
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,792,792
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,808,808
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,28,28
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,31,31
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,42,42
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,760,760
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,22,22
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,80,80
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,62,62
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,22,22
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,247,247
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,178,178
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,191,191
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,25,25
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,452,452
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,52,52
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,30,30
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,36,36
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,491,491
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,211,211
CHARAÑA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,178,178
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,195,195
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,301,301
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,2484,2484
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,34512,34512
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,4056,4056
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
COLOMI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,2,2
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
COLQUENCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,6,6
COLQUIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,31,31
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,198,198
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,254,254
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,365,365
CORQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,6,6
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,198,198
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,2,2
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,40,40
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,16150,16150
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,62,62
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,549,549
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,70,70
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,203,203
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,45,45
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,63,63
FILADELFIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,9,9
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,21,21
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,1,1
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,28,28
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,821,821
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,85,85
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,11,11
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,32,32
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,619,619
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,6,6
INCAHUASI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,68,68
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,10,10
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,56,56
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,598,598
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,54894,54894
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
LAS CARRERAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,621,621
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,7,7
MACHACAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,2,2
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,19,19
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,218,218
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,132,132
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,9,9
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,125,125
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,145,145
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,3,3
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-05-01,5,5
