,group,variable,month,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,3.0,8.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,2.0,2.0
TARABUCO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,3.0,3.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,90.0,89.0,179.0
TARVITA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,1.0,1.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,12.0,9.0,21.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,49.0,41.0,90.0
TUPIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,21.0,17.0,38.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,0.0,2.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,13.0,7.0,20.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,21.0,19.0,40.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,1.0,0.0,1.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,10.0,9.0,19.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,9.0,6.0,15.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,52.0,35.0,87.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,19.0,13.0,32.0
ZUDAÑEZ,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,4.0,9.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,0.0,1.0
ALALAY,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,2.0,4.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,21.0,18.0,39.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,1.0,3.0
BAURES,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,0.0,1.0
BELLA FLOR,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,2.0,5.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,27.0,22.0,49.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,0.0,1.0,1.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,39.0,39.0,78.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,25.0,29.0,54.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,9.0,7.0,16.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,5.0,2.0,7.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,11.0,10.0,21.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,7.0,5.0,12.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,34.0,18.0,52.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,115.0,92.0,207.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,4.0,4.0,8.0
CULPINA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,4.0,1.0,5.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,318.0,336.0,654.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,2.0,3.0
ENTRE RIOS TRJ,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,0.0,2.0,2.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,32.0,26.0,58.0
GUTIERREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,0.0,1.0,1.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,7.0,2.0,9.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,1.0,3.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,565.0,449.0,1014.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,6.0,8.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,12.0,11.0,23.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,82.0,83.0,165.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,40.0,43.0,83.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,61.0,48.0,109.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,51.0,48.0,99.0
PUERTO SUAREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,4.0,6.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,8.0,10.0,18.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,15.0,6.0,21.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,240.0,199.0,439.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,22.0,21.0,43.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,0.0,3.0,3.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,2.0,5.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,26.0,34.0,60.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,5.0,7.0,12.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,5.0,1.0,6.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,1.0,2.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,44.0,37.0,81.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,0.0,3.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,6.0,9.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,10.0,4.0,14.0
SAN LUCAS,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,1.0,2.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,3.0,6.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,3.0,6.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,744.0,721.0,1465.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,6.0,7.0,13.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,0.0,2.0,2.0
TARABUCO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,1.0,3.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,114.0,75.0,189.0
TARVITA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,0.0,1.0,1.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,8.0,7.0,15.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,1.0,2.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,51.0,25.0,76.0
TUPIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,20.0,19.0,39.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,11.0,12.0,23.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,16.0,20.0,36.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,31.0,25.0,56.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,3.0,3.0,6.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,5.0,8.0,13.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,39.0,37.0,76.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,50.0,6.0,56.0
ZUDAÑEZ,diagnostico de egreso,      otros en menores de 5 anos,2014-05-01,2.0,3.0,5.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,4.0,4.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,22.0,16.0,38.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,1.0,5.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,26.0,24.0,50.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,9.0,9.0,18.0
BETANZOS,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,2.0,6.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,2.0,0.0,2.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,1.0,2.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,22.0,26.0,48.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,2.0,1.0,3.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,9.0,14.0,23.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,6.0,7.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,9.0,14.0,23.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,5.0,3.0,8.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,30.0,16.0,46.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,175.0,129.0,304.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,5.0,5.0,10.0
CONCEPCION,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,3.0,0.0,3.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,3.0,2.0,5.0
CULPINA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,6.0,6.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,326.0,307.0,633.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,3.0,5.0,8.0
ENTRE RIOS TRJ,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,1.0,1.0
GENERAL SAAVEDRA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,1.0,2.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,43.0,46.0,89.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,2.0,7.0,9.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,5.0,4.0,9.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,551.0,552.0,1103.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,11.0,8.0,19.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,13.0,10.0,23.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,111.0,114.0,225.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,46.0,58.0,104.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,52.0,27.0,79.0
POSTRER VALLE,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,0.0,1.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,51.0,35.0,86.0
PUERTO RICO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,1.0,1.0
PUERTO SUAREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,4.0,5.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,14.0,13.0,27.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,10.0,13.0,23.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,293.0,233.0,526.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,38.0,34.0,72.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,2.0,6.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,5.0,4.0,9.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,33.0,32.0,65.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,5.0,1.0,6.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,0.0,1.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,3.0,4.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,39.0,36.0,75.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,5.0,5.0,10.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,1.0,5.0
SAN LUCAS,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,1.0,5.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,2.0,1.0,3.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,2.0,2.0,4.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,639.0,611.0,1250.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,2.0,0.0,2.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,5.0,9.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,2.0,2.0
TARABUCO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,1.0,1.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,73.0,57.0,130.0
TARVITA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,0.0,1.0,1.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,9.0,4.0,13.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,9.0,9.0,18.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,50.0,46.0,96.0
TUPIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,24.0,23.0,47.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,1.0,2.0,3.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,11.0,14.0,25.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,7.0,8.0,15.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,11.0,5.0,16.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,3.0,4.0,7.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,4.0,4.0,8.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,16.0,9.0,25.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,6.0,2.0,8.0
ZUDAÑEZ,diagnostico de egreso,      otros en menores de 5 anos,2014-06-01,6.0,5.0,11.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,3.0,0.0,3.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,15.0,9.0,24.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,24.0,26.0,50.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,16.0,6.0,22.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,0.0,2.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,6.0,10.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,2.0,3.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,6.0,2.0,8.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,3.0,6.0,9.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,9.0,7.0,16.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,10.0,5.0,15.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,25.0,16.0,41.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,164.0,123.0,287.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,8.0,5.0,13.0
COMARAPA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,0.0,2.0,2.0
CONCEPCION,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,2.0,6.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,3.0,0.0,3.0
CULPINA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,1.0,3.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,236.0,232.0,468.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,10.0,12.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,58.0,35.0,93.0
GUTIERREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,5.0,9.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,1.0,5.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,539.0,612.0,1151.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,8.0,11.0,19.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,19.0,12.0,31.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,79.0,65.0,144.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,57.0,72.0,129.0
PAILON,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,0.0,3.0,3.0
PALOS BLANCOS,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,20.0,28.0,48.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,53.0,30.0,83.0
PUERTO SUAREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,1.0,5.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,18.0,7.0,25.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,12.0,9.0,21.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,232.0,216.0,448.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,38.0,27.0,65.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,1.0,2.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,5.0,6.0,11.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,33.0,34.0,67.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,2.0,6.0
SAN BUENA VENTURA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,1.0,3.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,2.0,4.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,2.0,6.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,44.0,21.0,65.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,1.0,2.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,6.0,10.0
SAN LUCAS,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,1.0,5.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,0.0,5.0,5.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,0.0,5.0,5.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,0.0,2.0,2.0
SAN RAMON SCZ,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,3.0,4.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1044.0,993.0,2037.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,4.0,8.0,12.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,0.0,2.0
TARABUCO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,3.0,4.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,92.0,53.0,145.0
TIPUANI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,9.0,4.0,13.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,51.0,29.0,80.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,8.0,6.0,14.0
VIACHA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,1.0,0.0,1.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,2.0,3.0,5.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,138.0,112.0,250.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,12.0,9.0,21.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,6.0,2.0,8.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,37.0,28.0,65.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-07-01,12.0,9.0,21.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,3.0,2.0,5.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,16.0,8.0,24.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,2.0,3.0,5.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,25.0,23.0,48.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,6.0,10.0,16.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,1.0,2.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,23.0,21.0,44.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,1.0,2.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,6.0,6.0,12.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,5.0,3.0,8.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,14.0,6.0,20.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,10.0,5.0,15.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,33.0,17.0,50.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,156.0,133.0,289.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,10.0,2.0,12.0
COMARAPA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,2.0,0.0,2.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,4.0,1.0,5.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,280.0,278.0,558.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,3.0,4.0
ENTRE RIOS TRJ,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,0.0,1.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,32.0,29.0,61.0
GUTIERREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,1.0,2.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,6.0,4.0,10.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,2.0,3.0,5.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,683.0,628.0,1311.0
LAGUNILLAS,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,0.0,1.0,1.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,2.0,11.0,13.0
LORETO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,24.0,23.0,47.0
MAGDALENA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,4.0,1.0,5.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,7.0,9.0,16.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,126.0,114.0,240.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,54.0,40.0,94.0
PAILON,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,17.0,64.0,81.0
PALOS BLANCOS,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,3.0,4.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,17.0,24.0,41.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,30.0,55.0,85.0
