,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,3,6,6,7,9,16
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,28,22,28,22,50
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,54,52,72,94,126,146,272
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,14,20,229,216,243,236,479
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,3,70,68,76,71,147
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,2,15,30,16,32,48
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,10,6,23,28,33,34,67
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,8,90,67,56,75,146,221
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,13,92,84,103,97,200
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,3,63,42,66,45,111
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,2,58,54,61,56,117
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,4,46,38,52,42,94
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,27,18,27,18,45
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,6,64,76,69,82,151
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,8,9,115,118,123,127,250
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,3,32,22,34,25,59
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,73,61,223,240,296,301,597
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,10,111,94,117,104,221
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,1,47,28,47,29,76
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,68,47,95,87,163,134,297
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,31,26,245,193,276,219,495
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,3,1,3,1,4
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,10,18,103,81,113,99,212
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,2,48,51,49,53,102
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,1,23,22,26,23,49
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,13,3,13,3,16
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,0,8,10,9,10,19
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,25,17,206,175,231,192,423
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,1,26,33,29,34,63
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,15,15,172,161,187,176,363
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,0,15,9,17,9,26
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,11,78,76,89,87,176
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,81,66,140,119,221,185,406
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,6,19,19,21,25,46
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,10,6,11,7,18
CHUA COCANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,6,3,6,3,9
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,7,32,61,45,68,113
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,7,41,35,45,42,87
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,31,29,32,30,62
CKOCHAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,5,65,59,71,64,135
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,10,15,93,75,103,90,193
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,26,35,244,212,270,247,517
COCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,50,35,102,111,152,146,298
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,536,486,1058,960,1594,1446,3040
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,12,9,12,9,21
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,73,59,208,178,281,237,518
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,9,71,74,76,83,159
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,1,21,15,21,16,37
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,5,98,89,109,94,203
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,3,3,4,4,7,11
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,20,14,93,111,113,125,238
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,1,30,35,35,36,71
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,15,10,83,84,98,94,192
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,0,15,10,16,10,26
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,10,45,54,52,64,116
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,2,29,26,31,28,59
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,28,22,51,77,79,99,178
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,9,9,47,47,56,56,112
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,7,87,86,94,93,187
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,1,33,37,37,38,75
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,2,77,75,83,77,160
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,2,31,29,34,31,65
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,9,8,133,141,142,149,291
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,24,35,82,72,106,107,213
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,10,3,10,3,13
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,54,60,97,107,151,167,318
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,4,5,4,5,9
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,4,48,40,50,44,94
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,21,26,174,137,195,163,358
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,5,29,26,30,31,61
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,32,16,32,16,48
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,4,8,13,14,17,31
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,488,461,1868,1814,2356,2275,4631
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,2,55,62,58,64,122
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,15,11,46,49,61,60,121
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,3,73,65,80,68,148
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,55,64,184,171,239,235,474
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,7,59,54,61,61,122
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,12,108,116,115,128,243
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,16,151,154,164,170,334
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,0,1,0,1,1
ESCOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,5,13,20,13,25,38
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,1,6,1,6,2,8
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,2,36,40,37,42,79
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,2,15,24,17,26,43
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,0,11,7,13,7,20
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,3,115,83,121,86,207
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,8,6,25,21,33,27,60
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,11,106,103,113,114,227
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,6,45,53,47,59,106
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,14,89,97,100,111,211
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,3,29,30,30,33,63
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,30,39,192,169,222,208,430
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,8,6,181,197,189,203,392
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,9,109,95,113,104,217
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,3,50,34,53,37,90
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,2,27,18,27,20,47
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,32,27,65,75,97,102,199
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,2,15,28,19,30,49
HUARINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,1,26,36,29,37,66
HUATAJATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,7,22,25,27,32,59
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,3,40,31,40,34,74
HUMANATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,1,16,15,19,16,35
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,0,16,14,17,14,31
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,6,167,179,174,185,359
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,12,113,158,126,170,296
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,5,52,5,52,57
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,3,42,36,44,39,83
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,42,36,68,63,110,99,209
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,6,45,51,50,57,107
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,10,15,61,65,71,80,151
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,36,50,145,128,181,178,359
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,18,26,204,189,222,215,437
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1063,1042,1881,1789,2944,2831,5775
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,10,83,87,96,97,193
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,10,9,101,78,111,87,198
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,46,37,46,37,83
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,1,15,11,15,12,27
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,48,44,49,46,97,90,187
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,2,8,11,11,13,24
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,10,34,28,40,38,78
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,1,60,54,66,55,121
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,0,21,26,27,26,53
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,12,5,149,97,161,102,263
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,2,55,67,56,69,125
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,11,26,22,31,33,64
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,0,19,18,20,18,38
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,17,23,59,66,76,89,165
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,27,32,39,25,66,57,123
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,9,8,105,91,114,99,213
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,15,28,178,154,193,182,375
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,9,11,64,48,73,59,132
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,4,7,4,7,11
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,9,78,92,84,101,185
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,43,34,191,174,234,208,442
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,70,76,436,419,506,495,1001
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,4,18,16,19,20,39
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,7,110,84,115,91,206
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,1,6,7,9,8,17
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,11,8,11,8,19
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,60,41,61,42,103
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,16,12,83,85,99,97,196
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,18,17,93,83,111,100,211
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,28,61,52,74,80,154
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,184,153,593,1324,777,1477,2254
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,12,11,144,124,156,135,291
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,8,169,182,175,190,365
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,83,66,97,71,180,137,317
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,12,77,67,88,79,167
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,55,43,172,183,227,226,453
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,3,32,25,33,28,61
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,9,15,25,28,34,62
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,34,33,35,34,69
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,2,24,20,28,22,50
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,4,67,70,72,74,146
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,1,42,35,44,36,80
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,0,38,32,39,32,71
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,29,21,123,118,152,139,291
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,8,90,78,101,86,187
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,9,85,80,91,89,180
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,23,23,24,24,48
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,1,59,48,61,49,110
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,18,11,98,108,116,119,235
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,12,24,23,35,35,70
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,2,16,26,19,28,47
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,7,51,43,57,50,107
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,2,10,12,10,14,24
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,215,225,419,368,634,593,1227
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,6,85,77,90,83,173
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,1,18,26,18,27,45
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,27,20,85,83,112,103,215
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,7,33,39,37,46,83
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,6,86,58,89,64,153
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,2,0,132,104,134,104,238
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,2,36,43,40,45,85
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,5,75,64,78,69,147
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,4,24,31,27,35,62
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,4,5,5,6,11
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,41,41,9,10,50,51,101
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,42,34,324,300,366,334,700
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,15,10,121,135,136,145,281
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,57,56,64,76,121,132,253
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,1,23,14,27,15,42
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,364,294,231,224,595,518,1113
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,5,10,51,32,56,42,98
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,17,11,130,152,147,163,310
REYES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,4,80,68,80,72,152
RIBERALTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,104,103,433,382,537,485,1022
ROBORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,28,33,28,33,61
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,47,65,47,65,112
SABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,0,23,22,24,22,46
SACABA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,72,61,524,501,596,562,1158
SACABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,5,52,52,56,57,113
SACACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,22,8,148,150,170,158,328
SAIPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,1,61,56,61,57,118
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,6,6,92,81,98,87,185
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,11,14,34,33,45,47,92
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,15,16,16,17,33
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,37,46,66,59,103,105,208
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,3,5,9,14,12,19,31
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,8,10,8,10,18
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,16,80,65,93,81,174
SAN BENITO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,12,17,76,60,88,77,165
SAN BORJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,1,1,266,256,267,257,524
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,7,8,66,54,73,62,135
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,13,12,83,90,96,102,198
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,40,45,258,238,298,283,581
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,97,115,342,341,439,456,895
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,12,20,22,14,34,34,68
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,10,14,59,66,69,80,149
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,0,0,32,25,32,25,57
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,47,37,13,15,60,52,112
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,4,8,29,32,33,40,73
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-02-01,27,47,180,188,207,235,442
