municipality,group,variable,month,N° de TBP BAAR (+) nuevos,TOTAL
CAMARGO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
CAMIRI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
CAQUIAVIRI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,20,20
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
CARMEN RIVERO TORREZ,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
CHARAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,3,3
CHOQUE COTA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,7,7
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,28,28
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
COMBAYA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
COPACABANA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
CORO CORO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
COROICO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
COTAGAITA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
CUATRO CAÑADAS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
CULPINA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,34,34
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,6,6
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,6,6
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
GUTIERREZ,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
HUANUNI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,3,3
INCAHUASI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,5,5
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,10,10
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,60,60
LICOMA PAMPA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
MIZQUE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
MONTEAGUDO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,12,12
MOROCHATA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
OCURI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
ORURO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,9,9
PAILON,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,3,3
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
PAMPA GRANDE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
PORCO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PORONGO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PORTACHUELO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PORVENIR,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,12,12
PUCARANI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PUERTO QUIJARRO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PUERTO SUAREZ,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,15,15
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
QUIABAYA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,9,9
ROBORE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
RURRENABAQUE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,3,3
SACABA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
SAN BORJA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
SAN BUENA VENTURA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
SAN IGNACIO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
SAN JOSE DE CHIQUITOS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
SAN JULIAN,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,5,5
SAN MIGUEL DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
SAN PEDRO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,114,114
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
SANTUARIO DE QUILLACAS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
SICAYA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
SIPE SIPE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
SOPACHUY,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,8,8
TARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,7,7
TEOPONTE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
TINGUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,5,5
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,3,3
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-04-01,3,3
TORO TORO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
TOTORA(CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,5,5
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,5,5
UNCIA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
URUBICHA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,8,8
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,10,10
VILLAZON,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
VINTO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,7,7
WARNES,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,6,6
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,12,12
YANACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
YOCALLA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
AIQUILE,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
ARBIETO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
AYATA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
BATALLAS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
BAURES,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
BUENA VISTA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CABEZAS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CAJUATA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
CAMARGO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CAMIRI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
CARACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,11,11
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
CHAQUI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
CHAYANTA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
CHUMA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,17,17
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
COLQUECHACA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
COMARAPA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
CUATRO CAÑADAS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,37,37
EL PUENTE(STC),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
GUAQUI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
GUTIERREZ,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
HUANUNI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
ICHOCA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
INCAHUASI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,6,6
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,5,5
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,50,50
MAGDALENA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
MAIRANA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
MINEROS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
MIZQUE,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,6,6
MOROCHATA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
ORURO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,6,6
PAILON,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
PAMPA GRANDE,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
PORTACHUELO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,7,7
PUERTO PEREZ,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
PUERTO QUIJARRO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
PUERTO RICO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
PUERTO SUAREZ,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,8,8
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,9,9
QUIME,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,3,3
SACABA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
SAIPINA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAN ANDRES,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,7,7
SAN BUENA VENTURA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAN CARLOS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAN JULIAN,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
SAN LORENZO(TJA),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAN LUCAS,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
SAN PEDRO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,74,74
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SANTIAGO DE HUARI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SANTIAGO DE MACHACA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SAPAHAQUI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SOPACHUY,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,10,10
TACACOMA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
TACOPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
TAPACARI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
TARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
TARACO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,6,6
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
TOMINA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,6,6
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
UNCIA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,4,4
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,5,5
VILLA RIVERO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
VILLA SERRANO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,9,9
VINTO,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,1,1
WARNES,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,6,6
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,8,8
YANACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,2,2
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-05-01,8,8
ACACIO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
AIQUILE,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
ANCORAIMES,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
ARQUE,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
AYATA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
BETANZOS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
CAJUATA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
CAQUIAVIRI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,19,19
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,5,5
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,7,7
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,16,16
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
COLOMI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
COLQUECHACA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,5,5
COMARAPA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
CONCEPCION,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
COROICO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
COTAGAITA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
CUATRO CAÑADAS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
CULPINA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,34,34
EL PUENTE(TJA),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,6,6
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,6,6
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
HUANUNI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
INQUISIVI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
JESUS DE MACHACA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,6,6
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,5,5
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,40,40
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,5,5
MAIRANA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
MINEROS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
MOJOCOYA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
MONTEAGUDO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,6,6
ORURO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
PADCAYA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PAILON,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
POCOATA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,9,9
PRESTO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PUCARANI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PUERTO CARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PUERTO PEREZ,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PUERTO QUIJARRO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
PUERTO RICO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,12,12
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
SACABA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
SAN BORJA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
SAN CARLOS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
SAN JULIAN,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SAN LUCAS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
SAN MATIAS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SAN MIGUEL DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
SAN PEDRO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SAN PEDRO(PND),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,88,88
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SANTUARIO DE QUILLACAS,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SICA SICA (VILLA AROMA),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
SIPE SIPE,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SORACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SORATA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,9,9
TACOBAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
TAPACARI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
TARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,8,8
TARVITA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,11,11
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,4,4
URIONDO (A. CONCEPCION),tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
VILLA RIVERO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
VILLA SERRANO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,16,16
VINTO,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,1,1
VITICHI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
WARNES,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,5,5
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,11,11
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-06-01,3,3
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,3,3
ANCORAIMES,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
APOLO,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,3,3
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,8,8
BETANZOS,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
BUENA VISTA,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,3,3
CABEZAS,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
CAMIRI,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,4,4
CAPINOTA,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
CARACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,18,18
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
CHALLAPATA,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,2,2
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,5,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
CLIZA,tuberculosis,n de tbp baar (+) nuevos,2009-07-01,1,1
